FID;ID;AREA_SQKM;MNANPRC_M;MEANANNCMS;WIDTH_M;DEPTH_M;BFD0;BFD0_up;BFD0_down;BFD0_local;BFD1;BFD1_up;BFD1_down;BFD1_local;BFD2;BFD2_up;BFD2_down;BFD2_local;BFD3;BFD3_up;BFD3_down;BFD3_local;BFD4;BFD4_up;BFD4_down;BFD4_local;BFD5;BFD5_up;BFD5_down;BFD5_local
0;1,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;123712,718750000000000;33745980,000000000000000;-9999,000000000000000;80,229110000000006;1429275,125000000000000;154407200,000000000000000;-9999,000000000000000;926,901250000000005;3703857,250000000000000;304228768,000000000000000;-9999,000000000000000;2401,993649999999889;6417640,500000000000000;491890432,000000000000000;-9999,000000000000000;4161,913090000000011;9342018,000000000000000;723890048,000000000000000;-9999,000000000000000;6058,405270000000201;12452034,000000000000000;997176704,000000000000000;-9999,000000000000000;8075,286130000000412
1;2,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;172768,421880000008969;33622268,000000000000000;137449,421880000008969;114,198809999999995;1800034,125000000000000;152977920,000000000000000;1523810,375000000000000;1189,811040000000048;4231182,000000000000000;300524928,000000000000000;3893994,000000000000000;2796,784180000000106;7330250,500000000000000;485472832,000000000000000;6707413,000000000000000;4845,248539999999593;10835848,000000000000000;714548160,000000000000000;9732123,000000000000000;7162,425779999999577;14648325,000000000000000;984724800,000000000000000;12942466,000000000000000;9682,448239999999714
2;3,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;4177,895999999999731;33449500,000000000000000;296943,218750000000000;2,758760000000000;816750,187500000000000;151177904,000000000000000;3280249,750000000000000;539,319640000000049;2730828,750000000000000;296293504,000000000000000;8150348,000000000000000;1803,231320000000096;6447487,000000000000000;478142624,000000000000000;14179423,000000000000000;4257,429199999999582;11182182,000000000000000;703712064,000000000000000;20848064,000000000000000;7383,861329999999725;16761054,000000000000000;970076416,000000000000000;28031736,000000000000000;11067,723630000000412
3;4,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;34866,261720000002242;33445320,000000000000000;300646,843750000000000;22,716590000000000;867441,062500000000000;150361216,000000000000000;4051222,000000000000000;565,168149999999969;2015007,875000000000000;293562752,000000000000000;10676091,000000000000000;1312,848019999999906;4445200,000000000000000;471695200,000000000000000;20210666,000000000000000;2896,203120000000126;8953032,000000000000000;692529984,000000000000000;31380402,000000000000000;5833,212889999999788;15134246,000000000000000;953315456,000000000000000;43886812,000000000000000;9860,489260000000286
4;5,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;12796,765620000000126;33410454,000000000000000;337668,937500000000000;8,379120000000000;689975,500000000000000;149493680,000000000000000;4925314,500000000000000;451,785129999999981;1522886,625000000000000;291547840,000000000000000;12705608,000000000000000;997,162289999999985;3112017,250000000000000;467250048,000000000000000;24681374,000000000000000;2037,700070000000096;6729290,000000000000000;683576896,000000000000000;40381528,000000000000000;4406,233400000000074;11343750,000000000000000;938181312,000000000000000;59102168,000000000000000;7427,709469999999783
5;6,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;92152,343750000000000;33397664,000000000000000;348309,562500000000000;61,389229999999998;780149,187500000000000;148803696,000000000000000;5611084,500000000000000;519,712890000000016;1963413,625000000000000;290024992,000000000000000;14224173,000000000000000;1307,969479999999976;4195455,000000000000000;464137952,000000000000000;27812414,000000000000000;2794,891110000000026;7422241,000000000000000;676847680,000000000000000;47186572,000000000000000;4944,482909999999720;11214210,000000000000000;926837568,000000000000000;70583816,000000000000000;7470,583499999999731
6;7,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;1440,209959999999910;33305514,000000000000000;440461,968750000000000;0,950480000000000;631830,500000000000000;148023472,000000000000000;6386705,000000000000000;416,983920000000012;1519475,500000000000000;288061568,000000000000000;16175247,000000000000000;1002,795589999999947;3137157,000000000000000;459942592,000000000000000;31961182,000000000000000;2070,403319999999894;5926796,000000000000000;669425472,000000000000000;54482816,000000000000000;3911,458250000000135;9187040,000000000000000;915623552,000000000000000;81576832,000000000000000;6063,094240000000354
7;8,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;58773,613279999997758;33304078,000000000000000;441902,125000000000000;38,723570000000002;1006666,187500000000000;147391632,000000000000000;7010456,500000000000000;663,251890000000003;2267405,250000000000000;286542144,000000000000000;17676614,000000000000000;1493,902219999999943;4211247,500000000000000;456805536,000000000000000;35071756,000000000000000;2774,621830000000045;8065855,000000000000000;663498688,000000000000000;60374576,000000000000000;5314,267579999999725;13613870,000000000000000;906436480,000000000000000;90721040,000000000000000;8969,631840000000011
8;9,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;368167,031250000000000;33245312,000000000000000;500675,875000000000000;241,151759999999996;1522336,000000000000000;146384976,000000000000000;8024152,500000000000000;997,139829999999961;3241029,500000000000000;284274720,000000000000000;19961452,000000000000000;2122,895019999999931;5630874,000000000000000;452594240,000000000000000;39315164,000000000000000;3688,258539999999812;9299578,000000000000000;655433088,000000000000000;68535560,000000000000000;6091,283199999999852;14268270,000000000000000;892822528,000000000000000;104551128,000000000000000;9345,808590000000549
9;10,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;61829,000000000000000;32877146,000000000000000;869084,812500000000000;40,660220000000002;944726,875000000000000;144862624,000000000000000;9546038,000000000000000;621,274779999999964;2625976,000000000000000;281033632,000000000000000;23207608,000000000000000;1726,904050000000097;4960088,000000000000000;446963456,000000000000000;44954660,000000000000000;3261,871340000000146;8536724,000000000000000;646133504,000000000000000;77803912,000000000000000;5613,952150000000074;13420243,000000000000000;878554432,000000000000000;118694856,000000000000000;8825,469730000000709
10;11,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;11107,535159999999451;32815314,000000000000000;930671,687500000000000;7,335020000000000;618295,562500000000000;143917888,000000000000000;10493809,000000000000000;408,300290000000018;1443328,125000000000000;278407744,000000000000000;25832320,000000000000000;953,122250000000008;2983693,250000000000000;442003424,000000000000000;49906872,000000000000000;1970,324339999999893;5943885,000000000000000;637596864,000000000000000;86321432,000000000000000;3925,129150000000209;10266541,000000000000000;865133952,000000000000000;132079128,000000000000000;6779,656740000000354
11;12,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;23189,828119999998307;32804204,000000000000000;942184,937500000000000;15,259530000000000;466499,093750000000000;143299552,000000000000000;11113658,000000000000000;306,969020000000000;1062845,250000000000000;276964320,000000000000000;27280146,000000000000000;699,380919999999946;2027887,625000000000000;439019744,000000000000000;52898532,000000000000000;1334,404909999999973;3944515,750000000000000;631653184,000000000000000;92276656,000000000000000;2595,598140000000058;7399462,500000000000000;854867520,000000000000000;142361024,000000000000000;4869,046390000000429
12;13,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;9048,747069999999439;32781016,000000000000000;964969,250000000000000;5,933830000000000;458593,468750000000000;142833136,000000000000000;11572859,000000000000000;300,728240000000028;1113867,000000000000000;275901344,000000000000000;28327090,000000000000000;730,431820000000016;2265125,000000000000000;436991744,000000000000000;54903016,000000000000000;1485,383299999999963;4269540,000000000000000;627708864,000000000000000;96191976,000000000000000;2799,802729999999883;7210176,000000000000000;847468224,000000000000000;149823664,000000000000000;4728,160640000000058
13;14,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;17149,943360000001121;32771968,000000000000000;974017,500000000000000;11,267820000000000;492701,625000000000000;142374544,000000000000000;12027715,000000000000000;323,713900000000024;1220059,500000000000000;274787488,000000000000000;29434150,000000000000000;801,601199999999949;3583285,250000000000000;434726560,000000000000000;57155400,000000000000000;2354,283199999999852;7790448,500000000000000;623439104,000000000000000;100444640,000000000000000;5118,465820000000349;13018774,000000000000000;840258240,000000000000000;156939024,000000000000000;8553,570309999999154
14;15,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;25018,687500000000000;32754820,000000000000000;993112,000000000000000;16,634029999999999;441582,781250000000000;141881856,000000000000000;12533186,000000000000000;293,592620000000011;975761,437500000000000;273567456,000000000000000;30680246,000000000000000;648,748960000000011;2022734,500000000000000;431143328,000000000000000;60779632,000000000000000;1344,843990000000076;4261797,500000000000000;615648960,000000000000000;108289472,000000000000000;2833,517089999999826;7652757,000000000000000;827239424,000000000000000;170004928,000000000000000;5088,044920000000275
15;16,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;16070,052729999999428;32729798,000000000000000;1016455,437500000000000;10,632700000000000;523446,125000000000000;141440304,000000000000000;12965709,000000000000000;346,336430000000007;1124622,250000000000000;272591712,000000000000000;31636586,000000000000000;744,102660000000014;1945714,500000000000000;429120640,000000000000000;62774768,000000000000000;1287,375729999999976;3584437,750000000000000;611387264,000000000000000;112513440,000000000000000;2371,631589999999960;6753124,000000000000000;819586560,000000000000000;177605248,000000000000000;4468,182619999999588
16;17,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;34424,843750000000000;32713726,000000000000000;1032257,562500000000000;22,852190000000000;556383,875000000000000;140916832,000000000000000;13497200,000000000000000;369,343439999999987;1152395,625000000000000;271467104,000000000000000;32777602,000000000000000;764,992979999999989;2001248,625000000000000;427175008,000000000000000;64742032,000000000000000;1328,485719999999901;3639072,750000000000000;607802880,000000000000000;116126656,000000000000000;2415,719970000000103;6045235,500000000000000;812833536,000000000000000;184399360,000000000000000;4012,999269999999797
17;18,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;15481,835940000000846;32679298,000000000000000;1066751,000000000000000;10,281210000000000;617148,500000000000000;140360464,000000000000000;14052809,000000000000000;409,837190000000021;1416759,125000000000000;270314656,000000000000000;33928360,000000000000000;940,844180000000051;2939593,000000000000000;425173728,000000000000000;66742800,000000000000000;1952,130619999999908;5719566,000000000000000;604163968,000000000000000;119764840,000000000000000;3798,260499999999865;9181717,000000000000000;806788352,000000000000000;190439824,000000000000000;6097,412599999999657
18;19,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;10304,373050000000148;32663812,000000000000000;1082163,375000000000000;6,848590000000000;560049,750000000000000;139743328,000000000000000;14671951,000000000000000;372,225340000000017;1209185,750000000000000;268897824,000000000000000;35350136,000000000000000;803,660030000000006;1973976,875000000000000;422234080,000000000000000;69688048,000000000000000;1311,962399999999889;3147500,500000000000000;598444416,000000000000000;125505968,000000000000000;2091,920410000000174;4701336,500000000000000;797606528,000000000000000;199685856,000000000000000;3124,645019999999931
19;20,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;30661,505860000001121;32653508,000000000000000;1092466,625000000000000;20,128460000000000;651789,812500000000000;139183312,000000000000000;15218870,000000000000000;427,882540000000006;1732293,500000000000000;267688688,000000000000000;36531164,000000000000000;1137,204220000000078;3295178,250000000000000;420260128,000000000000000;71619504,000000000000000;2163,196039999999812;5439425,000000000000000;595296960,000000000000000;128606448,000000000000000;3570,836670000000140;8475269,000000000000000;792905280,000000000000000;204354368,000000000000000;5563,786619999999857
20;21,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;35150,285159999999451;32622848,000000000000000;1123134,375000000000000;23,194479999999999;850229,875000000000000;138531520,000000000000000;15880595,000000000000000;561,037779999999998;1807904,125000000000000;265956432,000000000000000;38282024,000000000000000;1192,974490000000060;2937698,750000000000000;416964928,000000000000000;74942128,000000000000000;1938,487429999999904;4363050,500000000000000;589857408,000000000000000;134058456,000000000000000;2879,028560000000198;6234035,000000000000000;784430080,000000000000000;212780736,000000000000000;4113,627440000000206
21;22,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;23390,335940000000846;32587698,000000000000000;1158279,000000000000000;29,940030000000000;373420,750000000000000;137681264,000000000000000;16732739,000000000000000;477,984989999999982;750464,000000000000000;264148464,000000000000000;40095204,000000000000000;960,606809999999996;1180487,250000000000000;414027232,000000000000000;77887304,000000000000000;1511,043949999999995;1698335,375000000000000;585494592,000000000000000;138430688,000000000000000;2173,898439999999937;2382352,000000000000000;778196032,000000000000000;219025008,000000000000000;3049,451419999999871
22;23,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;-9999,000000000000000;10779,187500000000000;32564310,000000000000000;1181722,750000000000000;11,872019999999999;391825,375000000000000;137307856,000000000000000;17100782,000000000000000;431,549989999999980;979619,437500000000000;263397984,000000000000000;40835444,000000000000000;1078,936650000000100;2066817,250000000000000;412846720,000000000000000;79077632,000000000000000;2276,358400000000074;3693033,750000000000000;583796288,000000000000000;140236208,000000000000000;4067,446289999999863;5831534,500000000000000;775813632,000000000000000;221672512,000000000000000;6422,755860000000212
