"date"	"value"
1960-01-01	9.008292
1960-02-01	14.68147
1960-03-01	31.652351
1960-04-01	54.716214
1960-05-01	88.237348
1960-06-01	116.02476
1960-07-01	108.244308
1960-08-01	93.012124
1960-09-01	52.710571
1960-10-01	22.63057
1960-11-01	8.253481
1960-12-01	6.487147
1961-01-01	8.934383
1961-02-01	16.867818
1961-03-01	40.366399
1961-04-01	57.576036
1961-05-01	81.987805
1961-06-01	107.300078
1961-07-01	113.535649
1961-08-01	99.957588
1961-09-01	51.739289
1961-10-01	23.444519
1961-11-01	9.616982
1961-12-01	7.171088
1962-01-01	8.674221
1962-02-01	13.614752
1962-03-01	28.117151
1962-04-01	59.181146
1962-05-01	91.966728
1962-06-01	107.021229
1962-07-01	115.414193
1962-08-01	87.02811
1962-09-01	41.879484
1962-10-01	28.573591
1962-11-01	8.950669
1962-12-01	7.762947
1963-01-01	7.465875
1963-02-01	12.901282
1963-03-01	31.148161
1963-04-01	56.376198
1963-05-01	83.347545
1963-06-01	104.935776
1963-07-01	111.6064
1963-08-01	96.959538
1963-09-01	59.735553
1963-10-01	26.470676
1963-11-01	10.368484
1963-12-01	8.040918
1964-01-01	8.007811
1964-02-01	14.948465
1964-03-01	32.099656
1964-04-01	55.187096
1964-05-01	86.39184
1964-06-01	106.35521
1964-07-01	115.735816
1964-08-01	87.725262
1964-09-01	55.560365
1964-10-01	23.432265
1964-11-01	8.35846
1964-12-01	5.319101
1965-01-01	7.859383
1965-02-01	15.320754
1965-03-01	30.411434
1965-04-01	45.611028
1965-05-01	85.74296
1965-06-01	105.848327
1965-07-01	124.541474
1965-08-01	87.77865
1965-09-01	54.515571
1965-10-01	26.910235
1965-11-01	7.736771
1965-12-01	5.765919
1966-01-01	9.500024
1966-02-01	15.271645
1966-03-01	33.166957
1966-04-01	52.05567
1966-05-01	88.428085
1966-06-01	111.279661
1966-07-01	106.370704
1966-08-01	88.784021
1966-09-01	59.045231
1966-10-01	25.164378
1966-11-01	8.574283
1966-12-01	6.732524
1967-01-01	7.270227
1967-02-01	15.461653
1967-03-01	34.408985
1967-04-01	53.053485
1967-05-01	84.971908
1967-06-01	95.474616
1967-07-01	112.686397
1967-08-01	95.585736
1967-09-01	49.629422
1967-10-01	27.221376
1967-11-01	11.474612
1967-12-01	7.756669
1968-01-01	8.240678
1968-02-01	15.748428
1968-03-01	36.130973
1968-04-01	64.724405
1968-05-01	87.379887
1968-06-01	95.034498
1968-07-01	115.112287
1968-08-01	81.96954
1968-09-01	49.479519
1968-10-01	26.11648
1968-11-01	9.356844
1968-12-01	8.108557
1969-01-01	8.087471
1969-02-01	13.026953
1969-03-01	29.965457
1969-04-01	58.701621
1969-05-01	97.680199
1969-06-01	94.205027
1969-07-01	108.508909
1969-08-01	84.810939
1969-09-01	53.005555
1969-10-01	29.464674
1969-11-01	9.608475
1969-12-01	8.011517
1970-01-01	7.675607
1970-02-01	13.378199
1970-03-01	32.093918
1970-04-01	56.244988
1970-05-01	83.16466
1970-06-01	107.894381
1970-07-01	109.81162
1970-08-01	88.807535
1970-09-01	62.435933
1970-10-01	24.831201
1970-11-01	8.056498
1970-12-01	6.984231
1971-01-01	8.209768
1971-02-01	16.747806
1971-03-01	29.877809
1971-04-01	54.546565
1971-05-01	85.034255
1971-06-01	92.063365
1971-07-01	114.981292
1971-08-01	97.597503
1971-09-01	48.515723
1971-10-01	27.563559
1971-11-01	9.738586
1971-12-01	6.418818
1972-01-01	8.102425
1972-02-01	14.472155
1972-03-01	38.546271
1972-04-01	48.947001
1972-05-01	80.336378
1972-06-01	98.396607
1972-07-01	95.771805
1972-08-01	81.054998
1972-09-01	45.221413
1972-10-01	23.443705
1972-11-01	9.75894
1972-12-01	8.283482
1973-01-01	9.775105
1973-02-01	13.789171
1973-03-01	32.542239
1973-04-01	46.959533
1973-05-01	97.225727
1973-06-01	106.413032
1973-07-01	115.144795
1973-08-01	87.282211
1973-09-01	60.127796
1973-10-01	26.122904
1973-11-01	10.132249
1973-12-01	6.371527
1974-01-01	6.241238
1974-02-01	14.230296
1974-03-01	35.518849
1974-04-01	51.132189
1974-05-01	82.3965
1974-06-01	99.416411
1974-07-01	114.707368
1974-08-01	95.478485
1974-09-01	52.049817
1974-10-01	18.500892
1974-11-01	7.459321
1974-12-01	5.97689
1975-01-01	6.991582
1975-02-01	16.727608
1975-03-01	31.669876
1975-04-01	55.347207
1975-05-01	78.836565
1975-06-01	91.274874
1975-07-01	113.037126
1975-08-01	82.060953
1975-09-01	59.258015
1975-10-01	24.312862
1975-11-01	10.782579
1975-12-01	7.53259
1976-01-01	8.075545
1976-02-01	16.6821
1976-03-01	36.739676
1976-04-01	50.351825
1976-05-01	86.644566
1976-06-01	99.899302
1976-07-01	103.126046
1976-08-01	79.559742
1976-09-01	45.634219
1976-10-01	24.20605
1976-11-01	9.226622
1976-12-01	6.028433
1977-01-01	7.868309
1977-02-01	14.912685
1977-03-01	37.64099
1977-04-01	61.622415
1977-05-01	93.776625
1977-06-01	106.424762
1977-07-01	112.983768
1977-08-01	85.14261
1977-09-01	54.883416
1977-10-01	24.751506
1977-11-01	9.843741
1977-12-01	7.43521
1978-01-01	6.853847
1978-02-01	13.645506
1978-03-01	35.066268
1978-04-01	48.750474
1978-05-01	69.288771
1978-06-01	96.922934
1978-07-01	115.653924
1978-08-01	87.772644
1978-09-01	52.162958
1978-10-01	29.023454
1978-11-01	10.675968
1978-12-01	5.578116
1979-01-01	7.91094
1979-02-01	14.783595
1979-03-01	31.031174
1979-04-01	51.1704
1979-05-01	95.15132
1979-06-01	108.255933
1979-07-01	108.431089
1979-08-01	91.69886
1979-09-01	56.665198
1979-10-01	26.228792
1979-11-01	10.385433
1979-12-01	6.404664
1980-01-01	8.475797
1980-02-01	16.617192
1980-03-01	32.418996
1980-04-01	47.690227
1980-05-01	65.232963
1980-06-01	96.463642
1980-07-01	109.050322
1980-08-01	96.350422
1980-09-01	56.815743
1980-10-01	24.436446
1980-11-01	9.467112
1980-12-01	7.259413
1981-01-01	9.593799
1981-02-01	13.191362
1981-03-01	35.456687
1981-04-01	59.29659
1981-05-01	85.278045
1981-06-01	106.490084
1981-07-01	113.135192
1981-08-01	93.777269
1981-09-01	51.45399
1981-10-01	24.383969
1981-11-01	10.422373
1981-12-01	6.397856
1982-01-01	10.290368
1982-02-01	15.510331
1982-03-01	33.44212
1982-04-01	51.78238
1982-05-01	94.538397
1982-06-01	111.314837
1982-07-01	113.856423
1982-08-01	85.889882
1982-09-01	53.698688
1982-10-01	21.451187
1982-11-01	10.209378
1982-12-01	6.425194
1983-01-01	7.667421
1983-02-01	11.82264
1983-03-01	34.327697
1983-04-01	62.844108
1983-05-01	94.275508
1983-06-01	99.708215
1983-07-01	117.241654
1983-08-01	84.658701
1983-09-01	61.442757
1983-10-01	28.913021
1983-11-01	12.354825
1983-12-01	9.005287
1984-01-01	6.990099
1984-02-01	14.694724
1984-03-01	33.316547
1984-04-01	52.099992
1984-05-01	75.757257
1984-06-01	108.628557
1984-07-01	116.796342
1984-08-01	88.530302
1984-09-01	52.781735
1984-10-01	25.462509
1984-11-01	10.207059
1984-12-01	8.963485
1985-01-01	9.125424
1985-02-01	14.404137
1985-03-01	28.827865
1985-04-01	57.743775
1985-05-01	90.722649
1985-06-01	100.404503
1985-07-01	124.522493
1985-08-01	88.050846
1985-09-01	56.168107
1985-10-01	23.094911
1985-11-01	9.544192
1985-12-01	5.324895
1986-01-01	7.501527
1986-02-01	14.736784
1986-03-01	31.302018
1986-04-01	54.42783
1986-05-01	96.143857
1986-06-01	99.255759
1986-07-01	102.378242
1986-08-01	101.850701
1986-09-01	56.94702
1986-10-01	27.20328
1986-11-01	9.003623
1986-12-01	7.912134
1987-01-01	9.195607
1987-02-01	13.975016
1987-03-01	30.963761
1987-04-01	57.15676
1987-05-01	78.663049
1987-06-01	101.633223
1987-07-01	129.591375
1987-08-01	98.818068
1987-09-01	54.85803
1987-10-01	26.36256
1987-11-01	10.199184
1987-12-01	6.270093
1988-01-01	8.394457
1988-02-01	16.444593
1988-03-01	35.525808
1988-04-01	55.264741
1988-05-01	85.406211
1988-06-01	99.079326
1988-07-01	135.042606
1988-08-01	90.866374
1988-09-01	58.201636
1988-10-01	25.10256
1988-11-01	10.835781
1988-12-01	9.017482
1989-01-01	9.80215
1989-02-01	14.17311
1989-03-01	41.933212
1989-04-01	57.939566
1989-05-01	87.647946
1989-06-01	88.977177
1989-07-01	111.073286
1989-08-01	90.923648
1989-09-01	52.645064
1989-10-01	23.92328
1989-11-01	11.218543
1989-12-01	8.192883
1990-01-01	9.778174
1990-02-01	17.105266
