"date"	"value"
1960-01-01	113.667975
1960-02-01	236.428972
1960-03-01	192.617987
1960-04-01	45.000556
1960-05-01	41.994204
1960-06-01	14.872277
1960-07-01	0.070163
1960-08-01	0.638031
1960-09-01	14.306553
1960-10-01	277.806682
1960-11-01	83.559021
1960-12-01	69.695881
1961-01-01	47.124209
1961-02-01	9.292471
1961-03-01	64.294047
1961-04-01	36.481204
1961-05-01	103.264422
1961-06-01	12.144469
1961-07-01	0.716287
1961-08-01	1.584812
1961-09-01	46.694523
1961-10-01	40.860186
1961-11-01	315.967833
1961-12-01	307.574549
1962-01-01	58.27601
1962-02-01	34.433242
1962-03-01	243.660742
1962-04-01	91.147414
1962-05-01	26.130382
1962-06-01	35.985726
1962-07-01	0.166306
1962-08-01	0.142942
1962-09-01	6.283042
1962-10-01	165.888194
1962-11-01	92.975361
1962-12-01	235.512496
1963-01-01	283.63488
1963-02-01	205.6021
1963-03-01	50.374712
1963-04-01	125.851473
1963-05-01	68.909294
1963-06-01	31.745101
1963-07-01	1.118317
1963-08-01	0.21288
1963-09-01	44.757443
1963-10-01	24.078049
1963-11-01	183.250344
1963-12-01	337.790879
1964-01-01	57.225017
1964-02-01	187.993568
1964-03-01	124.64672
1964-04-01	48.163229
1964-05-01	18.073851
1964-06-01	13.250332
1964-07-01	0.746238
1964-08-01	1.550604
1964-09-01	5.499734
1964-10-01	10.027354
1964-11-01	84.244137
1964-12-01	105.089734
1965-01-01	116.214286
1965-02-01	116.485646
1965-03-01	68.565524
1965-04-01	34.266435
1965-05-01	2.267578
1965-06-01	32.482008
1965-07-01	1.606296
1965-08-01	0.055995
1965-09-01	84.605725
1965-10-01	182.825086
1965-11-01	119.011151
1965-12-01	67.527268
1966-01-01	136.519253
1966-02-01	192.962213
1966-03-01	8.10026
1966-04-01	54.137868
1966-05-01	5.122853
1966-06-01	7.841127
1966-07-01	0.499117
1966-08-01	0.183614
1966-09-01	33.579358
1966-10-01	106.583669
1966-11-01	105.417155
1966-12-01	22.605239
1967-01-01	81.924415
1967-02-01	131.775457
1967-03-01	28.439562
1967-04-01	60.927908
1967-05-01	33.124814
1967-06-01	67.131493
1967-07-01	0.199845
1967-08-01	0.241734
1967-09-01	15.044525
1967-10-01	106.109032
1967-11-01	128.117845
1967-12-01	18.612382
1968-01-01	15.179689
1968-02-01	212.153401
1968-03-01	155.445476
1968-04-01	59.132498
1968-05-01	20.356042
1968-06-01	28.246982
1968-07-01	0.215021
1968-08-01	12.355368
1968-09-01	2.833831
1968-10-01	35.031902
1968-11-01	152.236023
1968-12-01	114.847866
1969-01-01	176.629638
1969-02-01	266.979455
1969-03-01	126.299676
1969-04-01	40.594159
1969-05-01	89.032365
1969-06-01	51.060161
1969-07-01	0.764973
1969-08-01	15.557826
1969-09-01	66.721782
1969-10-01	127.456573
1969-11-01	249.203275
1969-12-01	84.08175
1970-01-01	532.823538
1970-02-01	15.461535
1970-03-01	87.224561
1970-04-01	51.650444
1970-05-01	44.420065
1970-06-01	78.512023
1970-07-01	0.192494
1970-08-01	2.901618
1970-09-01	0.643378
1970-10-01	27.170493
1970-11-01	70.611838
1970-12-01	116.029497
1971-01-01	151.153656
1971-02-01	18.895063
1971-03-01	93.489943
1971-04-01	218.932294
1971-05-01	136.468049
1971-06-01	27.951984
1971-07-01	5.236316
1971-08-01	61.999538
1971-09-01	38.716362
1971-10-01	35.232975
1971-11-01	57.609411
1971-12-01	113.289688
1972-01-01	153.86136
1972-02-01	143.453264
1972-03-01	154.592428
1972-04-01	37.973734
1972-05-01	75.564636
1972-06-01	19.791335
1972-07-01	15.429672
1972-08-01	5.735287
1972-09-01	117.485245
1972-10-01	286.415558
1972-11-01	106.14815
1972-12-01	141.868129
1973-01-01	100.812119
1973-02-01	27.866919
1973-03-01	78.635279
1973-04-01	37.016791
1973-05-01	106.531313
1973-06-01	42.087574
1973-07-01	9.619021
1973-08-01	5.697555
1973-09-01	1.737822
1973-10-01	33.593352
1973-11-01	73.780751
1973-12-01	141.241958
1974-01-01	45.715889
1974-02-01	67.868901
1974-03-01	83.298081
1974-04-01	126.918203
