"date"	"value"
2015-01-01	12.144833
2015-02-01	17.524036
2015-03-01	35.262263
2015-04-01	63.230246
2015-05-01	98.318277
2015-06-01	130.85163
2015-07-01	102.102997
2015-08-01	66.489266
2015-09-01	53.352943
2015-10-01	35.389067
2015-11-01	10.522715
2015-12-01	9.817171
2016-01-01	11.838455
2016-02-01	17.964715
2016-03-01	30.982488
2016-04-01	53.83384
2016-05-01	86.851453
2016-06-01	129.843877
2016-07-01	123.739436
2016-08-01	74.511734
2016-09-01	48.265289
2016-10-01	28.692237
2016-11-01	15.721469
2016-12-01	8.456921
2017-01-01	8.486938
2017-02-01	19.471693
2017-03-01	38.471043
2017-04-01	59.640294
2017-05-01	103.162734
2017-06-01	120.047471
2017-07-01	144.030075
2017-08-01	89.904363
2017-09-01	54.978318
2017-10-01	31.859512
2017-11-01	10.430194
2017-12-01	10.309727
2018-01-01	13.482066
2018-02-01	15.862026
2018-03-01	41.192133
2018-04-01	56.220095
2018-05-01	104.948186
2018-06-01	110.37738
2018-07-01	120.657681
2018-08-01	93.190141
2018-09-01	51.000351
2018-10-01	29.202409
2018-11-01	12.745341
2018-12-01	9.039675
2019-01-01	11.244594
2019-02-01	21.763377
2019-03-01	33.77126
2019-04-01	65.415975
2019-05-01	105.524023
2019-06-01	122.655587
2019-07-01	118.05276
2019-08-01	74.896339
2019-09-01	44.975577
2019-10-01	31.251491
2019-11-01	13.336531
2019-12-01	10.040872
2020-01-01	13.697607
2020-02-01	19.854781
2020-03-01	43.645209
2020-04-01	61.068467
2020-05-01	115.614323
2020-06-01	119.380515
2020-07-01	107.514539
2020-08-01	71.796605
2020-09-01	62.035231
2020-10-01	27.959187
2020-11-01	9.427814
2020-12-01	11.132941
2021-01-01	10.061223
2021-02-01	15.604638
2021-03-01	40.76101
2021-04-01	67.628128
2021-05-01	91.763721
2021-06-01	137.403439
2021-07-01	110.16823
2021-08-01	67.651955
2021-09-01	57.434421
2021-10-01	35.6681
2021-11-01	12.172925
2021-12-01	6.947022
2022-01-01	11.1085
2022-02-01	21.224229
2022-03-01	41.678354
2022-04-01	70.013077
2022-05-01	109.457571
2022-06-01	113.917946
2022-07-01	116.282409
2022-08-01	74.615151
2022-09-01	59.656624
2022-10-01	35.892841
2022-11-01	10.112863
2022-12-01	8.487645
2023-01-01	3.749222
2023-02-01	11.881412
2023-03-01	28.948527
2023-04-01	67.384866
2023-05-01	121.198498
2023-06-01	128.888037
2023-07-01	109.034213
2023-08-01	49.143255
2023-09-01	49.183909
2023-10-01	30.788556
2023-11-01	10.961491
2023-12-01	5.570098
2024-01-01	6.860627
2024-02-01	17.554245
2024-03-01	30.0849
2024-04-01	67.821614
2024-05-01	97.016215
2024-06-01	109.289665
2024-07-01	130.734224
2024-08-01	97.18857
2024-09-01	51.738729
2024-10-01	35.561031
2024-11-01	12.643415
2024-12-01	10.75623
2025-01-01	11.563943
2025-02-01	16.19754
2025-03-01	41.494767
2025-04-01	61.560852
2025-05-01	96.297869
2025-06-01	128.947204
2025-07-01	117.989596
2025-08-01	54.830986
2025-09-01	49.192312
2025-10-01	34.007772
2025-11-01	16.524753
2025-12-01	8.051181
2026-01-01	9.423016
2026-02-01	16.212265
2026-03-01	44.632142
2026-04-01	76.026371
2026-05-01	124.736679
2026-06-01	120.996442
2026-07-01	88.462046
2026-08-01	41.464343
2026-09-01	21.485921
2026-10-01	41.119504
2026-11-01	13.052012
2026-12-01	11.66892
2027-01-01	11.83204
2027-02-01	14.15239
2027-03-01	35.954123
2027-04-01	58.039463
2027-05-01	83.834698
2027-06-01	131.516179
2027-07-01	125.406411
2027-08-01	91.8965
2027-09-01	41.12062
2027-10-01	30.052418
2027-11-01	14.679427
2027-12-01	12.491847
2028-01-01	9.400409
2028-02-01	15.796993
2028-03-01	42.520768
2028-04-01	51.901532
2028-05-01	86.936857
2028-06-01	131.280485
2028-07-01	132.607588
2028-08-01	82.335178
2028-09-01	53.174607
2028-10-01	24.444094
2028-11-01	10.227814
2028-12-01	8.714619
2029-01-01	11.900014
2029-02-01	20.199789
2029-03-01	43.508862
2029-04-01	63.47886
2029-05-01	104.951602
2029-06-01	122.069534
2029-07-01	122.19967
2029-08-01	77.23205
2029-09-01	31.363649
2029-10-01	26.598221
2029-11-01	9.766984
2029-12-01	9.456189
2030-01-01	6.534958
2030-02-01	15.577804
2030-03-01	35.194364
2030-04-01	49.828333
2030-05-01	98.901957
2030-06-01	125.0326
2030-07-01	126.536637
2030-08-01	85.180663
2030-09-01	59.07242
2030-10-01	25.186756
2030-11-01	11.563193
2030-12-01	10.21253
2031-01-01	11.314468
2031-02-01	12.792576
2031-03-01	40.111186
2031-04-01	57.853335
2031-05-01	105.52491
2031-06-01	137.762096
2031-07-01	127.210545
2031-08-01	91.268612
2031-09-01	62.872904
2031-10-01	33.173371
2031-11-01	13.92462
2031-12-01	6.94011
2032-01-01	9.672146
2032-02-01	16.821399
2032-03-01	47.090768
2032-04-01	61.889743
2032-05-01	111.801038
2032-06-01	146.366582
2032-07-01	100.679818
2032-08-01	61.126193
2032-09-01	29.750556
2032-10-01	30.347398
2032-11-01	10.852248
2032-12-01	9.778307
2033-01-01	8.954572
2033-02-01	22.217806
2033-03-01	36.164768
2033-04-01	66.230971
2033-05-01	96.899714
2033-06-01	125.848878
2033-07-01	125.269521
2033-08-01	59.600541
2033-09-01	26.212808
2033-10-01	21.926194
2033-11-01	12.485739
2033-12-01	11.807985
2034-01-01	9.40087
2034-02-01	13.785229
2034-03-01	31.857973
2034-04-01	60.227602
2034-05-01	99.522448
2034-06-01	138.642223
2034-07-01	120.23746
2034-08-01	92.677938
2034-09-01	57.790084
2034-10-01	33.232919
2034-11-01	12.081193
2034-12-01	6.276198
2035-01-01	14.413098
2035-02-01	18.597702
2035-03-01	40.652275
2035-04-01	68.659736
2035-05-01	93.720407
2035-06-01	143.264536
2035-07-01	130.656109
2035-08-01	62.809092
2035-09-01	53.075219
2035-10-01	31.692284
2035-11-01	14.582668
2035-12-01	9.307926
2036-01-01	8.891738
2036-02-01	18.363784
