"date"	"value"
2015-01-01	10.142725
2015-02-01	17.638415
2015-03-01	36.667298
2015-04-01	57.31568
2015-05-01	103.048246
2015-06-01	110.897717
2015-07-01	140.76037
2015-08-01	84.482926
2015-09-01	52.358742
2015-10-01	30.772806
2015-11-01	11.131769
2015-12-01	9.040228
2016-01-01	8.259142
2016-02-01	19.520659
2016-03-01	31.341381
2016-04-01	65.435709
2016-05-01	100.365956
2016-06-01	122.889983
2016-07-01	113.899935
2016-08-01	58.343298
2016-09-01	26.179222
2016-10-01	29.430315
2016-11-01	12.064379
2016-12-01	8.681977
2017-01-01	8.329807
2017-02-01	16.973303
2017-03-01	33.381773
2017-04-01	52.155464
2017-05-01	93.113616
2017-06-01	111.010549
2017-07-01	130.394501
2017-08-01	99.848018
2017-09-01	58.504218
2017-10-01	30.921779
2017-11-01	12.516028
2017-12-01	8.142233
2018-01-01	9.595252
2018-02-01	14.318507
2018-03-01	45.637285
2018-04-01	64.934656
2018-05-01	106.196317
2018-06-01	122.250978
2018-07-01	128.80307
2018-08-01	86.681872
2018-09-01	56.2538
2018-10-01	25.370654
2018-11-01	10.354188
2018-12-01	10.367194
2019-01-01	9.918627
2019-02-01	16.536723
2019-03-01	31.252711
2019-04-01	51.490303
2019-05-01	89.271974
2019-06-01	133.413291
2019-07-01	133.165281
2019-08-01	108.044326
2019-09-01	51.507293
2019-10-01	28.289478
2019-11-01	10.866728
2019-12-01	9.894208
2020-01-01	7.188228
2020-02-01	13.997922
2020-03-01	28.109706
2020-04-01	54.204235
2020-05-01	95.218916
2020-06-01	117.170857
2020-07-01	126.315114
2020-08-01	97.236207
2020-09-01	60.214092
2020-10-01	30.1754
2020-11-01	13.409518
2020-12-01	8.591944
2021-01-01	9.032566
2021-02-01	18.638188
2021-03-01	36.554972
2021-04-01	63.447145
2021-05-01	86.260862
2021-06-01	100.194037
2021-07-01	132.222896
2021-08-01	103.213414
2021-09-01	67.37896
2021-10-01	28.199904
2021-11-01	13.329963
2021-12-01	8.081894
2022-01-01	7.545873
2022-02-01	16.645167
2022-03-01	35.783762
2022-04-01	46.144465
2022-05-01	93.396947
2022-06-01	126.605266
2022-07-01	127.902258
2022-08-01	73.187618
2022-09-01	45.743381
2022-10-01	21.209612
2022-11-01	8.733761
2022-12-01	8.695562
2023-01-01	13.997706
2023-02-01	18.052057
2023-03-01	40.730269
2023-04-01	50.690087
2023-05-01	100.233483
2023-06-01	103.992012
2023-07-01	115.283645
2023-08-01	101.902933
2023-09-01	58.251446
2023-10-01	27.119893
2023-11-01	13.92595
2023-12-01	6.147841
2024-01-01	6.071539
2024-02-01	13.855806
2024-03-01	40.901528
2024-04-01	57.439253
2024-05-01	88.293452
2024-06-01	127.477738
2024-07-01	105.16699
2024-08-01	71.531848
2024-09-01	48.268321
2024-10-01	26.92507
2024-11-01	10.785557
2024-12-01	7.87701
2025-01-01	11.137445
2025-02-01	14.48389
2025-03-01	37.218411
2025-04-01	53.950987
2025-05-01	99.726702
2025-06-01	89.051626
2025-07-01	114.520976
2025-08-01	116.764391
2025-09-01	64.848484
2025-10-01	30.372609
2025-11-01	10.812995
2025-12-01	7.349259
2026-01-01	8.81177
2026-02-01	13.81467
2026-03-01	36.60572
2026-04-01	69.766425
2026-05-01	91.380926
2026-06-01	131.74385
2026-07-01	110.65729
2026-08-01	56.320365
2026-09-01	54.688187
2026-10-01	31.958437
2026-11-01	10.374541
2026-12-01	5.902007
2027-01-01	11.398485
2027-02-01	20.84286
2027-03-01	38.750675
2027-04-01	72.349004
2027-05-01	85.682836
2027-06-01	104.898521
2027-07-01	146.63247
2027-08-01	106.462065
2027-09-01	60.489778
2027-10-01	29.917193
2027-11-01	11.2062
2027-12-01	9.802117
2028-01-01	12.269023
2028-02-01	17.415927
2028-03-01	44.694142
2028-04-01	49.180455
2028-05-01	82.077718
2028-06-01	90.895488
2028-07-01	139.287136
2028-08-01	114.800659
2028-09-01	62.176942
2028-10-01	33.724959
2028-11-01	7.505988
2028-12-01	7.989009
2029-01-01	8.985054
2029-02-01	16.902827
2029-03-01	38.51921
2029-04-01	70.828847
2029-05-01	75.914823
2029-06-01	128.418675
2029-07-01	128.804118
2029-08-01	86.77811
2029-09-01	61.640498
2029-10-01	29.650232
2029-11-01	14.004877
2029-12-01	10.08419
2030-01-01	10.383843
2030-02-01	13.156865
2030-03-01	33.92287
2030-04-01	54.353188
2030-05-01	99.789492
2030-06-01	111.153006
2030-07-01	125.571985
2030-08-01	78.753072
2030-09-01	37.276611
2030-10-01	33.187309
2030-11-01	11.04549
2030-12-01	9.655114
2031-01-01	7.759975
2031-02-01	17.033223
2031-03-01	40.455451
2031-04-01	56.956028
2031-05-01	100.564029
2031-06-01	120.362561
2031-07-01	111.997966
2031-08-01	83.626909
2031-09-01	42.923047
2031-10-01	31.352718
2031-11-01	12.724258
2031-12-01	13.309475
2032-01-01	10.321964
2032-02-01	20.806392
2032-03-01	45.196465
2032-04-01	62.919002
2032-05-01	84.658777
2032-06-01	126.467629
2032-07-01	114.820973
2032-08-01	54.515976
2032-09-01	23.154695
2032-10-01	17.432668
2032-11-01	12.027588
2032-12-01	10.071115
2033-01-01	12.64754
2033-02-01	19.017114
2033-03-01	45.787345
2033-04-01	57.79456
2033-05-01	104.132516
2033-06-01	113.922399
2033-07-01	111.274987
2033-08-01	91.124209
2033-09-01	48.96942
2033-10-01	33.358068
2033-11-01	10.079315
2033-12-01	8.571588
2034-01-01	12.786212
2034-02-01	16.271003
2034-03-01	42.392432
2034-04-01	54.245311
2034-05-01	109.119282
2034-06-01	129.06949
2034-07-01	99.214366
2034-08-01	57.995763
2034-09-01	45.568497
2034-10-01	32.785169
2034-11-01	13.101432
2034-12-01	9.918339
2035-01-01	11.257491
2035-02-01	17.844113
2035-03-01	42.427274
2035-04-01	57.225332
2035-05-01	90.528821
2035-06-01	118.673469
2035-07-01	118.043281
2035-08-01	111.296291
2035-09-01	60.144189
2035-10-01	35.021425
2035-11-01	12.487005
2035-12-01	11.489713
2036-01-01	11.533304
2036-02-01	17.278811
2036-03-01	37.565269
2036-04-01	51.900881
2036-05-01	100.129284
2036-06-01	109.809559
2036-07-01	139.35678
2036-08-01	100.761126
2036-09-01	66.429503
2036-10-01	37.264494
2036-11-01	11.04969
2036-12-01	11.102636
2037-01-01	8.127955
2037-02-01	16.381639
2037-03-01	38.828861
2037-04-01	64.242416
2037-05-01	105.259653
2037-06-01	125.442013
2037-07-01	95.20093
2037-08-01	58.607583
2037-09-01	59.819099
2037-10-01	31.138861
2037-11-01	11.298656
2037-12-01	10.895331
2038-01-01	10.881805
