"date"	"value"
2015-01-01	10.618731
2015-02-01	12.827061
2015-03-01	39.108519
2015-04-01	49.901651
2015-05-01	86.771323
2015-06-01	103.736211
2015-07-01	136.484278
2015-08-01	94.886807
2015-09-01	56.685023
2015-10-01	31.21335
2015-11-01	11.244839
2015-12-01	10.375965
2016-01-01	9.303644
2016-02-01	14.351788
2016-03-01	42.393356
2016-04-01	54.07468
2016-05-01	120.739614
2016-06-01	130.622667
2016-07-01	95.049153
2016-08-01	66.944871
2016-09-01	51.516359
2016-10-01	29.198219
2016-11-01	14.187831
2016-12-01	7.763727
2017-01-01	10.351528
2017-02-01	17.916363
2017-03-01	40.992109
2017-04-01	60.736258
2017-05-01	85.100336
2017-06-01	117.117824
2017-07-01	133.759839
2017-08-01	91.146899
2017-09-01	46.702292
2017-10-01	29.01918
2017-11-01	13.266441
2017-12-01	7.075875
2018-01-01	8.899992
2018-02-01	16.279403
2018-03-01	36.584851
2018-04-01	68.509198
2018-05-01	119.76376
2018-06-01	118.27732
2018-07-01	95.176197
2018-08-01	73.498372
2018-09-01	58.156539
2018-10-01	25.520133
2018-11-01	10.857889
2018-12-01	5.919193
2019-01-01	8.902971
2019-02-01	14.873149
2019-03-01	45.285192
2019-04-01	69.524012
2019-05-01	107.807231
2019-06-01	121.623232
2019-07-01	81.510616
2019-08-01	39.544722
2019-09-01	42.671035
2019-10-01	30.671305
2019-11-01	13.010195
2019-12-01	7.661691
2020-01-01	11.355119
2020-02-01	15.908745
2020-03-01	41.163143
2020-04-01	64.772273
2020-05-01	82.159948
2020-06-01	112.654951
2020-07-01	127.353863
2020-08-01	96.602684
2020-09-01	60.152881
2020-10-01	30.643447
2020-11-01	11.281656
2020-12-01	10.088068
2021-01-01	11.370879
2021-02-01	13.451936
2021-03-01	41.664997
2021-04-01	68.204153
2021-05-01	94.39718
2021-06-01	120.260256
2021-07-01	115.057791
2021-08-01	96.575924
2021-09-01	65.610754
2021-10-01	31.328274
2021-11-01	9.957608
2021-12-01	8.972199
2022-01-01	10.095443
2022-02-01	16.004695
2022-03-01	39.185445
2022-04-01	65.050294
2022-05-01	100.69649
2022-06-01	126.060911
2022-07-01	111.998705
2022-08-01	80.888856
2022-09-01	58.386724
2022-10-01	32.091152
2022-11-01	10.333846
2022-12-01	9.834157
2023-01-01	9.159246
2023-02-01	17.787402
2023-03-01	33.597728
2023-04-01	69.913787
2023-05-01	77.913373
2023-06-01	106.56095
2023-07-01	127.741251
2023-08-01	112.066817
2023-09-01	58.810541
2023-10-01	31.658376
2023-11-01	11.822949
2023-12-01	5.77128
2024-01-01	9.924423
2024-02-01	16.948069
2024-03-01	41.401646
2024-04-01	56.120605
2024-05-01	89.64618
2024-06-01	121.689137
2024-07-01	130.188732
2024-08-01	82.968854
2024-09-01	53.171786
2024-10-01	31.053987
2024-11-01	8.311398
2024-12-01	8.399842
2025-01-01	9.197911
2025-02-01	19.232131
2025-03-01	35.389004
2025-04-01	64.069439
2025-05-01	90.106827
2025-06-01	133.530128
2025-07-01	131.211518
2025-08-01	86.013292
2025-09-01	61.753496
2025-10-01	29.232396
2025-11-01	15.505223
2025-12-01	6.628742
2026-01-01	9.284104
2026-02-01	14.70569
2026-03-01	36.678214
2026-04-01	64.208232
2026-05-01	107.943533
2026-06-01	138.361841
2026-07-01	107.732952
2026-08-01	86.431156
2026-09-01	62.09683
2026-10-01	30.636568
2026-11-01	10.168636
2026-12-01	8.102162
2027-01-01	8.931692
2027-02-01	15.073363
2027-03-01	34.532114
2027-04-01	68.618719
2027-05-01	98.358062
2027-06-01	116.643023
2027-07-01	123.911673
2027-08-01	90.599044
2027-09-01	49.940239
2027-10-01	29.468597
2027-11-01	11.432974
2027-12-01	6.726352
2028-01-01	9.437973
2028-02-01	19.088558
2028-03-01	44.462271
2028-04-01	77.655676
2028-05-01	119.355039
2028-06-01	121.524168
2028-07-01	110.098499
2028-08-01	83.580703
2028-09-01	60.284639
2028-10-01	28.240074
2028-11-01	10.817809
2028-12-01	9.464325
2029-01-01	11.181549
2029-02-01	16.801306
2029-03-01	42.976815
2029-04-01	56.136078
2029-05-01	99.811781
2029-06-01	121.370527
2029-07-01	125.130355
2029-08-01	94.396023
2029-09-01	68.431796
2029-10-01	27.430695
2029-11-01	9.884758
2029-12-01	11.024667
2030-01-01	9.66028
2030-02-01	17.589489
2030-03-01	33.623997
2030-04-01	61.357411
2030-05-01	101.980174
2030-06-01	121.193955
2030-07-01	119.337557
2030-08-01	88.246409
2030-09-01	60.612823
2030-10-01	26.275299
2030-11-01	13.819789
2030-12-01	7.54748
2031-01-01	9.81476
2031-02-01	14.402065
2031-03-01	37.845979
2031-04-01	57.803464
2031-05-01	98.725179
2031-06-01	139.540897
2031-07-01	109.746246
2031-08-01	67.176926
2031-09-01	45.692077
2031-10-01	30.280174
2031-11-01	12.883504
2031-12-01	8.275707
2032-01-01	11.016837
2032-02-01	18.062644
2032-03-01	34.483494
2032-04-01	57.043203
2032-05-01	92.7821
2032-06-01	105.941142
2032-07-01	117.618725
2032-08-01	98.682712
2032-09-01	60.104956
2032-10-01	32.358948
2032-11-01	10.981388
2032-12-01	8.960032
2033-01-01	11.040303
2033-02-01	13.250617
2033-03-01	37.82142
2033-04-01	67.056431
2033-05-01	95.804928
2033-06-01	114.946017
2033-07-01	126.809416
2033-08-01	104.371002
2033-09-01	61.718157
2033-10-01	28.099265
2033-11-01	12.578054
2033-12-01	5.906602
2034-01-01	11.368524
2034-02-01	18.820877
2034-03-01	38.852324
2034-04-01	66.432302
2034-05-01	88.831695
2034-06-01	97.610905
2034-07-01	139.2513
2034-08-01	100.398173
2034-09-01	57.757843
2034-10-01	31.93832
2034-11-01	13.237311
2034-12-01	7.903664
2035-01-01	7.795763
2035-02-01	17.39303
2035-03-01	37.136865
2035-04-01	59.554799
2035-05-01	100.472215
