"date"	"value"
2015-01-01	6.525245
2015-02-01	19.953401
2015-03-01	44.066196
2015-04-01	73.405489
2015-05-01	112.615477
2015-06-01	105.892444
2015-07-01	86.004511
2015-08-01	52.148545
2015-09-01	38.829964
2015-10-01	33.053078
2015-11-01	13.693558
2015-12-01	8.651425
2016-01-01	12.390168
2016-02-01	15.542497
2016-03-01	44.083166
2016-04-01	72.218729
2016-05-01	104.131804
2016-06-01	124.338891
2016-07-01	76.509144
2016-08-01	43.590805
2016-09-01	60.591679
2016-10-01	31.222177
2016-11-01	10.917826
2016-12-01	8.913585
2017-01-01	7.325126
2017-02-01	16.815218
2017-03-01	35.793347
2017-04-01	73.987722
2017-05-01	95.513134
2017-06-01	101.731872
2017-07-01	123.142288
2017-08-01	102.96018
2017-09-01	61.080106
2017-10-01	28.782104
2017-11-01	12.540844
2017-12-01	7.683094
2018-01-01	9.738748
2018-02-01	14.931106
2018-03-01	39.407034
2018-04-01	48.964173
2018-05-01	97.1107
2018-06-01	124.758455
2018-07-01	137.810681
2018-08-01	105.724023
2018-09-01	70.649426
2018-10-01	37.229887
2018-11-01	10.282502
2018-12-01	7.742166
2019-01-01	9.749917
2019-02-01	18.726051
2019-03-01	43.275373
2019-04-01	64.883677
2019-05-01	105.244219
2019-06-01	120.333483
2019-07-01	122.892068
2019-08-01	102.408076
2019-09-01	66.452642
2019-10-01	32.356347
2019-11-01	9.92321
2019-12-01	9.579271
2020-01-01	12.780052
2020-02-01	18.026237
2020-03-01	39.145441
2020-04-01	70.573338
2020-05-01	95.404411
2020-06-01	125.386338
2020-07-01	125.729441
2020-08-01	73.431323
2020-09-01	58.996002
2020-10-01	36.162453
2020-11-01	9.468605
2020-12-01	8.719771
2021-01-01	10.282317
2021-02-01	17.994662
2021-03-01	42.997322
2021-04-01	65.9565
2021-05-01	94.414892
2021-06-01	123.181988
2021-07-01	113.175424
2021-08-01	46.481325
2021-09-01	39.262638
2021-10-01	28.101145
2021-11-01	10.558382
2021-12-01	6.502754
2022-01-01	9.280093
2022-02-01	17.631486
2022-03-01	32.084495
2022-04-01	67.367598
2022-05-01	98.89148
2022-06-01	118.595666
2022-07-01	136.000189
2022-08-01	96.531645
2022-09-01	56.214076
2022-10-01	31.808221
2022-11-01	9.996029
2022-12-01	9.345401
2023-01-01	5.795531
2023-02-01	18.164523
2023-03-01	44.921385
2023-04-01	66.213602
2023-05-01	91.263842
2023-06-01	113.787225
2023-07-01	125.437702
2023-08-01	92.854786
2023-09-01	55.554094
2023-10-01	30.875757
2023-11-01	15.187252
2023-12-01	5.83199
2024-01-01	6.855841
2024-02-01	14.712851
2024-03-01	38.336503
2024-04-01	59.879957
2024-05-01	112.083308
2024-06-01	129.319969
2024-07-01	129.037651
2024-08-01	98.035689
2024-09-01	63.231445
2024-10-01	34.214881
2024-11-01	12.030088
2024-12-01	10.100891
2025-01-01	12.23595
2025-02-01	17.054379
2025-03-01	42.943249
2025-04-01	63.003361
2025-05-01	112.145921
2025-06-01	122.734285
2025-07-01	105.65547
2025-08-01	101.947857
2025-09-01	57.828333
2025-10-01	30.158079
2025-11-01	13.108475
2025-12-01	9.459403
2026-01-01	11.389864
2026-02-01	13.559923
2026-03-01	39.628963
2026-04-01	58.674836
2026-05-01	100.418954
2026-06-01	134.271966
2026-07-01	126.542967
2026-08-01	98.768559
2026-09-01	66.893066
2026-10-01	30.322696
2026-11-01	13.191348
2026-12-01	10.68522
2027-01-01	7.497372
2027-02-01	17.904962
2027-03-01	41.351271
2027-04-01	63.340569
2027-05-01	73.232385
2027-06-01	123.691338
2027-07-01	141.478396
2027-08-01	84.116945
2027-09-01	64.954983
2027-10-01	38.195384
2027-11-01	12.342768
2027-12-01	6.168852
2028-01-01	8.935776
2028-02-01	15.702051
2028-03-01	35.31953
2028-04-01	67.868114
2028-05-01	110.597404
2028-06-01	120.067313
2028-07-01	135.825927
2028-08-01	95.46287
2028-09-01	57.052063
2028-10-01	33.55872
2028-11-01	14.413088
2028-12-01	4.922619
2029-01-01	9.651358
2029-02-01	15.860817
2029-03-01	43.878479
2029-04-01	63.448666
2029-05-01	106.780768
2029-06-01	135.250876
2029-07-01	129.018118
2029-08-01	97.945018
2029-09-01	68.837281
2029-10-01	28.262172
2029-11-01	11.684991
2029-12-01	7.223877
2030-01-01	11.480288
2030-02-01	17.808417
2030-03-01	33.782302
2030-04-01	53.437031
2030-05-01	108.199471
2030-06-01	145.369574
2030-07-01	124.484783
2030-08-01	87.087131
2030-09-01	60.079951
2030-10-01	31.78501
2030-11-01	10.572106
2030-12-01	8.515506
2031-01-01	10.105923
2031-02-01	16.444255
2031-03-01	44.649835
2031-04-01	73.059064
2031-05-01	99.802834
2031-06-01	122.743355
2031-07-01	138.19577
2031-08-01	89.60852
2031-09-01	57.277123
2031-10-01	31.598201
2031-11-01	9.895188
2031-12-01	6.818151
2032-01-01	9.550903
2032-02-01	18.305968
2032-03-01	41.636289
2032-04-01	56.738661
2032-05-01	101.285491
2032-06-01	123.225274
2032-07-01	128.562383
2032-08-01	89.916718
2032-09-01	57.212311
2032-10-01	30.1714
2032-11-01	11.829136
2032-12-01	10.064859
2033-01-01	13.028025
2033-02-01	15.808778
2033-03-01	40.638179
2033-04-01	60.508361
2033-05-01	102.442888
2033-06-01	133.954773
2033-07-01	129.851054
2033-08-01	89.401989
2033-09-01	56.009825
2033-10-01	34.601211
2033-11-01	11.550697
2033-12-01	8.625141
2034-01-01	11.184436
2034-02-01	17.850026
2034-03-01	41.534582
2034-04-01	70.030452
2034-05-01	106.522108
2034-06-01	120.224759
2034-07-01	84.09811
2034-08-01	64.277634
2034-09-01	32.214653
2034-10-01	32.758888
2034-11-01	12.800354
2034-12-01	12.397887
2035-01-01	11.507199
2035-02-01	16.905066
2035-03-01	43.706224
2035-04-01	62.258974
2035-05-01	108.644159
2035-06-01	136.301662
2035-07-01	120.898901
2035-08-01	88.81227
2035-09-01	57.929786
2035-10-01	33.75243
2035-11-01	13.31492
2035-12-01	7.545385
2036-01-01	7.880374
2036-02-01	20.274648
2036-03-01	49.463029
2036-04-01	70.842997
2036-05-01	116.744032
2036-06-01	86.912733
2036-07-01	26.577475
2036-08-01	36.351082
2036-09-01	46.905355
2036-10-01	32.007804
2036-11-01	14.626527
2036-12-01	7.977949
2037-01-01	11.756518
2037-02-01	16.762724
2037-03-01	48.161167
2037-04-01	76.767657
2037-05-01	106.675084
2037-06-01	117.525599
2037-07-01	92.292322
2037-08-01	98.525196
2037-09-01	33.490938
2037-10-01	31.47998
