WP4,campaign,rich,simp,FD,FR,pu
3507,4,26.493,14.98383347,0.309480752,1.9346373077009e-5,403507
3507,5,25.14963333,13.65858316,0.303684293,1.91911212801443e-5,503507
3507,1,27.28196667,16.66253561,0.312179563,2.30053069908396e-5,103507
3507,2,27.7181,16.87379498,0.312849552,2.19056965091885e-5,203507
3507,6,24.3512,14.09442738,0.312580631,1.86382595691033e-5,603507
3507,3,26.79346667,15.57279643,0.311130362,2.08848977961612e-5,303507
3508,6,24.8502,15.02887428,0.319597816,1.95794697882963e-5,603508
3508,5,24.55226667,14.50711536,0.303462681,1.96009358910357e-5,503508
3508,2,23.75283333,14.0684296,0.317718438,1.97904228073243e-5,203508
3508,4,25.03626667,14.61179175,0.313223339,1.9444636235977e-5,403508
3508,3,25.14483333,14.25046421,0.313479404,1.78514100399358e-5,303508
3508,1,24.24,14.48652122,0.318500179,2.27692501215953e-5,103508
3509,6,24.8502,15.02887428,0.319597816,1.95794697882963e-5,603509
3509,5,24.55226667,14.50711536,0.303462681,1.96009358910357e-5,503509
3509,2,23.75283333,14.0684296,0.317718438,1.97904228073243e-5,203509
3509,4,25.03626667,14.61179175,0.313223339,1.9444636235977e-5,403509
3509,3,25.14483333,14.25046421,0.313479404,1.78514100399358e-5,303509
3509,1,24.24,14.48652122,0.318500179,2.27692501215953e-5,103509
3510,1,24.0447,14.46182351,0.318401909,2.25667621597565e-5,103510
3510,6,25.35463333,15.09876244,0.31937055600000003,2.01452552111849e-5,603510
3510,5,26.17266667,14.30328818,0.303559908,2.0987005035218e-5,503510
3510,4,24.7511,14.97693985,0.312929869,1.89341326095693e-5,403510
3510,2,23.7068,14.12647388,0.317389036,1.92405564370117e-5,203510
3510,3,25.4827,14.91256832,0.315736486,1.87641130247208e-5,303510
3511,3,25.24896667,14.2980098,0.314790686,1.90001823390732e-5,303511
3511,1,24.0037,14.11182455,0.316808119,2.33555376495379e-5,103511
3511,2,26.5923,16.0925971,0.315967916,2.16455821774034e-5,203511
3511,5,26.2609,14.4690753,0.303424213,2.11276338667035e-5,503511
3511,6,25.10676667,15.04793357,0.318470786,1.99041352638129e-5,603511
3511,4,24.58906667,14.63242302,0.312920933,1.85822455613454e-5,403511
3512,3,25.24896667,14.2980098,0.314790686,1.90001823390732e-5,303512
3512,1,24.0037,14.11182455,0.316808119,2.33555376495379e-5,103512
3512,2,26.5923,16.0925971,0.315967916,2.16455821774034e-5,203512
3512,5,26.2609,14.4690753,0.303424213,2.11276338667035e-5,503512
3512,6,25.10676667,15.04793357,0.318470786,1.99041352638129e-5,603512
3512,4,24.58906667,14.63242302,0.312920933,1.85822455613454e-5,403512
3513,5,28.34303333,16.44603921,0.304231698,2.27545143875378e-5,503513
3513,3,24.83413333,15.08479321,0.317722689,1.939917889677e-5,303513
3513,2,26.98053333,16.55380925,0.318684261,2.17748188330764e-5,203513
3513,6,26.8984,16.31180805,0.320924876,2.14601218926951e-5,603513
3513,4,25.84593333,15.59321181,0.314114316,2.14158197299952e-5,403513
3513,1,24.93336667,15.90351446,0.317508927,2.19269653826203e-5,103513
3514,2,30.28973333,17.77602846,0.314387123,2.59493946763015e-5,203514
3514,6,25.8017,15.62068698,0.317051995,2.08490723831538e-5,603514
3514,4,26.76756667,16.31607086,0.311621047,2.09423577216581e-5,403514
3514,3,29.2504,16.76827955,0.315774208,2.55484870936826e-5,303514
3514,1,29.53133333,18.11452793,0.314526148,2.65923108681385e-5,103514
3514,5,25.404,15.2896631,0.313313389,2.09636952483657e-5,503514
3515,1,36.38616667,24.0744789,0.323792335,3.56714080292538e-5,103515
3515,2,37.92803333,23.36747112,0.323144674,3.35962476916518e-5,203515
3515,3,38.40563333,23.64527526,0.326405799,3.7548934332659e-5,303515
3515,6,27.77576667,16.85591406,0.316053757,2.3347620369854e-5,603515
3515,4,31.09846667,18.73343838,0.314830289,2.58619907755471e-5,403515
3515,5,29.26366667,16.87189333,0.316660559,2.48986978491869e-5,503515
3516,1,34.2588,22.68986266,0.316137361,3.25806269619013e-5,103516
3516,5,31.54506667,18.4547288,0.313363307,2.64007741240652e-5,503516
3516,2,35.34403333,22.2871914,0.315669112,3.18590654692235e-5,203516
3516,6,29.54916667,18.48334125,0.314445594,2.51524940854822e-5,603516
3516,3,33.37806667,21.69227489,0.318365893,3.11904151912937e-5,303516
3516,4,31.01303333,18.62542708,0.313344307,2.59423119042238e-5,403516
3517,1,30.4912,18.00646474,0.315375151,3.02558552005424e-5,103517
3517,2,32.417,17.9861686,0.315146178,2.95898431712924e-5,203517
3517,6,31.07606667,19.01914829,0.314504961,2.70365871618842e-5,603517
3517,5,33.62536667,19.05913654,0.314809842,2.87221417385481e-5,503517
3517,3,31.2307,17.43493417,0.318307493,2.92999972361543e-5,303517
3517,4,31.7671,18.77419253,0.315568748,2.6373737011584e-5,403517
3518,6,30.19576667,18.64270771,0.314007806,2.54633687516738e-5,603518
3518,2,30.5126,18.06068784,0.314434499,2.60085856029777e-5,203518
3518,5,33.5782,18.86281666,0.31358161,2.76635806917816e-5,503518
3518,1,29.262566669999998,18.18979842,0.317310944,2.84987173321527e-5,103518
3518,3,29.30913333,17.46725112,0.316895108,2.56713136679314e-5,303518
3518,4,32.21263333,18.50588204,0.314615343,2.6194836890823e-5,403518
3519,1,34.33523333,22.41170242,0.315970728,3.26475599355545e-5,103519
3519,6,29.86986667,18.6555012,0.313491732,2.53381290156257e-5,603519
3519,5,32.50313333,18.64698728,0.313366689,2.65772837672629e-5,503519
3519,3,35.03416667,21.36929695,0.318516847,3.12424600972623e-5,303519
3519,2,36.136,22.13835893,0.31576987,3.25942467491766e-5,203519
3519,4,31.2826,18.78302986,0.312277777,2.62101393120058e-5,403519
3520,5,35.53183333,23.37704274,0.310462785,2.88279753860409e-5,503520
3520,4,33.5591,22.37916576,0.311228811,2.73970768321697e-5,403520
3520,2,38.18003333,25.90487083,0.30993932,3.19597311757443e-5,203520
3520,3,36.62263333,23.81319375,0.313316512,3.06841348363288e-5,303520
3520,1,36.32116667,25.81447292,0.30951499,3.19621294165869e-5,103520
3520,6,32.92693333,22.60530477,0.31102415,2.77815928724974e-5,603520
3521,1,39.24516667,27.63309223,0.307888093,3.46256799203582e-5,103521
3521,5,38.78596667,24.63164005,0.312368281,3.1753368215092e-5,503521
3521,4,34.37116667,23.04781679,0.311089564,2.83832820422193e-5,403521
3521,2,41.1895,27.45317331,0.307901994,3.47129590804125e-5,203521
3521,6,33.80013333,23.09984652,0.312684809,2.81697358875232e-5,603521
3521,3,36.6185,23.76414856,0.31693614,2.93147769782379e-5,303521
3522,4,34.65836667,22.89973208,0.312612171,2.86071442221276e-5,403522
3522,6,33.72776667,23.08760102,0.312574819,2.82040060204944e-5,603522
3522,1,38.03876667,26.32352488,0.311644284,3.31012077070895e-5,103522
3522,2,37.56653333,25.23234517,0.308984399,3.06605318228523e-5,203522
3522,3,36.2792,23.62250977,0.316175789,2.95102934282605e-5,303522
3522,5,38.13713333,24.36639355,0.31253685,3.14423304973993e-5,503522
3523,2,40.05526667,27.42056215,0.307948206,3.33712919106616e-5,203523
3523,3,36.6595,23.84787985,0.316757622,3.0806547155211e-5,303523
3523,5,37.29673333,24.4243133,0.312439266,3.07162902570595e-5,503523
3523,6,34.04613333,23.42796167,0.314157228,2.89875275702843e-5,603523
3523,4,34.24143333,22.64542841,0.313503703,2.80457162695785e-5,403523
3523,1,38.75943333,27.27942001,0.310156594,3.47662104515302e-5,103523
3524,2,40.05526667,27.42056215,0.307948206,3.33712919106616e-5,203524
3524,3,36.6595,23.84787985,0.316757622,3.0806547155211e-5,303524
3524,5,37.29673333,24.4243133,0.312439266,3.07162902570595e-5,503524
3524,6,34.04613333,23.42796167,0.314157228,2.89875275702843e-5,603524
3524,4,34.24143333,22.64542841,0.313503703,2.80457162695785e-5,403524
3524,1,38.75943333,27.27942001,0.310156594,3.47662104515302e-5,103524
3525,3,36.37006667,23.58229993,0.316198544,2.94206591357171e-5,303525
3525,2,37.53943333,25.18812824,0.308984298,3.01505778028691e-5,203525
3525,6,34.09923333,23.32024814,0.313312871,2.92127114772014e-5,603525
3525,1,36.7971,25.4575263,0.313101007,3.16107954744144e-5,103525
3525,5,37.49786667,24.35369333,0.312511804,3.12619531418117e-5,503525
3525,4,34.35266667,23.02448859,0.312225169,2.85359610355253e-5,403525
3526,4,34.4769,23.58354424,0.312553313,2.87054764883271e-5,403526
3526,2,40.06206667,27.74196614,0.308171081,3.34385908981481e-5,203526
3526,6,34.0827,23.85255372,0.314427896,2.92585753467189e-5,603526
3526,5,36.4324,24.42517877,0.313055478,3.01096089727342e-5,503526
3526,3,36.9039,24.30587773,0.316881296,3.09988159089387e-5,303526
3526,1,38.7969,27.42594929,0.30979131,3.49853857517792e-5,103526
3527,2,36.52106667,25.2391087,0.312261877,2.94248148928885e-5,203527
3527,4,35.057,23.5706197,0.312941209,2.8907699152577e-5,403527
3527,1,36.7495,25.55350158,0.314268412,3.15015712008998e-5,103527
3527,3,35.76013333,24.17363157,0.314947075,2.94194690468822e-5,303527
3527,5,38.5001,24.91329577,0.31288898,3.19367484411239e-5,503527
3527,6,34.13506667,23.84979696,0.313509096,2.90554308692709e-5,603527
3528,3,39.0186,25.45799313,0.317233429,3.41063349659864e-5,303528
3528,4,35.1548,24.28079569,0.313047104,3.06457763021855e-5,403528
3528,1,38.81963333,27.43486717,0.311513231,3.55010219672388e-5,103528
3528,5,36.2077,24.85482836,0.313828517,3.13503197270522e-5,503528
3528,6,34.51496667,24.27065527,0.315415007,3.0543130813518e-5,603528
3528,2,40.06903333,27.78585449,0.309726903,3.38769096790471e-5,203528
3529,5,35.44663333,23.34611817,0.314975985,3.30918162045661e-5,503529
3529,1,34.6555,24.18472951,0.317559294,3.15505231837413e-5,103529
3529,3,33.98486667,22.67904055,0.318319831,3.04817156708382e-5,303529
3529,2,34.7385,23.42929505,0.311816351,3.0874912074374e-5,203529
3529,6,32.06286667,22.63751675,0.314963039,3.09745140121176e-5,603529
3529,4,32.46233333,22.21349536,0.31598091699999997,3.01123922726043e-5,403529
3530,1,36.66816667,26.36447587,0.314417834,3.33504098999619e-5,103530
3530,3,37.1392,25.24127419,0.314326183,3.37053553064723e-5,303530
3530,4,37.6169,25.62510438,0.313422334,3.37703264639586e-5,403530
3530,2,37.181,26.36559773,0.313576249,3.31244556493941e-5,203530
3530,6,35.89896667,25.645894,0.315976021,3.37028947650378e-5,603530
3530,5,40.03406667,26.56330872,0.314398557,3.59974423762902e-5,503530
3531,6,35.4422,26.04178379,0.315001252,3.36080499654738e-5,603531
3531,2,40.05276667,28.2725601,0.309919827,3.46390248893146e-5,203531
3531,5,38.41216667,26.92282177,0.31456511,3.59239987272204e-5,503531
3531,1,38.9953,27.87942601,0.314266994,3.62456574022232e-5,103531
