WP4,campaign,alpha,beta,gamma,pu
3507,1,0.827553474704433,0.125959479019511,0.953512953723944,103507
3507,2,0.888058511909433,0.0397394626761632,0.927797974585597,203507
3507,3,0.803910708665158,0.112255364720634,0.916166073385792,303507
3507,4,0.828542640968329,0.0970701894095869,0.925612830377916,403507
3507,5,0.884803709954601,0.0531653611058803,0.937969071060482,503507
3507,6,0.908522147477906,0.0011916018653504,0.909713749343257,603507
3838,1,0.766050361195179,0.070961103683401,0.83701146487858,103838
3838,2,0.635520210487313,0.170406171571244,0.805926382058557,203838
3838,3,0.626760611509159,0.177377244367177,0.804137855876336,303838
3838,4,0.737771197140794,0.0955137709571682,0.833284968097962,403838
3838,5,0.811740024958468,0.0427989154329977,0.854538940391466,503838
3838,6,0.816709789551907,0.0424749804918017,0.859184770043709,603838
3839,1,0.823948732197465,0.0385737259987472,0.862522458196213,103839
3839,2,0.734778395085645,0.0944327285262443,0.82921112361189,203839
3839,3,0.727089951855067,0.100869604302278,0.827959556157345,303839
3839,4,0.719957854350449,0.107256731285131,0.82721458563558,403839
3839,5,0.825204649620734,0.03800275197699,0.863207401597724,503839
3839,6,0.791509120115459,0.0566451715545394,0.848154291669998,603839
3840,1,0.823948732197465,0.0385737259987472,0.862522458196213,103840
3840,2,0.734778395085645,0.0944327285262443,0.82921112361189,203840
3840,3,0.727089951855067,0.100869604302278,0.827959556157345,303840
3840,4,0.719957854350449,0.107256731285131,0.82721458563558,403840
3840,5,0.825204649620734,0.03800275197699,0.863207401597724,503840
3840,6,0.791509120115459,0.0566451715545394,0.848154291669998,603840
3868,1,0.789307562784513,0.0565486090689779,0.845856171853491,103868
3868,2,0.695967550599392,0.122568849148503,0.818536399747894,203868
3868,3,0.681060229385583,0.134065606417769,0.815125835803352,303868
3868,4,0.748943658596325,0.0886954374940602,0.837639096090385,403868
3868,5,0.842399575541815,0.0284837940002953,0.87088336954211,503868
3868,6,0.805895426414256,0.0449339271179586,0.850829353532214,603868
3841,1,0.823032263906685,0.0362363765212294,0.859268640427915,103841
3841,2,0.725813427216642,0.10085674278166,0.826670169998303,203841
3841,3,0.71538151334355,0.109062347157005,0.824443860500555,303841
3841,4,0.760706105245455,0.0824317369020431,0.843137842147498,403841
3841,5,0.828686883521907,0.0362846426941352,0.864971526216042,503841
3841,6,0.784904860910819,0.0927270679646167,0.877631928875435,603841
3842,1,0.819443635292741,0.037329480202556,0.856773115495297,103842
3842,2,0.71932135391146,0.10575489833099,0.82507625224245,203842
3842,3,0.706702048776353,0.115426616719403,0.822128665495756,303842
3842,4,0.756411604276879,0.0845408474854045,0.840952451762284,403842
3842,5,0.825979252782857,0.0369499001830268,0.862929152965883,503842
3842,6,0.785918224990213,0.0904823557237446,0.876400580713958,603842
3843,1,0.808964760163259,0.0428827713735636,0.851847531536822,103843
3843,2,0.698690278987681,0.121042135851863,0.819732414839544,203843
3843,3,0.685497198761453,0.131238421554035,0.816735620315488,303843
3843,4,0.745686875348268,0.0904769749988357,0.836163850347104,403843
3843,5,0.818813940321598,0.0394155525419339,0.858229492863532,503843
3843,6,0.825598529916724,0.0440575581274122,0.869656088044136,603843
3844,1,0.775428435790333,0.0650486027012063,0.840477038491539,103844
3844,2,0.678999469861404,0.136133896672527,0.815133366533931,203844
3844,3,0.66746932810055,0.145187980328383,0.812657308428933,303844
3844,4,0.740754542550337,0.100031711994774,0.840786254545111,403844
3844,5,0.819297075738789,0.037940397494569,0.857237473233358,503844
3844,6,0.745133085126808,0.0871503539686981,0.832283439095506,603844
3855,1,0.708722339005785,0.112263809102797,0.820986148108583,103855
3855,2,0.637298245517037,0.167817601990081,0.805115847507117,203855
3855,3,0.626466357148388,0.176421291654163,0.802887648802551,303855
3855,4,0.684852830648585,0.131675604599346,0.816528435247931,403855
3855,5,0.829718826484847,0.0386753891526041,0.868394215637451,503855
3855,6,0.827403865502342,0.0299445056916778,0.85734837119402,603855
3856,1,0.792297830600213,0.0549249795217621,0.847222810121975,103856
3856,2,0.701066254778659,0.118670463720176,0.819736718498834,203856
3856,3,0.687306779502833,0.129335097213274,0.816641876716107,303856
3856,4,0.701702733104405,0.11815305443328,0.819855787537685,403856
3856,5,0.82774576325509,0.0359538431725066,0.863699606427596,503856
3856,6,0.820793600354558,0.0336012049256367,0.854394805280195,603856
3857,1,0.775059082133432,0.0652208535305567,0.840279935663989,103857
3857,2,0.669972351300668,0.142406099792089,0.812378451092757,203857
3857,3,0.656873662022792,0.152658169645166,0.809531831667958,303857
3857,4,0.714025199594024,0.108974275532204,0.822999475126229,403857
3857,5,0.835166556700063,0.0336303936782305,0.868796950378294,503857
3857,6,0.816127739715246,0.0374831223678604,0.853610862083106,603857
