WP4,campaign,value,pu
3507,4,0.309480752,403507
3507,5,0.303684293,503507
3507,1,0.312179563,103507
3507,2,0.312849552,203507
3507,6,0.312580631,603507
3507,3,0.311130362,303507
3508,6,0.319597816,603508
3508,5,0.303462681,503508
3508,2,0.317718438,203508
3508,4,0.313223339,403508
3508,3,0.313479404,303508
3508,1,0.318500179,103508
3509,6,0.319597816,603509
3509,5,0.303462681,503509
3509,2,0.317718438,203509
3509,4,0.313223339,403509
3509,3,0.313479404,303509
3509,1,0.318500179,103509
3510,1,0.318401909,103510
3510,6,0.31937055600000003,603510
3510,5,0.303559908,503510
3510,4,0.312929869,403510
3510,2,0.317389036,203510
3510,3,0.315736486,303510
3511,3,0.314790686,303511
3511,1,0.316808119,103511
3511,2,0.315967916,203511
3511,5,0.303424213,503511
3511,6,0.318470786,603511
3511,4,0.312920933,403511
3512,3,0.314790686,303512
3512,1,0.316808119,103512
3512,2,0.315967916,203512
3512,5,0.303424213,503512
3512,6,0.318470786,603512
3512,4,0.312920933,403512
3513,5,0.304231698,503513
3513,3,0.317722689,303513
3513,2,0.318684261,203513
3513,6,0.320924876,603513
3513,4,0.314114316,403513
3513,1,0.317508927,103513
3514,2,0.314387123,203514
3514,6,0.317051995,603514
3514,4,0.311621047,403514
3514,3,0.315774208,303514
3514,1,0.314526148,103514
3514,5,0.313313389,503514
3515,1,0.323792335,103515
3515,2,0.323144674,203515
3515,3,0.326405799,303515
3515,6,0.316053757,603515
3515,4,0.314830289,403515
3515,5,0.316660559,503515
3516,1,0.316137361,103516
3516,5,0.313363307,503516
3516,2,0.315669112,203516
3516,6,0.314445594,603516
3516,3,0.318365893,303516
3516,4,0.313344307,403516
3517,1,0.315375151,103517
3517,2,0.315146178,203517
3517,6,0.314504961,603517
3517,5,0.314809842,503517
3517,3,0.318307493,303517
3517,4,0.315568748,403517
3518,6,0.314007806,603518
3518,2,0.314434499,203518
3518,5,0.31358161,503518
3518,1,0.317310944,103518
3518,3,0.316895108,303518
3518,4,0.314615343,403518
3519,1,0.315970728,103519
3519,6,0.313491732,603519
3519,5,0.313366689,503519
3519,3,0.318516847,303519
3519,2,0.31576987,203519
3519,4,0.312277777,403519
3520,5,0.310462785,503520
3520,4,0.311228811,403520
3520,2,0.30993932,203520
3520,3,0.313316512,303520
3520,1,0.30951499,103520
3520,6,0.31102415,603520
3521,1,0.307888093,103521
3521,5,0.312368281,503521
3521,4,0.311089564,403521
3521,2,0.307901994,203521
3521,6,0.312684809,603521
3521,3,0.31693614,303521
3522,4,0.312612171,403522
3522,6,0.312574819,603522
3522,1,0.311644284,103522
3522,2,0.308984399,203522
3522,3,0.316175789,303522
3522,5,0.31253685,503522
3523,2,0.307948206,203523
3523,3,0.316757622,303523
3523,5,0.312439266,503523
3523,6,0.314157228,603523
3523,4,0.313503703,403523
3523,1,0.310156594,103523
3524,2,0.307948206,203524
3524,3,0.316757622,303524
3524,5,0.312439266,503524
3524,6,0.314157228,603524
3524,4,0.313503703,403524
3524,1,0.310156594,103524
3525,3,0.316198544,303525
3525,2,0.308984298,203525
3525,6,0.313312871,603525
3525,1,0.313101007,103525
3525,5,0.312511804,503525
3525,4,0.312225169,403525
3526,4,0.312553313,403526
3526,2,0.308171081,203526
3526,6,0.314427896,603526
3526,5,0.313055478,503526
3526,3,0.316881296,303526
3526,1,0.30979131,103526
3527,2,0.312261877,203527
3527,4,0.312941209,403527
3527,1,0.314268412,103527
3527,3,0.314947075,303527
3527,5,0.31288898,503527
3527,6,0.313509096,603527
3528,3,0.317233429,303528
3528,4,0.313047104,403528
3528,1,0.311513231,103528
3528,5,0.313828517,503528
3528,6,0.315415007,603528
3528,2,0.309726903,203528
3529,5,0.314975985,503529
3529,1,0.317559294,103529
3529,3,0.318319831,303529
3529,2,0.311816351,203529
3529,6,0.314963039,603529
3529,4,0.31598091699999997,403529
3530,1,0.314417834,103530
3530,3,0.314326183,303530
3530,4,0.313422334,403530
3530,2,0.313576249,203530
3530,6,0.315976021,603530
3530,5,0.314398557,503530
3531,6,0.315001252,603531
3531,2,0.309919827,203531
3531,5,0.31456511,503531
3531,1,0.314266994,103531
3531,4,0.313700187,403531
3531,3,0.317415419,303531
3532,2,0.31408516,203532
3532,5,0.315040138,503532
3532,4,0.313821036,403532
3532,1,0.315143747,103532
3532,3,0.315286511,303532
3532,6,0.315357678,603532
3533,3,0.317815797,303533
3533,1,0.314298162,103533
3533,6,0.314404816,603533
3533,4,0.314483455,403533
3533,5,0.313656403,503533
3533,2,0.310518264,203533
3534,2,0.311516143,203534
3534,1,0.313660929,103534
3534,4,0.312838811,403534
3534,5,0.31381108,503534
3534,6,0.314200352,603534
3534,3,0.318452862,303534
3535,3,0.317069947,303535
3535,4,0.314088222,403535
3535,1,0.314043881,103535
3535,5,0.313346428,503535
3535,6,0.313587408,603535
3535,2,0.310170762,203535
3536,4,0.320781458,403536
3536,5,0.31847329,503536
3536,2,0.310591173,203536
3536,6,0.316516219,603536
3536,1,0.315938762,103536
3536,3,0.318756305,303536
3537,2,0.304054916,203537
3537,4,0.320619552,403537
3537,5,0.317655333,503537
3537,1,0.312671346,103537
3537,6,0.314199258,603537
3537,3,0.314779391,303537
3538,4,0.316971287,403538
3538,2,0.300812611,203538
3538,5,0.309090391,503538
3538,3,0.312435296,303538
3538,6,0.305505592,603538
3538,1,0.310589021,103538
3539,4,0.316971287,403539
3539,2,0.300812611,203539
3539,5,0.309090391,503539
3539,3,0.312435296,303539
3539,6,0.305505592,603539
3539,1,0.310589021,103539
3540,3,0.306327759,303540
3540,4,0.308068732,403540
3540,6,0.305818012,603540
3540,2,0.301496532,203540
3540,1,0.305343866,103540
3540,5,0.309844317,503540
3541,6,0.307841927,603541
3541,4,0.308529944,403541
3541,3,0.315158129,303541
3541,2,0.304869026,203541
3541,1,0.312160513,103541
3541,5,0.309151765,503541
3542,5,0.304358126,503542
3542,1,0.312426357,103542
3542,3,0.315017638,303542
3542,4,0.311668292,403542
3542,2,0.303722076,203542
3542,6,0.310034287,603542
3543,6,0.31764344,603543
3543,4,0.317771954,403543
3543,1,0.313265999,103543
3543,5,0.319912144,503543
3543,3,0.317892106,303543
3543,2,0.313250862,203543
3544,3,0.319952945,303544
3544,4,0.316633782,403544
3544,5,0.31904075,503544
3544,2,0.32157508,203544
