WP4,campaign,value,pu
3507,4,1.9346373077009e-5,403507
3507,5,1.91911212801443e-5,503507
3507,1,2.30053069908396e-5,103507
3507,2,2.19056965091885e-5,203507
3507,6,1.86382595691033e-5,603507
3507,3,2.08848977961612e-5,303507
3508,6,1.95794697882963e-5,603508
3508,5,1.96009358910357e-5,503508
3508,2,1.97904228073243e-5,203508
3508,4,1.9444636235977e-5,403508
3508,3,1.78514100399358e-5,303508
3508,1,2.27692501215953e-5,103508
3509,6,1.95794697882963e-5,603509
3509,5,1.96009358910357e-5,503509
3509,2,1.97904228073243e-5,203509
3509,4,1.9444636235977e-5,403509
3509,3,1.78514100399358e-5,303509
3509,1,2.27692501215953e-5,103509
3510,1,2.25667621597565e-5,103510
3510,6,2.01452552111849e-5,603510
3510,5,2.0987005035218e-5,503510
3510,4,1.89341326095693e-5,403510
3510,2,1.92405564370117e-5,203510
3510,3,1.87641130247208e-5,303510
3511,3,1.90001823390732e-5,303511
3511,1,2.33555376495379e-5,103511
3511,2,2.16455821774034e-5,203511
3511,5,2.11276338667035e-5,503511
3511,6,1.99041352638129e-5,603511
3511,4,1.85822455613454e-5,403511
3512,3,1.90001823390732e-5,303512
3512,1,2.33555376495379e-5,103512
3512,2,2.16455821774034e-5,203512
3512,5,2.11276338667035e-5,503512
3512,6,1.99041352638129e-5,603512
3512,4,1.85822455613454e-5,403512
3513,5,2.27545143875378e-5,503513
3513,3,1.939917889677e-5,303513
3513,2,2.17748188330764e-5,203513
3513,6,2.14601218926951e-5,603513
3513,4,2.14158197299952e-5,403513
3513,1,2.19269653826203e-5,103513
3514,2,2.59493946763015e-5,203514
3514,6,2.08490723831538e-5,603514
3514,4,2.09423577216581e-5,403514
3514,3,2.55484870936826e-5,303514
3514,1,2.65923108681385e-5,103514
3514,5,2.09636952483657e-5,503514
3515,1,3.56714080292538e-5,103515
3515,2,3.35962476916518e-5,203515
3515,3,3.7548934332659e-5,303515
3515,6,2.3347620369854e-5,603515
3515,4,2.58619907755471e-5,403515
3515,5,2.48986978491869e-5,503515
3516,1,3.25806269619013e-5,103516
3516,5,2.64007741240652e-5,503516
3516,2,3.18590654692235e-5,203516
3516,6,2.51524940854822e-5,603516
3516,3,3.11904151912937e-5,303516
3516,4,2.59423119042238e-5,403516
3517,1,3.02558552005424e-5,103517
3517,2,2.95898431712924e-5,203517
3517,6,2.70365871618842e-5,603517
3517,5,2.87221417385481e-5,503517
3517,3,2.92999972361543e-5,303517
3517,4,2.6373737011584e-5,403517
3518,6,2.54633687516738e-5,603518
3518,2,2.60085856029777e-5,203518
3518,5,2.76635806917816e-5,503518
3518,1,2.84987173321527e-5,103518
3518,3,2.56713136679314e-5,303518
3518,4,2.6194836890823e-5,403518
3519,1,3.26475599355545e-5,103519
3519,6,2.53381290156257e-5,603519
3519,5,2.65772837672629e-5,503519
3519,3,3.12424600972623e-5,303519
3519,2,3.25942467491766e-5,203519
3519,4,2.62101393120058e-5,403519
3520,5,2.88279753860409e-5,503520
3520,4,2.73970768321697e-5,403520
3520,2,3.19597311757443e-5,203520
3520,3,3.06841348363288e-5,303520
3520,1,3.19621294165869e-5,103520
3520,6,2.77815928724974e-5,603520
3521,1,3.46256799203582e-5,103521
3521,5,3.1753368215092e-5,503521
3521,4,2.83832820422193e-5,403521
3521,2,3.47129590804125e-5,203521
3521,6,2.81697358875232e-5,603521
3521,3,2.93147769782379e-5,303521
3522,4,2.86071442221276e-5,403522
3522,6,2.82040060204944e-5,603522
3522,1,3.31012077070895e-5,103522
3522,2,3.06605318228523e-5,203522
3522,3,2.95102934282605e-5,303522
3522,5,3.14423304973993e-5,503522
3523,2,3.33712919106616e-5,203523
3523,3,3.0806547155211e-5,303523
3523,5,3.07162902570595e-5,503523
3523,6,2.89875275702843e-5,603523
3523,4,2.80457162695785e-5,403523
3523,1,3.47662104515302e-5,103523
3524,2,3.33712919106616e-5,203524
3524,3,3.0806547155211e-5,303524
3524,5,3.07162902570595e-5,503524
3524,6,2.89875275702843e-5,603524
3524,4,2.80457162695785e-5,403524
