WP4,campaign,value,value_sd,pu
3507,1,1.9214192095320356e-5,1.2753171074566753e-6,103507
3508,1,1.946652169832363e-5,1.129841858832661e-6,103508
3509,1,1.946652169832363e-5,1.129841858832661e-6,103509
3510,1,1.927887908636332e-5,1.1760065881187157e-6,103510
3511,1,1.9209244301648015e-5,1.1896414357740073e-6,103511
3512,1,1.9209244301648015e-5,1.1896414357740073e-6,103512
3513,1,2.056563491426046e-5,1.2908957002616966e-6,103513
3514,1,2.0569523311644363e-5,1.2922215001467332e-6,103514
3515,1,2.340982938010182e-5,1.3787657491175123e-6,103515
3516,1,2.278739976818692e-5,1.0727499360960453e-6,103516
3517,1,2.2902632305635977e-5,1.0771264103196341e-6,103517
3518,1,2.261215521034213e-5,1.0757329962711447e-6,103518
3519,1,2.272570875421376e-5,1.0586009930932721e-6,103519
3520,1,2.6136115943261704e-5,8.54404698928852e-7,103520
3521,1,2.3733020731992706e-5,1.026305332371934e-6,103521
3522,1,2.435294496752973e-5,1.0516410486403138e-6,103522
3523,1,2.314775249124527e-5,1.3167830842221855e-6,103523
3524,1,2.314775249124527e-5,1.3167830842221855e-6,103524
3525,1,2.1958538644241815e-5,1.4096674021333354e-6,103525
3526,1,2.20406813234457e-5,1.4920721052006267e-6,103526
3527,1,2.246678272584527e-5,1.595362823130824e-6,103527
3528,1,2.3007423706302993e-5,1.8209953373952992e-6,103528
3529,1,2.5016247338823646e-5,1.8131131633508972e-6,103529
3530,1,2.4042864088571252e-5,1.8418044642777573e-6,103530
3531,1,2.566014400697763e-5,1.9058323631391413e-6,103531
3532,1,2.6672168627856187e-5,1.956854283508858e-6,103532
3533,1,2.6682351567082436e-5,1.9821435167446914e-6,103533
3534,1,2.8613588275510677e-5,2.0574768609849148e-6,103534
3535,1,1.2514109913575936e-5,8.195777483334381e-7,103535
3536,1,1.0433244874102478e-5,4.6702668159831596e-7,103536
3537,1,8.911751142249547e-6,2.5484473414011274e-7,103537
3538,1,6.500789053544286e-6,1.4754685066868172e-7,103538
3539,1,6.500789053544286e-6,1.4754685066868172e-7,103539
3540,1,8.4917085565228e-6,1.7432842638120578e-7,103540
3541,1,8.712706940439992e-6,1.925513354614524e-7,103541
3542,1,9.907458262765348e-6,4.672212240230344e-7,103542
3543,1,1.4153727145760582e-5,7.532655484818533e-7,103543
3544,1,1.461241633435292e-5,6.933292709231768e-7,103544
3545,1,1.3545558875493098e-5,6.139917435173261e-7,103545
3546,1,1.3718668787383842e-5,7.529923970833633e-7,103546
3547,1,1.2102036084495284e-5,6.19089511679449e-7,103547
3548,1,1.2155578950018456e-5,6.470397548265921e-7,103548
3549,1,1.194078959446828e-5,6.083827798992281e-7,103549
3550,1,1.314633126888812e-5,8.063759265814344e-7,103550
