WP4,campaign,value,pu
3507,1,0.125959479019511,103507
3507,2,0.0397394626761632,203507
3507,3,0.112255364720634,303507
3507,4,0.0970701894095869,403507
3507,5,0.0531653611058803,503507
3507,6,0.0011916018653504,603507
3838,1,0.070961103683401,103838
3838,2,0.170406171571244,203838
3838,3,0.177377244367177,303838
3838,4,0.0955137709571682,403838
3838,5,0.0427989154329977,503838
3838,6,0.0424749804918017,603838
3839,1,0.0385737259987472,103839
3839,2,0.0944327285262443,203839
3839,3,0.100869604302278,303839
3839,4,0.107256731285131,403839
3839,5,0.03800275197699,503839
3839,6,0.0566451715545394,603839
3840,1,0.0385737259987472,103840
3840,2,0.0944327285262443,203840
3840,3,0.100869604302278,303840
3840,4,0.107256731285131,403840
3840,5,0.03800275197699,503840
3840,6,0.0566451715545394,603840
3868,1,0.0565486090689779,103868
3868,2,0.122568849148503,203868
3868,3,0.134065606417769,303868
3868,4,0.0886954374940602,403868
3868,5,0.0284837940002953,503868
3868,6,0.0449339271179586,603868
3841,1,0.0362363765212294,103841
3841,2,0.10085674278166,203841
3841,3,0.109062347157005,303841
3841,4,0.0824317369020431,403841
3841,5,0.0362846426941352,503841
3841,6,0.0927270679646167,603841
3842,1,0.037329480202556,103842
3842,2,0.10575489833099,203842
3842,3,0.115426616719403,303842
3842,4,0.0845408474854045,403842
3842,5,0.0369499001830268,503842
3842,6,0.0904823557237446,603842
3843,1,0.0428827713735636,103843
3843,2,0.121042135851863,203843
3843,3,0.131238421554035,303843
3843,4,0.0904769749988357,403843
3843,5,0.0394155525419339,503843
3843,6,0.0440575581274122,603843
3844,1,0.0650486027012063,103844
3844,2,0.136133896672527,203844
3844,3,0.145187980328383,303844
3844,4,0.100031711994774,403844
3844,5,0.037940397494569,503844
3844,6,0.0871503539686981,603844
3855,1,0.112263809102797,103855
3855,2,0.167817601990081,203855
3855,3,0.176421291654163,303855
3855,4,0.131675604599346,403855
3855,5,0.0386753891526041,503855
3855,6,0.0299445056916778,603855
3856,1,0.0549249795217621,103856
3856,2,0.118670463720176,203856
3856,3,0.129335097213274,303856
3856,4,0.11815305443328,403856
3856,5,0.0359538431725066,503856
3856,6,0.0336012049256367,603856
3857,1,0.0652208535305567,103857
3857,2,0.142406099792089,203857
3857,3,0.152658169645166,303857
3857,4,0.108974275532204,403857
3857,5,0.0336303936782305,503857
3857,6,0.0374831223678604,603857
3845,1,0.0678854584103963,103845
3845,2,0.144049476756712,203845
3845,3,0.15280246522763,303845
3845,4,0.210073073906173,403845
3845,5,0.0765082883428998,503845
3845,6,0.0625782949562782,603845
3846,1,0.0678854584103963,103846
3846,2,0.144049476756712,203846
3846,3,0.15280246522763,303846
3846,4,0.210073073906173,403846
3846,5,0.0765082883428998,503846
3846,6,0.0625782949562782,603846
3854,1,0.0415998234955706,103854
3854,2,0.0948006695352449,203854
3854,3,0.106125108142285,303854
3854,4,0.0938973838289711,403854
3854,5,0.0343508581128479,503854
3854,6,0.0149248536838055,603854
3847,1,0.0962612060246657,103847
3847,2,0.147484832826683,203847
3847,3,0.157697074993402,303847
3847,4,0.0951866625315846,403847
3847,5,0.0382516984106755,503847
3847,6,0.05081124373562,603847
3853,1,0.102740447328317,103853
3853,2,0.15893448651209,203853
3853,3,0.172587458347761,303853
3853,4,0.114204484141531,403853
3853,5,0.0534112167590181,503853
3853,6,0.0858928846924386,603853
3848,1,0.0579950209778913,103848
3848,2,0.0978757729303482,203848
3848,3,0.10635656120079,303848
3848,4,0.09818144656182,403848
3848,5,0.0522665053333372,503848
3848,6,0.0431864196791464,603848
3849,1,0.0579950209778913,103849
3849,2,0.0978757729303482,203849
3849,3,0.10635656120079,303849
3849,4,0.09818144656182,403849
3849,5,0.0522665053333372,503849
3849,6,0.0431864196791464,603849
3850,1,0.0579950209778913,103850
3850,2,0.0978757729303482,203850
3850,3,0.10635656120079,303850
3850,4,0.09818144656182,403850
3850,5,0.0522665053333372,503850
3850,6,0.0431864196791464,603850
3851,1,0.0134946074326186,103851
3851,2,0.0488186738323163,203851
3851,3,0.0611865284738791,303851
3851,4,0.0537298021115573,403851
3851,5,0.0118406193282576,503851
3851,6,0.00370797505259656,603851
3852,1,0.00638688376321095,103852
3852,2,0.0359367665253411,203852
3852,3,0.0468061378057472,303852
3852,4,0.0401198377908277,403852
3852,5,0.00625711116547698,503852
3852,6,-0.0020024330453239,603852
3858,1,0.0405519998364963,103858
3858,2,0.116326537277801,203858
3858,3,0.128013191012814,303858
3858,4,0.0903656914126886,403858
3858,5,0.0369622576060982,503858
3858,6,0.0762643861741504,603858
3865,1,0.0830711912330232,103865
3865,2,0.194882175603291,203865
3865,3,0.206172901613434,303865
3865,4,0.15670123204037,403865
3865,5,0.0458401261579868,503865
3865,6,0.0279968841342789,603865
3859,1,0.113640746433003,103859
3859,2,0.19957310238163,203859
3859,3,0.214257903710665,303859
3859,4,0.124830042932894,403859
3859,5,0.0665626412155509,503859
3859,6,0.0160671202124789,603859
3860,1,0.118653571591124,103860
3860,2,0.203982949006711,203860
3860,3,0.219966660084101,303860
3860,4,0.118908956039014,403860
3860,5,0.0196781538427637,503860
3860,6,0.0539770191739467,603860
3863,1,0.0278217916724963,103863
3863,2,0.0753804244469101,203863
3863,3,0.0912533051942417,303863
3863,4,0.119379497162002,403863
3863,5,0.0277957066526539,503863
3863,6,0.00852598475686905,603863
3861,1,0.0320336815145555,103861
3861,2,0.0419539889269059,203861
3861,3,0.0489258549167425,303861
3861,4,0.0641759189478813,403861
3861,5,0.0496963736461975,503861
3861,6,0.0188428191083461,603861
3862,1,0.0320336815145555,103862
3862,2,0.0419539889269059,203862
3862,3,0.0489258549167425,303862
3862,4,0.0641759189478813,403862
3862,5,0.0496963736461975,503862
3862,6,0.0188428191083461,603862
3864,1,0.0322670590260937,103864
3864,2,0.108034953620915,203864
3864,3,0.128937326594955,303864
3864,4,0.0566846592467017,403864
3864,5,0.0285251669413782,503864
3864,6,0.0152343486128416,603864
3866,1,0.079999793388067,103866
3866,2,0.128409165977641,203866
3866,3,0.138320643480586,303866
3866,4,0.102634734412488,403866
3866,5,0.0371717294375698,503866
3866,6,0.037396361784405,603866
3867,1,0.043906044149246,103867
3867,2,0.0952181085931539,203867
3867,3,0.10810875233766,303867
3867,4,0.0938286707435465,403867
3867,5,0.0389570811040007,503867
3867,6,0.0254286070582229,603867
3880,1,0.0590964563292556,103880
3880,2,0.123534477516972,203880
3880,3,0.133648524396239,303880
3880,4,0.124358405928957,403880
3880,5,0.0392775721580802,503880
3880,6,0.0397005205786794,603880
3870,1,0.0379530169917549,103870
3870,2,0.0910123036904708,203870
3870,3,0.0991876591420769,303870
3870,4,0.0906988008430206,403870
3870,5,0.0405342285862696,503870
3870,6,0.0544657075895508,603870
3871,1,0.0379530169917549,103871
3871,2,0.0910123036904708,203871
3871,3,0.0991876591420769,303871
3871,4,0.0906988008430206,403871
3871,5,0.0405342285862696,503871
3871,6,0.0544657075895508,603871
3872,1,0.0305463537539265,103872
3872,2,0.0754889415008005,203872
3872,3,0.0843903611846555,303872
3872,4,0.0825487439398353,403872
3872,5,0.0368222147126589,503872
3872,6,0.113327698160169,603872
3878,1,0.0666508743843585,103878
3878,2,0.105876943443911,203878
3878,3,0.111344623393275,303878
3878,4,0.0890836561942466,403878
3878,5,0.042831219580055,503878
3878,6,0.0304916570441163,603878
3873,1,0.0339600170138435,103873
3873,2,0.0937934606250495,203873
3873,3,0.10432784917307,303873
3873,4,0.0960098443423488,403873
3873,5,0.0387557783642324,503873
3873,6,0.106587608954046,603873
3874,1,0.0440121958556871,103874
3874,2,0.0997335061694446,203874
3874,3,0.110481526882443,303874
3874,4,0.0718409699634737,403874
3874,5,0.0344013659963735,503874
3874,6,0.0180715787286047,603874
3875,1,0.0440121958556871,103875
3875,2,0.0997335061694446,203875
3875,3,0.110481526882443,303875
3875,4,0.0718409699634737,403875
3875,5,0.0344013659963735,503875
3875,6,0.0180715787286047,603875
3876,1,0.0729468927149645,103876
3876,2,0.151503584863047,203876
3876,3,0.161857064889075,303876
3876,4,0.153202763262515,403876
3876,5,0.043952294039097,503876
3876,6,0.0366919666621068,603876
3877,1,0.0729468927149645,103877
3877,2,0.151503584863047,203877
