WP4,campaign,value,pu
1011,5,0.297966759,501011
1011,4,0.305488802,401011
1011,1,0.303886323,101011
1011,3,0.306136414,301011
1011,2,0.306289174,201011
1011,6,0.302484266,601011
1015,1,0.312108692,101015
1015,4,0.309812509,401015
1015,2,0.310592109,201015
1015,6,0.309713295,601015
1015,3,0.309689155,301015
1015,5,0.305033176,501015
1014,6,0.289831965,601014
1012,6,0.289831965,601012
1013,6,0.289831965,601013
1014,5,0.284492524,501014
1012,5,0.284492524,501012
1013,5,0.284492524,501013
1014,4,0.271761735,401014
1012,4,0.271761735,401012
1013,4,0.271761735,401013
1014,1,0.305262049,101014
1012,1,0.305262049,101012
1013,1,0.305262049,101013
1014,3,0.305709427,301014
1012,3,0.305709427,301012
1013,3,0.305709427,301013
1014,2,0.305402327,201014
1012,2,0.305402327,201012
1013,2,0.305402327,201013
830,6,0.320408059,600830
829,6,0.320408059,600829
830,4,0.312658887,400830
829,4,0.312658887,400829
830,2,0.32124113,200830
829,2,0.32124113,200829
830,3,0.318565648,300830
829,3,0.318565648,300829
830,1,0.317030177,100830
829,1,0.317030177,100829
830,5,0.310288796,500830
829,5,0.310288796,500829
983,1,0.296899991,100983
983,5,0.292428176,500983
983,6,0.297480763,600983
983,3,0.297302207,300983
983,2,0.299760684,200983
983,4,0.296122661,400983
984,3,0.297833456,300984
984,5,0.292752199,500984
984,2,0.29998896,200984
984,4,0.296648058,400984
984,1,0.297400592,100984
984,6,0.297867199,600984
1009,4,0.305767953,401009
1009,3,0.3078153,301009
1009,2,0.308022355,201009
1009,5,0.303724687,501009
1009,1,0.307083279,101009
1009,6,0.306490347,601009
985,3,0.297825561,300985
985,2,0.299967504,200985
985,5,0.292859849,500985
985,1,0.297296096,100985
985,4,0.296743219,400985
985,6,0.297877434,600985
986,4,0.29664256,400986
986,2,0.300040557,200986
986,1,0.297216862,100986
986,3,0.297818272,300986
986,5,0.292644009,500986
986,6,0.297590013,600986
987,6,0.305281771,600987
987,1,0.304111317,100987
987,4,0.304317041,400987
987,5,0.301816,500987
987,3,0.304509697,300987
987,2,0.304976746,200987
988,5,0.293969107,500988
988,1,0.299002009,100988
988,4,0.29795588,400988
988,3,0.299339151,300988
988,6,0.298993217,600988
988,2,0.301186726,200988
1004,3,0.310994846,301004
1004,5,0.303667665,501004
1004,2,0.311489418,201004
1004,6,0.307348404,601004
1004,4,0.306975284,401004
1004,1,0.310525552,101004
989,4,0.302512981,400989
989,1,0.30405319,100989
989,5,0.299178581,500989
989,2,0.305336237,200989
989,3,0.304082891,300989
989,6,0.303476469,600989
991,3,0.310308961,300991
990,3,0.310308961,300990
991,6,0.307986732,600991
990,6,0.307986732,600990
991,1,0.310535284,100991
990,1,0.310535284,100990
991,4,0.309959311,400991
990,4,0.309959311,400990
991,2,0.310650794,200991
990,2,0.310650794,200990
991,5,0.306488462,500991
990,5,0.306488462,500990
992,5,0.303759147,500992
992,2,0.324521906,200992
992,1,0.323678287,100992
992,4,0.322492691,400992
992,6,0.313028283,600992
992,3,0.323145654,300992
999,4,0.310051976,400999
993,4,0.310051976,400993
999,1,0.312106805,100999
993,1,0.312106805,100993
999,5,0.294982072,500999
993,5,0.294982072,500993
999,2,0.31277231,200999
993,2,0.31277231,200993
999,6,0.298510249,600999
993,6,0.298510249,600993
999,3,0.3129319,300999
993,3,0.3129319,300993
994,4,0.309714201,400994
994,6,0.30893111,600994
994,5,0.300632043,500994
994,2,0.279097085,200994
994,1,0.279204676,100994
994,3,0.279048,300994
998,1,0.31958587,100998
998,5,0.315348984,500998
998,4,0.319906262,400998
998,3,0.318639151,300998
998,2,0.319137006,200998
998,6,0.317510571,600998
995,2,0.314367161,200995
995,6,0.309493391,600995
995,4,0.292622467,400995
995,3,0.314122793,300995
995,1,0.314478354,100995
995,5,0.293344917,500995
997,5,0.30080959,500997
997,6,0.312005237,600997
997,2,0.316559481,200997
997,4,0.309636663,400997
997,1,0.317054016,100997
997,3,0.315857916,300997
996,1,0.32287424,100996
996,5,0.301053751,500996
996,2,0.323024135,200996
996,3,0.322576293,300996
996,6,0.310073959,600996
996,4,0.310201069,400996
1000,3,0.320041123,301000
1000,2,0.320139844,201000
1000,4,0.295371583,401000
1000,6,0.312533909,601000
1000,1,0.320041972,101000
1000,5,0.300831529,501000
1001,1,0.310275243,101001
1001,3,0.310606671,301001
1001,2,0.310618253,201001
1001,4,0.29535314,401001
1001,6,0.3051343,601001
1001,5,0.298056463,501001
1002,4,0.317173634,401002
1002,1,0.317664376,101002
1002,2,0.317256389,201002
1002,5,0.313447132,501002
1002,6,0.317710925,601002
1002,3,0.316596038,301002
1003,1,0.308822495,101003
1003,2,0.308858024,201003
1003,4,0.307837229,401003
1003,6,0.308632038,601003
1003,3,0.308629688,301003
1003,5,0.30619272,501003
1005,4,0.302907265,401005
1005,6,0.303921308,601005
1005,5,0.29966523,501005
1005,1,0.304798226,101005
1005,3,0.305634279,301005
1005,2,0.30635081,201005
1006,6,0.302410078,601006
1006,2,0.305855629,201006
1006,3,0.305067915,301006
1006,1,0.304456757,101006
1006,4,0.301670015,401006
1006,5,0.298513656,501006
1008,3,0.308081122,301008
1007,3,0.308081122,301007
1008,2,0.308246969,201008
1007,2,0.308246969,201007
1008,5,0.304779574,501008
1007,5,0.304779574,501007
1008,4,0.307243909,401008
1007,4,0.307243909,401007
1008,6,0.307748169,601008
1007,6,0.307748169,601007
1008,1,0.307089183,101008
1007,1,0.307089183,101007
1010,1,0.303301664,101010
1010,3,0.303311022,301010
1010,6,0.29957003,601010
1010,5,0.296503329,501010
1010,4,0.298878305,401010
1010,2,0.30444223,201010
831,5,0.29988763,500831
831,2,0.307523645,200831
831,6,0.307188,600831
831,3,0.305092168,300831
831,4,0.303011039,400831
831,1,0.30492722,100831
832,5,0.288337201,500832
832,1,0.29174585200000003,100832
832,2,0.294861677,200832
832,3,0.292370065,300832
832,6,0.293630257,600832
832,4,0.292493813,400832
833,3,0.30099319,300833
833,2,0.303778498,200833
833,4,0.298746966,400833
833,1,0.300707048,100833
833,5,0.295451625,500833
833,6,0.302686642,600833
966,1,0.298024603,100966
966,3,0.29848187,300966
966,4,0.297337789,400966
966,2,0.300354,200966
966,6,0.298642099,600966
966,5,0.296767142,500966
977,1,0.304428276,100977
977,3,0.30468399,300977
977,6,0.300865218,600977
977,2,0.305579762,200977
977,5,0.299408431,500977
977,4,0.300117109,400977
967,2,0.296363872,200967
967,4,0.291123809,400967
967,5,0.254698324,500967
967,6,0.288905623,600967
967,1,0.295384449,100967
967,3,0.296247652,300967
976,5,0.309369521,500976
976,3,0.309110148,300976
976,6,0.313103735,600976
976,1,0.308230365,100976
976,4,0.307587721,400976
976,2,0.309187263,200976
968,2,0.300088274,200968
968,1,0.299825533,100968
968,3,0.300054656,300968
968,5,0.294163303,500968
968,6,0.304139804,600968
968,4,0.298885119,400968
975,5,0.302318215,500975
975,4,0.301217104,400975
975,1,0.305285799,100975
975,2,0.304692715,200975
975,3,0.303920929,300975
975,6,0.307570496,600975
974,2,0.30385008,200974
973,2,0.30385008,200973
971,2,0.30385008,200971
969,2,0.30385008,200969
972,2,0.30385008,200972
970,2,0.30385008,200970
974,6,0.302524044,600974
973,6,0.302524044,600973
971,6,0.302524044,600971
969,6,0.302524044,600969
972,6,0.302524044,600972
970,6,0.302524044,600970
974,5,0.292592826,500974
973,5,0.292592826,500973
971,5,0.292592826,500971
969,5,0.292592826,500969
972,5,0.292592826,500972
970,5,0.292592826,500970
974,4,0.286559355,400974
973,4,0.286559355,400973
971,4,0.286559355,400971
969,4,0.286559355,400969
972,4,0.286559355,400972
970,4,0.286559355,400970
974,3,0.303985476,300974
973,3,0.303985476,300973
971,3,0.303985476,300971
969,3,0.303985476,300969
972,3,0.303985476,300972
970,3,0.303985476,300970
