WP4,campaign,value,pu
1011,5,7.17047263837026e-6,501011
1011,4,7.96134187099827e-6,401011
1011,1,9.64599776602323e-6,101011
1011,3,7.33766865841512e-6,301011
1011,2,7.53798570770975e-6,201011
1011,6,7.57075917709152e-6,601011
1015,1,1.63111446648881e-5,101015
1015,4,1.29815567709283e-5,401015
1015,2,1.33489830899748e-5,201015
1015,6,1.55128103894848e-5,601015
1015,3,1.35475228161245e-5,301015
1015,5,1.16106640232327e-5,501015
1014,6,5.74371980388699e-6,601014
1012,6,5.74371980388699e-6,601012
1013,6,5.74371980388699e-6,601013
1014,5,4.20715152611136e-6,501014
1012,5,4.20715152611136e-6,501012
1013,5,4.20715152611136e-6,501013
1014,4,7.6936772792526e-6,401014
1012,4,7.6936772792526e-6,401012
1013,4,7.6936772792526e-6,401013
1014,1,8.45462148069263e-6,101014
1012,1,8.45462148069263e-6,101012
1013,1,8.45462148069263e-6,101013
1014,3,5.7510392271524e-6,301014
1012,3,5.7510392271524e-6,301012
1013,3,5.7510392271524e-6,301013
1014,2,5.80956875407166e-6,201014
1012,2,5.80956875407166e-6,201012
1013,2,5.80956875407166e-6,201013
830,6,1.20047393775075e-5,600830
829,6,1.20047393775075e-5,600829
830,4,6.48626075060601e-6,400830
829,4,6.48626075060601e-6,400829
830,2,1.40944853662236e-5,200830
829,2,1.40944853662236e-5,200829
830,3,1.13314610546004e-5,300830
829,3,1.13314610546004e-5,300829
830,1,1.14671722245123e-5,100830
829,1,1.14671722245123e-5,100829
830,5,9.39509415427263e-6,500830
829,5,9.39509415427263e-6,500829
983,1,1.02798486583628e-5,100983
983,5,9.01413353050759e-6,500983
983,6,1.27479137568452e-5,600983
983,3,8.97475184648051e-6,300983
983,2,1.18295096332395e-5,200983
983,4,7.52615034723582e-6,400983
984,3,8.67457689464516e-6,300984
984,5,8.76543229826697e-6,500984
984,2,1.15686660885674e-5,200984
984,4,7.25232220432254e-6,400984
984,1,1.01812419790447e-5,100984
984,6,1.26118397512978e-5,600984
1009,4,1.48292727328127e-5,401009
1009,3,1.41944670855009e-5,301009
1009,2,1.39695043293783e-5,201009
1009,5,1.52297199806472e-5,501009
1009,1,1.8183870879702e-5,101009
1009,6,1.62753952592757e-5,601009
985,3,9.08188952627059e-6,300985
985,2,1.1823125705343e-5,200985
985,5,9.12306583656676e-6,500985
985,1,1.03782477586622e-5,100985
985,4,7.67591983556958e-6,400985
985,6,1.28659601088899e-5,600985
986,4,6.65026434893519e-6,400986
986,2,1.13064372873918e-5,200986
986,1,1.003062378447e-5,100986
986,3,8.54179680051296e-6,300986
986,5,8.14539971184692e-6,500986
986,6,1.21328238053541e-5,600986
987,6,1.50910147123212e-5,600987
987,1,1.25940400173054e-5,100987
987,4,9.93921593626781e-6,400987
987,5,1.13495066036741e-5,500987
987,3,1.09330977702221e-5,300987
987,2,1.27786999169668e-5,200987
988,5,9.18806226998498e-6,500988
988,1,1.09813238288165e-5,100988
988,4,7.68157917683183e-6,400988
988,3,9.15647214858248e-6,300988
988,6,1.29905299729102e-5,600988
988,2,1.15122042471891e-5,200988
1004,3,1.48957759289551e-5,301004
1004,5,1.58818747298078e-5,501004
1004,2,1.46653577677049e-5,201004
1004,6,1.65806290149255e-5,601004
1004,4,1.59048918718789e-5,401004
1004,1,1.77406551199827e-5,101004
989,4,1.21150304078851e-5,400989
989,1,1.44214919300806e-5,100989
989,5,1.31324117689403e-5,500989
989,2,1.26836224025572e-5,200989
989,3,1.19306026319492e-5,300989
989,6,1.63300797208529e-5,600989
991,3,1.29392979897703e-5,300991
990,3,1.29392979897703e-5,300990
991,6,1.65934666747746e-5,600991
990,6,1.65934666747746e-5,600990
991,1,1.46329680532488e-5,100991
990,1,1.46329680532488e-5,100990
991,4,1.41457604350962e-5,400991
990,4,1.41457604350962e-5,400990
991,2,1.25530577456507e-5,200991
990,2,1.25530577456507e-5,200990
991,5,1.4420701630293e-5,500991
990,5,1.4420701630293e-5,500990
992,5,6.28886513982299e-6,500992
992,2,6.5429858166892e-6,200992
992,1,1.0209466033074e-5,100992
992,4,7.02291481430455e-6,400992
992,6,9.48710238700059e-6,600992
992,3,5.89706326551503e-6,300992
999,4,6.1432007484811e-6,400999
993,4,6.1432007484811e-6,400993
999,1,8.84880985233333e-6,100999
993,1,8.84880985233333e-6,100993
999,5,5.42205521791139e-6,500999
993,5,5.42205521791139e-6,500993
999,2,5.95525500082884e-6,200999
993,2,5.95525500082884e-6,200993
999,6,7.17856807759315e-6,600999
993,6,7.17856807759315e-6,600993
999,3,5.93595265674003e-6,300999
993,3,5.93595265674003e-6,300993
994,4,5.88509604489647e-6,400994
994,6,6.09756624069627e-6,600994
994,5,5.36178174700984e-6,500994
994,2,6.37496239125672e-6,200994
994,1,8.56744678701115e-6,100994
994,3,6.29603315589425e-6,300994
998,1,1.87314401290981e-5,100998
998,5,1.28713659067822e-5,500998
998,4,1.18066807867749e-5,400998
998,3,1.42367213849298e-5,300998
998,2,1.41475471847625e-5,200998
998,6,1.48404220440312e-5,600998
995,2,8.35847398991949e-6,200995
995,6,6.46906049113306e-6,600995
995,4,5.86543712118336e-6,400995
995,3,8.1356716409703e-6,300995
995,1,1.12003051507035e-5,100995
995,5,5.20083605907039e-6,500995
997,5,6.9216358199778e-6,500997
997,6,8.61312544161938e-6,600997
997,2,1.41127884950912e-5,200997
997,4,6.71872121298698e-6,400997
997,1,1.82710873296023e-5,100997
997,3,1.42390752384159e-5,300997
996,1,2.05908551107379e-5,100996
996,5,1.50799380668211e-5,500996
996,2,1.60330624715924e-5,200996
996,3,1.63489802302846e-5,300996
996,6,1.78271790650363e-5,600996
996,4,1.32546900341831e-5,400996
1000,3,1.40495261083422e-5,301000
1000,2,1.38168743570553e-5,201000
1000,4,9.81761379041987e-6,401000
1000,6,9.51941430504244e-6,601000
1000,1,1.8194643019151e-5,101000
1000,5,7.17780220067472e-6,501000
1001,1,1.30166973337864e-5,101001
1001,3,1.00685203119771e-5,301001
1001,2,1.00000154103211e-5,201001
1001,4,1.14445619429404e-5,401001
1001,6,1.26865860046635e-5,601001
1001,5,1.11001334284346e-5,501001
1002,4,1.22409980201509e-5,401002
1002,1,1.85248907535954e-5,101002
1002,2,1.43049028378557e-5,201002
1002,5,1.23945162664435e-5,501002
1002,6,1.46357814662551e-5,601002
1002,3,1.44496870971876e-5,301002
1003,1,1.86238629560565e-5,101003
1003,2,1.46527748864893e-5,201003
1003,4,1.60773244074599e-5,401003
1003,6,1.76132846806756e-5,601003
1003,3,1.49621447386237e-5,301003
1003,5,1.64226990588466e-5,501003
1005,4,1.47564811349615e-5,401005
1005,6,1.55303610781781e-5,601005
1005,5,1.46719186358429e-5,501005
1005,1,1.65273489546155e-5,101005
1005,3,1.37628583609725e-5,301005
1005,2,1.36907017348713e-5,201005
1006,6,1.57717351815747e-5,601006
1006,2,1.39950785554539e-5,201006
1006,3,1.4316804969013e-5,301006
1006,1,1.77549320013021e-5,101006
1006,4,1.5028767933231e-5,401006
1006,5,1.48506907723414e-5,501006
1008,3,1.34452907829012e-5,301008
1007,3,1.34452907829012e-5,301007
1008,2,1.32758540626196e-5,201008
1007,2,1.32758540626196e-5,201007
1008,5,1.46959688254669e-5,501008
1007,5,1.46959688254669e-5,501007
1008,4,1.43271154592189e-5,401008
1007,4,1.43271154592189e-5,401007
1008,6,1.58722951747495e-5,601008
1007,6,1.58722951747495e-5,601007
1008,1,1.71707956156514e-5,101008
1007,1,1.71707956156514e-5,101007
1010,1,1.55520244865935e-5,101010
1010,3,1.2553933018471e-5,301010
1010,6,1.36335986515579e-5,601010
1010,5,1.30074252767994e-5,501010
1010,4,1.2793219477833e-5,401010
1010,2,1.25164581888799e-5,201010
831,5,8.38216314694417e-6,500831
831,2,1.0815587561018e-5,200831
831,6,1.1473095611464e-5,600831
831,3,8.7595539251173e-6,300831
831,4,6.2625299337283e-6,400831
831,1,9.01783696015778e-6,100831
832,5,4.85637335633072e-6,500832
832,1,5.46305661589024e-6,100832
832,2,6.74090761053751e-6,200832
832,3,4.79954193513183e-6,300832
832,6,9.2379212100671e-6,600832
832,4,3.18133498955893e-6,400832
833,3,5.68333641680434e-6,300833
833,2,7.92566937945283e-6,200833
833,4,3.49792571928128e-6,400833
833,1,6.45352597097712e-6,100833
833,5,5.51615033023117e-6,500833
833,6,9.52331648776551e-6,600833
966,1,1.03572177686619e-5,100966
966,3,8.96759777686472e-6,300966
966,4,7.57827791293359e-6,400966
966,2,1.17023720248426e-5,200966
966,6,1.27901697554826e-5,600966
966,5,9.78040415917189e-6,500966
977,1,1.51883450438456e-5,100977
977,3,1.20244473168016e-5,300977
977,6,1.31970903542765e-5,600977
977,2,1.19641064596172e-5,200977
977,5,1.2052208553793e-5,500977
977,4,1.21293328014339e-5,400977
967,2,1.12339034664645e-5,200967
967,4,8.62705890106414e-6,400967
967,5,9.13660795480608e-6,500967
967,6,1.08312376589001e-5,600967
967,1,1.07475045810611e-5,100967
967,3,1.01218990623113e-5,300967
976,5,1.36813620426052e-5,500976
976,3,1.43799151890404e-5,300976
976,6,1.84268464159998e-5,600976
976,1,1.81202945202348e-5,100976
976,4,1.26584756021764e-5,400976
976,2,1.4272774519005e-5,200976
968,2,7.77200865238721e-6,200968
968,1,9.52137905073794e-6,100968
968,3,7.56178795115043e-6,300968
968,5,7.64386241052625e-6,500968
968,6,1.16498721897438e-5,600968
968,4,7.081182449408e-6,400968
975,5,1.22438968188176e-5,500975
975,4,1.03645346458476e-5,400975
975,1,1.63959438604985e-5,100975
975,2,1.33988864961188e-5,200975
975,3,1.34263355873675e-5,300975
975,6,1.48072782310464e-5,600975
974,2,5.56113443326117e-6,200974
973,2,5.56113443326117e-6,200973
971,2,5.56113443326117e-6,200971
969,2,5.56113443326117e-6,200969
972,2,5.56113443326117e-6,200972
970,2,5.56113443326117e-6,200970
974,6,5.69125057797162e-6,600974
973,6,5.69125057797162e-6,600973
971,6,5.69125057797162e-6,600971
969,6,5.69125057797162e-6,600969
972,6,5.69125057797162e-6,600972
970,6,5.69125057797162e-6,600970
974,5,4.20198200859688e-6,500974
973,5,4.20198200859688e-6,500973
971,5,4.20198200859688e-6,500971
969,5,4.20198200859688e-6,500969
972,5,4.20198200859688e-6,500972
970,5,4.20198200859688e-6,500970
974,4,5.51754870944367e-6,400974
973,4,5.51754870944367e-6,400973
971,4,5.51754870944367e-6,400971
969,4,5.51754870944367e-6,400969
972,4,5.51754870944367e-6,400972
970,4,5.51754870944367e-6,400970
974,3,5.81638142302953e-6,300974
973,3,5.81638142302953e-6,300973
971,3,5.81638142302953e-6,300971
969,3,5.81638142302953e-6,300969
972,3,5.81638142302953e-6,300972
970,3,5.81638142302953e-6,300970
974,1,6.93716645846319e-6,100974
973,1,6.93716645846319e-6,100973
971,1,6.93716645846319e-6,100971
969,1,6.93716645846319e-6,100969
972,1,6.93716645846319e-6,100972
970,1,6.93716645846319e-6,100970
834,5,3.93331512059364e-6,500834
834,1,4.54708632295425e-6,100834
834,3,3.64101874766428e-6,300834
834,4,2.31543790861983e-6,400834
834,2,5.68461783501443e-6,200834
834,6,8.55970622372951e-6,600834
835,4,3.03647746882279e-6,400835
835,6,9.1131818673413e-6,600835
835,5,4.6286220691973e-6,500835
835,3,4.29516434376355e-6,300835
835,1,5.54608255588906e-6,100835
835,2,6.73873572282238e-6,200835
838,2,9.27560537801571e-6,200838
836,2,9.27560537801571e-6,200836
837,2,9.27560537801571e-6,200837
838,1,9.1569400367824e-6,100838
836,1,9.1569400367824e-6,100836
837,1,9.1569400367824e-6,100837
838,4,1.24954461073779e-5,400838
836,4,1.24954461073779e-5,400836
837,4,1.24954461073779e-5,400837
838,3,6.67266786404651e-6,300838
836,3,6.67266786404651e-6,300836
837,3,6.67266786404651e-6,300837
838,5,1.60749584986312e-5,500838
836,5,1.60749584986312e-5,500836
837,5,1.60749584986312e-5,500837
838,6,1.80673400326756e-5,600838
836,6,1.80673400326756e-5,600836
837,6,1.80673400326756e-5,600837
840,6,2.02478638461207e-5,600840
839,6,2.02478638461207e-5,600839
840,3,1.04116716736527e-5,300840
839,3,1.04116716736527e-5,300839
840,2,1.35187534391196e-5,200840
839,2,1.35187534391196e-5,200839
840,5,1.65958667562737e-5,500840
839,5,1.65958667562737e-5,500839
840,1,1.28726535231604e-5,100840
839,1,1.28726535231604e-5,100839
840,4,1.25619956496412e-5,400840
839,4,1.25619956496412e-5,400839
932,3,7.16315303145181e-6,300932
932,1,7.4228227454824e-6,100932
932,4,5.24933362847099e-6,400932
932,2,6.36685895973377e-6,200932
932,6,5.1035049333516e-6,600932
932,5,4.21751650229349e-6,500932
933,5,1.59069106481367e-5,500933
933,6,1.77152712417937e-5,600933
933,3,1.79383947069851e-5,300933
933,1,2.24461868587544e-5,100933
933,2,1.76453733714642e-5,200933
933,4,1.63320661689095e-5,400933
934,3,1.73095385775902e-5,300934
934,5,1.47998931578479e-5,500934
934,6,1.57804128251295e-5,600934
934,1,2.19625126000868e-5,100934
934,4,1.50112486010246e-5,400934
934,2,1.69934624455408e-5,200934
841,4,1.62938627474097e-5,400841
841,1,1.61914308810578e-5,100841
841,5,2.04999581647183e-5,500841
841,6,2.03010551547968e-5,600841
841,2,1.81553400908499e-5,200841
841,3,1.25730535662589e-5,300841
928,3,8.16220552650381e-6,300928
930,3,8.16220552650381e-6,300930
929,3,8.16220552650381e-6,300929
928,2,8.18930850208978e-6,200928
930,2,8.18930850208978e-6,200930
929,2,8.18930850208978e-6,200929
928,1,1.11974871580751e-5,100928
930,1,1.11974871580751e-5,100930
929,1,1.11974871580751e-5,100929
928,4,8.16530287823131e-6,400928
930,4,8.16530287823131e-6,400930
929,4,8.16530287823131e-6,400929
928,6,7.37699460426927e-6,600928
930,6,7.37699460426927e-6,600930
929,6,7.37699460426927e-6,600929
928,5,5.49172188776002e-6,500928
930,5,5.49172188776002e-6,500930
929,5,5.49172188776002e-6,500929
842,2,1.80367222648484e-5,200842
842,6,2.02196943261968e-5,600842
842,5,2.01143505328034e-5,500842
842,3,1.17501956065382e-5,300842
842,1,1.60721769954935e-5,100842
842,4,1.56026337853284e-5,400842
843,2,1.80263800836239e-5,200843
843,6,2.05650621208095e-5,600843
843,5,1.76042049956944e-5,500843
843,1,1.61123413062727e-5,100843
843,4,1.2573401623248e-5,400843
843,3,1.17068584456403e-5,300843
911,4,1.32598026144735e-5,400911
911,3,1.56298807439279e-5,300911
911,6,3.10583586972369e-5,600911
911,2,1.65472369964729e-5,200911
911,5,2.30513141895967e-5,500911
911,1,2.11581458423608e-5,100911
912,4,5.24859126050562e-6,400912
912,3,6.48830826398283e-6,300912
912,2,6.66916662320714e-6,200912
912,6,5.65154932455824e-6,600912
912,1,8.25063351424666e-6,100912
912,5,4.92860193647033e-6,500912
924,2,9.29610485046151e-6,200924
924,4,3.97088521569181e-6,400924
924,1,1.2825188674565e-5,100924
924,3,7.95062822248467e-6,300924
924,5,4.95052987833985e-6,500924
924,6,7.87084899856073e-6,600924
913,3,6.3122978409783e-6,300913
913,5,4.43274520800026e-6,500913
913,6,5.30553776300735e-6,600913
913,4,4.25805079337403e-6,400913
913,2,6.58055506791428e-6,200913
913,1,7.81169601326354e-6,100913
914,4,1.19462391930271e-5,400914
914,1,1.89739827601663e-5,100914
914,2,1.37748763290818e-5,200914
914,6,1.57952072349348e-5,600914
914,5,1.20509072611093e-5,500914
914,3,1.40202457086094e-5,300914
922,4,7.07687964922418e-6,400922
922,1,1.32795784604001e-5,100922
922,3,8.8019865671793e-6,300922
922,6,1.00513271476063e-5,600922
922,2,9.58475383155971e-6,200922
922,5,8.17523246162405e-6,500922
915,1,8.93559150964331e-6,100915
919,1,8.93559150964331e-6,100919
915,5,3.71507630050383e-6,500915
919,5,3.71507630050383e-6,500919
915,4,5.15506042384445e-6,400915
919,4,5.15506042384445e-6,400919
915,6,4.76097668155131e-6,600915
919,6,4.76097668155131e-6,600919
915,3,6.90947329375584e-6,300915
919,3,6.90947329375584e-6,300919
915,2,6.60369928601979e-6,200915
919,2,6.60369928601979e-6,200919
916,1,7.94200313649214e-6,100916
916,4,3.97191697173947e-6,400916
916,5,3.60299839063873e-6,500916
916,3,7.63467361222997e-6,300916
916,6,4.14917431890275e-6,600916
916,2,6.0820435119367e-6,200916
918,1,7.42400325151918e-6,100918
918,6,5.53363179331052e-6,600918
918,5,4.44332688815379e-6,500918
918,3,8.50065731572228e-6,300918
918,2,5.48156554974244e-6,200918
918,4,4.78282763802142e-6,400918
917,5,1.29289781028672e-5,500917
917,1,2.03687172694102e-5,100917
917,4,1.12641149140044e-5,400917
917,3,1.48778466428356e-5,300917
917,2,1.4665740136197e-5,200917
917,6,1.35925664227106e-5,600917
921,2,1.32707935095012e-5,200921
920,2,1.32707935095012e-5,200920
921,6,1.46571909625651e-5,600921
920,6,1.46571909625651e-5,600920
921,5,1.25330797737344e-5,500921
920,5,1.25330797737344e-5,500920
921,3,1.30700874434331e-5,300921
920,3,1.30700874434331e-5,300920
921,4,1.1865012643255e-5,400921
920,4,1.1865012643255e-5,400920
921,1,1.70660597948975e-5,100921
920,1,1.70660597948975e-5,100920
923,3,1.48009511390028e-5,300923
923,2,1.45840521901006e-5,200923
923,6,1.568224378555e-5,600923
923,1,2.08658838663585e-5,100923
923,5,1.19375709380207e-5,500923
923,4,1.10182197461573e-5,400923
927,4,2.88691968251733e-5,400927
926,4,2.88691968251733e-5,400926
925,4,2.88691968251733e-5,400925
927,3,1.87081034175905e-5,300927
926,3,1.87081034175905e-5,300926
925,3,1.87081034175905e-5,300925
927,2,2.26746793062524e-5,200927
926,2,2.26746793062524e-5,200926
925,2,2.26746793062524e-5,200925
927,1,2.68783572121812e-5,100927
926,1,2.68783572121812e-5,100926
925,1,2.68783572121812e-5,100925
927,5,2.09016520697476e-5,500927
926,5,2.09016520697476e-5,500926
925,5,2.09016520697476e-5,500925
927,6,2.24477616562383e-5,600927
926,6,2.24477616562383e-5,600926
925,6,2.24477616562383e-5,600925
844,5,1.2797815968592e-5,500844
844,2,1.68846341222728e-5,200844
844,3,1.3523150931202e-5,300844
844,4,1.39892347017986e-5,400844
844,1,1.6393624064945e-5,100844
844,6,1.33111271962691e-5,600844
845,2,1.27220435239664e-5,200845
845,1,1.17806869803947e-5,100845
845,3,1.05250883583012e-5,300845
845,6,1.22591061882206e-5,600845
845,4,1.06826295414367e-5,400845
845,5,1.28960044815295e-5,500845
903,2,4.77663251969472e-6,200903
902,2,4.77663251969472e-6,200902
903,6,3.77316195145894e-6,600903
902,6,3.77316195145894e-6,600902
903,4,2.52973373292365e-6,400903
902,4,2.52973373292365e-6,400902
903,1,6.33650370528609e-6,100903
902,1,6.33650370528609e-6,100902
903,5,2.53068214575536e-6,500903
902,5,2.53068214575536e-6,500902
903,3,4.29542460760461e-6,300903
902,3,4.29542460760461e-6,300902
904,2,1.15699151667011e-5,200904
904,1,1.7611972465969e-5,100904
904,3,1.10840596937686e-5,300904
904,6,1.16406029970679e-5,600904
904,5,1.10557878001937e-5,500904
904,4,1.0644896544268e-5,400904
908,3,1.32669342141928e-5,300908
908,6,1.41381137891955e-5,600908
908,2,1.37856025298324e-5,200908
908,5,1.36200631602148e-5,500908
908,1,1.99698796893915e-5,100908
908,4,1.28375094380364e-5,400908
905,4,5.6746766467764e-6,400905
905,2,6.86349789248593e-6,200905
905,5,4.67886987939182e-6,500905
905,6,5.57333422884648e-6,600905
905,1,9.07375716623797e-6,100905
905,3,6.24504524020577e-6,300905
907,3,1.34021534590144e-5,300907
907,5,7.88241329130172e-6,500907
907,1,2.02196720200585e-5,100907
907,2,1.40433921705155e-5,200907
907,6,8.57910182368316e-6,600907
907,4,7.93826424234651e-6,400907
906,6,1.21291859212683e-5,600906
906,2,1.38676290343901e-5,200906
906,1,1.97604238897174e-5,100906
906,4,1.32776157516519e-5,400906
906,3,1.33617764310955e-5,300906
906,5,1.43008175338267e-5,500906
909,2,1.26844939338524e-5,200909
909,5,1.10356079205904e-5,500909
909,1,1.58859028685194e-5,100909
909,3,1.18975200630583e-5,300909
909,4,1.08972407408093e-5,400909
909,6,1.37040799696251e-5,600909
846,4,1.19215409627407e-5,400846
846,5,1.07483159634782e-5,500846
846,3,1.1318451270239e-5,300846
846,2,1.2768642580999e-5,200846
846,6,1.18182695530378e-5,600846
846,1,1.1711190734085e-5,100846
847,3,1.164853166874e-5,300847
847,5,1.39448226721208e-5,500847
847,6,1.3228794328836e-5,600847
