WP4,campaign,value,pu
829,1,-0.00378347522413187,100829
829,2,-0.00495124819298577,200829
829,3,-0.00287660025757999,300829
829,4,0.00411615033231057,400829
829,5,0.0122436990317416,500829
829,6,0.0214502302839883,600829
830,1,-0.00378347522413187,100830
830,2,-0.00495124819298577,200830
830,3,-0.00287660025757999,300830
830,4,0.00411615033231057,400830
830,5,0.0122436990317416,500830
830,6,0.0214502302839883,600830
831,1,-0.00740397240744008,100831
831,2,-0.00623494822578718,200831
831,3,-1.53536591524899e-4,300831
831,4,0.00381134625472668,400831
831,5,0.00819422663709973,500831
831,6,0.0162850956755084,600831
832,1,-0.00973149217483541,100832
832,2,-0.00663692862760816,200832
832,3,0.00243683395059885,300832
832,4,0.00426422200875376,400832
832,5,0.00546027017360088,500832
832,6,0.0120689393349235,600832
833,1,-0.0109690989478946,100833
833,2,-0.0065322255130652,200833
833,3,0.00443300594581562,300833
833,4,0.00502349879452577,400833
833,5,0.00392283958901345,500833
833,6,0.00966455598978078,600833
834,1,-0.010760460837136,100834
834,2,-0.00613139570817207,200834
834,3,0.00559545368366125,300834
834,4,0.00572412675233205,400834
834,5,0.00382348068025773,500834
834,6,0.00942214748238336,600834
835,1,-0.0111260761388482,100835
835,2,-0.005476512799986,200835
835,3,0.00790221142510457,300835
835,4,0.00707206460368427,400835
835,5,0.00307135458317697,500835
835,6,0.00790548137038933,600835
836,1,-0.0129409847504254,100836
836,2,-0.00471237698386802,200836
836,3,0.0123452409037975,300836
836,4,0.0094672973973152,400836
836,5,0.00115342926357305,500836
836,6,0.00383161618765632,600836
837,1,-0.0129409847504254,100837
837,2,-0.00471237698386802,200837
837,3,0.0123452409037975,300837
837,4,0.0094672973973152,400837
837,5,0.00115342926357305,500837
837,6,0.00383161618765632,600837
838,1,-0.0129409847504254,100838
838,2,-0.00471237698386802,200838
838,3,0.0123452409037975,300838
838,4,0.0094672973973152,400838
838,5,0.00115342926357305,500838
838,6,0.00383161618765632,600838
839,1,-0.014375498995273,100839
839,2,0.00340050388004878,200839
839,3,0.031735021309697,300839
839,4,0.0235582045609525,400839
839,5,5.22699933606763e-4,500839
839,6,-0.00577140658345741,600839
840,1,-0.014375498995273,100840
840,2,0.00340050388004878,200840
840,3,0.031735021309697,300840
840,4,0.0235582045609525,400840
840,5,5.22699933606763e-4,500840
840,6,-0.00577140658345741,600840
841,1,-0.0140201535928982,100841
841,2,0.00554081820286054,200841
841,3,0.0361774887148638,300841
841,4,0.02669955364817,400841
841,5,0.00107306243924575,500841
841,6,-0.00693497434944752,600841
842,1,-0.0132219728104087,100842
842,2,0.00848153585913948,200842
842,3,0.0405766717534145,300842
842,4,0.0302588847099886,400842
842,5,0.00214883990967662,500842
842,6,-0.00785722500925254,600842
843,1,-0.012877857199722,100843
843,2,0.00922301480046328,200843
843,3,0.0417155888373041,300843
843,4,0.0312213380950236,400843
843,5,0.00254627510821865,500843
843,6,-0.00785213755658178,600843
844,1,-0.00487369414161627,100844
844,2,0.0266184186102987,200844
844,3,0.0685017909050739,300844
844,4,0.0546123072846654,400844
844,5,0.077705673948369,500844
844,6,-0.0123127528022528,600844
845,1,0.0349624015105804,100845
845,2,0.08508187850025,200845
845,3,0.138496556854648,300845
845,4,0.0328543573079444,400845
845,5,0.0134803194192442,500845
845,6,-0.0119569616910526,600845
846,1,0.0227334777359578,100846
846,2,0.0675331482268788,200846
846,3,0.120171392011124,300846
846,4,0.0461725850642634,400846
846,5,0.0998896395311471,500846
846,6,-0.0087422660416887309,600846
847,1,0.0155080109700285,100847
847,2,0.0592900292682452,200847
847,3,0.109328738023014,300847
847,4,0.0660749356634462,400847
847,5,0.0178367478551828,500847
847,6,-0.0114803898274055,600847
848,1,0.025204721342141,100848
848,2,0.07266845058119,200848
848,3,0.124804886847952,300848
848,4,0.0340919495294239,400848
848,5,0.00965804246633001,500848
848,6,0.0163953974213646,600848
849,1,-0.0143327508290433,100849
849,2,0.00846814884247524,200849
849,3,0.0434388719280587,300849
849,4,0.0334726964114187,400849
849,5,0.00106844079613265,500849
849,6,-0.0110087722889328,600849
850,1,-0.00613883889644633,100850
850,2,0.0230490259520492,200850
850,3,0.0629941566757877,300850
850,4,0.0312128031130399,400850
850,5,0.018725585743839,500850
850,6,0.0176265525851615,600850
851,1,-0.0157760175443435,100851
851,2,0.00514750374319107,200851
851,3,0.0377502759877155,300851
851,4,0.0294266033169672,400851
851,5,-0.00180280845067172,500851
851,6,0.0154833876845357,600851
852,1,0.0600988987591236,100852
852,2,0.123351542327305,200852
852,3,0.183350788670039,300852
852,4,0.0365625130125655,400852
852,5,0.12513214363136901,500852
852,6,-0.0137660959093569,600852
853,1,-0.00337407948154726,100853
853,2,0.0344905288039436,200853
853,3,0.0863087732561885,300853
853,4,0.023566228073047,400853
853,5,0.0911180820075153,500853
853,6,0.0218231284560957,600853
854,1,0.18833197751398,100854
854,2,0.263600184367013,200854
854,3,0.290102173930593,300854
854,4,0.144843980957206,400854
854,5,0.231823413701934,500854
854,6,-0.0182267836413978,600854
855,1,-0.016839514524525,100855
855,2,0.0163823647425748,200855
855,3,0.109134480209205,300855
855,4,0.101726537157813,400855
855,5,0.0404627490996259,500855
855,6,0.00370311704922239,600855
856,1,-0.0193525138035342,100856
856,2,-0.00160240245782169,200856
856,3,0.0426645570409157,300856
856,4,0.030793417892034,400856
856,5,-0.00184205926386332,500856
856,6,0.0687564635045837,600856
857,1,-0.0220330827242468,100857
857,2,-0.00796611372114466,200857
857,3,0.0269616986688176,300857
857,4,0.0171668306164235,400857
857,5,-0.00859903962947258,500857
857,6,-0.0144203535477763,600857
859,1,-0.0209288710124321,100859
859,2,0.00537109428749971,200859
859,3,0.047013612854561,300859
859,4,0.0359511082302775,400859
859,5,-0.00321698161980886,500859
859,6,-0.0194144763611455,600859
860,1,-0.0202871410880343,100860
860,2,-0.00158493139106524,200860
860,3,0.0311833824422474,300860
860,4,0.0221498883696651,400860
860,5,-0.00527305291945617,500860
860,6,-0.0129393715939061,600860
861,1,-0.021052053291895,100861
861,2,-0.00338011468574767,200861
861,3,0.0274936981688718,300861
861,4,0.00939755802470224,400861
861,5,0.0119075274654526,500861
861,6,-0.0114317184670704,600861
862,1,-0.0190358534378578,100862
862,2,-0.0011293933885021,200862
862,3,0.0298157607129786,300862
862,4,0.021237640203528,400862
862,5,-0.00462196919823765,500862
862,6,-0.011000922154616,600862
863,1,-0.0197588008545493,100863
863,2,-0.0136828034359262,200863
863,3,0.00567458424412788,300863
863,4,0.0932967105356644,400863
863,5,0.0355616912266443,500863
863,6,-0.00913773066087517,600863
864,1,-0.0139157191628274,100864
864,2,0.00983767656624354,200864
864,3,0.044714183011446,300864
864,4,0.0347620580179468,400864
864,5,0.00153194435281518,500864
864,6,-0.0100677786313511,600864
