WP4,campaign,value,value_sd,pu
829,1,1.4584375328256067e-5,4.5220141764259746e-7,100829
830,1,1.4584375328256067e-5,4.5220141764259746e-7,100830
831,1,1.2054284598025097e-5,5.299802801616501e-7,100831
832,1,1.1425339071237252e-5,7.01335603792329e-7,100832
833,1,1.0255668871768725e-5,7.386545915826759e-7,100833
834,1,9.934194891640263e-6,9.078766108029675e-7,100834
835,1,1.235180776186646e-5,6.223598435302275e-7,100835
836,1,1.546910155664652e-5,5.20974531749211e-7,100836
837,1,1.546910155664652e-5,5.20974531749211e-7,100837
838,1,1.546910155664652e-5,5.20974531749211e-7,100838
839,1,1.7119020030999354e-5,4.4078441084214553e-7,100839
840,1,1.7119020030999354e-5,4.4078441084214553e-7,100840
841,1,1.785549576573937e-5,4.089274636964801e-7,100841
842,1,1.783059703375661e-5,6.280208848632346e-7,100842
843,1,1.7888086716873966e-5,7.612322426786571e-7,100843
844,1,1.4120161857540012e-5,9.602473351333012e-7,100844
845,1,1.425160507248924e-5,1.0515663078291215e-6,100845
846,1,1.407972078637421e-5,8.983732188126403e-7,100846
847,1,1.3821890211076084e-5,1.3849005197043256e-6,100847
848,1,1.2569608374230414e-5,1.0319160744019073e-6,100848
849,1,1.1673948018276267e-5,1.147754720327233e-6,100849
850,1,1.1377561789841404e-5,1.2865260709074175e-6,100850
851,1,8.543311422740312e-6,9.285052396861077e-7,100851
852,1,9.829022713656514e-6,1.024364225540336e-6,100852
853,1,9.35272131291359e-6,6.727146648050818e-7,100853
854,1,8.638095308070534e-6,6.705323469682176e-7,100854
855,1,8.352064107614978e-6,5.912223627188423e-7,100855
856,1,8.233839657947725e-6,7.494895182549424e-7,100856
857,1,8.98657887827255e-6,1.1769045223067307e-6,100857
859,1,8.315552263673993e-6,1.9496118351305746e-6,100859
860,1,8.227085224276359e-6,2.4597399315588186e-6,100860
861,1,8.846075691527923e-6,1.9445415346785266e-6,100861
862,1,9.090772479005105e-6,1.6038718254001125e-6,100862
863,1,8.190166573903852e-6,8.350924587191293e-7,100863
864,1,1.0098128310939255e-5,1.3644970773565834e-6,100864
865,1,9.070428518695867e-6,9.241951858862489e-7,100865
866,1,1.0772616364079321e-5,1.1014096079231363e-6,100866
867,1,8.93140494312239e-6,1.0655115663009e-6,100867
868,1,7.825423289432338e-6,1.5406655724005828e-6,100868
869,1,8.182384302989267e-6,1.0151306220430692e-6,100869
870,1,8.182384302989267e-6,1.0151306220430692e-6,100870
871,1,8.906480764137442e-6,1.5161730480068752e-6,100871
872,1,7.56803343937472e-6,2.05310895248767e-6,100872
873,1,9.053204181318105e-6,1.5425377133477684e-6,100873
874,1,1.0808331306642875e-5,1.4697737166818137e-6,100874
875,1,1.1481093647322306e-5,1.1849990191379093e-6,100875
876,1,1.0632053115161243e-5,1.4126938617864221e-6,100876
877,1,1.210231098726681e-5,1.2962517580465776e-6,100877
878,1,1.074835034443563e-5,2.089997795502528e-6,100878
879,1,1.074835034443563e-5,2.089997795502528e-6,100879
880,1,8.88247325210756e-6,1.14847630436363e-6,100880
881,1,8.88247325210756e-6,1.14847630436363e-6,100881
882,1,8.829075785689132e-6,1.8976340964772917e-6,100882
883,1,9.673930287568281e-6,1.4583560096825022e-6,100883
884,1,8.602189168424113e-6,1.8472411294695412e-6,100884
885,1,8.852674149548274e-6,1.086994195484181e-6,100885
886,1,8.357323493367818e-6,1.1623888572749412e-6,100886
887,1,8.357323493367818e-6,1.1623888572749412e-6,100887
888,1,1.0034417046909308e-5,1.889590497874715e-6,100888
889,1,9.832076649034115e-6,1.2429586884666013e-6,100889
890,1,1.181256523334635e-5,1.4742468117916263e-6,100890
891,1,1.3380302632165193e-5,8.205376115948162e-7,100891
892,1,1.1704198452409947e-5,1.3391445587567048e-6,100892
893,1,1.1596652308793487e-5,1.5773777548599709e-6,100893
894,1,9.310139199367918e-6,1.1572009472228186e-6,100894
895,1,8.825175044799486e-6,1.8627225004609696e-6,100895
896,1,1.0394768490181687e-5,2.591051948882724e-6,100896
897,1,9.923468639063394e-6,2.488512832763603e-6,100897
