WP4,campaign,value,pu
633,3,0.305906741,300633
633,5,0.304227272,500633
633,1,0.316421541,100633
633,2,0.306499666,200633
633,4,0.305244171,400633
633,6,0.306291814,600633
634,6,0.306291814,600634
634,5,0.304227272,500634
634,1,0.316421541,100634
634,3,0.305906741,300634
634,2,0.306499666,200634
634,4,0.305244171,400634
998,6,0.306291814,600998
999,6,0.306291814,600999
998,1,0.316421541,100998
999,1,0.316421541,100999
998,3,0.305906741,300998
999,3,0.305906741,300999
998,5,0.304227272,500998
999,5,0.304227272,500999
998,4,0.305244171,400998
999,4,0.305244171,400999
998,2,0.306499666,200998
999,2,0.306499666,200999
1000,1,0.310914041,101000
1000,4,0.30655342,401000
1000,2,0.305306957,201000
1000,5,0.305904847,501000
1000,6,0.303590657,601000
1000,3,0.306406513,301000
1001,3,0.314666662,301001
1001,2,0.311915345,201001
1001,4,0.309820619,401001
1001,5,0.29917591,501001
1001,6,0.30079231,601001
1001,1,0.318411765,101001
1002,2,0.305108636,201002
1002,1,0.316880871,101002
1002,4,0.299606724,401002
1002,6,0.300840221,601002
1002,3,0.303155321,301002
1002,5,0.30068459,501002
1003,4,0.302092063,401003
1003,3,0.304374999,301003
1003,6,0.305297006,601003
1003,2,0.307199961,201003
1003,5,0.300731919,501003
1003,1,0.316674381,101003
1004,1,0.317241254,101004
1004,4,0.304195845,401004
1004,5,0.301408097,501004
1004,6,0.306280685,601004
1004,3,0.304632651,301004
1004,2,0.307516819,201004
1108,6,0.304425837,601108
1108,4,0.264835833,401108
1108,3,0.28544382,301108
1108,1,0.278255466,101108
1108,5,0.261742356,501108
1108,2,0.307344109,201108
1110,6,0.299412246,601110
1109,6,0.299412246,601109
1110,2,0.298646479,201110
1109,2,0.298646479,201109
1110,1,0.288685281,101110
1109,1,0.288685281,101109
1110,4,0.287940963,401110
1109,4,0.287940963,401109
1110,5,0.275301483,501110
1109,5,0.275301483,501109
1110,3,0.284432912,301110
1109,3,0.284432912,301109
1005,2,0.30670817,201005
1005,1,0.317513215,101005
1005,6,0.307480929,601005
1005,5,0.3015982,501005
1005,3,0.304538291,301005
