WP4,campaign,value,pu
633,3,2.569664557995e-5,300633
633,5,2.39027155734662e-5,500633
633,1,2.00747386997281e-5,100633
633,2,2.46355767767348e-5,200633
633,4,2.42108485158885e-5,400633
633,6,2.31200449097973e-5,600633
634,6,2.31200449097973e-5,600634
634,5,2.39027155734662e-5,500634
634,1,2.00747386997281e-5,100634
634,3,2.569664557995e-5,300634
634,2,2.46355767767348e-5,200634
634,4,2.42108485158885e-5,400634
998,6,2.31200449097973e-5,600998
999,6,2.31200449097973e-5,600999
998,1,2.00747386997281e-5,100998
999,1,2.00747386997281e-5,100999
998,3,2.569664557995e-5,300998
999,3,2.569664557995e-5,300999
998,5,2.39027155734662e-5,500998
999,5,2.39027155734662e-5,500999
998,4,2.42108485158885e-5,400998
999,4,2.42108485158885e-5,400999
998,2,2.46355767767348e-5,200998
999,2,2.46355767767348e-5,200999
1000,1,1.55371676318011e-5,101000
1000,4,1.83330231793994e-5,401000
1000,2,1.49936053096661e-5,201000
1000,5,1.61353011966784e-5,501000
1000,6,1.30992802845093e-5,601000
1000,3,2.05233926539802e-5,301000
1001,3,2.33941730446988e-5,301001
1001,2,1.58145284833415e-5,201001
1001,4,1.85075634551903e-5,401001
1001,5,1.56304647270393e-5,501001
1001,6,1.10838285542216e-5,601001
1001,1,1.85487582002553e-5,101001
1002,2,1.6946047596491e-5,201002
1002,1,1.67857148978328e-5,101002
1002,4,2.03602044754722e-5,401002
1002,6,1.55686097117316e-5,601002
1002,3,2.14965214861228e-5,301002
1002,5,1.71419352029579e-5,501002
1003,4,2.04617873062788e-5,401003
1003,3,2.08998137931683e-5,301003
1003,6,1.68323353815109e-5,601003
1003,2,1.8573912790549698e-05,201003
1003,5,1.72752082561615e-5,501003
1003,1,1.81423774596339e-5,101003
1004,1,1.84786482214695e-5,101004
1004,4,2.06547692235171e-5,401004
1004,5,1.76339379132267e-5,501004
1004,6,1.71462773822195e-5,601004
1004,3,2.08257285414984e-5,301004
1004,2,1.88956960690339e-5,201004
1108,6,5.82991710454669e-6,601108
1108,4,5.90245535155596e-6,401108
1108,3,5.46531606203728e-6,301108
1108,1,7.67162868138384e-6,101108
1108,5,5.66248769170784e-6,501108
1108,2,5.98127119281488e-6,201108
1110,6,6.47957881754592e-6,601110
1109,6,6.47957881754592e-6,601109
1110,2,6.12476053129597e-6,201110
1109,2,6.12476053129597e-6,201109
1110,1,8.73474610556833e-6,101110
1109,1,8.73474610556833e-6,101109
1110,4,6.43035414657648e-6,401110
1109,4,6.43035414657648e-6,401109
1110,5,6.27470064784433e-6,501110
1109,5,6.27470064784433e-6,501109
1110,3,6.89390609090609e-6,301110
1109,3,6.89390609090609e-6,301109
1005,2,1.89094638482189e-5,201005
1005,1,1.85858692844397e-5,101005
1005,6,1.71367101608895e-5,601005
1005,5,1.77685250678736e-5,501005
1005,3,2.07014103246588e-5,301005
1005,4,2.04812379103412e-5,401005
1006,6,1.75544444196381e-5,601006
1006,2,1.92220838069026e-5,201006
1006,4,2.07772792441769e-5,401006
1006,5,1.79142954861626e-5,501006
1006,1,1.88606338469281e-5,101006
1006,3,2.07589519868073e-5,301006
1007,3,2.02757074240623e-5,301007
1007,1,1.90569369064746e-5,101007
1007,5,1.75812900423226e-5,501007
1007,4,2.02708657290424e-5,401007
1007,6,1.75070571777338e-5,601007
1007,2,1.91706148845079e-5,201007
1008,5,1.72783065261714e-5,501008
1008,4,1.95866585625512e-5,401008
1008,3,1.96107787738204e-5,301008
1008,2,1.92448981348646e-5,201008
1008,1,1.93790836647488e-5,101008
1008,6,1.7452878719646e-5,601008
1009,1,1.99385892704119e-5,101009
1009,5,1.75792647445372e-5,501009
1009,4,1.97883571263279e-5,401009
1009,3,1.93806008901406e-5,301009
1009,2,1.96976096271445e-5,201009
1009,6,1.78773756272915e-5,601009
1010,3,1.937145453315e-5,301010
1010,1,1.98648743831739e-5,101010
1010,6,1.78422573466685e-5,601010
1010,2,1.96366158471514e-5,201010
1010,4,1.97502030393035e-5,401010
1010,5,1.75991597005974e-5,501010
1011,1,1.99020629649161e-5,101011
1011,5,1.76766869903863e-5,501011
1011,4,1.98126145707425e-5,401011
1011,2,1.96739848886212e-5,201011
1011,3,1.9347994302218e-5,301011
1011,6,1.79833792027047e-5,601011
1012,2,1.47855880664009e-5,201012
1012,3,1.56565894115109e-5,301012
1012,4,1.15780786326831e-5,401012
1012,5,1.44878200669355e-5,501012
1012,1,1.44408689824547e-5,101012
1012,6,1.41788357899038e-5,601012
1013,6,1.62946496254954e-5,601013
1013,5,2.43077748196449e-5,501013
1013,4,1.63963953842628e-5,401013
1013,1,2.17726692293737e-5,101013
1013,2,2.6693146306279e-5,201013
1013,3,2.71068453299373e-5,301013
1014,1,1.81525242054803e-5,101014
1063,1,1.81525242054803e-5,101063
1014,3,2.80124326126689e-5,301014
1063,3,2.80124326126689e-5,301063
1014,5,2.40742080557278e-5,501014
1063,5,2.40742080557278e-5,501063
1014,2,2.75438884402446e-5,201014
1063,2,2.75438884402446e-5,201063
1014,6,1.84685623358602e-5,601014
1063,6,1.84685623358602e-5,601063
1014,4,1.88937498299659e-5,401014
1063,4,1.88937498299659e-5,401063
1015,5,2.41613515534121e-5,501015
1015,6,1.28348779012515e-5,601015
1015,4,1.39157376863478e-5,401015
1015,2,2.8624912225436e-5,201015
1015,1,2.20113265399558e-5,101015
1015,3,2.90438349008658e-5,301015
1045,4,1.43915579763917e-5,401045
1045,3,1.94613166527136e-5,301045
1045,6,1.55661939281475e-5,601045
1045,2,2.00551794154812e-5,201045
1045,5,1.73612835358143e-5,501045
1045,1,1.92081916987863e-5,101045
1046,2,1.96627112567946e-5,201046
1046,3,1.93951963857549e-5,301046
1046,6,1.52286582566263e-5,601046
1046,1,1.82923521872233e-5,101046
1046,5,1.76663180655327e-5,501046
1046,4,1.47205213376522e-5,401046
1048,2,6.31743813257264e-6,201048
1047,2,6.31743813257264e-6,201047
1048,4,7.07043806770277e-6,401048
1047,4,7.07043806770277e-6,401047
1048,3,6.31868781571055e-6,301048
1047,3,6.31868781571055e-6,301047
1048,5,6.40525568884683e-6,501048
1047,5,6.40525568884683e-6,501047
1048,6,6.8625622547208e-6,601048
1047,6,6.8625622547208e-6,601047
1048,1,6.92825361388697e-6,101048
1047,1,6.92825361388697e-6,101047
1058,6,1.70612448727894e-5,601058
1058,4,1.40434204202451e-5,401058
1058,1,1.33421880397435e-5,101058
1058,5,1.3623057560146e-5,501058
1058,3,1.26103074766697e-5,301058
1058,2,1.2611346040917e-5,201058
1049,5,5.79861260264812e-6,501049
1049,1,1.10587869930678e-5,101049
1049,6,6.77280897863537e-6,601049
1049,4,6.47015444856396e-6,401049
1049,3,6.782478481414e-6,301049
1049,2,1.11146414835592e-5,201049
1050,6,6.79230799222477e-6,601050
1050,2,6.91020177886967e-6,201050
1050,3,6.98158267965761e-6,301050
1050,4,7.34611291821635e-6,401050
1050,5,6.77621840088576e-6,501050
1050,1,6.52187876730942e-6,101050
1054,1,1.41403505839714e-5,101054
1054,4,1.32942368403918e-5,401054
1054,2,1.42678147583656e-5,201054
1054,5,1.49624229689036e-5,501054
1054,6,1.77020662051982e-5,601054
1054,3,1.33619529015536e-5,301054
1051,1,7.16875144446535e-6,101051
1051,3,7.10546383916775e-6,301051
1051,2,7.62903301724043e-6,201051
1051,6,6.84552360158661e-6,601051
1051,4,7.01873550197636e-6,401051
1051,5,6.87964830251703e-6,501051
1052,3,6.81779546660801e-6,301052
1052,4,6.70904015435081e-6,401052
1052,5,6.56448515207506e-6,501052
1052,1,7.03327035227799e-6,101052
1052,6,6.86485592935813e-6,601052
1052,2,6.96596353197014e-6,201052
1053,3,1.42943725868894e-5,301053
1053,4,1.30638341012644e-5,401053
1053,6,1.28909883556082e-5,601053
1053,2,1.51439085442993e-5,201053
1053,1,1.34442931570762e-5,101053
1053,5,1.26460282421379e-5,501053
1055,4,7.02395689126954e-6,401055
1055,1,5.56195530788857e-6,101055
1055,5,6.31996931091519e-6,501055
1055,3,6.4467456596281e-6,301055
1055,6,6.46077300545498e-6,601055
1055,2,7.2449183116686e-6,201055
1057,1,5.62003696624137e-6,101057
1057,4,6.7467092429206e-6,401057
1057,5,6.38178771924604e-6,501057
1057,3,6.71950052105148e-6,301057
1057,2,5.55834039117666e-6,201057
1057,6,6.96814173261312e-6,601057
1056,6,6.39554883981196e-6,601056
1056,5,6.25290722729199e-6,501056
1056,3,6.174688886447e-6,301056
1056,2,5.44844859272248e-6,201056
1056,1,5.51599165996206e-6,101056
1056,4,6.56414062717781e-6,401056
1059,2,1.36942196880865e-5,201059
1059,4,1.54159176518903e-5,401059
1059,5,1.58292600742276e-5,501059
1059,6,1.73135251329726e-5,601059
1059,1,1.32745447442917e-5,101059
1059,3,1.41345005621147e-5,301059
1060,4,6.43518967064431e-6,401060
1060,2,6.86512417384315e-6,201060
1060,3,6.38015856162886e-6,301060
1060,5,6.23648115892296e-6,501060
1060,6,5.96916396722272e-6,601060
1060,1,5.35681335548793e-6,101060
1061,2,3.86641071912983e-6,201061
1061,1,3.50982349733794e-6,101061
1061,4,5.26973121627264e-6,401061
1061,6,5.07473197307767e-6,601061
