WP4,campaign,value,value_sd,pu
633,1,2.32338558479439e-5,1.443268484430331e-6,100633
635,1,2.2046225886454702e-5,2.1014206481407314e-6,100635
636,1,2.2046225886454702e-5,2.1014206481407314e-6,100636
637,1,2.2046225886454702e-5,2.1014206481407314e-6,100637
638,1,2.2724885837644745e-5,2.079000595693491e-6,100638
639,1,2.353742945504165e-5,2.0745998372161854e-6,100639
640,1,2.353742945504165e-5,2.0745998372161854e-6,100640
641,1,2.557896892030422e-5,4.5240131415262867e-7,100641
642,1,2.0761261815936254e-5,1.8116031338077524e-6,100642
643,1,1.6888000360525654e-5,1.640576476722717e-6,100643
644,1,1.6971054797497144e-5,1.7577930066448055e-6,100644
645,1,1.676040288951991e-5,1.771737595647334e-6,100645
646,1,1.8816244038298966e-5,1.817418896250144e-6,100646
647,1,1.7712223193280226e-5,1.6882498241926217e-6,100647
648,1,1.7712223193280226e-5,1.6882498241926217e-6,100648
649,1,1.5723871263641967e-5,1.2534188922352391e-6,100649
650,1,1.4283691186515561e-5,9.683147495770646e-7,100650
651,1,1.2376325276590554e-5,6.45702195913757e-7,100651
652,1,1.3752507166931275e-5,7.035414039060086e-7,100652
653,1,1.4109683622088793e-5,6.906641573739179e-7,100653
654,1,1.4343539838244671e-5,9.62021027025059e-7,100654
655,1,1.4563065856201708e-5,6.465904183448985e-7,100655
656,1,1.649942004635999e-5,1.0202012481652503e-6,100656
657,1,1.564021177430819e-5,8.417515153995893e-7,100657
658,1,1.8851155209896743e-5,7.092933311200484e-7,100658
659,1,1.5575664414899054e-5,9.09862908414123e-7,100659
660,1,1.7861937163375238e-5,5.845981057569556e-7,100660
661,1,1.8731032956733585e-5,5.72247122544163e-7,100661
662,1,1.9100258481466886e-5,5.464114681791992e-7,100662
663,1,1.9173697467704662e-5,5.296984321392882e-7,100663
664,1,1.9180727616947324e-5,5.249954589846555e-7,100664
665,1,1.912796438331123e-5,5.117760447580801e-7,100665
666,1,1.9212069492004997e-5,4.7581526990236265e-7,100666
667,1,1.5901084726589262e-5,7.617241507801274e-7,100667
668,1,1.966128369317717e-5,1.2881565085612436e-6,100668
669,1,2.0125221756183526e-5,8.142732002119078e-7,100669
670,1,2.031661918640783e-5,3.831269784674102e-7,100670
671,1,1.7336856764532954e-5,1.139167660339358e-6,100671
672,1,1.8916185460219217e-5,3.204870306472107e-7,100672
673,1,1.8862690948862656e-5,3.3401166820975053e-7,100673
674,1,1.8890306965551248e-5,3.3788275436739487e-7,100674
675,1,1.8248374379661968e-5,4.022337303925486e-7,100675
676,1,1.881514750189192e-5,4.567241997287735e-7,100676
677,1,1.886349773527603e-5,5.068239603553717e-7,100677
678,1,1.894597305503721e-5,5.260617436586072e-7,100678
679,1,1.894597305503721e-5,5.260617436586072e-7,100679
680,1,1.9226625067450922e-5,5.550283927452244e-7,100680
681,1,1.963529940313006e-5,6.49242456752643e-7,100681
682,1,1.970171491785416e-5,6.794897589404929e-7,100682
683,1,1.9525851441983152e-5,6.631614038595935e-7,100683
684,1,1.8960293759664185e-5,3.986042951252275e-7,100684
685,1,1.9273332366141275e-5,1.0442433579347783e-6,100685
686,1,1.7966237782958603e-5,1.470152408207962e-6,100686
687,1,1.8282502919314086e-5,7.362906843565825e-7,100687
688,1,1.400543672656355e-5,1.5833392711232617e-6,100688
689,1,1.8312781576014432e-5,9.988473830903425e-7,100689
690,1,1.840775992665097e-5,1.8073829807110064e-6,100690
691,1,6.218669567921369e-6,3.236051956603326e-7,100691
692,1,5.731044430547271e-6,4.938230048592997e-7,100692
693,1,6.102400157055279e-6,1.4008871031298668e-6,100693
694,1,7.300737859763685e-6,1.440387211865871e-6,100694
695,1,5.638760038866166e-6,7.906159781306378e-7,100695
696,1,5.130592504243294e-6,3.706865088259949e-7,100696
697,1,5.499484975298215e-6,4.628135986279601e-7,100697
698,1,5.716859745987951e-6,4.0556627336208523e-7,100698
699,1,6.918673445031387e-6,1.2822227817949632e-6,100699
700,1,6.182784098331873e-6,1.4904596006668654e-6,100700
701,1,5.414400682988425e-6,9.000371101065095e-7,100701
702,1,9.884714595328906e-6,2.627479022005745e-6,100702
703,1,9.884714595328906e-6,2.627479022005745e-6,100703
704,1,5.597570642736053e-6,9.393827922004459e-7,100704
705,1,5.602257432904071e-6,7.340055208388367e-7,100705
706,1,1.4996741224030906e-5,2.287427734868488e-6,100706
707,1,1.130575909577452e-5,8.077797300813918e-7,100707
708,1,1.489263667908315e-5,1.8106701013272996e-6,100708
709,1,8.757966488122953e-6,9.523221340766164e-7,100709
710,1,6.608921165143343e-6,4.229058610727991e-7,100710
711,1,5.759120772203229e-6,9.852306578589745e-7,100711
712,1,6.093662085036471e-6,9.848559254863157e-7,100712
713,1,8.757966488122953e-6,9.523221340766164e-7,100713
714,1,6.982469800690987e-6,1.265658145421244e-6,100714
715,1,6.954174340115599e-6,1.9616454085816787e-6,100715
717,1,5.562415558285605e-6,3.737079897495843e-7,100717
718,1,5.844646034993686e-6,5.233128606055181e-7,100718
719,1,5.220321290492212e-6,3.6405238946210435e-7,100719
720,1,4.995109983620324e-6,4.6561216334300907e-7,100720
721,1,5.559926507324612e-6,7.875985050322986e-7,100721
722,1,1.8769951684280134e-5,1.7744899516547916e-7,100722
723,1,1.8769951684280134e-5,1.7744899516547916e-7,100723
724,1,1.8394130664700543e-5,1.7487975430079145e-7,100724
726,1,1.8330670165783218e-5,2.41034585095616e-7,100726
727,1,1.5267092857509786e-5,1.997292742396878e-6,100727
728,1,1.8508019216488186e-5,2.6502186322893316e-7,100728
729,1,1.8508019216488186e-5,2.6502186322893316e-7,100729
730,1,1.8555109307946146e-5,4.978375850453542e-7,100730
731,1,1.1614475462859984e-5,1.0039736362155342e-6,100731
732,1,7.861658178037816e-6,8.800719199603527e-7,100732
733,1,5.693799801222235e-6,1.5346945452270744e-6,100733
734,1,6.118700650223682e-6,1.049402013436678e-6,100734
735,1,1.4784020298131466e-5,1.1113544748951335e-6,100735
736,1,1.2770297690086547e-5,1.473165904536327e-6,100736
737,1,1.3290183051446827e-5,2.0867178935867857e-6,100737
738,1,1.802780543405088e-5,7.808981980462894e-7,100738
739,1,5.715180886279055e-6,1.1984637527512234e-6,100739
740,1,5.972297360314952e-6,1.2322601400806903e-6,100740
741,1,5.961930972334051e-6,9.454134704823712e-7,100741
742,1,1.2259806695015123e-5,1.6443167708646526e-6,100742
743,1,1.2187491408175569e-5,1.987390022616647e-6,100743
744,1,1.2050362907142256e-5,2.030633549975729e-6,100744
745,1,9.216976318917242e-6,2.4687000607221434e-6,100745
746,1,9.216976318917242e-6,2.4687000607221434e-6,100746
