WP4,campaign,value,pu
634,1,-0.00847107826309504,100634
634,2,-0.010684425713959,200634
634,3,0.00723041542512705,300634
634,4,0.0245524163690609,400634
634,5,0.0189089967545008,500634
634,6,-0.00192225176244957,600634
635,1,-0.0178809245890054,100635
635,2,-0.00468404074261407,200635
635,3,0.0115684197615656,300635
635,4,0.0240826741048639,400635
635,5,0.0176574973134098,500635
635,6,-0.0120824479891352,600635
636,1,-0.0178809245890054,100636
636,2,-0.00468404074261407,200636
636,3,0.0115684197615656,300636
636,4,0.0240826741048639,400636
636,5,0.0176574973134098,500636
636,6,-0.0120824479891352,600636
637,1,-0.0178809245890054,100637
637,2,-0.00468404074261407,200637
637,3,0.0115684197615656,300637
637,4,0.0240826741048639,400637
637,5,0.0176574973134098,500637
637,6,-0.0120824479891352,600637
638,1,-0.0158973489457071,100638
638,2,-0.00249391447977155,200638
638,3,0.012859955291267,300638
638,4,0.0216823776404892,400638
638,5,0.0160219037886157,500638
638,6,-0.0105270660976928,600638
639,1,-0.0150029398396581,100639
639,2,-0.00173008439600128,200639
639,3,0.013473066571745,300639
639,4,0.0206944902419668,400639
639,5,0.0151653334021629,500639
639,6,-0.00956091486689382,600639
640,1,-0.0150029398396581,100640
640,2,-0.00173008439600128,200640
640,3,0.013473066571745,300640
640,4,0.0206944902419668,400640
640,5,0.0151653334021629,500640
640,6,-0.00956091486689382,600640
641,1,-0.0151639972507399,100641
641,2,-0.00608457534905391,200641
641,3,0.00812958929394695,300641
641,4,0.0121491515780402,400641
641,5,0.0066452432996934,500641
641,6,-0.00699151506064761,600641
642,1,-0.0126748885794399,100642
642,2,-0.00411928783968383,200642
642,3,0.00971843446090573,300642
642,4,0.0346669440000635,400642
642,5,0.00595435320188816,500642
642,6,-6.31470972300786e-4,600642
643,1,-0.0114475032631869,100643
643,2,-0.00230198678476356,200643
643,3,0.0115949303333125,300643
643,4,0.0335545816742231,400643
643,5,0.00715442197969291,500643
643,6,0.00204088781807401,600643
644,1,-0.0103416917713959,100644
644,2,-0.00116980935126538,200644
644,3,0.0126233369814658,300644
644,4,0.012131321574009,400644
644,5,0.00758734036756845,500644
644,6,-0.00841495386113373,600644
645,1,-0.0103329980457445,100645
645,2,-0.00129702537785498,200645
645,3,0.0124232829887027,300645
645,4,0.0119323545842103,400645
645,5,0.00741982842677033,500645
645,6,-0.00855359991972138,600645
646,1,-0.0092847495059253,100646
646,2,-2.31052017859658e-4,200646
646,3,0.0138083558234063,300646
646,4,0.0122831708113181,400646
646,5,0.00786346158301212,500646
646,6,-0.00742809374869001,600646
647,1,-0.0084624092377552,100647
647,2,0.00207208535752654,200647
647,3,0.0163775393986246,300647
647,4,0.0311530312928779,400647
647,5,0.00987555699879642,500647
647,6,0.00682598311702088,600647
648,1,-0.0084624092377552,100648
648,2,0.00207208535752654,200648
648,3,0.0163775393986246,300648
648,4,0.0311530312928779,400648
648,5,0.00987555699879642,500648
648,6,0.00682598311702088,600648
649,1,-0.00757533900893278,100649
649,2,0.00495280290969831,200649
649,3,0.0197505586730596,300649
649,4,0.0309512489659539,400649
649,5,0.0128329857737527,500649
649,6,0.00982387653649644,600649
650,1,-0.00737791789887614,100650
650,2,0.00586755213592641,200650
650,3,0.0206806208799506,300650
650,4,0.0169648196692486,400650
650,5,0.012563712965194,500650
650,6,-0.00303699103533163,600650
651,1,-0.0066427274234786,100651
651,2,0.00677376553692416,200651
651,3,0.021804359572311,300651
651,4,0.0307467978206998,400651
651,5,0.0140229110842808,500651
651,6,0.011036853047652,600651
652,1,-0.00524958956220208,100652
652,2,0.00836160369072004,200652
652,3,0.0239909398458606,300652
652,4,0.0300924558707164,400652
652,5,0.015564175773628,500652
652,6,0.0134242508237058,600652
653,1,-0.00296558024370891,100653
653,2,0.0122662116766562,200653
653,3,0.0283753391930226,300653
653,4,0.0216438768927871,400653
653,5,0.017798492519449,500653
653,6,0.0026021184218942,600653
654,1,-0.00281096490611408,100654
654,2,0.0125989310760731,200654
654,3,0.0285238690692208,300654
654,4,0.0310783952098335,400654
654,5,0.0193315386216362,500654
654,6,0.0176109873330559,600654
655,1,-0.00268761778886094,100655
655,2,0.0120658420949948,200655
655,3,0.0281672014890332,300655
655,4,0.0215988039197055,400655
655,5,0.0174380136156896,500655
655,6,0.00244759368390595,600655
656,1,-0.00350577757568831,100656
656,2,0.012465182256226,200656
656,3,0.028880058205906,300656
656,4,0.0311881133267361,400656
656,5,0.019921119376528,500656
656,6,0.0187844513971961,600656
657,1,-0.00351376819195444,100657
657,2,0.0125864615630411,200657
657,3,0.0288029591057552,300657
657,4,0.0316642125664164,400657
657,5,0.0212822413786498,500657
657,6,0.0184421703873629,600657
658,1,-0.00178216355386254,100658
658,2,0.0153475522832327,200658
658,3,0.0320533965885529,300658
658,4,0.024869062224859,400658
658,5,0.0211271608759989,500658
658,6,0.00438760112198573,600658
659,1,-0.00192575700483814,100659
659,2,0.0146648798618765,200659
659,3,0.0315187771036994,300659
659,4,0.0312144406958168,400659
659,5,0.0223479088459555,500659
659,6,0.0201335992527599,600659
660,1,-0.00197079846817722,100660
660,2,0.0148334993109079,200660
660,3,0.0318939431556858,300660
660,4,0.0243936080521754,400660
660,5,0.0207870496512119,500660
660,6,0.00413728315967044,600660
661,1,-0.00160117704779526,100661
661,2,0.0151175925782919,200661
661,3,0.0326827782028579,300661
661,4,0.0251013893600478,400661
661,5,0.0213598231541579,500661
