WP4,campaign,value,pu
736,2,0.278508421,200736
736,6,0.279793205,600736
736,3,0.278759236,300736
736,5,0.277392801,500736
736,1,0.279331212,100736
736,4,0.280045092,400736
737,4,0.277856567,400737
738,4,0.281710462,400738
737,5,0.276011452,500737
738,5,0.276696337,500738
737,6,0.279231764,600737
738,6,0.282616875,600738
737,2,0.279183101,200737
738,2,0.271618964,200738
737,1,0.279702936,100737
738,1,0.284465209,100738
737,3,0.279621898,300737
738,3,0.287320683,300738
1048,5,0.275140029,501048
1049,5,0.275140029,501049
1048,1,0.28955617299999997,101048
1049,1,0.28955617299999997,101049
1048,2,0.276655874,201048
1049,2,0.276655874,201049
1048,3,0.278064654,301048
1049,3,0.278064654,301049
1048,6,0.28238091,601048
1049,6,0.28238091,601049
1048,4,0.274551208,401048
1049,4,0.274551208,401049
1047,6,0.284732873,601047
1047,1,0.27982033,101047
1047,2,0.274646198,201047
1047,3,0.279328381,301047
1047,5,0.276080671,501047
1047,4,0.279913288,401047
740,5,0.276696337,500740
741,5,0.276696337,500741
739,5,0.276696337,500739
740,2,0.271618964,200740
741,2,0.271618964,200741
739,2,0.271618964,200739
740,4,0.281710462,400740
741,4,0.281710462,400741
739,4,0.281710462,400739
740,3,0.287320683,300740
741,3,0.287320683,300741
739,3,0.287320683,300739
740,1,0.284465209,100740
741,1,0.284465209,100741
739,1,0.284465209,100739
740,6,0.282616875,600740
741,6,0.282616875,600741
739,6,0.282616875,600739
742,5,0.277050944,500742
742,1,0.284707804,100742
742,6,0.284105669,600742
742,3,0.288451103,300742
742,4,0.277061463,400742
742,2,0.272492516,200742
743,4,0.283614041,400743
743,3,0.290633371,300743
743,1,0.286927925,100743
743,6,0.284506759,600743
743,2,0.283665693,200743
743,5,0.277203058,500743
744,6,0.284657029,600744
744,5,0.277071972,500744
744,1,0.285765631,100744
744,2,0.279634292,200744
744,3,0.290091541,300744
744,4,0.28372371,400744
1026,5,0.275367898,501026
1026,2,0.277572422,201026
1026,4,0.281799021,401026
1026,6,0.280456647,601026
1026,1,0.286250491,101026
1026,3,0.291263569,301026
1028,1,0.282648719,101028
1028,6,0.278141398,601028
1028,4,0.280547512,401028
1028,2,0.280042883,201028
1028,5,0.275237863,501028
1028,3,0.286993126,301028
1027,3,0.287193911,301027
1027,2,0.279190267,201027
1027,4,0.281973956,401027
1027,1,0.282399037,101027
1027,6,0.280362812,601027
1027,5,0.275452211,501027
745,6,0.288318009,600745
745,1,0.29037824,100745
745,4,0.278130385,400745
745,5,0.281021663,500745
745,2,0.28538394500000003,200745
745,3,0.29551056,300745
1025,3,0.293743354,301025
1025,6,0.28201775,601025
1025,1,0.284202342,101025
1025,2,0.27471511,201025
1025,5,0.276495759,501025
1025,4,0.283825161,401025
746,3,0.296792749,300746
746,5,0.278550119,500746
746,2,0.285954,200746
746,6,0.287877737,600746
746,1,0.291116936,100746
746,4,0.280869989,400746
1022,5,0.275769995,501022
1022,4,0.279970893,401022
1022,2,0.280871618,201022
1022,6,0.279241907,601022
1022,1,0.279909456,101022
1022,3,0.287678099,301022
1024,2,0.283352784,201024
1024,1,0.282050798,101024
1024,5,0.278703325,501024
1024,3,0.282128458,301024
1024,6,0.280596497,601024
1024,4,0.277973406,401024
1023,2,0.281047913,201023
1023,1,0.280731097,101023
1023,4,0.281756144,401023
1023,5,0.277298912,501023
1023,3,0.285623263,301023
1023,6,0.282141289,601023
747,6,0.285178199,600747
747,2,0.28042263,200747
747,5,0.278495702,500747
747,4,0.285519441,400747
747,1,0.287170697,100747
747,3,0.293889856,300747
748,6,0.288232159,600748
748,2,0.284554937,200748
748,1,0.288671714,100748
748,3,0.29609,300748
748,5,0.280313143,500748
748,4,0.286994546,400748
1019,2,0.284299868,201019
1019,3,0.284360517,301019
1019,5,0.27831838800000003,501019
1019,4,0.282435575,401019
1019,1,0.287176219,101019
1019,6,0.285112945,601019
1020,3,0.283521326,301020
1020,1,0.284708685,101020
1020,4,0.279077886,401020
1020,5,0.279610361,501020
1020,6,0.279513438,601020
1020,2,0.286976336,201020
1021,6,0.279615327,601021
1021,3,0.283239162,301021
1021,5,0.280286034,501021
1021,2,0.289828335,201021
1021,4,0.279703237,401021
1021,1,0.287794278,101021
749,5,0.288245864,500749
749,2,0.294365042,200749
749,4,0.291491454,400749
749,6,0.304345657,600749
749,1,0.298539595,100749
749,3,0.306113947,300749
1014,5,0.288638963,501014
1014,4,0.28656435,401014
1014,1,0.292145046,101014
1014,2,0.295826703,201014
1014,3,0.29815331,301014
1014,6,0.29235145,601014
1016,3,0.299909617,301016
1016,5,0.287854083,501016
1016,6,0.296564468,601016
1016,4,0.287926746,401016
1016,1,0.297974467,101016
1016,2,0.303953941,201016
1017,1,0.298216295,101017
1017,2,0.30556884,201017
1017,5,0.288334584,501017
1017,4,0.280790938,401017
1017,3,0.289241344,301017
1017,6,0.298173593,601017
1018,4,0.290358769,401018
1018,6,0.302409153,601018
1018,3,0.298661935,301018
1018,5,0.276671489,501018
1018,2,0.306633483,201018
1018,1,0.29848537,101018
1015,4,0.285154388,401015
1015,1,0.294552903,101015
1015,6,0.289926868,601015
1015,2,0.297571416,201015
1015,3,0.291412795,301015
1015,5,0.280003497,501015
750,3,0.299819143,300750
750,6,0.292489886,600750
750,2,0.299133924,200750
750,4,0.29037113,400750
750,5,0.287334098,500750
750,1,0.295357012,100750
751,4,0.297553574,400751
751,1,0.305510478,100751
751,5,0.300351091,500751
751,3,0.311421917,300751
751,2,0.312984719,200751
751,6,0.306925682,600751
1012,5,0.292341343,501012
1012,4,0.286111889,401012
1012,2,0.299893432,201012
1012,6,0.288338202,601012
1012,3,0.297125975,301012
1012,1,0.29399114,101012
752,4,0.301796357,400752
752,2,0.313877879,200752
752,5,0.301425447,500752
752,6,0.30792296,600752
752,1,0.306206243,100752
752,3,0.312077039,300752
753,4,0.302490247,400753
753,3,0.312492885,300753
753,5,0.303246291,500753
753,2,0.315798342,200753
753,6,0.309593499,600753
753,1,0.307170937,100753
754,6,0.309073162,600754
754,4,0.291032452,400754
754,3,0.313081334,300754
754,2,0.316381149,200754
754,5,0.299488284,500754
754,1,0.307334053,100754
755,2,0.313061769,200755
755,6,0.308978374,600755
755,3,0.31097244,300755
755,5,0.29978538,500755
755,4,0.295967858,400755
755,1,0.305649592,100755
1004,4,0.288218881,401004
1004,1,0.294383556,101004
1004,3,0.301739664,301004
1004,5,0.287477317,501004
1004,6,0.294252394,601004
1004,2,0.30033144,201004
1008,1,0.263343151,101008
1008,6,0.264452724,601008
1008,5,0.269661583,501008
1008,3,0.268331669,301008
1008,4,0.262150811,401008
1008,2,0.268915422,201008
1005,3,0.302868839,301005
1005,4,0.292536756,401005
1005,1,0.296130524,101005
1005,2,0.302184854,201005
1005,6,0.29183399,601005
1005,5,0.292665245,501005
1007,4,0.295620365,401007
1007,3,0.306690288,301007
1007,1,0.298734306,101007
1007,6,0.296043728,601007
1007,5,0.299464827,501007
1007,2,0.305989969,201007
1006,6,0.303247838,601006
1006,4,0.292410814,401006
1006,1,0.297181811,101006
1006,3,0.307014281,301006
1006,5,0.287281102,501006
1006,2,0.305698285,201006
756,4,0.300863933,400756
756,3,0.310589569,300756
756,5,0.302374588,500756
756,2,0.313322127,200756
756,1,0.304856518,100756
756,6,0.308395821,600756
1002,2,0.30241783,201002
1003,2,0.30241783,201003
1002,5,0.293543075,501002
1003,5,0.293543075,501003
1002,3,0.301784458,301002
1003,3,0.301784458,301003
1002,4,0.28536346,401002
1003,4,0.28536346,401003
1002,6,0.290490275,601002
1003,6,0.290490275,601003
1002,1,0.296288976,101002
1003,1,0.296288976,101003
757,6,0.308673437,600757
757,5,0.303534813,500757
757,4,0.302336063,400757
757,3,0.311097998,300757
757,2,0.31222895,200757
757,1,0.303937806,100757
758,5,0.301867795,500758
758,2,0.31371698,200758
758,4,0.291876376,400758
758,6,0.308915554,600758
758,1,0.303509749,100758
758,3,0.311229827,300758
994,3,0.30573274,300994
993,3,0.30573274,300993
994,6,0.293749668,600994
993,6,0.293749668,600993
994,5,0.296555114,500994
993,5,0.296555114,500993
994,1,0.292713523,100994
993,1,0.292713523,100993
994,4,0.290140896,400994
993,4,0.290140896,400993
994,2,0.303160112,200994
993,2,0.303160112,200993
760,1,0.301152633,100760
759,1,0.301152633,100759
760,2,0.314365793,200760
759,2,0.314365793,200759
760,6,0.30876925,600760
759,6,0.30876925,600759
760,4,0.309072,400760
759,4,0.309072,400759
760,3,0.311765887,300760
759,3,0.311765887,300759
760,5,0.309356023,500760
759,5,0.309356023,500759
991,4,0.262747162,400991
991,2,0.241881131,200991
991,1,0.293745822,100991
991,5,0.269410223,500991
991,6,0.263568514,600991
991,3,0.269572215,300991
761,2,0.314530594,200761
761,1,0.300269929,100761
761,5,0.310184558,500761
761,3,0.311088156,300761
761,6,0.308518114,600761
761,4,0.311061595,400761
762,2,0.313252823,200762
762,3,0.311970245,300762
762,6,0.309346843,600762
762,4,0.31267041,400762
762,5,0.311613914,500762
762,1,0.30065813,100762
980,4,0.294168179,400980
980,2,0.302337488,200980
980,1,0.290831964,100980
980,5,0.293887235,500980
980,3,0.304867795,300980
980,6,0.295084328,600980
763,4,0.311332697,400763
763,1,0.300363216,100763
763,2,0.311779956,200763
763,5,0.310385924,500763
763,6,0.308129164,600763
763,3,0.311082712,300763
978,1,0.282123033,100978
979,1,0.282123033,100979
978,3,0.298652603,300978
979,3,0.298652603,300979
978,5,0.279594093,500978
979,5,0.279594093,500979
978,6,0.287435713,600978
979,6,0.287435713,600979
978,4,0.289539293,400978
979,4,0.289539293,400979
978,2,0.302927047,200978
979,2,0.302927047,200979
764,2,0.312152403,200764
764,1,0.300679579,100764
764,6,0.307551288,600764
764,3,0.310426085,300764
764,5,0.309492453,500764
764,4,0.31078366,400764
975,2,0.30777529,200975
974,2,0.30777529,200974
975,6,0.287700698,600975
974,6,0.287700698,600974
975,3,0.306203689,300975
974,3,0.306203689,300974
975,1,0.29427162,100975
974,1,0.29427162,100974
975,4,0.286599903,400975
974,4,0.286599903,400974
975,5,0.297793584,500975
974,5,0.297793584,500974
976,1,0.29156368,100976
976,5,0.292509271,500976
976,4,0.28812922,400976
976,2,0.308170112,200976
976,6,0.299005277,600976
976,3,0.295349706,300976
977,6,0.299280698,600977
977,4,0.279730608,400977
977,3,0.289294758,300977
977,5,0.286759905,500977
977,2,0.30726127,200977
977,1,0.294214555,100977
765,3,0.31086914,300765
765,6,0.307622814,600765
765,4,0.308670142,400765
765,1,0.30001909,100765
765,5,0.310209636,500765
765,2,0.31159829,200765
766,4,0.309637693,400766
766,6,0.307293244,600766
766,3,0.310884137,300766
766,1,0.30036936,100766
766,2,0.311825613,200766
766,5,0.31070308,500766
940,4,0.294645192,400940
940,2,0.30929212699999997,200940
940,1,0.296843241,100940
940,3,0.307578419,300940
940,6,0.291261463,600940
940,5,0.296713335,500940
941,1,0.294808699,100941
941,5,0.299997261,500941
941,6,0.300439536,600941
941,4,0.288758948,400941
941,2,0.307963064,200941
941,3,0.308948391,300941
768,6,0.306677149,600768
767,6,0.306677149,600767
768,3,0.310565865,300768
767,3,0.310565865,300767
768,5,0.310200503,500768
767,5,0.310200503,500767
768,1,0.300222712,100768
767,1,0.300222712,100767
768,4,0.31001932,400768
767,4,0.31001932,400767
768,2,0.311235288,200768
767,2,0.311235288,200767
769,2,0.312463082,200769
769,6,0.306460142,600769
769,4,0.310928508,400769
769,3,0.312138059,300769
769,5,0.311168492,500769
769,1,0.300809543,100769
922,3,0.304765103,300922
922,2,0.31218752,200922
922,5,0.290043914,500922
922,1,0.297724192,100922
922,6,0.293029401,600922
922,4,0.295713825,400922
923,3,0.307844772,300923
923,4,0.299180819,400923
923,2,0.310661711,200923
923,6,0.304723212,600923
923,5,0.299498101,500923
923,1,0.296765673,100923
924,4,0.293031327,400924
924,1,0.295857293,100924
924,5,0.302129473,500924
924,3,0.308478104,300924
924,2,0.308619691,200924
924,6,0.269630046,600924
770,6,0.30850479,600770
770,3,0.313776434,300770
770,1,0.302048389,100770
770,4,0.309526701,400770
770,2,0.314289896,200770
770,5,0.311279385,500770
913,1,0.316954703,100913
913,4,0.297813586,400913
913,5,0.298587417,500913
913,6,0.3000048,600913
913,2,0.321228682,200913
913,3,0.310775411,300913
914,3,0.306745193,300914
914,6,0.301163292,600914
914,1,0.305391453,100914
914,5,0.295162224,500914
914,4,0.290615374,400914
914,2,0.314375314,200914
916,6,0.304520295,600916
915,6,0.304520295,600915
916,1,0.30142871,100916
915,1,0.30142871,100915
916,3,0.308687577,300916
915,3,0.308687577,300915
916,4,0.285530325,400916
915,4,0.285530325,400915
916,5,0.300983288,500916
915,5,0.300983288,500915
916,2,0.310510298,200916
915,2,0.310510298,200915
917,3,0.289267257,300917
917,2,0.267046609,200917
917,1,0.284108691,100917
917,5,0.28041475,500917
917,6,0.295608821,600917
917,4,0.288332298,400917
918,5,0.26708711,500918
918,2,0.241303066,200918
918,1,0.297639466,100918
918,4,0.264688577,400918
918,6,0.276198349,600918
918,3,0.269606382,300918
920,5,0.300642206,500920
920,4,0.288838265,400920
920,6,0.305114502,600920
920,1,0.300513326,100920
920,2,0.310414534,200920
920,3,0.308372291,300920
921,5,0.288259674,500921
921,4,0.290722911,400921
921,3,0.307762733,300921
921,6,0.275932861,600921
921,1,0.300172985,100921
921,2,0.308940034,200921
771,1,0.296620558,100771
771,6,0.307326224,600771
771,3,0.308125274,300771
771,5,0.30920175,500771
771,2,0.309196522,200771
771,4,0.306897999,400771
772,5,0.309325845,500772
772,4,0.307982644,400772
772,3,0.309030129,300772
772,1,0.297643843,100772
772,2,0.310543223,200772
772,6,0.307851013,600772
773,6,0.310859376,600773
773,4,0.303041573,400773
773,3,0.309517374,300773
773,2,0.308167914,200773
773,1,0.29701254,100773
773,5,0.310672054,500773
909,3,0.309170724,300909
909,2,0.312814569,200909
909,4,0.297525258,400909
909,1,0.301274646,100909
909,5,0.294998413,500909
909,6,0.302419795,600909
910,5,0.290427511,500910
910,6,0.276447125,600910
910,2,0.308089561,200910
910,4,0.289038154,400910
910,1,0.295871972,100910
910,3,0.308611828,300910
911,1,0.294963998,100911
911,2,0.308473853,200911
911,3,0.307847909,300911
911,6,0.298726623,600911
911,5,0.304349686,500911
911,4,0.28883709,400911
774,6,0.320878089,600774
774,2,0.322098193,200774
774,1,0.311146814,100774
774,3,0.321024674,300774
774,4,0.312964114,400774
774,5,0.321446932,500774
775,4,0.313660415,400775
775,1,0.31049021,100775
775,5,0.321326499,500775
775,6,0.320696369,600775
775,2,0.320401253,200775
775,3,0.320131044,300775
866,2,0.318890072,200866
866,3,0.319206715,300866
866,4,0.313788043,400866
866,5,0.318454207,500866
866,6,0.317574365,600866
866,1,0.309800739,100866
899,1,0.305631181,100899
899,3,0.312177749,300899
899,6,0.306018556,600899
899,4,0.293636947,400899
899,5,0.301749148,500899
899,2,0.314595753,200899
905,6,0.295915235,600905
905,4,0.292574647,400905
905,2,0.304804873,200905
905,3,0.304735928,300905
