WP4,campaign,value,pu
736,2,8.72025470091889e-6,200736
736,6,9.32488782038107e-6,600736
736,3,8.71127541431216e-6,300736
736,5,8.76433496510981e-6,500736
736,1,9.18008421274797e-6,100736
736,4,8.7174497890625e-6,400736
737,4,6.87914781473488e-6,400737
738,4,8.97410490425821e-6,400738
737,5,6.22303642432395e-6,500737
738,5,8.91813940628835e-6,500738
737,6,8.55166257661834e-6,600737
738,6,9.2004683184789e-6,600738
737,2,9.30840027555574e-6,200737
738,2,6.21409759579932e-6,200738
737,1,9.5882175316044e-6,100737
738,1,8.50703465054688e-6,100738
737,3,9.07812286607348e-6,300737
738,3,9.64580443288256e-6,300738
1048,5,6.9922665271112e-6,501048
1049,5,6.9922665271112e-6,501049
1048,1,9.45913966648889e-6,101048
1049,1,9.45913966648889e-6,101049
1048,2,9.39817599650807e-6,201048
1049,2,9.39817599650807e-6,201049
1048,3,8.22956405842283e-6,301048
1049,3,8.22956405842283e-6,301049
1048,6,8.92015946634771e-6,601048
1049,6,8.92015946634771e-6,601049
1048,4,7.28555487193199e-6,401048
1049,4,7.28555487193199e-6,401049
1047,6,8.90548351403724e-6,601047
1047,1,8.09018992938055e-6,101047
1047,2,8.57262377013278e-6,201047
1047,3,7.34576564554902e-6,301047
1047,5,6.24595084199119e-6,501047
1047,4,6.4680410597355e-6,401047
740,5,8.91813940628835e-6,500740
741,5,8.91813940628835e-6,500741
739,5,8.91813940628835e-6,500739
740,2,6.21409759579932e-6,200740
741,2,6.21409759579932e-6,200741
739,2,6.21409759579932e-6,200739
740,4,8.97410490425821e-6,400740
741,4,8.97410490425821e-6,400741
739,4,8.97410490425821e-6,400739
740,3,9.64580443288256e-6,300740
741,3,9.64580443288256e-6,300741
739,3,9.64580443288256e-6,300739
740,1,8.50703465054688e-6,100740
741,1,8.50703465054688e-6,100741
739,1,8.50703465054688e-6,100739
740,6,9.2004683184789e-6,600740
741,6,9.2004683184789e-6,600741
739,6,9.2004683184789e-6,600739
742,5,9.14351946390957e-6,500742
742,1,8.51665421671028e-6,100742
742,6,9.54850276065398e-6,600742
742,3,9.5311914161772e-6,300742
742,4,8.95361768274416e-6,400742
742,2,6.50277742958449e-6,200742
743,4,9.39474731292337e-6,400743
743,3,1.30643282473407e-5,300743
743,1,9.6845785448993e-6,100743
743,6,1.05633201210501e-5,600743
743,2,1.0571890533021e-5,200743
743,5,9.21676796428836e-6,500743
744,6,1.2332752434408e-5,600744
744,5,8.70759177834587e-6,500744
744,1,9.67268206634254e-6,100744
744,2,9.61086987443399e-6,200744
744,3,1.36648094600186e-5,300744
744,4,9.01776654597775e-6,400744
1026,5,6.38699027488985e-6,501026
1026,2,8.27024193118678e-6,201026
1026,4,7.1078812070001e-6,401026
1026,6,8.20668850098677e-6,601026
1026,1,8.60764189955709e-6,101026
1026,3,7.96014024960782e-6,301026
1028,1,7.80081477507385e-6,101028
1028,6,8.19568171011693e-6,601028
1028,4,7.54149439164505e-6,401028
1028,2,7.02254291921976e-6,201028
1028,5,7.09965264440705e-6,501028
1028,3,8.54190643419763e-6,301028
1027,3,7.69149511310686e-6,301027
1027,2,7.84125896042279e-6,201027
1027,4,7.51002999860636e-6,401027
1027,1,7.82698367393592e-6,101027
1027,6,7.52766664139848e-6,601027
1027,5,6.49919165969848e-6,501027
745,6,1.21710902987988e-5,600745
745,1,9.6775764796935e-6,100745
745,4,9.96258693811961e-6,400745
745,5,9.59220622940049e-6,500745
745,2,9.93270517183803e-6,200745
745,3,1.47214689051298e-5,300745
1025,3,6.7063192678058e-6,301025
1025,6,7.66371923786747e-6,601025
1025,1,8.23905939798197e-6,101025
1025,2,7.9187877279486e-6,201025
1025,5,6.27263960186708e-6,501025
1025,4,6.87640329079872e-6,401025
746,3,1.46489533806682e-5,300746
746,5,9.47516335997412e-6,500746
746,2,1.01280152290696e-5,200746
746,6,1.1646184994092e-5,600746
746,1,9.94570726859326e-6,100746
746,4,1.00454777098596e-5,400746
1022,5,6.747335956083e-6,501022
1022,4,7.24702227295751e-6,401022
1022,2,7.38027935207172e-6,201022
1022,6,8.25948964294709e-6,601022
1022,1,7.73722745858081e-6,101022
1022,3,7.77142889949858e-6,301022
1024,2,6.85775536608698e-6,201024
1024,1,7.57970890900096e-6,101024
1024,5,6.8942192393839e-6,501024
1024,3,8.4182760894049e-6,301024
1024,6,7.56424290247929e-6,601024
1024,4,7.33536805364141e-6,401024
1023,2,8.76026230624614e-6,201023
1023,1,9.16970429144383e-6,101023
1023,4,7.2777058440801e-6,401023
1023,5,6.57450911731668e-6,501023
1023,3,8.78510347695667e-6,301023
1023,6,7.35095805389735e-6,601023
747,6,1.28528977335494e-5,600747
747,2,9.13085377905278e-6,200747
747,5,9.87376358815077e-6,500747
747,4,1.01304151721235e-5,400747
747,1,9.23311316044216e-6,100747
747,3,1.37613574101718e-5,300747
748,6,1.32467946134674e-5,600748
748,2,9.78232758474909e-6,200748
748,1,9.00882141870127e-6,100748
748,3,1.36968870821336e-5,300748
748,5,9.66272517229663e-6,500748
748,4,8.57557575812675e-6,400748
1019,2,7.50043548364305e-6,201019
1019,3,8.19678733722774e-6,301019
1019,5,6.82911102649474e-6,501019
1019,4,7.29700986123598e-6,401019
1019,1,7.6645236728138e-6,101019
1019,6,8.45485396107544e-6,601019
1020,3,9.02419224719375e-6,301020
1020,1,7.13467369166949e-6,101020
1020,4,7.45282059594634e-6,401020
1020,5,6.73246228531158e-6,501020
1020,6,7.81075688532884e-6,601020
1020,2,6.75715803519495e-6,201020
1021,6,7.66658774884262e-6,601021
1021,3,8.31709963729187e-6,301021
1021,5,6.88373726812146e-6,501021
1021,2,7.64107989511477e-6,201021
1021,4,7.24991346726174e-6,401021
1021,1,7.31645711822972e-6,101021
749,5,1.14798892907901e-5,500749
749,2,1.12672488454398e-5,200749
749,4,1.16217513653869e-5,400749
749,6,1.58442996986446e-5,600749
749,1,9.28794744058449e-6,100749
749,3,1.82445135368678e-5,300749
1014,5,7.6287435451941e-6,501014
1014,4,7.48979694609375e-6,401014
1014,1,8.1735456761497e-6,101014
1014,2,8.4853076938234e-6,201014
1014,3,9.43497342033244e-6,301014
1014,6,7.78946542192661e-6,601014
1016,3,7.28148921154345e-6,301016
1016,5,6.2031109611536e-6,501016
1016,6,7.34842851608145e-6,601016
1016,4,6.36808477611555e-6,401016
1016,1,6.74540551013203e-6,101016
1016,2,6.28962838837031e-6,201016
1017,1,5.97316592561564e-6,101017
1017,2,5.98887980722896e-6,201017
1017,5,8.11307376327505e-6,501017
1017,4,8.17697732383099e-6,401017
1017,3,7.47432723456683e-6,301017
1017,6,7.92968381535675e-6,601017
1018,4,8.29998677949582e-6,401018
1018,6,8.73404531815882e-6,601018
1018,3,7.92330519109505e-6,301018
1018,5,8.17239765264088e-6,501018
1018,2,6.66294696754454e-6,201018
1018,1,6.05796772858527e-6,101018
1015,4,7.25116598300549e-6,401015
1015,1,7.72778314365739e-6,101015
1015,6,7.55211307989339e-6,601015
1015,2,7.83257014384553e-6,201015
1015,3,8.71007309605382e-6,301015
1015,5,6.49143562466077e-6,501015
750,3,1.91175534544957e-5,300750
750,6,1.51930745889094e-5,600750
750,2,1.78140255461725e-5,200750
750,4,9.96030391683522e-6,400750
750,5,1.08699420709468e-5,500750
750,1,1.30191230336458e-5,100750
751,4,1.4867124773939e-5,400751
751,1,1.20417974573261e-5,100751
751,5,1.71976929972018e-5,500751
751,3,2.49461608358265e-5,300751
751,2,2.24073469571398e-5,200751
751,6,2.29499017227264e-5,600751
1012,5,6.5032263879063e-6,501012
1012,4,6.56462697095052e-6,401012
1012,2,6.63986673584692e-6,201012
1012,6,7.64746234450953e-6,601012
1012,3,6.99435501901203e-6,301012
1012,1,7.02264054950119e-6,101012
