WP4,campaign,value,pu
736,1,0.0115138023237567,100736
736,2,0.0631058814567429,200736
736,3,0.112842027314918,300736
736,4,0.0828926735980119,400736
736,5,0.208855876327856,500736
736,6,0.108905368159237,600736
739,1,0.0175448634668288,100739
739,2,0.0711774746567792,200739
739,3,0.154246758234097,300739
739,4,0.0733769404633249,400739
739,5,0.1004471629936,500739
739,6,0.0622734947473894,600739
740,1,0.0175448634668288,100740
740,2,0.0711774746567792,200740
740,3,0.154246758234097,300740
740,4,0.0733769404633249,400740
740,5,0.1004471629936,500740
740,6,0.0622734947473894,600740
741,1,0.0175448634668288,100741
741,2,0.0711774746567792,200741
741,3,0.154246758234097,300741
741,4,0.0733769404633249,400741
741,5,0.1004471629936,500741
741,6,0.0622734947473894,600741
742,1,0.0159286809202259,100742
742,2,0.0679442198583685,200742
742,3,0.155843306815824,300742
742,4,0.0640314551289552,400742
742,5,0.0985312056607002,500742
742,6,0.039720961879127,600742
743,1,0.00804167578465924,100743
743,2,0.0503075615724022,200743
743,3,0.131740389851145,300743
743,4,0.0968942671471197,400743
743,5,0.0639535438384642,500743
743,6,0.0683573364083176,600743
744,1,0.00866298656857227,100744
744,2,0.0483868847636763,200744
744,3,0.128471599753535,300744
744,4,0.101918586409082,400744
744,5,0.0633575008886674,500744
744,6,0.102830525866194,600744
745,1,0.0125950992523449,100745
745,2,0.0183349503579815,200745
745,3,0.0509551915799183,300745
745,4,0.0323811417088053,400745
745,5,0.166162229257554,500745
745,6,0.0252979779952915,600745
746,1,0.0546797514717943,100746
746,2,0.0340831282770841,200746
746,3,0.0510579098971928,300746
746,4,0.0401740936397856,400746
746,5,0.0261273330519005,500746
746,6,0.0352953050078974,600746
747,1,0.00969183681075102,100747
747,2,0.0401930285976393,200747
747,3,0.108460357250902,300747
747,4,0.0989540294344532,400747
747,5,0.105813621930663,500747
747,6,0.175411320696562,600747
748,1,0.0107359204273249,100748
748,2,0.0629527635506991,200748
748,3,0.132104256267764,300748
748,4,0.0662101966598668,400748
748,5,0.103717961038756,500748
748,6,0.166973001196611,600748
749,1,-0.00736495097924566,100749
749,2,0.0200526442671276,200749
749,3,0.0650291010270385,300749
749,4,0.104039687532129,400749
749,5,0.0863402578641508,500749
749,6,0.0356980602445206,600749
750,1,0.0261772873555472,100750
750,2,0.0748957821254696,200750
750,3,0.128684251608523,300750
750,4,0.0753372365377396,400750
750,5,0.128801569143164,500750
