WP4,campaign,value,value_sd,pu
736,1,0.26599700403333404,0.014177351281203699,100736
737,1,0.2660679019918475,0.013625028919606007,100737
738,1,0.2660679019918475,0.013625028919606007,100738
739,1,0.2667407074920301,0.014481169257088086,100739
740,1,0.2667407074920301,0.014481169257088086,100740
741,1,0.2667407074920301,0.014481169257088086,100741
742,1,0.2661729640827979,0.014352103035779709,100742
743,1,0.26563590228849754,0.015619760610106306,100743
744,1,0.26641794531761204,0.015020108641940021,100744
745,1,0.27348273694230274,0.015302473355157383,100745
746,1,0.27267376509444896,0.015208463184521605,100746
747,1,0.26965138364490054,0.01583624537336382,100747
748,1,0.2705854455665933,0.01581796306083944,100748
749,1,0.3016631813007931,0.0041259199914975295,100749
750,1,0.2826290625183272,0.012217119104081466,100750
751,1,0.3052756956874667,0.0034849830148810817,100751
752,1,0.30589016663533203,0.0036677024833583994,100752
753,1,0.3056127829659807,0.003482162968665612,100753
754,1,0.3060228825902027,0.003309338890628412,100754
755,1,0.30494891989871864,0.003298888759980186,100755
756,1,0.3059734303055231,0.0035515583982142444,100756
757,1,0.30689274903625335,0.003705746770149561,100757
758,1,0.3063606073385038,0.0034768065202305303,100758
759,1,0.3063019639752869,0.0031657598850419358,100759
760,1,0.3063019639752869,0.0031657598850419358,100760
761,1,0.3068307291199958,0.0034560167191258154,100761
762,1,0.30655472876373,0.003610326691014117,100762
763,1,0.305790512976418,0.00392347651862003,100763
764,1,0.306339543836651,0.003967654012233146,100764
765,1,0.3058438927987753,0.0038621737819633417,100765
766,1,0.30661219561644104,0.004056030960716673,100766
767,1,0.3064149390432331,0.0046072513305791245,100767
768,1,0.3064149390432331,0.0046072513305791245,100768
769,1,0.30742473072790216,0.0036240914265220432,100769
770,1,0.3089836873101279,0.0022997008251793693,100770
771,1,0.30907379746429503,0.002071677708323893,100771
772,1,0.30896177810610004,0.0023473201960281156,100772
773,1,0.30914112449236136,0.002429642939869579,100773
774,1,0.31006048651852747,0.002203669616487753,100774
775,1,0.3101609998716606,0.0021437332759004944,100775
776,1,0.30825414093419545,0.0025770798496093784,100776
777,1,0.30825414093419545,0.0025770798496093784,100777
778,1,0.30825414093419545,0.0025770798496093784,100778
779,1,0.30987678965208776,0.0031957793643034547,100779
780,1,0.31035450725709285,0.003564617270611726,100780
781,1,0.3114628258725047,0.003644298166631035,100781
782,1,0.3109500079228028,0.003931771690101492,100782
783,1,0.31234273884589275,0.003999680611542385,100783
784,1,0.3120812310555039,0.0037888942906521323,100784
785,1,0.3120362671219035,0.003956026537425042,100785
786,1,0.308637677361755,0.007168393320914095,100786
787,1,0.30696042367060505,0.007759218824646364,100787
788,1,0.301636702124423,0.00970234855961959,100788
789,1,0.3046346238273106,0.010531465894212588,100789
790,1,0.29818157784313004,0.008197888656492033,100790
791,1,0.29825958227166377,0.004926780283227379,100791
792,1,0.3001475889496649,0.00903559687822539,100792
793,1,0.29748818371334157,0.00674483749613454,100793
794,1,0.29906609370247156,0.011226687533951615,100794
795,1,0.27408807313165795,0.02845970020708602,100795
796,1,0.28029126131695237,0.026282272566146278,100796
797,1,0.2893357832527102,0.01625693156796165,100797
798,1,0.2753872230730998,0.023080355874705714,100798
799,1,0.2609270770436287,0.0226834022396813,100799
800,1,0.24168099106044066,0.01897414875992717,100800
801,1,0.2756409989140649,0.021487629607849553,100801
802,1,0.24222956322208938,3.9751437573521103e-4,100802
803,1,0.24170800412117047,1.9341784189327244e-4,100803
804,1,0.26684864376140843,0.024766503718058247,100804
805,1,0.2699862040577479,0.024042031114180656,100805
806,1,0.27324825425612903,0.023438286579178697,100806
807,1,0.29286448622450434,0.01517427610264446,100807
808,1,0.2903784600315916,0.017970150494686858,100808
809,1,0.2809322777333598,0.02444796676499248,100809
810,1,0.2818964731335922,0.021477511525161974,100810
811,1,0.26185161569881654,0.024897728081362463,100811
812,1,0.2431463447928206,0.01740337710078084,100812
813,1,0.23863291864144665,0.014026005881230605,100813
814,1,0.24681795272341747,0.020400228279616222,100814
815,1,0.2426438660532461,2.1311567469823502e-4,100815
816,1,0.26442083994073123,0.02468582624165608,100816
817,1,0.27371091769473965,0.023102899698324644,100817
818,1,0.27367296621711074,0.023089420098434923,100818
819,1,0.3031923997355769,0.009409019101727438,100819
820,1,0.3040622164939593,0.007567609111340407,100820
821,1,0.28603795256809483,0.012514989893548696,100821
822,1,0.2899316302294643,0.014075343810706251,100822
823,1,0.2838035633490085,0.022984531101110352,100823
824,1,0.25911169295919473,0.02488661507064629,100824
825,1,0.25911169295919473,0.02488661507064629,100825
826,1,0.26903890085784793,0.02419967590627338,100826
827,1,0.2623050993020991,0.02462363598834645,100827
828,1,0.25481897623097943,0.024541202671007942,100828
829,1,0.2613775570885837,0.024462529297282477,100829
830,1,0.2857934407673857,0.017094896100651864,100830
831,1,0.2494988204094431,0.026145616399265405,100831
832,1,0.23321327243502132,0.017896557518324967,100832
833,1,0.23321327243502132,0.017896557518324967,100833
834,1,0.23321327243502132,0.017896557518324967,100834
835,1,0.2504338256767914,0.021139166199546713,100835
836,1,0.2571818076342733,0.024783971516046978,100836
837,1,0.2605708296172591,0.025581021759159182,100837
838,1,0.2605708296172591,0.025581021759159182,100838
839,1,0.2686630186667246,0.024458084030153558,100839
840,1,0.277974306932694,0.02414632968942433,100840
841,1,0.2771263469799106,0.02195505695834918,100841
842,1,0.2694162118442398,0.020484874032975595,100842
843,1,0.2647418754463212,0.02881432943043277,100843
844,1,0.2647418754463212,0.02881432943043277,100844
845,1,0.2647418754463212,0.02881432943043277,100845
846,1,0.2647418754463212,0.02881432943043277,100846
847,1,0.27957007793752914,0.023591549648076294,100847
848,1,0.27668080182047883,0.022754041274619833,100848
849,1,0.26092784065493724,0.023213819072535665,100849
850,1,0.29546370084028817,0.007693444681696002,100850
851,1,0.2772446879761071,0.024653507254799135,100851
852,1,0.25733753226938605,0.024477943660496507,100852
853,1,0.2586826112568858,0.024778627172388178,100853
854,1,0.2586826112568858,0.024778627172388178,100854
855,1,0.2727104207684871,0.02351614376343288,100855
856,1,0.26927526833494025,0.024648331986353123,100856
857,1,0.2686927603186199,0.023230616344481408,100857
858,1,0.2692476242375994,0.025109981295563157,100858
859,1,0.2682654052274075,0.02852627677862394,100859
860,1,0.2682654052274075,0.02852627677862394,100860
861,1,0.273558844937806,0.024555867558672173,100861
862,1,0.273558844937806,0.024555867558672173,100862
863,1,0.2716018884143053,0.02197701739651993,100863
864,1,0.2796952384749689,0.023194067833776495,100864
865,1,0.2796952384749689,0.023194067833776495,100865
866,1,0.3041824415933574,0.00992190832199794,100866
867,1,0.2964873056563437,0.00834020283872016,100867
868,1,0.2964873056563437,0.00834020283872016,100868
869,1,0.2921102867589198,0.00510708462154362,100869
870,1,0.2927276914443867,0.008250819011827394,100870
871,1,0.29291051742044893,0.009941230706091951,100871
872,1,0.292599156652104,0.009934142318898524,100872
873,1,0.29067096289450906,0.013639568838833107,100873
874,1,0.3026749184584635,0.0035833741741090218,100874
875,1,0.27897931527281544,0.02649538436191151,100875
876,1,0.27094248659363973,0.026842743255310827,100876
877,1,0.2671989195073027,0.026782435915776275,100877
878,1,0.2594927180940182,0.02514361261486915,100878
879,1,0.24809660354350427,0.01980804027225039,100879
880,1,0.2470899567977381,0.02095208918237984,100880
881,1,0.2591506955027206,0.02535545480814563,100881
882,1,0.24244041554939677,2.3406857324857278e-4,100882
883,1,0.24155257368412178,3.88583617256392e-4,100883
884,1,0.26763139291357024,0.023703666213090543,100884
885,1,0.24864262114151128,0.022396658894196703,100885
886,1,0.27838184203232724,0.023975702651247495,100886
887,1,0.27105662211775944,0.024916493282584228,100887
888,1,0.2779452943843256,0.023072929811822657,100888
889,1,0.26782667871219046,0.023878153745571406,100889
890,1,0.2657615442857803,0.025181312473461944,100890
891,1,0.27327746283607846,0.024188540904185846,100891
892,1,0.2988948212923487,0.005312696482177532,100892
893,1,0.2757801594006086,0.027202418820094568,100893
894,1,0.23129332708910647,0.01281133220346651,100894
895,1,0.2388127817423557,3.8751026099261037e-4,100895
896,1,0.23139113087431798,0.009356231060451073,100896
897,1,0.2744574566305475,0.023122391641062074,100897
898,1,0.28487893463284003,0.018989449669479432,100898
899,1,0.2661155450432998,0.030155109706610585,100899
900,1,0.2842427408260512,0.02072522371919701,100900
901,1,0.2691912417671897,0.02319866903395739,100901
902,1,0.2701477729072517,0.02342821285587422,100902
903,1,0.26826731657996833,0.02369058503703571,100903
