WP4,campaign,value,value_sd,pu
736,1,9.013979388240695e-6,1.3043835921486275e-6,100736
737,1,9.153306474608545e-6,1.4252354644047926e-6,100737
738,1,9.153306474608545e-6,1.4252354644047926e-6,100738
739,1,9.520306864675596e-6,1.2533682269130576e-6,100739
740,1,9.520306864675596e-6,1.2533682269130576e-6,100740
741,1,9.520306864675596e-6,1.2533682269130576e-6,100741
742,1,9.58327395005329e-6,1.2443314555630945e-6,100742
743,1,9.374898794127209e-6,1.0769027243558002e-6,100743
744,1,9.68290945844846e-6,1.0356127427926976e-6,100744
745,1,9.893201109439816e-6,1.2113160931336919e-6,100745
746,1,9.877927996890319e-6,1.171626782974838e-6,100746
747,1,1.0126197032670318e-5,1.0192263134723506e-6,100747
748,1,1.0205625852814956e-5,1.0548116619112805e-6,100748
749,1,1.35762111873209e-5,1.8903108060555698e-6,100749
750,1,1.024141368615953e-5,1.2582293899014697e-6,100750
751,1,1.5246854300414006e-5,2.2315212748820095e-6,100751
752,1,1.531292608414903e-5,2.3269643261555228e-6,100752
753,1,1.5261849032264374e-5,2.278381892803748e-6,100753
754,1,1.5363317838042962e-5,2.365864245763444e-6,100754
755,1,1.4971234376697135e-5,2.249230324510542e-6,100755
756,1,1.5790686265582193e-5,2.4247884406554037e-6,100756
757,1,1.6574533317480108e-5,2.4890583811208057e-6,100757
758,1,1.548499517795267e-5,2.4915224961337173e-6,100758
759,1,1.6893305267625477e-5,2.8615644328082714e-6,100759
760,1,1.6893305267625477e-5,2.8615644328082714e-6,100760
761,1,1.6843043857451424e-5,2.969585874051592e-6,100761
762,1,1.4147415069301548e-5,2.15446049188172e-6,100762
763,1,1.628524381209823e-5,2.0858737975936807e-6,100763
764,1,1.641729427894379e-5,2.0969045297609164e-6,100764
765,1,1.6627235757459723e-5,1.9911068486941017e-6,100765
766,1,1.8272558594924755e-5,2.073521975413707e-6,100766
767,1,1.8407548601813037e-5,2.0412563044326794e-6,100767
768,1,1.8407548601813037e-5,2.0412563044326794e-6,100768
769,1,1.3041087676596333e-5,1.509171901627044e-6,100769
770,1,1.2786334243190975e-5,1.5487713226009517e-6,100770
771,1,1.2162556778327166e-5,1.7336018517264051e-6,100771
772,1,1.1245216267571295e-5,1.8222767245628946e-6,100772
773,1,1.1055251341549504e-5,1.8184731162908513e-6,100773
774,1,1.1805243547032273e-5,1.8606530266637813e-6,100774
775,1,1.212060012380527e-5,1.9151311523192078e-6,100775
776,1,1.2498873721555468e-5,2.164941830570741e-6,100776
777,1,1.2498873721555468e-5,2.164941830570741e-6,100777
778,1,1.2498873721555468e-5,2.164941830570741e-6,100778
779,1,1.3303808635490182e-5,2.508216379057132e-6,100779
780,1,1.3799557412459097e-5,2.65172599169053e-6,100780
781,1,1.3850186756881989e-5,2.683375934633803e-6,100781
