WP4,campaign,value,pu
1671,3,0.300810497,301671
1671,1,0.315809144,101671
1671,4,0.298611439,401671
1671,5,0.299153024,501671
1671,2,0.314753995,201671
1671,6,0.305242397,601671
2238,3,0.306071592,302238
2238,4,0.297102812,402238
2238,6,0.308637323,602238
2238,2,0.316761863,202238
2238,1,0.31527224,102238
2238,5,0.299984839,502238
2263,2,0.315639238,202263
2263,6,0.302888968,602263
2263,5,0.295535853,502263
2263,4,0.292883645,402263
2263,3,0.303715677,302263
2263,1,0.314290354,102263
2239,6,0.309858762,602239
2239,4,0.298257074,402239
2239,1,0.315210449,102239
2239,5,0.30125599,502239
2239,3,0.306894219,302239
2239,2,0.3169994,202239
2262,4,0.286894381,402262
2262,1,0.29671885,102262
2262,2,0.29689113,202262
2262,6,0.302098081,602262
2262,5,0.299368305,502262
2262,3,0.293733659,302262
2240,5,0.297204967,502240
2240,4,0.293125557,402240
2240,6,0.306006006,602240
2240,2,0.316086608,202240
2240,1,0.315194968,102240
2240,3,0.304616543,302240
2241,3,0.308013842,302241
2241,1,0.316402334,102241
2241,4,0.295441935,402241
2241,2,0.318215785,202241
2241,5,0.299199503,502241
2241,6,0.30975916,602241
2242,4,0.287377751,402242
2242,2,0.317533778,202242
2242,5,0.298644969,502242
2242,6,0.306967821,602242
2242,3,0.30435241,302242
2242,1,0.315861094,102242
2252,4,0.288063656,402252
2252,1,0.305013673,102252
2252,2,0.306471309,202252
2252,3,0.301196198,302252
2252,6,0.299729105,602252
2252,5,0.293673045,502252
2254,5,0.299204609,502254
2254,2,0.304290631,202254
2254,3,0.300438683,302254
2254,6,0.301036122,602254
2254,4,0.287837816,402254
2254,1,0.303648593,102254
2253,1,0.303535274,102253
2253,4,0.278387662,402253
2253,2,0.304301395,202253
2253,5,0.289571343,502253
2253,3,0.30098624,302253
2253,6,0.295523626,602253
2245,2,0.318887036,202245
2243,2,0.318887036,202243
2244,2,0.318887036,202244
2246,2,0.318887036,202246
2245,4,0.292237929,402245
2243,4,0.292237929,402243
2244,4,0.292237929,402244
2246,4,0.292237929,402246
2245,6,0.307282494,602245
2243,6,0.307282494,602243
2244,6,0.307282494,602244
2246,6,0.307282494,602246
2245,3,0.305687953,302245
2243,3,0.305687953,302243
2244,3,0.305687953,302244
2246,3,0.305687953,302246
2245,1,0.317150645,102245
2243,1,0.317150645,102243
2244,1,0.317150645,102244
2246,1,0.317150645,102246
2245,5,0.298788524,502245
2243,5,0.298788524,502243
2244,5,0.298788524,502244
2246,5,0.298788524,502246
2247,1,0.300115501,102247
2248,1,0.300115501,102248
2250,1,0.300115501,102250
2249,1,0.300115501,102249
2247,5,0.298967474,502247
2248,5,0.298967474,502248
2250,5,0.298967474,502250
2249,5,0.298967474,502249
2247,4,0.269364789,402247
2248,4,0.269364789,402248
2250,4,0.269364789,402250
2249,4,0.269364789,402249
2247,3,0.291277509,302247
2248,3,0.291277509,302248
2250,3,0.291277509,302250
2249,3,0.291277509,302249
2247,6,0.294724664,602247
2248,6,0.294724664,602248
2250,6,0.294724664,602250
2249,6,0.294724664,602249
2247,2,0.301308084,202247
2248,2,0.301308084,202248
2250,2,0.301308084,202250
2249,2,0.301308084,202249
2255,3,0.299985657,302255
