WP4,campaign,value,pu
1671,3,1.73494902284022e-5,301671
1671,1,2.24149120344909e-5,101671
1671,4,1.74393911211437e-5,401671
1671,5,2.02815782240783e-5,501671
1671,2,2.03551591099183e-5,201671
1671,6,2.12273423143068e-5,601671
2238,3,9.44315900800557e-6,302238
2238,4,1.02723902371985e-5,402238
2238,6,1.0889584767899e-5,602238
2238,2,1.01754358976377e-5,202238
2238,1,1.09531774080988e-5,102238
2238,5,1.18491691069666e-5,502238
2263,2,9.67776771140809e-6,202263
2263,6,1.04030696564983e-5,602263
2263,5,1.06980398513932e-5,502263
2263,4,1.0004241014999e-5,402263
2263,3,9.90538574474773e-6,302263
2263,1,1.01046286758999e-5,102263
2239,6,1.08598003395168e-5,602239
2239,4,1.021071002779e-5,402239
2239,1,1.0915424997935e-5,102239
2239,5,1.18901241261391e-5,502239
2239,3,9.46083342142024e-6,302239
2239,2,1.01931080545016e-5,202239
2262,4,4.15505359791243e-6,402262
2262,1,8.16847557175781e-6,102262
2262,2,7.9218212219571e-6,202262
2262,6,4.45806700375531e-6,602262
2262,5,5.35907940857419e-6,502262
2262,3,7.84621771473257e-6,302262
2240,5,1.26314732424148e-5,502240
2240,4,1.08099613981621e-5,402240
2240,6,1.15252051018515e-5,602240
2240,2,1.04072373093031e-5,202240
2240,1,1.11360564125038e-5,102240
2240,3,9.57505219308521e-6,302240
2241,3,7.4871479427533e-6,302241
2241,1,8.64234733693239e-6,102241
2241,4,8.61760310934174e-6,402241
2241,2,8.17581658234011e-6,202241
2241,5,1.09569708618116e-5,502241
2241,6,9.54354962319882e-6,602241
2242,4,5.98896527801622e-6,402242
2242,2,5.12549155682351e-6,202242
2242,5,7.86158702906026e-6,502242
2242,6,6.70337520475634e-6,602242
2242,3,5.20955158314047e-6,302242
2242,1,5.81064741646231e-6,102242
2252,4,7.27336647496983e-6,402252
2252,1,8.30753985211093e-6,102252
2252,2,7.71715989947697e-6,202252
2252,3,8.0499097717376e-6,302252
2252,6,8.36851487982012e-6,602252
2252,5,8.67930290632995e-6,502252
2254,5,4.95270847695034e-6,502254
2254,2,1.21428617223288e-5,202254
2254,3,1.30432199518963e-5,302254
2254,6,3.88606457921273e-6,602254
2254,4,3.7698705603307e-6,402254
2254,1,1.26102879107193e-5,102254
2253,1,1.04737758247556e-5,102253
2253,4,4.39939773974357e-6,402253
2253,2,9.92938502206148e-6,202253
2253,5,5.4542913120962e-6,502253
2253,3,1.06668407760201e-5,302253
2253,6,4.56391824876218e-6,602253
2245,2,6.29289556684718e-6,202245
2243,2,6.29289556684718e-6,202243
2244,2,6.29289556684718e-6,202244
2246,2,6.29289556684718e-6,202246
2245,4,6.76077559284877e-6,402245
2243,4,6.76077559284877e-6,402243
2244,4,6.76077559284877e-6,402244
2246,4,6.76077559284877e-6,402246
2245,6,7.57980044849847e-6,602245
2243,6,7.57980044849847e-6,602243
2244,6,7.57980044849847e-6,602244
2246,6,7.57980044849847e-6,602246
2245,3,5.7408897977776e-6,302245
2243,3,5.7408897977776e-6,302243
2244,3,5.7408897977776e-6,302244
2246,3,5.7408897977776e-6,302246
2245,1,6.7638154288218e-6,102245
2243,1,6.7638154288218e-6,102243
2244,1,6.7638154288218e-6,102244
2246,1,6.7638154288218e-6,102246
2245,5,8.72431748903379e-6,502245
2243,5,8.72431748903379e-6,502243
2244,5,8.72431748903379e-6,502244
2246,5,8.72431748903379e-6,502246
2247,1,2.54956231765625e-6,102247
2248,1,2.54956231765625e-6,102248
2250,1,2.54956231765625e-6,102250
2249,1,2.54956231765625e-6,102249
2247,5,3.59763534784256e-6,502247
2248,5,3.59763534784256e-6,502248
2250,5,3.59763534784256e-6,502250
2249,5,3.59763534784256e-6,502249
2247,4,2.05395372853993e-6,402247
2248,4,2.05395372853993e-6,402248
2250,4,2.05395372853993e-6,402250
2249,4,2.05395372853993e-6,402249
2247,3,1.55686020625657e-6,302247
2248,3,1.55686020625657e-6,302248
2250,3,1.55686020625657e-6,302250
2249,3,1.55686020625657e-6,302249
2247,6,2.89738495938082e-6,602247
2248,6,2.89738495938082e-6,602248
