WP4,campaign,value,pu
1671,1,-0.0255719260331852,101671
1671,2,-0.0131215753775632,201671
1671,3,-0.00434216035439688,301671
1671,4,-0.0056420909766378,401671
1671,5,-2.95804804063801e-4,501671
1671,6,-0.00464287195254812,601671
1672,1,-0.0237401368656878,101672
1672,2,-0.01264680800724,201672
1672,3,-0.00478726944461107,301672
1672,4,-0.00567924892691226,401672
1672,5,-0.0027297009696592,501672
1672,6,-0.00708560091493004,601672
1673,1,-0.0219860254260792,101673
1673,2,-0.0120415775073005,201673
1673,3,-0.00463947309478489,301673
1673,4,-0.00519423458255479,401673
1673,5,-0.00437865767538319,501673
1673,6,-0.00923067914137731,601673
1674,1,-0.020911220229455,101674
1674,2,-0.0115074796173486,201674
1674,3,-0.00437387112601644,301674
1674,4,-0.00472215630306635,401674
1674,5,-0.00472489923072425,501674
1674,6,-0.00982861427794438,601674
1675,1,-0.0186715609977091,101675
1675,2,-0.010283600961725,201675
1675,3,-0.00378502032199634,301675
1675,4,-0.00351739971804557,401675
1675,5,-0.00559416982979426,501675
1675,6,-0.0115277226414921,601675
1676,1,-0.0186715609977091,101676
1676,2,-0.010283600961725,201676
1676,3,-0.00378502032199634,301676
1676,4,-0.00351739971804557,401676
1676,5,-0.00559416982979426,501676
1676,6,-0.0115277226414921,601676
1677,1,-0.0120425682729779,101677
1677,2,-0.00593282482075637,201677
1677,3,-5.60189937852572e-4,301677
1677,4,0.00101486504697767,401677
1677,5,-0.00616368053512582,501677
1677,6,-0.0143645520374384,601677
1678,1,-0.0103274036098145,101678
1678,2,-0.00473688492248303,201678
1678,3,6.82913167400116e-4,301678
1678,4,0.00258934971915881,401678
1678,5,-0.00550423386004149,501678
1678,6,-0.0141108397053354,601678
1679,1,-0.00792772518861496,101679
1679,2,-0.00279925979082909,201679
1679,3,0.00247284890334844,301679
1679,4,0.00477800663067601,401679
1679,5,-0.00474181578869176,501679
1679,6,-0.0140128217416498,601679
1680,1,-0.0071110614654801,101680
1680,2,-0.00195849370572022,201680
1680,3,0.00323286947881727,301680
1680,4,0.00554866881262758,401680
1680,5,-0.00456347260317403,501680
1680,6,-0.0142291707659013,601680
1681,1,-0.00283181535663686,101681
1681,2,0.00186493356284196,201681
1681,3,0.00675593269395083,301681
1681,4,0.00987329704940429,401681
1681,5,-0.00298891896584443,501681
1681,6,-0.0138840566576576,601681
1682,1,-0.00165027278190336,101682
1682,2,0.00289399215296364,201682
1682,3,0.00779627775252953,301682
1682,4,0.011151992043941,401682
1682,5,-0.00247598617429133,501682
1682,6,-0.0137307219974549,601682
1683,1,-0.00207196432869821,101683
1683,2,0.00416056686272864,201683
1683,3,0.0101258613950848,301683
1683,4,0.014036134229192,401683
1683,5,-4.31792753848006e-4,501683
1683,6,-0.012148159536442,601683
1684,1,-0.0111557521713819,101684
1684,2,-0.00262610430241987,201684
1684,3,0.00294762107063328,301684
1684,4,0.00526571669167,401684
1684,5,-0.00182603400823298,501684
1684,6,-0.00793034743096444,601684
1685,1,-0.0102822863892768,101685
1685,2,-0.00186974114840598,201685
1685,3,0.00419234870503545,301685
1685,4,0.00718232815480599,401685
1685,5,-0.00128355352810936,501685
1685,6,-0.0084031327308819,601685
1686,1,-0.0102114029436394,101686
1686,2,-0.00172152797399723,201686
1686,3,0.00424926551101519,301686
1686,4,0.00747082338375245,401686
1686,5,-0.00131350824255986,501686
1686,6,-0.00850289896131556,601686
1687,1,-0.00689533298344307,101687
1687,2,0.0012778661849164,201687
1687,3,0.00888598811554528,301687
1687,4,0.0140001827928651,401687
1687,5,6.29852659463197e-4,501687
1687,6,-0.00961436676628696,601687
1688,1,-0.00678871199507102,101688
1688,2,0.00141123229182723,201688
1688,3,0.00927832175948465,301688
1688,4,0.0140815737577895,401688
1688,5,8.44302980671705e-4,501688
1688,6,-0.00940367594728744,601688
1689,1,-0.00364629165132029,101689
1689,2,0.0047231013741803,201689
1689,3,0.0139573722520035,301689
1689,4,0.0198341002374752,401689
1689,5,0.00357007801328321,501689
1689,6,-0.00905346360751621,601689
1690,1,-0.003611798956376,101690
1690,2,0.00474883936466431,201690
1690,3,0.0139685557974863,301690
1690,4,0.0199497337124795,401690
1690,5,0.00363065700087357,501690
1690,6,-0.00901426898308176,601690
1691,1,-0.00487006741079689,101691
1691,2,0.0034789619963239,201691
1691,3,0.0121383584949457,301691
1691,4,0.0181608132036805,401691
1691,5,0.00286426821745258,501691
1691,6,-0.0088841042224806,601691
1692,1,-0.00272626167509213,101692
1692,2,0.00581552181074596,201692
1692,3,0.0156316388390674,301692
1692,4,0.0223601193160722,401692
1692,5,0.00492536929018561,501692
1692,6,-0.00835969644616859,601692
1693,1,-6.65577596360085e-4,101693
1693,2,0.00823137795997965,201693
1693,3,0.0190182948528397,301693
1693,4,0.0264380662205615,401693
1693,5,0.00683280727012011,501693
1693,6,-0.00770163990883848,601693
1694,1,-0.0047621234480319,101694
1694,2,0.00414478782630266,201694
1694,3,0.0139171508570221,301694
1694,4,0.020856642314599,401694
1694,5,0.00426008770282482,501694
1694,6,-0.00782424959601576,601694
1695,1,-0.0047621234480319,101695
1695,2,0.00414478782630266,201695
1695,3,0.0139171508570221,301695
1695,4,0.020856642314599,401695
1695,5,0.00426008770282482,501695
1695,6,-0.00782424959601576,601695
1696,1,-0.0047621234480319,101696
1696,2,0.00414478782630266,201696
1696,3,0.0139171508570221,301696
1696,4,0.020856642314599,401696
1696,5,0.00426008770282482,501696
1696,6,-0.00782424959601576,601696
1697,1,-0.00336517372721405,101697
1697,2,0.00574647550361483,201697
1697,3,0.016153160862735,301697
1697,4,0.0241480251441807,401697
1697,5,0.00572847568506441,501697
1697,6,-0.00733283660123912,601697
1698,1,-0.00339265901811909,101698
1698,2,0.00595793192473416,201698
1698,3,0.0163197284025647,301698
1698,4,0.0249669840158462,401698
1698,5,0.00599418376133519,501698
1698,6,-0.00715798165099946,601698
1699,1,-0.00511535311988677,101699
1699,2,0.00443127019526893,201699
1699,3,0.0146877226649256,301699
1699,4,0.0234717305997607,401699
1699,5,0.0054636263059582,501699
1699,6,-0.00684040662153302,601699
1700,1,-0.0043580565122917,101700
1700,2,0.00510309126487971,201700
1700,3,0.0150635280790138,301700
1700,4,0.0231396669095132,401700
1700,5,0.00544823873825182,501700
1700,6,-0.00686857636878138,601700
1701,1,-0.00436040791793293,101701
1701,2,0.00530009025945557,201701
1701,3,0.0154561304224394,301701
1701,4,0.0234201767157155,401701
1701,5,0.0057655685879724,501701
1701,6,-0.00676312010070726,601701
1702,1,-0.00487278995935124,101702
1702,2,0.00453783158027506,201702
1702,3,0.0139475976270321,301702
1702,4,0.0212514462681399,401702
1702,5,0.00502798445314135,501702
1702,6,-0.00658800994976545,601702
1703,1,-0.00350447193404538,101703
1703,2,0.00668631070788827,201703
1703,3,0.0175125507639017,301703
1703,4,0.0262656929495502,401703
1703,5,0.00721923843610251,501703
1703,6,-0.00654513035394423,601703
1704,1,-0.00423303713635538,101704
1704,2,0.00576615725907494,201704
1704,3,0.0166318588558028,301704
1704,4,0.0240723472006341,401704
1704,5,0.00630039334015029,501704
1704,6,-0.00657761352944232,601704
1705,1,-0.00289025670464738,101705
1705,2,0.00800355074535605,201705
1705,3,0.0203353644303657,301705
1705,4,0.028634330866828,401705
1705,5,0.00857309388438211,501705
1705,6,-0.00626400446915076,601705
1706,1,-0.00348691365088264,101706
1706,2,0.00705303911396609,201706
1706,3,0.0188629641149876,301706
1706,4,0.026994762302044,401706
1706,5,0.00775475823626573,501706
1706,6,-0.00652896646969235,601706
1707,1,-0.00246950244652488,101707
1707,2,0.00922407204887146,201707
1707,3,0.0228955599144901,301707
1707,4,0.0329710351713059,401707
1707,5,0.0106266048950764,501707
1707,6,-0.00693939912898737,601707
1708,1,-0.00365471510899618,101708
1708,2,0.00756441348244928,201708
1708,3,0.0209024409094687,301708
1708,4,0.0306547493783166,401708
1708,5,0.00889222287923973,501708
1708,6,-0.0074515207468306,601708
1709,1,-0.00475043252268244,101709
1709,2,0.00663020528466894,201709
1709,3,0.0194129900745147,301709
1709,4,0.0292244566481531,401709
1709,5,0.0076990321128103,501709
1709,6,-0.00769701992477099,601709
1710,1,-0.00463562614479421,101710
1710,2,0.00706275152654177,201710
1710,3,0.0208751126195908,301710
1710,4,0.0305623998495684,401710
1710,5,0.00842227372831373,501710
1710,6,-0.00773858063966227,601710
1711,1,-0.00768576851420102,101711
1711,2,0.00362299231115198,201711
1711,3,0.0167880662690263,301711
1711,4,0.0252981566191461,401711
1711,5,0.00472400081493318,501711
1711,6,-0.0105025126754765,601711
1712,1,-0.00989039851148772,101712
1712,2,1.58902724324156e-4,201712
1712,3,0.0115820962797075,301712
1712,4,0.0189908642979941,401712
1712,5,0.00102552410491323,501712
1712,6,-0.0114277312140318,601712
1713,1,-0.00989039851148772,101713
1713,2,1.58902724324156e-4,201713
1713,3,0.0115820962797075,301713
1713,4,0.0189908642979941,401713
1713,5,0.00102552410491323,501713
1713,6,-0.0114277312140318,601713
1714,1,-0.0101895805748114,101714
1714,2,-0.00321986614240934,201714
1714,3,0.00116643061905179,301714
1714,4,0.0200081216351287,401714
1714,5,-0.00148300323829843,501714
1714,6,-0.0096606703474198,601714
1715,1,-0.00809807770237333,101715
1715,2,0.0030315844164749,201715
1715,3,0.0155849417602865,301715
1715,4,0.02402902174642,401715
1715,5,0.00390058959508751,501715
1715,6,-0.010578405523367,601715
1716,1,-0.00978923202712714,101716
1716,2,6.40265773589877e-6,201716
1716,3,0.0106041114689389,301716
1716,4,0.0173865482294732,401716
1716,5,5.9971846385181e-4,501716
1716,6,-0.0108667717930103,601716
1717,1,-0.00978923202712714,101717
1717,2,6.40265773589877e-6,201717
1717,3,0.0106041114689389,301717
1717,4,0.0173865482294732,401717
1717,5,5.9971846385181e-4,501717
1717,6,-0.0108667717930103,601717
1718,1,-0.0116404392406578,101718
1718,2,-0.00533714526826447,201718
1718,3,-0.00149959443240842,301718
1718,4,0.0245049731762647,401718
1718,5,-0.0010324442072203,501718
1718,6,-0.0105059019986375,601718
1719,1,-0.00761015240163738,101719
1719,2,-5.3415706560444e-4,201719
1719,3,0.00450577281710219,301719
1719,4,0.0211062287572982,401719
1719,5,0.00297993381760673,501719
1719,6,-0.0056191726924982,601719
1720,1,-0.00824069365036144,101720
1720,2,-6.64795182502898e-4,201720
1720,3,0.00452040337118149,301720
1720,4,0.00865445625165274,401720
1720,5,-0.00129920561022492,501720
1720,6,-0.00677328145514127,601720
1721,1,-0.00757975984380227,101721
1721,2,0.00217279427962294,201721
1721,3,0.0122313075138341,301721
1721,4,0.0190767211302796,401721
1721,5,0.00278181104889158,501721
1721,6,-0.00870608380332842,601721
1722,1,-0.00721151874823208,101722
1722,2,-0.00101277210825234,201722
1722,3,0.00200352332973872,301722
1722,4,0.00400567509921328,401722
1722,5,-0.00210822877964593,501722
1722,6,-0.00536613681292728,601722
1723,1,-0.00565159066992505,101723
1723,2,4.24689176839515e-4,201723
1723,3,0.00404042674147781,301723
1723,4,0.00623656553793647,401723
1723,5,-3.4062286467647e-4,501723
1723,6,-0.0041470736373055,601723
1724,1,-0.00632942384613663,101724
1724,2,0.00262933495629037,201724
1724,3,0.0109899060291054,301724
