WP4,campaign,value,pu
1671,1,0.109622420502798,101671
1672,1,0.103989582824659,101672
1673,1,0.101719318848986,101673
1674,1,0.102525219383112,101674
1675,1,0.104661431177757,101675
1676,1,0.104661431177757,101676
1677,1,0.102433012674011,101677
1678,1,0.102043880258305,101678
1679,1,0.103186911991355,101679
1680,1,0.104851582276037,101680
1681,1,0.100850794442377,101681
1682,1,0.100439040913363,101682
1683,1,0.0945481500670947,101683
1684,1,0.0628435525387474,101684
1685,1,0.0589639512176433,101685
1686,1,0.0589639512176433,101686
1687,1,0.0701253075841225,101687
1688,1,0.0686981933597374,101688
1689,1,0.0694052329687078,101689
1690,1,0.0694052329687078,101690
1691,1,0.0694052329687078,101691
1692,1,0.0671225269591905,101692
1693,1,0.0688016056529464,101693
1694,1,0.0533407987583236,101694
1695,1,0.0533407987583236,101695
1696,1,0.0533407987583236,101696
1697,1,0.058978003539192,101697
1698,1,0.0560566553042058,101698
1699,1,0.0575122057997565,101699
1700,1,0.0577362103289386,101700
1701,1,0.0583253977964287,101701
1702,1,0.0581209362562322,101702
1703,1,0.0585202803265643,101703
1704,1,0.055693790254322,101704
1705,1,0.055693790254322,101705
1706,1,0.055693790254322,101706
1707,1,0.0568538988931424,101707
1708,1,0.055397200059343,101708
1709,1,0.0552225909636146,101709
1710,1,0.0557141815861445,101710
1711,1,0.0609384351153798,101711
1712,1,0.0667197633885945,101712
1713,1,0.0667197633885945,101713
1714,1,0.124021124145222,101714
1715,1,0.0625159818514962,101715
1716,1,0.0667197633885945,101716
1717,1,0.0667197633885945,101717
1718,1,0.0844056111970228,101718
1719,1,0.118321874575903,101719
1720,1,0.0680659909469434,101720
1721,1,0.0642984905096649,101721
1722,1,0.0730799620859736,101722
1723,1,0.072789844077409,101723
1724,1,0.0607696143703906,101724
1725,1,0.0640859834006862,101725
1726,1,0.0648274954834343,101726
1727,1,0.0624395717285463,101727
1728,1,0.0756487771727254,101728
1729,1,0.0756487771727254,101729
1730,1,0.0756487771727254,101730
1731,1,0.0771414456036423,101731
1732,1,0.0584328733363253,101732
1733,1,0.0875879552965517,101733
1734,1,0.0822796518176442,101734
1735,1,0.0653014101846114,101735
1736,1,0.0650299631171358,101736
1737,1,0.0688256371169227,101737
1738,1,0.0822796518176442,101738
1740,1,0.0575122057997565,101740
1741,1,0.0607301404491351,101741
1742,1,0.0607301404491351,101742
1743,1,0.0607301404491351,101743
1744,1,0.0607301404491351,101744
1745,1,0.0607301404491351,101745
1746,1,0.0607301404491351,101746
1747,1,0.0607301404491351,101747
1748,1,0.110008573039674,101748
1749,1,0.110008573039674,101749
1750,1,0.0674404566308989,101750
1751,1,0.0673487458154488,101751
1752,1,0.143429860850116,101752
1753,1,0.110008573039674,101753
1754,1,0.110008573039674,101754
1755,1,0.110008573039674,101755
1756,1,0.0760021081042236,101756
1757,1,0.0666049033200433,101757
1758,1,0.0666049033200433,101758
1759,1,0.0666049033200433,101759
1760,1,0.0666049033200433,101760
1761,1,0.0690064275267908,101761
1762,1,0.0632887617200507,101762
1763,1,0.0632887617200507,101763
1764,1,0.0632887617200507,101764
1765,1,0.0632887617200507,101765
1766,1,0.0632887617200507,101766
1767,1,0.0632887617200507,101767
1770,1,0.119102172020469,101770
1771,1,0.119102172020469,101771
1772,1,0.0717529522368836,101772
1773,1,0.0556403064308747,101773
1774,1,0.0556403064308747,101774
1775,1,0.0556403064308747,101775
1776,1,0.0536923824908496,101776
1777,1,0.0536923824908496,101777
1778,1,0.0536923824908496,101778
1779,1,0.0574722137334364,101779
1780,1,0.0560160044529197,101780
1781,1,0.0560160044529197,101781
1782,1,0.0560160044529197,101782
1783,1,0.0560160044529197,101783
1784,1,0.0560160044529197,101784
1785,1,0.0588490826896768,101785
1786,1,0.051544374499326,101786
1787,1,0.0473712467888819,101787
1788,1,0.0473712467888819,101788
1789,1,0.0473712467888819,101789
1790,1,0.068524088395945,101790
1791,1,0.068524088395945,101791
1792,1,0.068524088395945,101792
1793,1,0.068524088395945,101793
1794,1,0.068524088395945,101794
1795,1,0.068524088395945,101795
1796,1,0.068524088395945,101796
1797,1,0.0705572642550463,101797
1798,1,0.067697299949992,101798
1799,1,0.067697299949992,101799
1800,1,0.067697299949992,101800
1801,1,0.067697299949992,101801
1802,1,0.0644048135818724,101802
1803,1,0.0743033656247905,101803
1804,1,0.0577739944904747,101804
1805,1,0.0658830631140596,101805
1806,1,0.0616199606459601,101806
