WP4,campaign,value,value_sd,pu
1671,1,1.6765059607290647e-5,7.877555201732379e-7,101671
1672,1,1.789782332638734e-5,7.410785554862315e-7,101672
1673,1,1.6303783270510666e-5,6.112407012704306e-7,101673
1674,1,1.6187992050177046e-5,6.00684517641608e-7,101674
1675,1,1.595927849903917e-5,5.946245045571441e-7,101675
1676,1,1.595927849903917e-5,5.946245045571441e-7,101676
1677,1,1.5417802628869632e-5,5.540568174844656e-7,101677
1678,1,1.5383046228920582e-5,5.306204317157952e-7,101678
1679,1,1.4853456046031207e-5,5.403048061471688e-7,101679
1680,1,1.5880881766477556e-5,5.169348378416193e-7,101680
1681,1,1.603111229579854e-5,5.171433013875114e-7,101681
1682,1,1.6215229936047158e-5,5.270082045524165e-7,101682
1683,1,1.5576631431705718e-5,5.154640923202967e-7,101683
1684,1,1.5316937043614872e-5,6.736739238721712e-7,101684
1685,1,1.5317343546308713e-5,7.008144361661883e-7,101685
1686,1,1.5315710708358408e-5,7.025140261255932e-7,101686
1687,1,1.6450287839003104e-5,5.720175595336956e-7,101687
1688,1,1.64610672077268e-5,5.712580469826117e-7,101688
1689,1,1.7039432475209643e-5,4.4476830875060696e-7,101689
1690,1,1.702830813854497e-5,4.4735403253938275e-7,101690
1691,1,1.7922542632298106e-5,3.339637381161339e-7,101691
1692,1,1.8862112523309955e-5,3.2029274423922685e-7,101692
1693,1,1.887320571166805e-5,3.240855641724773e-7,101693
1694,1,1.8242170305558375e-5,3.670264506583206e-7,101694
1695,1,1.8242170305558375e-5,3.670264506583206e-7,101695
1696,1,1.8242170305558375e-5,3.670264506583206e-7,101696
1697,1,1.821785214780369e-5,3.6056637990793636e-7,101697
1698,1,1.8116541470123398e-5,3.580395104185466e-7,101698
1699,1,1.8399390485794057e-5,2.845425056736299e-7,101699
1700,1,1.6439274739214045e-5,2.594913742571837e-7,101700
1701,1,1.6433521902721306e-5,2.333855273332713e-7,101701
1702,1,1.638125781462421e-5,2.1747003907915302e-7,101702
1703,1,1.539663004348908e-5,1.8671302348823513e-7,101703
1704,1,1.3397218912913573e-5,2.2916313628015913e-7,101704
1705,1,1.339759321659907e-5,2.108650046341835e-7,101705
1706,1,1.4172090475145607e-5,2.0376669298229902e-7,101706
1707,1,1.2848083046619157e-5,1.6945683664808706e-7,101707
1708,1,9.947955614029854e-6,1.1090833341726785e-7,101708
1709,1,1.0168056836175618e-5,1.319078777622712e-7,101709
1710,1,8.283037209380954e-6,2.179947745459317e-7,101710
1711,1,1.4046873472755011e-5,1.7684979624065527e-7,101711
1712,1,1.0943233290206548e-5,7.875171299488674e-7,101712
1713,1,1.0943233290206548e-5,7.875171299488674e-7,101713
1714,1,7.358764117317563e-6,1.3103777522529983e-6,101714
1715,1,1.215111612173046e-5,1.0018998401420909e-7,101715
1716,1,1.1696139873825414e-5,2.537857587077919e-7,101716
1717,1,1.1696139873825414e-5,2.537857587077919e-7,101717
1718,1,7.947875978209317e-6,1.268945434908583e-6,101718
1719,1,7.195113900171444e-6,1.5059586044296397e-6,101719
1720,1,9.856207901788057e-6,2.3040825508134497e-7,101720
1721,1,1.167173585359154e-5,2.386270996672982e-7,101721
1722,1,8.747499767466651e-6,2.891016675010399e-7,101722
1723,1,9.135514538684304e-6,4.576123245639144e-7,101723
1724,1,1.0849141299775163e-5,5.117560390912682e-7,101724
1725,1,9.029839129254576e-6,2.286602438670554e-7,101725
1726,1,8.978340841389236e-6,2.1073234079729448e-7,101726
1727,1,1.3423189309778006e-5,1.3536100904945574e-7,101727
1728,1,8.339593543758787e-6,1.970104288289771e-6,101728
1729,1,8.339593543758787e-6,1.970104288289771e-6,101729
1730,1,8.339593543758787e-6,1.970104288289771e-6,101730
1731,1,8.909191254423803e-6,1.9480736168844222e-7,101731
1732,1,9.018532722724727e-6,1.7560714743512231e-6,101732
1733,1,9.801165377522362e-6,1.8308913370653147e-7,101733
1734,1,9.089533549144889e-6,1.8200277005904752e-6,101734
1735,1,1.208779013565809e-5,1.610491260706768e-7,101735
1736,1,1.1304097620222987e-5,2.052402587703106e-7,101736
1737,1,9.264951249666237e-6,1.831936870822585e-7,101737
1738,1,9.089533549144889e-6,1.8200277005904752e-6,101738
1740,1,1.8399390485794057e-5,2.845425056736299e-7,101740
1741,1,9.011577653966087e-6,2.0700104177548733e-7,101741
1742,1,9.011577653966087e-6,2.0700104177548733e-7,101742
1743,1,9.011577653966087e-6,2.0700104177548733e-7,101743
1744,1,9.011577653966087e-6,2.0700104177548733e-7,101744
1745,1,9.011577653966087e-6,2.0700104177548733e-7,101745
1746,1,9.011577653966087e-6,2.0700104177548733e-7,101746
1747,1,9.011577653966087e-6,2.0700104177548733e-7,101747
1748,1,7.399159566213536e-6,1.0287164035725209e-6,101748
1749,1,7.399159566213536e-6,1.0287164035725209e-6,101749
1750,1,1.2603640149461388e-5,1.637801601234459e-7,101750
1751,1,1.0247116198307234e-5,3.5240475553423485e-7,101751
1752,1,6.447083506999809e-6,1.1990823128387228e-6,101752
1753,1,7.399159566213536e-6,1.0287164035725209e-6,101753
1754,1,7.399159566213536e-6,1.0287164035725209e-6,101754
1755,1,7.399159566213536e-6,1.0287164035725209e-6,101755
1756,1,9.083344735994943e-6,1.4226414178655452e-7,101756
1757,1,9.48564427466049e-6,1.8621356584845955e-7,101757
1758,1,9.48564427466049e-6,1.8621356584845955e-7,101758
1759,1,9.48564427466049e-6,1.8621356584845955e-7,101759
1760,1,9.48564427466049e-6,1.8621356584845955e-7,101760
1761,1,8.500810902958478e-6,2.0899410278679564e-7,101761
1762,1,9.341202696496385e-6,1.0043959718640964e-6,101762
1763,1,9.341202696496385e-6,1.0043959718640964e-6,101763
1764,1,9.341202696496385e-6,1.0043959718640964e-6,101764
1765,1,9.341202696496385e-6,1.0043959718640964e-6,101765
1766,1,9.341202696496385e-6,1.0043959718640964e-6,101766
1767,1,9.341202696496385e-6,1.0043959718640964e-6,101767
1770,1,7.001087723165174e-6,1.4077049159409304e-6,101770
1771,1,7.001087723165174e-6,1.4077049159409304e-6,101771
1772,1,8.851369833062158e-6,6.13390304391581e-7,101772
1773,1,1.3634341779130112e-5,1.5392418405621808e-7,101773
1774,1,1.3634341779130112e-5,1.5392418405621808e-7,101774
1775,1,1.3634341779130112e-5,1.5392418405621808e-7,101775
1776,1,1.3427847418446706e-5,1.728349077363839e-7,101776
1777,1,1.3266136331780718e-5,2.0337810606617167e-7,101777
1778,1,1.2616873802143027e-5,2.6339052500759363e-7,101778
1779,1,1.3072510456546752e-5,2.0256154891725342e-7,101779
1780,1,1.1374730157362992e-5,1.4530874175865343e-7,101780
1781,1,1.1374730157362992e-5,1.4530874175865343e-7,101781
1782,1,1.1374730157362992e-5,1.4530874175865343e-7,101782
1783,1,1.1374730157362992e-5,1.4530874175865343e-7,101783
1784,1,1.1374730157362992e-5,1.4530874175865343e-7,101784
1785,1,8.461333344232443e-6,1.399334741818842e-7,101785
1786,1,7.6289751907612e-6,2.1050781640655174e-7,101786
1787,1,1.2008865440840041e-5,1.8797083291344745e-6,101787
1788,1,1.2008865440840041e-5,1.8797083291344745e-6,101788
1789,1,1.2008865440840041e-5,1.8797083291344745e-6,101789
1790,1,1.0997370565572485e-5,1.9000276998265882e-7,101790
1791,1,1.0997370565572485e-5,1.9000276998265882e-7,101791
1792,1,1.0997370565572485e-5,1.9000276998265882e-7,101792
1793,1,1.0997370565572485e-5,1.9000276998265882e-7,101793
1794,1,1.0997370565572485e-5,1.9000276998265882e-7,101794
1795,1,1.0997370565572485e-5,1.9000276998265882e-7,101795
1796,1,1.0997370565572485e-5,1.9000276998265882e-7,101796
1797,1,8.559564510818318e-6,2.071321831716382e-7,101797
1798,1,1.2457598000311712e-5,9.886081403224126e-8,101798
1799,1,1.2457598000311712e-5,9.886081403224126e-8,101799
1800,1,1.2457598000311712e-5,9.886081403224126e-8,101800
1801,1,1.2457598000311712e-5,9.886081403224126e-8,101801
1802,1,9.350430303509533e-6,9.167559968760394e-7,101802
1803,1,8.802805802711749e-6,1.0407453560354984e-7,101803
1804,1,1.0691292306763392e-5,1.7361946905219557e-7,101804
1805,1,1.3459997363333202e-5,1.25956926622589e-7,101805
1806,1,1.4082298389705914e-5,1.2490918390839474e-7,101806
1807,1,9.958884669225626e-6,1.8692987021695415e-6,101807
1808,1,9.958884669225626e-6,1.8692987021695415e-6,101808
1809,1,9.958884669225626e-6,1.8692987021695415e-6,101809
1810,1,6.73026138598906e-6,1.5012275565945368e-6,101810
1811,1,8.843563835849986e-6,8.986519443704569e-7,101811
1812,1,1.0701582640331972e-5,1.8719235468808244e-7,101812
1813,1,1.408957294362226e-5,1.388016733306303e-7,101813
1814,1,6.803451150731673e-6,1.3751337618390174e-6,101814
1815,1,6.803451150731673e-6,1.3751337618390174e-6,101815
1816,1,8.268491893556331e-6,9.20360371477798e-7,101816
1817,1,6.9464692804872064e-06,1.3776047444260252e-6,101817
1818,1,8.268491893556331e-6,9.20360371477798e-7,101818
1819,1,8.268491893556331e-6,9.20360371477798e-7,101819
1820,1,9.63356361675044e-6,1.411450125185355e-6,101820
1821,1,6.4399938416708215e-6,1.0635494425128633e-6,101821
1822,1,6.4399938416708215e-6,1.0635494425128633e-6,101822
1823,1,6.4399938416708215e-6,1.0635494425128633e-6,101823
1824,1,7.364721461201947e-6,1.464153704655177e-6,101824
1825,1,7.364721461201947e-6,1.464153704655177e-6,101825
1826,1,7.364721461201947e-6,1.464153704655177e-6,101826
1827,1,1.071653479833145e-5,5.109928099320062e-7,101827
1828,1,1.0990535174185554e-5,1.2089326996040097e-7,101828
1829,1,9.984725781821274e-6,2.0508244468416525e-7,101829
1830,1,7.577978214750775e-6,1.5168541051858919e-6,101830
1831,1,9.820491325099935e-6,1.623202529793061e-7,101831
1832,1,8.501134556230472e-6,1.27402399036514e-6,101832
1833,1,9.567022650850278e-6,2.1134013596260495e-7,101833
1834,1,9.579581163968636e-6,1.7982914925242376e-7,101834
1835,1,1.1473046052146376e-5,9.98796299167202e-7,101835
1836,1,8.24691508763256e-6,1.5728036831173017e-6,101836
1837,1,7.878804725601522e-6,1.5284063732049493e-6,101837
1838,1,8.501134556230472e-6,1.27402399036514e-6,101838
1839,1,9.564763172335855e-6,2.36849060320113e-7,101839
1840,1,8.627115322366024e-6,1.2901302636751537e-7,101840
1841,1,7.219244928103278e-6,1.090255064867774e-6,101841
1842,1,8.646604384040753e-6,1.124577525303037e-7,101842
1843,1,1.051089029561917e-5,6.604658790031643e-7,101843
1844,1,1.0992807445622163e-5,1.305320502333366e-7,101844
1845,1,1.0992807445622163e-5,1.305320502333366e-7,101845
1846,1,1.0992807445622163e-5,1.305320502333366e-7,101846
1847,1,1.0992807445622163e-5,1.305320502333366e-7,101847
1848,1,9.114135567727208e-6,1.5923216395788376e-6,101848
1849,1,7.356433456404137e-6,9.039360830705216e-7,101849
1850,1,7.356433456404137e-6,9.039360830705216e-7,101850
1851,1,7.917007652763538e-6,1.3307916707891369e-6,101851
1852,1,8.821981049479126e-6,8.451745839986856e-7,101852
1853,1,1.194144961136673e-5,1.33707126957476e-7,101853
1854,1,9.365317558563158e-6,1.7593624861337636e-6,101854
1855,1,8.181428462446837e-6,1.450003318817299e-6,101855
1856,1,1.529051113565242e-5,6.90538692723202e-7,101856
1857,1,1.533743611596445e-5,6.991336817743068e-7,101857
1858,1,1.6478201138055884e-5,5.200470687680363e-7,101858
1859,1,1.6478201138055884e-5,5.200470687680363e-7,101859
1860,1,1.6867101468537213e-5,4.942671028037603e-7,101860
1861,1,1.7286461226559526e-5,4.3657983283399566e-7,101861
1862,1,1.8228256752060058e-5,2.9515861446355345e-7,101862
1863,1,1.9847456525350002e-5,2.9732723538424777e-7,101863
1864,1,1.9857929792251916e-5,3.027354732669088e-7,101864
1865,1,2.0005279871616424e-5,3.4409854644185006e-7,101865
1866,1,2.0105640185234368e-5,3.5997392276263855e-7,101866
1867,1,2.011980906946017e-5,3.8014854006762496e-7,101867
1868,1,1.954592377672815e-5,3.8106686300338973e-7,101868
1869,1,1.904932015148194e-5,3.0180311994071956e-7,101869
1870,1,1.894055532154564e-5,2.526571097758615e-7,101870
1871,1,1.7943036701068204e-5,1.55016562665463e-7,101871
1872,1,1.7924889202774976e-5,1.4106179350623794e-7,101872
1873,1,1.7801724099284704e-5,1.278524605583391e-7,101873
1874,1,1.3817631122709583e-5,2.0272121824692064e-7,101874
1875,1,1.3817631122709583e-5,2.0272121824692064e-7,101875
1876,1,1.3965170495157203e-5,1.2144263519828142e-7,101876
1877,1,1.3965170495157203e-5,1.2144263519828142e-7,101877
1878,1,9.171385831490029e-6,2.0988460035267374e-6,101878
1879,1,1.0684131005836348e-5,1.6755760898539547e-7,101879
1880,1,1.0390905311213533e-5,9.573642408513889e-8,101880
1881,1,1.0390905311213533e-5,9.573642408513889e-8,101881
1882,1,7.6199177399678645e-6,1.0109104698941567e-6,101882
1883,1,1.1593226627875541e-5,1.8109542657333098e-7,101883
1884,1,1.1593226627875541e-5,1.8109542657333098e-7,101884
1885,1,8.965437770929292e-6,1.9159637344840277e-7,101885
1886,1,8.965437770929292e-6,1.9159637344840277e-7,101886
1887,1,8.965437770929292e-6,1.9159637344840277e-7,101887
1894,1,7.6199177399678645e-6,1.0109104698941567e-6,101894
1895,1,7.6199177399678645e-6,1.0109104698941567e-6,101895
1896,1,7.6199177399678645e-6,1.0109104698941567e-6,101896
1897,1,7.6199177399678645e-6,1.0109104698941567e-6,101897
1898,1,7.6199177399678645e-6,1.0109104698941567e-6,101898
1899,1,7.6199177399678645e-6,1.0109104698941567e-6,101899
1903,1,1.0175465541455446e-5,8.258892308147595e-7,101903
1904,1,1.0175465541455446e-5,8.258892308147595e-7,101904
1905,1,6.753592309914097e-6,1.341421159910213e-6,101905
1906,1,6.753592309914097e-6,1.341421159910213e-6,101906
1907,1,1.1940681307220507e-5,1.5751993433675107e-7,101907
1908,1,1.0858170450139878e-5,1.8186534700649406e-6,101908
1909,1,1.0858170450139878e-5,1.8186534700649406e-6,101909
1910,1,8.618344497533862e-6,1.1462406514225112e-6,101910
1911,1,4.875153920213427e-6,7.695526957397663e-7,101911
1912,1,1.0858170450139878e-5,1.8186534700649406e-6,101912
1913,1,8.751587346067232e-6,1.4599669103045073e-6,101913
1914,1,8.751587346067232e-6,1.4599669103045073e-6,101914
1915,1,8.751587346067232e-6,1.4599669103045073e-6,101915
1916,1,8.751587346067232e-6,1.4599669103045073e-6,101916
1918,1,8.077465376281774e-6,1.4124818304674448e-6,101918
1919,1,8.077465376281774e-6,1.4124818304674448e-6,101919
1920,1,8.077465376281774e-6,1.4124818304674448e-6,101920
1921,1,8.077465376281774e-6,1.4124818304674448e-6,101921
1922,1,8.077465376281774e-6,1.4124818304674448e-6,101922
1923,1,8.077465376281774e-6,1.4124818304674448e-6,101923
1924,1,8.077465376281774e-6,1.4124818304674448e-6,101924
1925,1,8.077465376281774e-6,1.4124818304674448e-6,101925
1931,1,8.772061724512457e-6,4.549268584839517e-7,101931
1932,1,8.772061724512457e-6,4.549268584839517e-7,101932
1934,1,6.5480131514825045e-6,1.2177810401180733e-6,101934
1935,1,1.1153304125101486e-5,2.1626879263251492e-7,101935
1936,1,8.36091249770842e-6,1.3931355659575168e-7,101936
1937,1,8.45304989019278e-6,2.075573965144094e-6,101937
1938,1,8.45304989019278e-6,2.075573965144094e-6,101938
1939,1,8.45304989019278e-6,2.075573965144094e-6,101939
1940,1,8.45304989019278e-6,2.075573965144094e-6,101940
1945,1,7.151970297508517e-6,1.7956115273004083e-6,101945
1946,1,7.151970297508517e-6,1.7956115273004083e-6,101946
1947,1,7.151970297508517e-6,1.7956115273004083e-6,101947
1948,1,9.775038121659243e-6,1.8029040717879413e-7,101948
1949,1,9.775038121659243e-6,1.8029040717879413e-7,101949
1950,1,1.2331842234305218e-5,3.207364851022837e-7,101950
1951,1,8.098999467017811e-6,1.1807845033135735e-6,101951
1952,1,7.3901074103531596e-6,1.4698805137478802e-6,101952
1953,1,1.0015485031972443e-5,1.8649976351677943e-7,101953
1954,1,1.0015485031972443e-5,1.8649976351677943e-7,101954
1955,1,6.796903596389339e-6,1.3600783757261818e-6,101955
1956,1,6.796903596389339e-6,1.3600783757261818e-6,101956
1957,1,9.825582205203444e-6,1.5031621909992607e-7,101957
1958,1,8.566815421084493e-6,1.9064801122708298e-7,101958
1959,1,8.566815421084493e-6,1.9064801122708298e-7,101959
1960,1,8.566815421084493e-6,1.9064801122708298e-7,101960
1961,1,8.566815421084493e-6,1.9064801122708298e-7,101961
1962,1,8.566815421084493e-6,1.9064801122708298e-7,101962
1963,1,8.566815421084493e-6,1.9064801122708298e-7,101963
1964,1,8.566815421084493e-6,1.9064801122708298e-7,101964
1965,1,8.566815421084493e-6,1.9064801122708298e-7,101965
1966,1,8.566815421084493e-6,1.9064801122708298e-7,101966
1972,1,1.2061996793993733e-5,2.061550022312506e-7,101972
1973,1,6.280446355078506e-6,1.5374915081487015e-6,101973
1974,1,7.490422726541044e-6,1.3050574177531957e-6,101974
1975,1,8.435832225751547e-6,1.2170472011732629e-6,101975
1976,1,9.564514160101205e-6,1.4907782278605127e-6,101976
1977,1,9.849208026792444e-6,1.9556348092373145e-7,101977
1978,1,7.65402923947426e-6,1.8469227434305902e-7,101978
1979,1,7.250068890114891e-6,1.047387454271155e-6,101979
1980,1,8.871529243952012e-6,2.0807644314021996e-7,101980
1981,1,8.871529243952012e-6,2.0807644314021996e-7,101981
1982,1,8.871529243952012e-6,2.0807644314021996e-7,101982
1983,1,8.66938436217431e-6,1.3965538577988823e-7,101983
1984,1,8.66938436217431e-6,1.3965538577988823e-7,101984
1985,1,8.66938436217431e-6,1.3965538577988823e-7,101985
1986,1,8.66938436217431e-6,1.3965538577988823e-7,101986
1988,1,1.0619113288777283e-5,7.84415518544471e-7,101988
1989,1,5.50541990279912e-6,9.729895221471052e-7,101989
1990,1,5.50541990279912e-6,9.729895221471052e-7,101990
1991,1,5.50541990279912e-6,9.729895221471052e-7,101991
1992,1,5.50541990279912e-6,9.729895221471052e-7,101992
1993,1,7.54433479439021e-6,1.2084539666515558e-6,101993
1994,1,6.258900784022492e-6,1.3291071447469545e-6,101994
1995,1,7.250068890114891e-6,1.047387454271155e-6,101995
1996,1,1.0841706632148857e-5,7.198031700936945e-7,101996
1997,1,1.0841706632148857e-5,7.198031700936945e-7,101997
1998,1,1.0841706632148857e-5,7.198031700936945e-7,101998
1999,1,1.0841706632148857e-5,7.198031700936945e-7,101999
2000,1,7.629987808029944e-6,1.454089352925243e-6,102000
2001,1,6.928041750942487e-6,1.2870608829350095e-6,102001
2002,1,7.158232850874185e-6,1.29529598287302e-6,102002
2003,1,7.552245265820005e-6,1.3995391773230578e-6,102003
2004,1,6.663705539537945e-6,1.4600527444212825e-6,102004
