WP4,campaign,value,pu
7227,3,0.311839204,307227
7227,1,0.314287089,107227
7227,2,0.312492599,207227
7227,5,0.310436804,507227
7227,4,0.314253459,407227
7227,6,0.312741768,607227
7228,6,0.312741768,607228
7228,2,0.312492599,207228
7228,4,0.314253459,407228
7228,3,0.311839204,307228
7228,1,0.314287089,107228
7228,5,0.310436804,507228
7341,6,0.291895963,607341
7341,4,0.29142857,407341
7341,3,0.299238237,307341
7341,2,0.304139467,207341
7341,1,0.304868846,107341
7341,5,0.292016229,507341
7229,3,0.309617825,307229
7229,1,0.311438657,107229
7229,4,0.309424155,407229
7229,6,0.311518216,607229
7229,5,0.308272917,507229
7229,2,0.309263535,207229
7322,3,0.285635848,307322
7324,3,0.285635848,307324
7323,3,0.285635848,307323
7322,4,0.278435066,407322
7324,4,0.278435066,407324
7323,4,0.278435066,407323
7322,2,0.263591089,207322
7324,2,0.263591089,207324
7323,2,0.263591089,207323
7322,6,0.286482908,607322
7324,6,0.286482908,607324
7323,6,0.286482908,607323
7322,1,0.267320799,107322
7324,1,0.267320799,107324
7323,1,0.267320799,107323
7322,5,0.282950605,507322
7324,5,0.282950605,507324
7323,5,0.282950605,507323
7325,1,0.275743923,107325
7325,3,0.287714206,307325
7325,6,0.282372343,607325
7325,4,0.283116876,407325
7325,5,0.258796948,507325
7325,2,0.272842486,207325
7337,2,0.302185153,207337
7337,6,0.279133189,607337
7337,3,0.293001607,307337
7337,4,0.289413855,407337
7337,1,0.300835178,107337
7337,5,0.280118592,507337
7326,3,0.301258656,307326
7326,4,0.288241587,407326
7326,2,0.295358721,207326
7326,5,0.279742516,507326
7326,6,0.286648352,607326
7326,1,0.297215251,107326
7327,1,0.254812598,107327
7327,5,0.290920557,507327
7327,4,0.278893972,407327
7327,2,0.251626468,207327
7327,6,0.29131792,607327
7327,3,0.271454416,307327
7335,6,0.294240445,607335
7335,2,0.276325758,207335
7335,5,0.287785943,507335
7335,3,0.286313696,307335
7335,4,0.290396986,407335
7335,1,0.278830469,107335
7328,1,0.289568895,107328
7328,4,0.296081419,407328
7328,6,0.294856853,607328
7328,5,0.29505588,507328
7328,3,0.295551783,307328
7328,2,0.287353282,207328
7334,2,0.303002331,207334
7334,3,0.292513211,307334
7334,4,0.28957251,407334
7334,6,0.278906874,607334
7334,1,0.300841778,107334
7334,5,0.280447129,507334
7329,6,0.295422334,607329
7329,5,0.29446267,507329
7329,1,0.305539555,107329
7329,4,0.298634596,407329
7329,3,0.299336953,307329
7329,2,0.303416128,207329
7333,3,0.290976204,307333
7333,5,0.280040951,507333
7333,2,0.297157467,207333
7333,4,0.288661619,407333
7333,1,0.302284743,107333
7333,6,0.2788405,607333
7330,4,0.292458958,407330
7330,1,0.299336501,107330
7330,3,0.301162511,307330
7330,6,0.295474385,607330
7330,5,0.27963754,507330
7330,2,0.298573354,207330
7331,4,0.290786419,407331
7331,6,0.295992258,607331
7331,2,0.28642784,207331
7331,5,0.28663726,507331
7331,1,0.288785123,107331
7331,3,0.294236077,307331
7332,4,0.289934187,407332
7332,3,0.285190496,307332
7332,1,0.304290428,107332
7332,5,0.281415071,507332
7332,2,0.298649351,207332
7332,6,0.281808063,607332
7336,3,0.291424391,307336
7336,2,0.281415132,207336
7336,1,0.283057919,107336
7336,5,0.295503357,507336
7336,4,0.296635334,407336
7336,6,0.295395363,607336
7338,3,0.30837435,307338
7338,4,0.307817171,407338
7338,2,0.306752659,207338
7338,6,0.292127715,607338
7338,1,0.308033184,107338
7338,5,0.290826844,507338
7340,6,0.279186285,607340
7339,6,0.279186285,607339
7340,2,0.301497513,207340
7339,2,0.301497513,207339
7340,1,0.294253087,107340
7339,1,0.294253087,107339
7340,3,0.283148344,307340
7339,3,0.283148344,307339
7340,4,0.284493033,407340
7339,4,0.284493033,407339
7340,5,0.279047434,507340
7339,5,0.279047434,507339
7230,6,0.310952775,607230
7230,5,0.308448356,507230
7230,3,0.309448342,307230
7230,2,0.308823031,207230
7230,4,0.310762539,407230
7230,1,0.311093102,107230
7321,3,0.292776686,307321
7321,5,0.281327517,507321
7321,4,0.290445004,407321
7321,2,0.305142234,207321
7321,1,0.306144395,107321
7321,6,0.279736682,607321
7231,4,0.310998783,407231
7232,4,0.310998783,407232
7231,5,0.308468134,507231
7232,5,0.308468134,507232
7231,3,0.30777635,307231
7232,3,0.30777635,307232
7231,6,0.309936857,607231
7232,6,0.309936857,607232
7231,1,0.309611953,107231
7232,1,0.309611953,107232
7231,2,0.307311923,207231
7232,2,0.307311923,207232
7234,3,0.308783501,307234
7233,3,0.308783501,307233
7234,1,0.309988769,107234
7233,1,0.309988769,107233
7234,4,0.293712782,407234
7233,4,0.293712782,407233
7234,6,0.30472241,607234
7233,6,0.30472241,607233
7234,2,0.308218763,207234
7233,2,0.308218763,207233
7234,5,0.3036764,507234
7233,5,0.3036764,507233
7235,2,0.308673659,207235
7235,1,0.31023593,107235
7235,6,0.303025639,607235
7235,3,0.308812439,307235
7235,4,0.292870038,407235
7235,5,0.291220433,507235
7236,1,0.313616308,107236
7236,5,0.301675549,507236
7236,3,0.311886274,307236
7236,4,0.299785373,407236
7236,2,0.313006245,207236
7236,6,0.30198446,607236
7237,2,0.319324353,207237
7238,2,0.319324353,207238
7237,6,0.30273145,607237
7238,6,0.30273145,607238
7237,4,0.303095413,407237
7238,4,0.303095413,407238
7237,3,0.3151666,307237
7238,3,0.3151666,307238
7237,5,0.301840794,507237
7238,5,0.301840794,507238
7237,1,0.319321994,107237
7238,1,0.319321994,107238
7239,5,0.297950633,507239
7239,6,0.298463413,607239
7239,2,0.299256132,207239
7239,3,0.299717086,307239
7239,1,0.303567079,107239
7239,4,0.300583389,407239
7241,6,0.308119604,607241
7241,5,0.307329906,507241
7241,4,0.307502309,407241
7241,1,0.314577385,107241
7241,3,0.311202858,307241
7241,2,0.313878136,207241
7296,2,0.314336448,207296
7296,4,0.291520978,407296
7296,1,0.314636495,107296
7296,6,0.281756005,607296
7296,5,0.290480208,507296
7296,3,0.299387728,307296
7242,3,0.305851676,307242
7242,2,0.304122007,207242
7242,1,0.304940435,107242
7242,5,0.304671829,507242
7242,6,0.304264988,607242
7242,4,0.304962389,407242
7243,6,0.302617318,607243
7243,3,0.303645598,307243
7243,5,0.305238204,507243
7243,4,0.304662165,407243
7243,2,0.303765769,207243
7243,1,0.304788313,107243
7244,6,0.306032507,607244
7244,3,0.304273088,307244
7244,1,0.3019144,107244
7244,5,0.305538827,507244
7244,2,0.300217174,207244
7244,4,0.305124292,407244
7280,5,0.321911491,507280
7281,5,0.321911491,507281
7280,1,0.310201715,107280
7281,1,0.310201715,107281
7280,3,0.318855252,307280
7281,3,0.318855252,307281
7280,4,0.328905483,407280
7281,4,0.328905483,407281
7280,2,0.309578223,207280
7281,2,0.309578223,207281
7280,6,0.321382633,607280
7281,6,0.321382633,607281
7291,1,0.30286095,107291
7291,2,0.302792056,207291
7291,3,0.30537118,307291
7291,4,0.309080843,407291
7291,6,0.296545059,607291
7291,5,0.308260648,507291
7282,4,0.304488072,407282
7282,3,0.302349077,307282
7282,6,0.302231128,607282
7282,2,0.297818062,207282
7282,5,0.304117985,507282
7282,1,0.298968277,107282
7283,2,0.298237354,207283
7283,4,0.307846154,407283
7283,6,0.303475814,607283
7283,3,0.303742015,307283
7283,1,0.298860362,107283
7283,5,0.305396277,507283
7284,6,0.303884535,607284
7284,5,0.308211885,507284
7284,2,0.30338136,207284
7284,1,0.304068324,107284
7284,4,0.309520532,407284
7284,3,0.306936869,307284
7285,1,0.301359122,107285
7285,2,0.302758778,207285
7285,5,0.299649048,507285
7285,6,0.298396442,607285
7285,3,0.304164528,307285
7285,4,0.270355432,407285
7286,6,0.293537204,607286
7286,4,0.309797277,407286
7286,1,0.307342301,107286
7286,5,0.3076509,507286
7286,3,0.310190143,307286
7286,2,0.307356952,207286
7287,4,0.305242384,407287
7287,3,0.303875965,307287
7287,6,0.298418724,607287
7287,2,0.299453098,207287
7287,1,0.299187241,107287
7287,5,0.305614736,507287
7288,5,0.307329586,507288
7288,4,0.306735712,407288
7288,1,0.291578704,107288
