WP4,campaign,value,pu
7227,3,3.70644420051441e-5,307227
7227,1,3.45205520346651e-5,107227
7227,2,3.69284068104431e-5,207227
7227,5,2.45203941354989e-5,507227
7227,4,2.38390281332611e-5,407227
7227,6,3.50701001062687e-5,607227
7228,6,3.50701001062687e-5,607228
7228,2,3.69284068104431e-5,207228
7228,4,2.38390281332611e-5,407228
7228,3,3.70644420051441e-5,307228
7228,1,3.45205520346651e-5,107228
7228,5,2.45203941354989e-5,507228
7341,6,5.9095633732889e-6,607341
7341,4,5.50042115481431e-6,407341
7341,3,8.03418928600175e-6,307341
7341,2,7.49590976213608e-6,207341
7341,1,7.57882018318108e-6,107341
7341,5,5.84371925570918e-6,507341
7229,3,2.35176551371577e-5,307229
7229,1,2.38621259581465e-5,107229
7229,4,2.71659720099807e-5,407229
7229,6,2.87836132287229e-5,607229
7229,5,2.65214743014802e-5,507229
7229,2,2.42652558792887e-5,207229
7322,3,5.69691093548865e-6,307322
7324,3,5.69691093548865e-6,307324
7323,3,5.69691093548865e-6,307323
7322,4,4.65675567587858e-6,407322
7324,4,4.65675567587858e-6,407324
7323,4,4.65675567587858e-6,407323
7322,2,2.42823739825666e-6,207322
7324,2,2.42823739825666e-6,207324
7323,2,2.42823739825666e-6,207323
7322,6,4.15444295489395e-6,607322
7324,6,4.15444295489395e-6,607324
7323,6,4.15444295489395e-6,607323
7322,1,3.27393211807192e-6,107322
7324,1,3.27393211807192e-6,107324
7323,1,3.27393211807192e-6,107323
7322,5,4.44169105929724e-6,507322
7324,5,4.44169105929724e-6,507324
7323,5,4.44169105929724e-6,507323
7325,1,8.22509269286458e-6,107325
7325,3,9.42347891372104e-6,307325
7325,6,4.29171399842257e-6,607325
7325,4,7.76455366471366e-6,407325
7325,5,8.12250301511712e-6,507325
7325,2,7.21054223673965e-6,207325
7337,2,7.19671599023786e-6,207337
7337,6,6.81418273796638e-6,607337
7337,3,8.74694446415703e-6,307337
7337,4,6.25021979725467e-6,407337
7337,1,7.00191016092562e-6,107337
7337,5,6.3432660261455e-6,507337
7326,3,9.82757288536576e-6,307326
7326,4,5.33933929358522e-6,407326
7326,2,9.51594808057987e-6,207326
7326,5,4.54674784727543e-6,507326
7326,6,5.03172159054005e-6,607326
7326,1,1.04338132388947e-5,107326
7327,1,3.78389451011417e-6,107327
7327,5,1.12335916756649e-5,507327
7327,4,7.35045894288026e-6,407327
7327,2,2.78622238421601e-6,207327
7327,6,4.82021992711065e-6,607327
7327,3,5.64075293100931e-6,307327
7335,6,6.21202260918213e-6,607335
7335,2,1.05434115366339e-5,207335
7335,5,7.01667437973877e-6,507335
7335,3,1.10966384321351e-5,307335
7335,4,1.07973807132818e-5,407335
7335,1,1.13260219445047e-5,107335
7328,1,8.10495652870357e-6,107328
7328,4,6.82587188709541e-6,407328
7328,6,6.83047066512254e-6,607328
7328,5,6.39988868574305e-6,507328
7328,3,7.87004466592759e-6,307328
7328,2,7.2821570255595e-6,207328
7334,2,8.28296183083688e-6,207334
7334,3,8.8450497895709e-6,307334
7334,4,6.17987743030607e-6,407334
7334,6,6.83442464160727e-6,607334
7334,1,7.17609423280641e-6,107334
7334,5,6.30107382145807e-6,507334
7329,6,7.0995480225582e-6,607329
7329,5,6.27332757397687e-6,507329
7329,1,1.14480138476337e-5,107329
7329,4,7.69432741732319e-6,407329
7329,3,9.23722697774097e-6,307329
7329,2,1.06379388365632e-5,207329
7333,3,9.13719470454107e-6,307333
7333,5,6.32238508766536e-6,507333
7333,2,9.34621944728864e-6,207333
7333,4,6.7599411527497e-6,407333
7333,1,8.42598596893872e-6,107333
7333,6,6.56374528291253e-6,607333
7330,4,6.97480888441517e-6,407330
7330,1,1.15889305888624e-5,107330
7330,3,1.03520983530472e-5,307330
7330,6,5.70296586144164e-6,607330
7330,5,4.67129939040709e-6,507330
7330,2,1.12516969131978e-5,207330
7331,4,5.9457831170686e-6,407331
7331,6,5.38321585725377e-6,607331
7331,2,6.5511323556898e-6,207331
7331,5,4.74016067007595e-6,507331
7331,1,6.76903695040989e-6,107331
7331,3,6.37448249557949e-6,307331
7332,4,6.74690528713412e-6,407332
7332,3,7.95149228166091e-6,307332
7332,1,7.50366632445192e-6,107332
7332,5,6.22024218372429e-6,507332
7332,2,9.02484214726928e-6,207332
7332,6,6.30154698485449e-6,607332
7336,3,7.99247612905767e-6,307336
7336,2,8.15742862865365e-6,207336
7336,1,8.22469750840474e-6,107336
7336,5,6.12721143692233e-6,507336
7336,4,6.11337210723715e-6,407336
7336,6,6.61568735954437e-6,607336
7338,3,9.72385529659495e-6,307338
7338,4,8.80443552560423e-6,407338
7338,2,1.20580004216379e-5,207338
7338,6,1.09242979932738e-5,607338
7338,1,1.3396561178498e-5,107338
7338,5,9.64859609649664e-6,507338
7340,6,5.42923704710321e-6,607340
7339,6,5.42923704710321e-6,607339
7340,2,9.67702043475694e-6,207340
7339,2,9.67702043475694e-6,207339
7340,1,9.68612212875712e-6,107340
7339,1,9.68612212875712e-6,107339
7340,3,6.09357834193382e-6,307340
7339,3,6.09357834193382e-6,307339
7340,4,5.38444741382526e-6,407340
7339,4,5.38444741382526e-6,407339
7340,5,5.21120888482878e-6,507340
7339,5,5.21120888482878e-6,507339
7230,6,2.81309805725503e-5,607230
7230,5,2.31483427584029e-5,507230
7230,3,2.23099675699684e-5,307230
7230,2,2.35224885833256e-5,207230
7230,4,2.34982634212077e-5,407230
7230,1,2.32170952227976e-5,107230
7321,3,9.28045739734321e-6,307321
7321,5,6.26332100290689e-6,507321
7321,4,6.8317295682811e-6,407321
7321,2,9.59435781139902e-6,207321
7321,1,9.10420142548314e-6,107321
7321,6,6.47860406234067e-6,607321
7231,4,2.0699085806301e-5,407231
7232,4,2.0699085806301e-5,407232
7231,5,2.35738887486483e-5,507231
7232,5,2.35738887486483e-5,507232
7231,3,1.99155423431074e-5,307231
7232,3,1.99155423431074e-5,307232
7231,6,2.72649332492956e-5,607231
7232,6,2.72649332492956e-5,607232
7231,1,2.03406182648127e-5,107231
7232,1,2.03406182648127e-5,107232
7231,2,2.02318104398919e-5,207231
7232,2,2.02318104398919e-5,207232
7234,3,1.8625598209639e-5,307234
7233,3,1.8625598209639e-5,307233
7234,1,1.86849278662207e-5,107234
7233,1,1.86849278662207e-5,107233
7234,4,1.78318362706787e-5,407234
7233,4,1.78318362706787e-5,407233
7234,6,2.25712398205654e-5,607234
7233,6,2.25712398205654e-5,607233
7234,2,1.84307561195442e-5,207234
7233,2,1.84307561195442e-5,207233
7234,5,2.41311185003265e-5,507234
7233,5,2.41311185003265e-5,507233
7235,2,1.97972223126586e-5,207235
7235,1,2.06298631928118e-5,107235
7235,6,2.63011827842504e-5,607235
7235,3,1.91009149523034e-5,307235
7235,4,1.98164975002424e-5,407235
7235,5,2.10384390966097e-5,507235
7236,1,2.01973448148863e-5,107236
7236,5,2.29123151128975e-5,507236
7236,3,2.06850319663882e-5,307236
7236,4,2.05392399283572e-5,407236
7236,2,1.92267620783172e-5,207236
7236,6,2.25295203467346e-5,607236
7237,2,2.07772807761688e-5,207237
7238,2,2.07772807761688e-5,207238
7237,6,2.68826018869055e-5,607237
7238,6,2.68826018869055e-5,607238
7237,4,2.3200827728965e-5,407237
7238,4,2.3200827728965e-5,407238
7237,3,2.25387431229627e-5,307237
7238,3,2.25387431229627e-5,307238
7237,5,2.79520463647289e-5,507237
7238,5,2.79520463647289e-5,507238
7237,1,2.1682409892059e-5,107237
7238,1,2.1682409892059e-5,107238
7239,5,2.78688570681786e-5,507239
7239,6,2.9464796329164e-5,607239
7239,2,2.13707732274914e-5,207239
7239,3,1.92990565209977e-5,307239
7239,1,2.28414578606751e-5,107239
7239,4,2.82868567941311e-5,407239
7241,6,2.7228031983317e-5,607241
7241,5,2.52560442140115e-5,507241
7241,4,2.24146383319408e-5,407241
7241,1,2.05793165499044e-5,107241
7241,3,2.02736697208773e-5,307241
7241,2,2.01826218424261e-5,207241
7296,2,4.82289401534335e-6,207296
7296,4,5.86259271720182e-6,407296
7296,1,3.94451384140464e-6,107296
7296,6,8.22771545815396e-6,607296
7296,5,6.06155899442247e-6,507296
7296,3,2.93506670634568e-6,307296
7242,3,2.02799867406608e-5,307242
7242,2,1.9943028474345e-5,207242
7242,1,2.02112291668171e-5,107242
7242,5,2.49409815969911e-5,507242
7242,6,2.54899518921428e-5,607242
7242,4,2.20738079194983e-5,407242
7243,6,2.49998831712054e-5,607243
7243,3,2.05385563085488e-5,307243
7243,5,2.85740259503901e-5,507243
7243,4,2.44295939692277e-5,407243
7243,2,2.06456393711875e-5,207243
7243,1,2.15034905915987e-5,107243
7244,6,2.53722331782273e-5,607244
7244,3,2.10885595092667e-5,307244
7244,1,2.1997401439593e-5,107244
7244,5,2.73311357241909e-5,507244
7244,2,2.05904883891069e-5,207244
7244,4,2.34851458938718e-5,407244
7280,5,1.90731252336991e-5,507280
7281,5,1.90731252336991e-5,507281
7280,1,2.28193089075037e-5,107280
7281,1,2.28193089075037e-5,107281
7280,3,1.69680436216342e-5,307280
7281,3,1.69680436216342e-5,307281
7280,4,1.50559371388536e-5,407280
7281,4,1.50559371388536e-5,407281
7280,2,2.49093882025962e-5,207280
7281,2,2.49093882025962e-5,207281
7280,6,2.52043774232245e-5,607280
7281,6,2.52043774232245e-5,607281
7291,1,1.66315319466008e-5,107291
7291,2,1.84922013799765e-5,207291
7291,3,1.61433787104328e-5,307291
7291,4,1.27982796030132e-5,407291
7291,6,1.7543105853027e-5,607291
7291,5,1.50428349308806e-5,507291
7282,4,1.23859417431631e-5,407282
7282,3,1.63124684373096e-5,307282
7282,6,2.14772574624285e-5,607282
7282,2,2.15388235389685e-5,207282
7282,5,1.59572695467395e-5,507282
7282,1,2.05496826994924e-5,107282
7283,2,2.20988329129442e-5,207283
7283,4,1.48610693206947e-5,407283
7283,6,2.25439033480084e-5,607283
7283,3,1.77401567443972e-5,307283
7283,1,2.0355296678849e-5,107283
7283,5,1.62438056449804e-5,507283
7284,6,2.20846546836245e-5,607284
7284,5,1.63211033186374e-5,507284
7284,2,1.89154999291702e-5,207284
7284,1,1.70494551747315e-5,107284
7284,4,1.2133322645871e-5,407284
7284,3,1.52318087360252e-5,307284
7285,1,1.0146988306947e-5,107285
7285,2,1.15161461372231e-5,207285
7285,5,6.52471316228897e-6,507285
7285,6,7.42881697408316e-6,607285
7285,3,1.07879290050655e-5,307285
7285,4,7.97489357633417e-6,407285
7286,6,1.71547256696059e-5,607286
7286,4,1.13776840654024e-5,407286
7286,1,1.39410160357381e-5,107286
7286,5,1.57763854451028e-5,507286
7286,3,1.35040764368825e-5,307286
7286,2,1.54385527577688e-5,207286
7287,4,1.5049880180323e-5,407287
7287,3,1.76402299035659e-5,307287
7287,6,1.97161760840934e-5,607287
7287,2,2.06562004822832e-5,207287
7287,1,1.78318605645372e-5,107287
7287,5,1.60217938513843e-5,507287
7288,5,1.2266316435331701e-05,507288
7288,4,1.01421762160903e-5,407288
7288,1,9.78549523527425e-6,107288
7288,3,9.68270393178641e-6,307288
7288,6,1.44631143088629e-5,607288
7288,2,1.08125340638287e-5,207288
7289,2,8.81972923085765e-6,207289
7289,1,7.95656354394175e-6,107289
7289,4,8.39948772872345e-6,407289
7289,6,1.36947978534136e-5,607289
7289,5,1.14561166961991e-5,507289
7289,3,7.60995583463805e-6,307289
7290,5,1.08175017815116e-5,507290
7290,3,6.98575518211167e-6,307290
7290,6,1.3190680460768e-5,607290
7290,4,7.827551913869e-6,407290
7290,1,7.45248337916129e-6,107290
7290,2,8.05888708058943e-6,207290
7245,3,1.69564720772603e-5,307245
7245,5,3.35402697078424e-5,507245
7245,1,2.42512341762884e-5,107245
7245,4,3.20945592860092e-5,407245
7245,2,2.29854059179224e-5,207245
7245,6,3.65763857580479e-5,607245
7246,1,2.11153663416859e-5,107246
7246,3,1.69058360880388e-5,307246
7246,4,1.51067413928811e-5,407246
7246,5,1.70881946321035e-5,507246
7246,6,1.71125226361005e-5,607246
7246,2,1.64055357600132e-5,207246
7279,2,7.22781939290692e-6,207279
7279,3,6.89207647667406e-6,307279
7279,4,6.73414171190785e-6,407279
7279,5,1.0172744111376e-5,507279
7279,1,7.00135690622283e-6,107279
7279,6,1.05613250776344e-5,607279
7247,4,1.30172778884572e-5,407247
7247,2,1.68061982332487e-5,207247
7247,6,1.66855953138207e-5,607247
7247,1,1.82156482784852e-5,107247
7247,5,1.55175728316575e-5,507247
7247,3,1.49368058050334e-5,307247
7278,2,1.876053977103e-5,207278
7278,4,1.10188508749304e-5,407278
7278,3,1.19801002316792e-5,307278
7278,6,2.00661235999375e-5,607278
7278,5,1.68305803568079e-5,507278
7278,1,1.82023211526914e-5,107278
7248,3,1.75188000470954e-5,307248
7248,2,1.98871507600938e-5,207248
7248,5,2.04899020043545e-5,507248
7248,1,2.00067139158384e-5,107248
7248,6,2.26398588805277e-5,607248
7248,4,1.75409321910549e-5,407248
7270,3,1.4791995841141e-5,307270
7270,4,1.47676918321518e-5,407270
7270,6,1.72079515361134e-5,607270
7270,2,1.82752530112391e-5,207270
7270,1,1.57158635806135e-5,107270
7270,5,1.57167542517503e-5,507270
7277,5,1.02064015746195e-5,507277
7277,2,1.78693112416441e-5,207277
7277,1,1.62924621475934e-5,107277
7277,6,1.31584073775735e-5,607277
7277,4,1.06678867834461e-5,407277
7277,3,1.49791874935255e-5,307277
7271,1,1.48911432189441e-5,107271
7271,3,1.54742949594051e-5,307271
7271,6,2.0692301109193e-5,607271
7271,5,1.74731053004196e-5,507271
7271,2,1.75274774393633e-5,207271
7271,4,1.52354079791436e-5,407271
7272,4,6.4508681379031e-6,407272
7273,4,6.4508681379031e-6,407273
7272,2,1.20139053736377e-5,207272
7273,2,1.20139053736377e-5,207273
7272,5,1.00347427379312e-5,507272
7273,5,1.00347427379312e-5,507273
7272,1,1.20736332916889e-5,107272
7273,1,1.20736332916889e-5,107273
7272,3,6.65076482863407e-6,307272
7273,3,6.65076482863407e-6,307273
7272,6,1.08642024743354e-5,607272
7273,6,1.08642024743354e-5,607273
7275,4,1.31245152228189e-5,407275
7275,2,2.05714920104271e-5,207275
7275,6,1.96871580250966e-5,607275
7275,1,1.95638002344217e-5,107275
7275,3,1.5999947527588e-5,307275
7275,5,1.78265956370979e-5,507275
7274,4,1.12145422426267e-5,407274
7274,3,1.36667731184035e-5,307274
7274,6,2.0959971321867e-5,607274
7274,2,1.85508158747501e-5,207274
7274,1,1.78341082364042e-5,107274
7274,5,1.56603993986175e-5,507274
7276,2,1.35405723267351e-5,207276
7276,1,1.22793345586445e-5,107276
7276,4,1.04936464904213e-5,407276
7276,6,2.0055594739728e-5,607276
7276,5,1.38835160842367e-5,507276
7276,3,1.18679504943843e-5,307276
7249,1,1.96690493122274e-5,107249
7249,6,2.19632363018513e-5,607249
7249,2,2.02764785085602e-5,207249
7249,3,1.59751516028472e-5,307249
7249,5,1.96704877300208e-5,507249
7249,4,1.57287680942702e-5,407249
7250,3,1.599117574259e-5,307250
7250,5,1.760687391473e-5,507250
7250,4,1.47034167632646e-5,407250
7250,2,2.02009618818767e-5,207250
7250,1,1.93774301396119e-5,107250
7250,6,2.04014836215432e-5,607250
7267,4,1.22852758801734e-5,407267
7267,2,1.99718486227146e-5,207267
7267,6,2.15368879195413e-5,607267
7267,5,1.63928858741228e-5,507267
7267,3,1.4573487119839e-5,307267
7267,1,1.9479592670775e-5,107267
7251,1,1.97427527537307e-5,107251
7251,2,2.06267860722711e-5,207251
7251,5,1.88032747300045e-5,507251
7251,4,1.48109868367541e-5,407251
7251,3,1.56618693516422e-5,307251
7251,6,2.11891310730622e-5,607251
7252,6,2.23949601774432e-5,607252
7252,1,1.98861569480132e-5,107252
7252,5,1.91124754615271e-5,507252
7252,4,1.48430893540511e-5,407252
7252,3,1.60593027260789e-5,307252
7252,2,2.03552616707187e-5,207252
7265,3,7.39846687386521e-6,307265
7265,2,7.13505195785889e-6,207265
7265,5,8.23319584497504e-6,507265
7265,1,6.94186080940634e-6,107265
7265,6,1.01496691119344e-5,607265
7265,4,7.24215629172625e-6,407265
7253,1,1.95859893884835e-5,107253
7253,4,1.44865069275372e-5,407253
7253,2,2.02992346314082e-5,207253
7253,5,1.74647658181725e-5,507253
7253,6,2.19593461331224e-5,607253
7253,3,1.64607563941021e-5,307253
7401,1,1.64539690908832e-5,107401
7401,6,2.30788940084052e-5,607401
7401,5,1.65927546217518e-5,507401
7401,2,1.76218103038025e-5,207401
7401,4,1.27757173155759e-5,407401
7401,3,1.46923730163304e-5,307401
7254,5,1.66342140398082e-5,507254
7254,6,2.12606364588303e-5,607254
7254,3,1.58659412040523e-5,307254
7254,4,1.26525281164993e-5,407254
7254,2,2.16556567387926e-5,207254
7254,1,2.07696084803047e-5,107254
7255,1,1.72157177420072e-5,107255
7255,5,1.74382804485452e-5,507255
7255,2,1.96767831059677e-5,207255
7255,6,2.23162083548258e-5,607255
7255,4,1.38107182224655e-5,407255
7255,3,1.6290766320186e-5,307255
7256,2,2.0583746957355e-5,207256
7256,6,2.43862390526678e-5,607256
7256,4,1.60130583135428e-5,407256
7256,3,1.95192464663523e-5,307256
7256,5,1.84389457527684e-5,507256
7256,1,1.60121384241001e-5,107256
7257,6,2.12342580622393e-5,607257
7257,1,1.82606696120769e-5,107257
7257,4,1.18014690634387e-5,407257
7257,5,1.58398713208318e-5,507257
7257,3,1.52327591540249e-5,307257
7257,2,1.8897657953076e-5,207257
7258,6,1.64916677717098e-5,607258
7258,2,1.48287328173402e-5,207258
7258,1,1.32440885013381e-5,107258
7258,3,1.19294503207532e-5,307258
7258,4,1.23167972860479e-5,407258
7258,5,1.54431684375079e-5,507258
7259,6,2.390742766937e-5,607259
7259,2,2.19300029251206e-5,207259
7259,5,1.82462243528992e-5,507259
7259,3,1.7689502626479e-5,307259
7259,1,1.88894834073985e-5,107259
7259,4,1.36151992590318e-5,407259
7260,1,1.66414052177586e-5,107260
7260,3,1.44467117532304e-5,307260
7260,2,1.81704379352332e-5,207260
7260,6,1.75905172446841e-5,607260
7260,5,1.6087456255475e-5,507260
7260,4,1.199163226264e-5,407260
7261,3,1.4854121969957e-5,307261
7261,2,1.66123532824674e-5,207261
7261,6,1.60312703004944e-5,607261
7261,1,1.40192313424012e-5,107261
7261,4,1.28022486797107e-5,407261
7261,5,1.57526936775195e-5,507261
7262,2,2.23844533858753e-5,207262
7262,4,1.03698942635153e-5,407262
7262,5,1.79651677447723e-5,507262
7262,6,2.72233807465809e-5,607262
7262,1,2.04628422747795e-5,107262
7262,3,1.78634086724978e-5,307262
7263,1,8.80998623657255e-6,107263
7263,4,7.69577292903086e-6,407263
7263,5,1.43736650590551e-5,507263
7263,3,8.22219438118596e-6,307263
7263,2,9.7938131033514e-6,207263
7263,6,1.51882000659959e-5,607263
7264,6,1.65366938944625e-5,607264
7264,4,8.83964051850572e-6,407264
7264,5,1.52006691253767e-5,507264
7264,3,1.05677746259906e-5,307264
7264,2,1.14404258406769e-5,207264
7264,1,1.02014749304426e-5,107264
7266,5,1.75713895618915e-5,507266
7266,3,1.59791128754294e-5,307266
7266,2,2.11268164438776e-5,207266
7266,1,2.12008443924546e-5,107266
7266,6,2.32825360566909e-5,607266
7266,4,1.22959500702659e-5,407266
7268,4,1.13471065744712e-5,407268
7269,4,1.13471065744712e-5,407269
7268,5,1.54602633262543e-5,507268
7269,5,1.54602633262543e-5,507269
7268,6,2.11214087682407e-5,607268
7269,6,2.11214087682407e-5,607269
7268,3,1.3166872732002e-5,307268
7269,3,1.3166872732002e-5,307269
7268,2,1.86418750045498e-5,207268
7269,2,1.86418750045498e-5,207269
7268,1,1.75241818001e-5,107268
7269,1,1.75241818001e-5,107269
7292,4,1.15048990118922e-5,407292
7292,2,1.52673922274668e-5,207292
7292,1,1.5898814680219e-5,107292
7292,5,1.23399980808157e-5,507292
7292,6,1.05657411787966e-5,607292
7292,3,1.30237156295801e-5,307292
7294,3,6.40205858808939e-6,307294
7294,5,8.8192800176804e-6,507294
7294,6,7.54693011658603e-6,607294
7294,1,6.36171941421437e-6,107294
7294,4,5.52831196160471e-6,407294
7294,2,6.60652156288933e-6,207294
7293,6,9.88394436816018e-6,607293
7293,2,1.05706624956298e-5,207293
7293,3,9.70390121148899e-6,307293
7293,4,7.59609234244983e-6,407293
7293,5,8.62971051865716e-6,507293
7293,1,9.54330624626844e-6,107293
7295,3,7.00169737996436e-6,307295
7295,5,8.71370137726415e-6,507295
7295,4,8.16939470573623e-6,407295
7295,6,9.33770419245076e-6,607295
7295,1,8.25217911394798e-6,107295
7295,2,8.65604101688355e-6,207295
7240,2,1.91229530511021e-5,207240
7297,2,1.91229530511021e-5,207297
7240,6,2.06419514557694e-5,607240
7297,6,2.06419514557694e-5,607297
7240,1,1.93797220426217e-5,107240
7297,1,1.93797220426217e-5,107297
7240,4,1.68669199124002e-5,407240
7297,4,1.68669199124002e-5,407297
7240,3,1.79260550707108e-5,307240
7297,3,1.79260550707108e-5,307297
7240,5,1.94518431047451e-5,507240
7297,5,1.94518431047451e-5,507297
7298,3,1.03415769103311e-5,307298
7298,1,1.10412118647389e-5,107298
7298,6,8.30895032007977e-6,607298
7298,2,1.04637425599656e-5,207298
7298,5,7.21222234888833e-6,507298
7298,4,9.57297283377817e-6,407298
7299,1,9.60070698013124e-6,107299
7299,2,1.00890843047215e-5,207299
7299,5,8.71288976040824e-6,507299
7299,3,1.12637787214008e-5,307299
7299,6,9.06561678963975e-6,607299
7299,4,9.00708486331264e-6,407299
7300,6,6.97055703971194e-6,607300
7300,4,6.25611424426764e-6,407300
7300,1,8.47271216810735e-6,107300
7300,5,6.63571577079368e-6,507300
7300,2,8.81651062823346e-6,207300
7300,3,7.11014417556609e-6,307300
7301,6,4.43251704933111e-6,607301
7301,2,1.44995032307756e-5,207301
7301,5,4.0544738615848e-6,507301
7301,3,1.43097830323658e-5,307301
7301,1,1.60492958846411e-5,107301
7301,4,4.7470632959285e-6,407301
7302,4,4.60494021173685e-6,407302
7302,5,4.57200732319333e-6,507302
7302,3,6.00566872181253e-6,307302
7302,1,5.02011150130924e-6,107302
7302,2,4.3875096254673e-6,207302
7302,6,4.53272308472852e-6,607302
7303,1,1.33827709904377e-5,107303
7304,1,1.33827709904377e-5,107304
7303,2,1.23596605333132e-5,207303
7304,2,1.23596605333132e-5,207304
7303,5,5.0830613075987e-6,507303
7304,5,5.0830613075987e-6,507304
7303,3,1.17104086607602e-5,307303
7304,3,1.17104086607602e-5,307304
7303,4,5.96411245324301e-6,407303
7304,4,5.96411245324301e-6,407304
7303,6,5.02793378161529e-6,607303
7304,6,5.02793378161529e-6,607304
7314,6,7.8572101719498e-6,607314
7314,5,7.27019966962265e-6,507314
7314,1,5.18941525505314e-6,107314
7314,2,4.47520080405641e-6,207314
7314,3,2.88048901931496e-6,307314
7314,4,4.33515977053955e-6,407314
7318,3,8.08497093455343e-6,307318
7318,6,8.14230835713995e-6,607318
7318,1,7.99969038282755e-6,107318
7318,4,7.79999185253276e-6,407318
7318,5,8.71668647137466e-6,507318
7318,2,7.82444922396711e-6,207318
7315,5,7.18943967267706e-6,507315
7315,4,7.67960875195816e-6,407315
7315,3,8.7776683004978e-6,307315
7315,2,9.616314249351e-6,207315
7315,6,7.46282067592435e-6,607315
7315,1,9.46682022350438e-6,107315
7317,1,7.38620975692597e-6,107317
7317,2,7.39073880575685e-6,207317
7317,5,7.84590651128775e-6,507317
7317,6,8.41665190737693e-6,607317
7317,4,7.25757820866429e-6,407317
7317,3,8.84063570625617e-6,307317
