WP4,campaign,value,pu
7228,1,-0.00367162315620319,107228
7228,2,6.65403259392162e-4,207228
7228,3,0.00430254210915649,307228
7228,4,0.00738650856386627,407228
7228,5,0.0181122380290418,507228
7228,6,0.0203882297942101,607228
7229,1,-0.00418901254810379,107229
7229,2,0.00133453628105721,207229
7229,3,0.005245766073789,307229
7229,4,0.00799153738368454,407229
7229,5,0.0168014004586056,507229
7229,6,0.0188306012617783,607229
7230,1,-0.00123280915591395,107230
7230,2,0.00132585745780433,207230
7230,3,0.00482196709344874,307230
7230,4,0.00817831415910477,407230
7230,5,0.0200099420175005,507230
7230,6,0.0225727595515522,607230
7231,1,-0.00439273729119536,107231
7231,2,0.00237803802620939,207231
7231,3,0.00702314800821049,307231
7231,4,0.00905005152389159,407231
7231,5,0.0144450484709248,507231
7231,6,0.016152910809811,607231
7232,1,-0.00439273729119536,107232
7232,2,0.00237803802620939,207232
7232,3,0.00702314800821049,307232
7232,4,0.00905005152389159,407232
7232,5,0.0144450484709248,507232
7232,6,0.016152910809811,607232
7233,1,-0.00697998381368984,107233
7233,2,-1.6601901771986e-4,207233
7233,3,0.00482783713962002,307233
7233,4,0.00603537027437323,407233
7233,5,0.0590436777640305,507233
7233,6,0.0104297220898398,607233
7234,1,-0.00697998381368984,107234
7234,2,-1.6601901771986e-4,207234
7234,3,0.00482783713962002,307234
7234,4,0.00603537027437323,407234
7234,5,0.0590436777640305,507234
7234,6,0.0104297220898398,607234
7235,1,-0.0117597910652633,107235
7235,2,0.00361206145911984,207235
7235,3,0.0107456129538977,307235
7235,4,0.0097279754002027,407235
7235,5,0.00318336697780919,507235
7235,6,0.00328662438067097,607235
7236,1,-0.0168047456849989,107236
7236,2,-0.00194386644030975,207236
7236,3,0.00531391978293117,307236
7236,4,0.00438659784479301,407236
7236,5,-0.00377610310043609,507236
7236,6,-0.00351807691545936,607236
7237,1,-0.0176131469600787,107237
7237,2,0.00586075457169281,207237
7237,3,0.016044928847806,307237
7237,4,0.0135557068217764,407237
7237,5,-0.00815551819883007,507237
7237,6,-0.0109019980566054,607237
7238,1,-0.0176131469600787,107238
7238,2,0.00586075457169281,207238
7238,3,0.016044928847806,307238
7238,4,0.0135557068217764,407238
7238,5,-0.00815551819883007,507238
7238,6,-0.0109019980566054,607238
7239,1,-0.00928155421927216,107239
7239,2,0.0258065374719756,207239
7239,3,0.0379418146966957,307239
7239,4,0.0334763183571547,407239
7239,5,-0.00221305865638764,507239
