WP4,campaign,value,value_sd,pu
7227,1,2.1636400604558956e-5,1.3706519245491746e-6,107227
7228,1,2.1535600705120852e-5,1.923837309753296e-6,107228
7229,1,1.7779273306701036e-5,1.3846978819899544e-6,107229
7230,1,1.7041708362678578e-5,1.191374998876224e-6,107230
7231,1,1.6331124678532736e-5,1.3575207960138274e-6,107231
7232,1,1.6331124678532736e-5,1.3575207960138274e-6,107232
7233,1,1.678695048581941e-5,1.3391649107811126e-6,107233
7234,1,1.678695048581941e-5,1.3391649107811126e-6,107234
7235,1,1.7430668988624694e-5,1.2775908338177643e-6,107235
7236,1,1.805534459924052e-5,1.2994462313381755e-6,107236
7237,1,1.9544442295490544e-5,1.2815447772363373e-6,107237
7238,1,1.9544442295490544e-5,1.2815447772363373e-6,107238
7239,1,2.0047332445769813e-5,6.970580517432217e-7,107239
7240,1,1.5937261079744056e-5,6.45579401719731e-7,107240
7241,1,2.0331816790413597e-5,1.0101114492608887e-6,107241
7242,1,1.9948609576087838e-5,1.3113475661296822e-6,107242
7243,1,2.0211190406343226e-5,1.26642056466089e-6,107243
7244,1,2.0941660900985538e-5,1.4365277030439192e-6,107244
7245,1,2.2123748032270706e-5,2.469495889001601e-7,107245
7246,1,2.0380752492796994e-5,4.383559158717305e-7,107246
7247,1,1.9358488547628022e-5,4.6585115663500204e-7,107247
7248,1,1.94955153497906e-5,5.314866448296129e-7,107248
7249,1,1.9131918419733697e-5,8.480471657084173e-7,107249
7250,1,1.9320458050031242e-5,8.841362515235614e-7,107250
7251,1,1.926494782541121e-5,8.46262722361231e-7,107251
7252,1,1.923433632620161e-5,8.515907758223883e-7,107252
7253,1,1.9402188781110483e-5,8.48589921651435e-7,107253
7254,1,1.843941957306254e-5,5.333328933345478e-7,107254
7255,1,1.6848751693288532e-5,1.531913147404289e-6,107255
7256,1,1.5185112181023478e-5,1.1278890402479044e-6,107256
7257,1,1.7186116823286448e-5,3.924622914632841e-7,107257
7258,1,1.302227394562303e-5,2.379916970427364e-6,107258
7259,1,1.47586515639638e-5,1.153370502992783e-6,107259
7260,1,1.3748063634897576e-5,2.3174883764459912e-6,107260
7261,1,1.382350693183626e-5,2.2153051548619908e-6,107261
7262,1,1.5615527904722214e-5,1.3156113812163272e-6,107262
7263,1,1.3685687893330456e-5,1.8481385107625457e-6,107263
7264,1,1.2973524860968585e-5,2.242865928563089e-6,107264
7265,1,1.0931429867360138e-5,2.6711183232412526e-6,107265
7266,1,1.6480139985715532e-5,1.9905112020126026e-6,107266
7267,1,1.706571357984844e-5,4.061047997398215e-7,107267
7268,1,1.439488041752459e-5,7.298059989925151e-7,107268
7269,1,1.439488041752459e-5,7.298059989925151e-7,107269
7270,1,1.3714994008031595e-5,1.992659881225816e-6,107270
7271,1,1.4473284813441066e-5,1.479911135497558e-6,107271
7272,1,1.0489336992682399e-5,1.4389516562053041e-6,107272
7273,1,1.0489336992682399e-5,1.4389516562053041e-6,107273
7274,1,1.304138432938709e-5,2.484878182291216e-6,107274
7275,1,1.531679446874665e-5,1.8591414107884845e-6,107275
7276,1,1.4197854452087042e-5,2.650280482389139e-6,107276
7277,1,1.4610731791808417e-5,2.4669941036199885e-6,107277
7278,1,1.6249483010914166e-5,1.7494308153080144e-6,107278
7279,1,1.1477894822601196e-5,2.6266002056934e-6,107279
7280,1,1.9898003447873987e-5,6.621192628820679e-7,107280
7281,1,1.9898003447873987e-5,6.621192628820679e-7,107281
7282,1,1.460688554135436e-5,7.19744486273893e-7,107282
7283,1,1.510162339385999e-5,6.847545244758921e-7,107283
7284,1,1.6013235830861405e-5,1.2026655762136223e-6,107284
7285,1,1.0374686392336628e-5,3.995109476010832e-6,107285
7286,1,1.3319753321499326e-5,2.0836563335025404e-6,107286
7287,1,1.6109026219939866e-5,1.3329690737622042e-6,107287
7288,1,1.4468142341413492e-5,1.7989657626796912e-6,107288
7289,1,1.5235586491338067e-5,1.5912854135294907e-6,107289
