WP4,campaign,dem,pu
3507,1,0.00145391110027046,103507
3507,2,0.00157272609483298,203507
3507,3,0.0017219413140509149,303507
3507,4,0.001546708729887995,403507
3507,5,0.001745710627547805,503507
3507,6,0.0015428502836454601,603507
3508,1,0.001435760060569615,103508
3508,2,0.00158127629705674,203508
3508,3,0.0017229943255689,303508
3508,4,0.00154523649086222,403508
3508,5,0.001762127805350545,503508
3508,6,0.00154132848530857,603508
3509,1,0.001471242441155875,103509
3509,2,0.0015831368332622701,203509
3509,3,0.0017423299163739849,303509
3509,4,0.001562847444351715,403509
3509,5,0.001771594352726585,503509
3509,6,0.001534599086335845,603509
3510,1,0.00149227447940623,103510
3510,2,0.00161579001425198,203510
3510,3,0.00176767450477551,303510
3510,4,0.001584535953932535,403510
3510,5,0.00179967506639115,503510
3510,6,0.0015537978324817949,603510
3511,1,0.001514592348508525,103511
3511,2,0.001627626261965375,203511
3511,3,0.00177709321592833,303511
3511,4,0.00159927291011967,403511
3511,5,0.00181412566045802,503511
3511,6,0.001556865209514755,603511
3512,1,0.00151460174437176,103512
3512,2,0.001643196381541,203512
3512,3,0.0017743184755932549,303512
3512,4,0.001599315146365635,403512
3512,5,0.001811891469590455,503512
3512,6,0.0015497680356422999,603512
3513,1,0.0015314139066171998,103513
3513,2,0.00166598204231454,203513
3513,3,0.00177857967998558,303513
3513,4,0.0016241500321888748,403513
3513,5,0.00179890634529105,503513
3513,6,0.0015414080029220352,603513
3514,1,0.0015211080407365749,103514
3514,2,0.00164382582958186,203514
3514,3,0.001737819115619305,303514
3514,4,0.0015759760120994501,403514
3514,5,0.0017812564663234349,503514
3514,6,0.0015457241807749949,603514
3515,1,0.001950192144542755,103515
3515,2,0.001945368147455695,203515
3515,3,0.002117591875539835,303515
3515,4,0.002058458325865415,403515
3515,5,0.001985437982549915,503515
3515,6,0.0019963883265872997,603515
3516,1,0.0020898423074887,103516
3516,2,0.00211346095627775,203516
3516,3,0.00232368340175475,303516
3516,4,0.0022529229121793903,403516
3516,5,0.002124409643774285,503516
3516,6,0.0022055451418598647,603516
3517,1,0.0021379968555623498,103517
3517,2,0.00215675633219623,203517
3517,3,0.002308784712354585,303517
3517,4,0.002287153130275615,403517
3517,5,0.00214312648492976,503517
3517,6,0.002309646571750895,603517
3518,1,0.002151482833301795,103518
3518,2,0.00207906826205993,203518
3518,3,0.002312580576560945,303518
3518,4,0.002285002167865145,403518
3518,5,0.00215073450752294,503518
3518,6,0.0023885801075972553,603518
3519,1,0.0021201585453178053,103519
3519,2,0.00203134270402531,203519
3519,3,0.0022554505874567603,303519
3519,4,0.00227955277291562,403519
3519,5,0.0021511815657688253,503519
3519,6,0.00238109773559017,603519
3520,1,0.0026938101249769798,103520
3520,2,0.00249458111717413,203520
3520,3,0.002731229237697285,303520
3520,4,0.003289745782756825,403520
3520,5,0.00275981826502967,503520
3520,6,0.003169859770516505,603520
3521,1,0.0025491808589602847,103521
3521,2,0.0023347759828554254,203521
3521,3,0.00268988007522787,303521
3521,4,0.0028251799406923198,403521
3521,5,0.0025417577070717696,503521
3521,6,0.003033507770233135,603521
3522,1,0.002550350917581915,103522
3522,2,0.00227350391842426,203522
3522,3,0.00265011015436369,303522
3522,4,0.002718176114974515,403522
3522,5,0.0023968659446919147,503522
3522,6,0.003024642619978515,603522
3523,1,0.0025501803538700097,103523
3523,2,0.0022754808329817798,203523
3523,3,0.0026521040190042797,303523
3523,4,0.0028122700495522403,403523
3523,5,0.0024510322243078003,503523
3523,6,0.00304057759478483,603523
3524,1,0.00254961033535834,103524
3524,2,0.002256770422501695,203524
3524,3,0.002650001416001835,303524
3524,4,0.00280353164601094,403524
3524,5,0.002399563561354625,503524
3524,6,0.0030395579518099503,603524
3525,1,0.002553318401446915,103525
3525,2,0.002270197840253175,203525
3525,3,0.0026516629124873348,303525
3525,4,0.00270001334010245,403525
3525,5,0.0024079252016050504,503525
3525,6,0.003059594040257425,603525
3526,1,0.002519644193018345,103526
3526,2,0.0022583970332912,203526
3526,3,0.0025820995241919347,303526
3526,4,0.0027021990637817496,403526
3526,5,0.002561937149575785,503526
3526,6,0.003034245856532375,603526
3527,1,0.002522745420758065,103527
