WP4,campaign,co2,pu
3507,1,15703.674191181448,103507
3507,2,15748.753403034352,203507
3507,3,29003.296339654607,303507
3507,4,29014.858841472516,403507
3507,5,10926.437132059544,503507
3507,6,15939.127797533667,603507
3508,1,33562.86743890846,103508
3508,2,32671.036282261044,203508
3508,3,60332.927159445746,303508
3508,4,63202.7596200422,403508
3508,5,23297.845335603095,503508
3508,6,34171.234867846666,603508
3509,1,32327.0030733131,103509
3509,2,34667.982492599825,203509
3509,3,57180.39757691321,303509
3509,4,59658.88793998356,403509
3509,5,21364.099199358643,503509
3509,6,32736.168916972983,603509
3510,1,37867.960538691594,103510
3510,2,41657.053719295625,203510
3510,3,67963.14096503147,303510
3510,4,70967.3639955335,403510
3510,5,25290.072798046676,503510
3510,6,38224.87882196307,603510
3511,1,42539.45039011036,103511
3511,2,46997.0825332643,203511
3511,3,75557.74624353953,303511
3511,4,79967.19436800631,403511
3511,5,27861.02018200609,503511
3511,6,42572.29522410978,603511
3512,1,41349.56242470241,103512
3512,2,45741.56212307984,203512
3512,3,71443.04996695556,303512
3512,4,80258.8392359461,403512
3512,5,26171.622279466552,503512
3512,6,38803.06085936178,603512
3513,1,42741.730863271936,103513
3513,2,47156.59587507139,203513
3513,3,65149.91476677646,303513
3513,4,86642.23789024394,403513
3513,5,25984.420198924792,503513
3513,6,39962.318138365845,603513
3514,1,32728.854516988114,103514
3514,2,34095.40451764948,203514
3514,3,37523.852569173585,303514
3514,4,56649.67859757057,403514
3514,5,17026.50342728714,503514
3514,6,31480.782373565737,603514
3515,1,9956.779900200318,103515
3515,2,10647.576683727633,203515
3515,3,12710.956467689215,303515
3515,4,15779.550349287118,403515
3515,5,5772.531439288723,503515
3515,6,9694.394977893806,603515
3516,1,48819.64763370913,103516
3516,2,49859.027730965565,203516
3516,3,55265.509245755515,303516
3516,4,71046.44720604866,403516
3516,5,29649.026747587435,503516
3516,6,47478.653292555275,603516
3517,1,44661.142557183724,103517
3517,2,44142.48309194109,203517
3517,3,50906.40034380485,303517
3517,4,68491.70322231908,403517
3517,5,27494.54661875375,503517
3517,6,42895.29505042425,603517
3518,1,33017.865155058855,103518
3518,2,32640.073777512393,203518
3518,3,36016.76390007795,303518
3518,4,48787.59929837445,403518
3518,5,19373.031404149177,503518
3518,6,31311.417934681136,603518
3519,1,19945.185643332734,103519
3519,2,19777.436185025967,203519
3519,3,22490.231451828666,303519
3519,4,33781.4099075637,403519
3519,5,11681.885017568999,503519
3519,6,19417.356755562676,603519
3520,1,501.0146888846241,103520
3520,2,469.07022545077814,203520
3520,3,698.2245022295881,303520
3520,4,821.7135530084431,403520
3520,5,315.18383472818164,503520
3520,6,481.9676020967498,603520
3521,1,43192.107592429245,103521
3521,2,43027.373006298214,203521
3521,3,50976.3965102925,303521
3521,4,60320.870399918305,403521
3521,5,34684.986508616676,503521
3521,6,40949.55227280887,603521
3522,1,34909.462290270065,103522
3522,2,35977.24429892042,203522
3522,3,36972.07459889045,303522
3522,4,45294.70452174667,403522
3522,5,25711.441707579863,503522
3522,6,33020.481902710824,603522
3523,1,1223.8586543787667,103523
3523,2,1279.6811983998505,203523
3523,3,1444.876484971483,303523
3523,4,1806.2675762547735,403523
3523,5,1059.9231463648873,503523
3523,6,1151.4458739074623,603523
3524,1,13651.680071830342,103524
3524,2,14220.1230772847,203524
3524,3,16262.17688204658,303524
3524,4,20653.452193095298,403524
3524,5,11630.215457368286,503524
3524,6,12802.415269728403,603524
3525,1,28495.102987233637,103525
3525,2,29387.513613997253,203525
3525,3,31418.9614888679,303525
3525,4,39128.369672276734,403525
3525,5,21618.993119104693,503525
3525,6,26907.754361185438,603525
3526,1,10849.682742294073,103526
3526,2,11274.769293527352,203526
3526,3,12197.110043100327,303526
3526,4,14215.69347220422,403526
3526,5,8632.276612001766,503526
3526,6,10459.255009154083,603526
3527,1,49335.0910935258,103527
3527,2,51229.65040640652,203527
3527,3,48831.52433527868,303527
3527,4,62333.03375655439,403527
3527,5,37716.78660427808,503527
3527,6,47527.99448902685,603527
3528,1,9162.00916872742,103528
3528,2,9077.992129335289,203528
3528,3,10162.10637587247,303528
3528,4,14154.26551386844,403528
3528,5,8120.260108315185,503528
3528,6,8563.89143407052,603528
3529,1,14124.986116672371,103529
3529,2,14495.420088778412,203529
3529,3,14366.318457909349,303529
3529,4,18194.067179193094,403529
3529,5,11995.732629359132,503529
3529,6,13666.24405767497,603529
3530,1,5040.404989145936,103530
3530,2,5062.5038178347695,203530
3530,3,5714.115039063738,303530
3530,4,7876.415720114681,403530
3530,5,4679.039305067803,503530
3530,6,4711.9912438185665,603530
3531,1,2201.061796030398,103531
3531,2,2256.3351362866606,203531
3531,3,2341.754144900833,303531
3531,4,2973.3162481432437,403531
3531,5,1888.251453830973,503531
3531,6,2120.564013502217,603531
3532,1,43322.48684896742,103532
3532,2,43843.82768715515,203532
3532,3,44617.86087969135,303532
3532,4,58104.00241926877,403532
3532,5,37493.67349383893,503532
3532,6,41816.79641242432,603532
3533,1,7473.818729661009,103533
3533,2,7301.264263946695,203533
3533,3,8660.213560417867,303533
