WP4,campaign,value,value_sd,pu
3507,1,0.0015049518159434747,8.247224287179862e-5,103507
3508,1,0.0014570455462333644,7.585022017778033e-5,103508
3509,1,0.001491514474049332,7.238862837554613e-5,103509
3510,1,0.0014900871114050221,7.18747400817161e-5,103510
3511,1,0.0014995790364183057,7.038565280296262e-5,103511
3512,1,0.0014995435295857603,7.056499225822671e-5,103512
3513,1,0.0015089671670190216,6.282684669063763e-5,103513
3514,1,0.0015363741420576379,7.951400819424826e-5,103514
3515,1,0.001915772737120828,1.7020023192750505e-4,103515
3516,1,0.0020162841387511786,2.0104979514178002e-4,103516
3517,1,0.0020722058252215076,2.0815049262987455e-4,103517
3518,1,0.0020804127593699144,2.0997292852198437e-4,103518
3519,1,0.00204370023928217,2.0563911999047383e-4,103519
3520,1,0.0027032787425369832,2.2790288737973465e-4,103520
3521,1,0.002550649201554729,2.476625179731226e-4,103521
3522,1,0.0025519759916302802,2.6910497447485925e-4,103522
3523,1,0.0025523487925308,2.680220788088272e-4,103523
3524,1,0.002551778774019131,2.6859686946140187e-4,103524
3525,1,0.002555511173206263,2.681839787146794e-4,103525
3526,1,0.0025220891887419304,2.652560029240083e-4,103526
3527,1,0.0025253941739189997,2.807286173860211e-4,103527
3528,1,0.00253912251701896,2.7970091320598373e-4,103528
3529,1,0.002478473256083408,2.8022081609368213e-4,103529
3530,1,0.0024626829812213606,2.731126767074778e-4,103530
3531,1,0.0024704086633875323,2.6825330444202664e-4,103531
3532,1,0.0024791127150729677,2.6862454674642187e-4,103532
3533,1,0.002470914566438189,2.7274916286179607e-4,103533
3534,1,0.0024686552804517553,2.771744554309752e-4,103534
3535,1,0.0025005633318536274,2.817263572869739e-4,103535
3536,1,0.0024973955091271895,3.032479073771896e-4,103536
3537,1,0.0022198851131103783,2.6643137508712284e-4,103537
3538,1,0.0022911393212384414,2.817728015848191e-4,103538
3539,1,0.002270524613729327,2.579261783259316e-4,103539
3540,1,0.002269193546514599,2.5159402040361896e-4,103540
3541,1,0.002264872028773507,3.1655399359606726e-4,103541
3542,1,0.0022846433203071695,2.901126574370336e-4,103542
3543,1,0.001567904890792567,7.412323779411431e-5,103543
3544,1,0.0015623060115314545,7.653445320140609e-5,103544
3545,1,0.0015793259527354662,7.146132150329251e-5,103545
3546,1,0.0015629162828640945,7.901025783820939e-5,103546
3547,1,0.0015961973044922781,5.557070603239012e-5,103547
3548,1,0.0016138962005606099,5.933490187637881e-5,103548
3549,1,0.0015978236477203719,5.613542317145803e-5,103549
3550,1,0.001565326284492725,7.683111479062392e-5,103550
3551,1,0.00161462818597771,6.148896668722577e-5,103551
3552,1,0.0016183868309151118,6.251232862390272e-5,103552
3553,1,0.0015683415260164322,5.961989576393583e-5,103553
3554,1,0.001614172662753007,6.795188970468354e-5,103554
3555,1,0.0016181065628428466,7.726173650969818e-5,103555
3556,1,0.0016811159309483186,1.1374169328957319e-4,103556
3557,1,0.0016004601306765802,8.494559923697637e-5,103557
3558,1,0.0016373105455430926,8.714290504717937e-5,103558
3559,1,0.0016609606445588268,8.946509498390797e-5,103559
3560,1,0.0016596470615504607,9.439458100030305e-5,103560
3561,1,0.001697517677233735,1.1952506799044555e-4,103561
3562,1,0.00173082682654152,1.0779821277948803e-4,103562
3563,1,0.0016791695558000669,9.672700739580649e-5,103563
3564,1,0.00179562021002982,1.032940452662523e-4,103564
3565,1,0.0017034032796319491,1.0349282434054322e-4,103565
3566,1,0.001959832601751216,9.53224477196631e-5,103566
3567,1,0.0017167471496771218,1.1327788437918907e-4,103567
3568,1,0.0023544499575720193,1.7198490269060583e-4,103568
3569,1,0.00213963157404523,1.2881971168402664e-4,103569
3570,1,0.0020439717423203748,5.7343438045414005e-5,103570
3571,1,0.0022534591173197414,9.372749901232397e-5,103571
3572,1,0.002566883278740132,4.291059073017254e-5,103572
3573,1,0.0018970054268403272,6.376708199886256e-5,103573
3574,1,0.0017521871466024842,8.507876569946717e-5,103574
3575,1,0.0024425394180863143,1.424630188427691e-4,103575
3576,1,0.0024376902976216536,8.18923898963846e-5,103576
3577,1,0.0025159265765595093,2.848568571766261e-5,103577
3578,1,0.002505001811975978,3.592054010696403e-5,103578
3579,1,0.0017732841311921107,1.0021646522621673e-4,103579
3580,1,0.0026006492279256298,3.442133664284238e-5,103580
3581,1,0.0025461992923740163,3.601205981526419e-5,103581
3582,1,0.001849343259890673,7.261009441277438e-5,103582
3583,1,0.0018603698593488882,9.394051105933386e-5,103583
3584,1,0.0025176210551406436,3.258968869510376e-5,103584
3585,1,0.0017181379810967026,1.0128945302744736e-4,103585
3586,1,0.0016572100606776254,7.151510520788632e-5,103586
