WP4,campaign,value,pu
829,1,22683.169715883432,100829
830,1,22754.71906476245,100830
831,1,20802.322068680798,100831
832,1,17055.34117381861,100832
833,1,13565.508202054729,100833
834,1,27774.076354969908,100834
835,1,25484.34781453108,100835
836,1,23542.552700165415,100836
837,1,22890.23479845179,100837
838,1,23315.761163719333,100838
839,1,13896.747093535832,100839
840,1,874.6017690424438,100840
841,1,11714.34174728335,100841
842,1,6240.405487312954,100842
843,1,19975.487709301015,100843
844,1,24690.732888512255,100844
845,1,5508.464217993453,100845
846,1,3088.117998355307,100846
847,1,8984.636294374262,100847
848,1,6940.815383645404,100848
849,1,4170.5808367241225,100849
850,1,1340.191446361729,100850
851,1,5881.250109024883,100851
852,1,5264.519958843322,100852
853,1,5307.908752137202,100853
854,1,4882.623387010805,100854
855,1,2793.66807421916,100855
856,1,3150.5342206942346,100856
857,1,2656.798071064873,100857
859,1,377.1417387487723,100859
860,1,783.1920206203137,100860
861,1,580.7832661308255,100861
862,1,472.38257521928654,100862
863,1,581.3152150578659,100863
864,1,1139.8966382025963,100864
865,1,5500.442180162187,100865
866,1,5680.02419620249,100866
867,1,4898.913663526371,100867
868,1,1997.4427112586397,100868
869,1,1832.2883655697879,100869
870,1,1418.4959434973039,100870
871,1,2423.2811735347877,100871
872,1,1815.1500981504767,100872
873,1,261.68095563634256,100873
874,1,8323.480287790262,100874
875,1,4365.816082693857,100875
876,1,7207.834589054133,100876
877,1,3852.8730064989504,100877
878,1,2274.0192746111716,100878
879,1,1808.1252990342107,100879
880,1,2194.5287741839084,100880
881,1,1547.9456173612116,100881
882,1,488.55313470314564,100882
883,1,1224.2099386684483,100883
884,1,768.4217493165445,100884
885,1,2266.7088756143553,100885
886,1,3754.321018229673,100886
887,1,2956.689944697167,100887
888,1,457.7005824656205,100888
889,1,4430.153585637629,100889
890,1,5127.219846411887,100890
891,1,3626.597205940487,100891
892,1,1624.1427591367674,100892
893,1,1986.7375704642516,100893
894,1,1349.055172437119,100894
895,1,693.5745691675241,100895
896,1,243.01738483571776,100896
897,1,514.1570602193793,100897
898,1,846.3213136569377,100898
899,1,2813.1976415610534,100899
900,1,708.8352029683572,100900
901,1,914.5791503930549,100901
902,1,5876.172387437251,100902
903,1,5543.148138440483,100903
904,1,6264.8137159165335,100904
905,1,2864.131822920881,100905
906,1,1423.7248149420336,100906
907,1,1304.5055907386227,100907
908,1,721.5805387340836,100908
909,1,571.3596700116714,100909
910,1,2426.580346532915,100910
911,1,7766.949505537326,100911
912,1,5387.864853765355,100912
913,1,4906.581369495685,100913
914,1,4003.5692354867188,100914
915,1,2090.0900239884945,100915
916,1,2582.1495789124406,100916
917,1,1970.0111890551495,100917
918,1,978.1156384152388,100918
919,1,110.65001185848026,100919
920,1,381.84981816939165,100920
921,1,67.20608432733405,100921
922,1,470.44855396558404,100922
923,1,980.4514455490976,100923
924,1,2463.215791747835,100924
925,1,4368.948035967402,100925
926,1,3622.770811341089,100926
927,1,2302.521954652284,100927
928,1,4743.352105584333,100928
929,1,3704.139523450469,100929
930,1,186.62248104416585,100930
931,1,1975.1302978499273,100931
932,1,4311.376100908932,100932
933,1,1649.3428015311733,100933
934,1,1156.697674386831,100934
935,1,1252.1649319119958,100935
936,1,3229.6574093145036,100936
937,1,5109.8294490010685,100937
938,1,2137.7460294460943,100938
939,1,1705.4109152142198,100939
940,1,1046.8120531999714,100940
941,1,9990.137618112192,100941
942,1,6361.334652206739,100942
943,1,4564.185723976096,100943
944,1,846.6991333185813,100944
945,1,461.8630746419754,100945
946,1,1729.1059323329864,100946
947,1,2795.156706603008,100947
948,1,2408.9118395212427,100948
949,1,2020.5277077428946,100949
950,1,726.7092803362224,100950
951,1,843.8419397836051,100951
952,1,579.3999974131531,100952
953,1,79.53995899304118,100953
954,1,1991.4184163167508,100954
955,1,7812.436979690992,100955
956,1,7295.774585233525,100956
957,1,4705.85899774974,100957
958,1,6185.733233718631,100958
959,1,1108.705190961915,100959
960,1,3557.1819904327076,100960
961,1,1844.6359062114266,100961
962,1,888.8441275560463,100962
963,1,561.4051917872976,100963
964,1,1138.5720378685673,100964
965,1,263.545046637609,100965
966,1,6217.325118615169,100966
967,1,9202.767736209988,100967
968,1,2179.1004566632655,100968
969,1,5387.355219517598,100969
970,1,4983.473766713543,100970
971,1,4059.4162161612485,100971
972,1,3438.1838572704023,100972
973,1,2766.927422352766,100973
974,1,1971.7361166365943,100974
975,1,1165.727319876486,100975
976,1,2633.7225439505223,100976
977,1,380.49108542432026,100977
978,1,4499.893600212803,100978
979,1,2660.6551914297675,100979
980,1,2528.5409707785334,100980
981,1,1214.0386485797246,100981
982,1,1130.0904671527455,100982
983,1,12782.74487487228,100983
