WP4,campaign,value,value_sd,pu
829,1,0.0021494952921745653,9.743995481659207e-5,100829
830,1,0.0021424254309575235,9.114362067023189e-5,100830
831,1,0.0021516149597225554,9.44661854422971e-5,100831
832,1,0.0021524830461789337,9.514646020780871e-5,100832
833,1,0.002169171310907106,9.947484913516515e-5,100833
834,1,0.002177919420165522,9.504585582222303e-5,100834
835,1,0.00217815000734961,9.449424042964904e-5,100835
836,1,0.0021795742325110656,9.186828396025313e-5,100836
837,1,0.0021811142128601293,9.070233022391653e-5,100837
838,1,0.002187791856512612,9.171808736785541e-5,100838
839,1,0.002198297477512762,9.347472578109437e-5,100839
840,1,0.002349521972211225,9.397045641706131e-5,100840
841,1,0.0023570064830088226,9.354752529788237e-5,100841
842,1,0.0023618872868125295,9.236839406802121e-5,100842
843,1,0.002362284371875503,9.215750708277401e-5,100843
844,1,0.0019400521722242063,1.0095410898373714e-4,100844
845,1,0.00196357465850139,1.0150991233614816e-4,100845
846,1,0.0019508753601192794,9.510283791927518e-5,100846
847,1,0.002012651442430262,1.0732327304736791e-4,100847
848,1,0.0019445650581011906,9.913110886331273e-5,100848
849,1,0.001969497020851376,1.1105245318284606e-4,100849
850,1,0.001966163695071374,1.0306078607089278e-4,100850
851,1,0.001961694201841409,1.135878345414026e-4,100851
852,1,0.0019636888596529685,1.1157566960963005e-4,100852
853,1,0.001933259807431385,9.48917718659788e-5,100853
854,1,0.0019300813173806434,1.0160890203975242e-4,100854
855,1,0.0019866534289271916,1.242918508139514e-4,100855
856,1,0.0019535737495044217,1.338787824534938e-4,100856
857,1,0.0019339753708612689,1.6996410352779586e-4,100857
859,1,0.001683161080439628,1.8076094552864054e-4,100859
860,1,0.0019734024519584372,1.9319120983006543e-4,100860
861,1,0.0019359867909060791,1.688643644174732e-4,100861
862,1,0.0016604383007720205,1.74435856814143e-4,100862
863,1,0.0016086981063792231,9.923149814649806e-5,100863
864,1,0.001972727720758741,1.3468989790986385e-4,100864
865,1,0.0019631266278864836,1.4332626627284296e-4,100865
866,1,0.0019484487561789066,1.3845218089115937e-4,100866
867,1,0.0017688611336626086,1.2250253521801677e-4,100867
868,1,0.001623707846439207,1.2060103338728788e-4,100868
869,1,0.0019338161466304112,1.460050839800994e-4,100869
870,1,0.0019336714467725177,1.449922959478853e-4,100870
871,1,0.0016719101067819819,1.5131748220388518e-4,100871
872,1,0.001888865225318908,2.0620676361057027e-4,100872
873,1,0.0016283406328497197,1.3283991440549077e-4,100873
874,1,0.001761196991448209,1.0227707813025053e-4,100874
875,1,0.0017542397878902898,1.000589722034462e-4,100875
876,1,0.0016916054223135792,1.0447621310326169e-4,100876
877,1,0.0017018369211004955,1.0124363933160375e-4,100877
878,1,0.0016993962622858802,9.540725469522298e-5,100878
879,1,0.001698504463778345,9.60774271894184e-5,100879
880,1,0.0016567128382953685,1.6682366051982785e-4,100880
881,1,0.0015892033577986026,1.657886252477609e-4,100881
882,1,0.001668983020550397,1.713097788772776e-4,100882
883,1,0.0017008122158867812,1.4263916694655233e-4,100883
884,1,0.0016920059229898743,1.7441518229260053e-4,100884
885,1,0.001949401420847262,1.5377491609082955e-4,100885
886,1,0.0019128691694861259,1.1181735283191405e-4,100886
887,1,0.0019130531100428625,1.1196309533279992e-4,100887
888,1,0.001799201289640059,2.0118542086128668e-4,100888
889,1,0.001725987174845833,1.0885660601836687e-4,100889
890,1,0.0017564481486129773,9.88431187631452e-5,100890
891,1,0.0017484092477528385,9.086048857505202e-5,100891
892,1,0.0017293271618451682,8.609948581453657e-5,100892
893,1,0.0017531400465356781,8.595866560089759e-5,100893
894,1,0.001630899755298238,1.0171204139108338e-4,100894
895,1,0.0016875232754032666,1.7309932396032367e-4,100895
896,1,0.0019372223117635433,2.1066465912748507e-4,100896
897,1,0.0018326185993905845,2.0714418031631638e-4,100897
898,1,0.0018017566237811507,2.049985821229057e-4,100898
899,1,0.0016737168723148473,1.4514372967355636e-4,100899
900,1,0.0019261932367182976,2.0706807458577788e-4,100900
901,1,0.0017046861079837777,1.985855393970761e-4,100901
902,1,0.0018185663888685712,1.0638725200772713e-4,100902
903,1,0.0018185393776436907,1.0636202573565546e-4,100903
904,1,0.0017555421470772474,1.585306810023806e-4,100904
905,1,0.001663181854376533,1.1959506058410338e-4,100905
906,1,0.001672110000274073,1.4122134873989956e-4,100906
907,1,0.0016702576781272105,1.616858407382645e-4,100907
908,1,0.0017273090383712558,2.00730207121335e-4,100908
909,1,0.0016624937350082627,1.60456147714336e-4,100909
910,1,0.0016365793633464376,1.0442196163860561e-4,100910
911,1,0.001924563597141956,1.7935733669670052e-4,100911
912,1,0.0017760282604393134,1.0803516993385062e-4,100912
913,1,0.0017433594281235263,1.1517374566371e-4,100913
914,1,0.001696837304619604,1.7746413950733614e-4,100914
915,1,0.0016790137584510062,1.087246831849677e-4,100915
916,1,0.0016654664389862835,1.0404641488038272e-4,100916
917,1,0.0017182312726817135,1.637863931649965e-4,100917
918,1,0.0016212644311228788,9.907666621346203e-5,100918
919,1,0.0016790046585883707,1.0858374509923588e-4,100919
920,1,0.0016763228424532197,1.56035473377042e-4,100920
921,1,0.001681648961556439,1.6642259639402116e-4,100921
922,1,0.00172322821998983,1.7876449637925916e-4,100922
923,1,0.0016453343318283441,1.4505851778979492e-4,100923
924,1,0.0016850462552711596,1.6287887943061997e-4,100924
925,1,0.0018743181122949243,1.4220947275405486e-4,100925
926,1,0.0018689653076415182,1.3624054502807683e-4,100926
927,1,0.0018704679810057185,1.3725913573412916e-4,100927
928,1,0.0018807418927072315,1.5925137083100537e-4,100928
929,1,0.0018866955784492218,1.664474104629282e-4,100929
930,1,0.0018757201321527213,1.5621498145468283e-4,100930
931,1,0.0022407892274221705,2.0352705212827298e-4,100931
932,1,0.0017426527330818926,1.1361705281580705e-4,100932
933,1,0.0017273110982927386,1.77320936625894e-4,100933
934,1,0.002279656626830495,2.378321554154758e-4,100934
935,1,0.0021102193593155586,1.8478248542152823e-4,100935
936,1,0.0019557657487872574,1.0029441547271323e-4,100936
937,1,0.001967873716603955,1.1925557296668858e-4,100937
938,1,0.0018097398084421883,1.6926033162298544e-4,100938
939,1,0.001911169339762139,1.4247136034958898e-4,100939
940,1,0.0018069317325413252,1.739190487315589e-4,100940
941,1,0.002197832453679872,8.894386704622996e-5,100941
942,1,0.001963965810601294,1.4713874096800706e-4,100942
943,1,0.0018953870739305688,1.2833023317699772e-4,100943
944,1,0.0017584338848745651,1.0016565221254054e-4,100944
945,1,0.0017364816545140088,9.817583385117261e-5,100945
946,1,0.0017364816545140088,9.817583385117261e-5,100946
947,1,0.0017243943196636523,9.983892836984483e-5,100947
948,1,0.0018684328856681883,2.0521818791918695e-4,100948
949,1,0.0017764915213696107,1.9898142620250846e-4,100949
950,1,0.0017019399652711846,1.537062981886884e-4,100950
951,1,0.0018294219559024224,1.7357414965234443e-4,100951
952,1,0.002260000924832452,2.0220897675149777e-4,100952
953,1,0.0018314447282096044,1.7907204437441385e-4,100953
954,1,0.00191069227090254,1.5990733408605725e-4,100954
955,1,0.001991209553632943,1.493852069538976e-4,100955
956,1,0.001994323792703403,1.514932656678599e-4,100956
957,1,0.0018869271963935614,1.5574174257847875e-4,100957
958,1,0.0018987808125526574,1.390338962222741e-4,100958
959,1,0.0018698458034975209,1.2558340673569321e-4,100959
960,1,0.0016876732035022483,1.781817389074661e-4,100960
961,1,0.001641882471783895,9.855153162161981e-5,100961
962,1,0.002175141452419379,2.5138723967087527e-4,100962
963,1,0.0019007547564760389,2.4356472585388767e-4,100963
964,1,0.0016919679571612482,1.5913830243900715e-4,100964
965,1,0.001634817100962443,1.421911982322082e-4,100965
966,1,0.0021568728284073998,1.0550402889997367e-4,100966
967,1,0.0019770615692289812,1.0993956877323038e-4,100967
968,1,0.001897223363366485,1.2002446006531657e-4,100968
969,1,0.0018837523363281574,1.1738174422535993e-4,100969
970,1,0.0018837667972022348,1.1741762072006758e-4,100970
971,1,0.0018874132127780678,1.2135026485372335e-4,100971
972,1,0.001892488112942475,1.2777914679123855e-4,100972
973,1,0.0018940771524326942,1.2995504335719233e-4,100973
974,1,0.0018918372029159123,1.264238970519216e-4,100974
975,1,0.0020701504262949856,1.6849438568787898e-4,100975
976,1,0.001933494191322149,1.8850880115491863e-4,100976
977,1,0.0020193749327404023,1.7821639600154108e-4,100977
978,1,0.0021608220719659924,7.816133527980911e-5,100978
979,1,0.0020239834064591854,1.1393847315665695e-4,100979
980,1,0.002022001679960964,1.1433365007243644e-4,100980
981,1,0.002136124004039251,9.206025581297388e-5,100981
982,1,0.002176402654488403,1.5537775078830314e-4,100982
983,1,0.002186875923074393,9.697891131406484e-5,100983
984,1,0.002182255199768603,9.986608035356212e-5,100984
985,1,0.0021840631288651408,1.101981449072747e-4,100985
986,1,0.0022764513492504164,9.88793144527069e-5,100986
987,1,0.0019956742579788065,1.0687143571500725e-4,100987
988,1,0.0021228479137616898,1.4706062077101978e-4,100988
989,1,0.002010340178941013,1.5547093453125726e-4,100989
990,1,0.0019483963084130692,1.1247147270294161e-4,100990
991,1,0.0019526685635381173,1.1569762778366453e-4,100991
992,1,0.0018548066700573623,1.3058022650333571e-4,100992
993,1,0.0015929007323160762,8.299381715516063e-5,100993
994,1,0.0016348471849045192,1.0228818481440885e-4,100994
995,1,0.0016112162055737962,1.1031368105431227e-4,100995
996,1,0.0016146448636700052,1.229695986998868e-4,100996
997,1,0.0016233721719577864,1.2611477886799647e-4,100997
998,1,0.0016355901128682889,1.4070537820471153e-4,100998
999,1,0.0015929566021906823,8.283762526213786e-5,100999
1000,1,0.0018519814670495413,1.6932446242053269e-4,101000
1001,1,0.0016411180532317493,1.3437647280296243e-4,101001
1002,1,0.0016515497616372274,1.4935122203744977e-4,101002
1003,1,0.0017116441586995921,1.5578966044214412e-4,101003
1004,1,0.001964149982146933,1.9495936277735853e-4,101004
1005,1,0.0020847097412578478,1.8019967435951392e-4,101005
1006,1,0.0021172410503331666,1.6726158484244377e-4,101006
1007,1,0.002008486076704931,1.870995359159679e-4,101007
1008,1,0.002007127539676719,1.8675002340966137e-4,101008
1009,1,0.0020759561497560764,1.7067015961909316e-4,101009
1010,1,0.0022267227916542504,1.404044643963165e-4,101010
1011,1,0.001937340939455835,1.2449833309229302e-4,101011
1012,1,0.0019000060128409792,1.5204587414805804e-4,101012
1013,1,0.0018995276084151588,1.5226755835897384e-4,101013
1014,1,0.0018960446171271705,1.5028993474136267e-4,101014
1015,1,0.0020393140479391387,1.6203379416501713e-4,101015
829,2,0.002033950421074527,1.2025732925418813e-4,200829
830,2,0.002024931390679986,1.1183871629135881e-4,200830
831,2,0.002040594625725847,1.2503496458296433e-4,200831
832,2,0.0020424499748793634,1.2426821977237822e-4,200832
833,2,0.002055321768875267,1.404262599233122e-4,200833
834,2,0.0020724931719642765,1.340428117429137e-4,200834
835,2,0.0020831623044335608,1.1725759233859224e-4,200835
836,2,0.002155589091574405,8.259552515110526e-5,200836
837,2,0.002224812981447813,8.509365896801887e-5,200837
838,2,0.0022372172610020903,8.756646902253231e-5,200838
839,2,0.002318359547834513,1.2862406031097318e-4,200839
840,2,0.002592500154069205,1.783380194393069e-4,200840
841,2,0.002687801029134153,2.4540693340298754e-4,200841
842,2,0.0027295434472852146,2.708796397371994e-4,200842
843,2,0.0027350539749510234,2.7242276798170864e-4,200843
844,2,0.002113865013113839,9.983563780020453e-5,200844
845,2,0.0021846162342441435,9.653048535583804e-5,200845
846,2,0.002174247607794901,8.146584678091991e-5,200846
847,2,0.002221519221680139,1.1013680400901945e-4,200847
848,2,0.0021723358034061125,8.873946165513639e-5,200848
849,2,0.0021878798847171288,8.808328362278051e-5,200849
850,2,0.0021960416316556264,9.682994932974118e-5,200850
851,2,0.0022143741781827796,8.716552765729577e-5,200851
852,2,0.0021956619167055012,9.024322491175138e-5,200852
853,2,0.002230906588762323,5.935344215611088e-5,200853
854,2,0.002221550201985817,6.772647542352568e-5,200854
855,2,0.0022507877139512533,9.332648445712076e-5,200855
856,2,0.0022284485861340225,1.1815295800761687e-4,200856
857,2,0.0021971949323849865,1.3191010289080512e-4,200857
859,2,0.0019311870493874791,1.6686085876765758e-4,200859
860,2,0.0022336485829951027,1.5914130062264701e-4,200860
861,2,0.0022095073174838472,1.2853457644075562e-4,200861
862,2,0.001926680183221855,1.6700343498933442e-4,200862
863,2,0.0018868120741252067,7.344038494403223e-5,200863
864,2,0.002253199829993745,1.0903458500546955e-4,200864
865,2,0.0022482770799655666,1.0033871649280892e-4,200865
866,2,0.002226571093374479,1.0888769985582418e-4,200866
867,2,0.0020677500550409828,9.586920837814257e-5,200867
868,2,0.001877361912483681,1.1952460555548262e-4,200868
869,2,0.00221985519140195,1.1102725424552176e-4,200869
870,2,0.0022178754178643553,1.0934899723166747e-4,200870
871,2,0.001958272989257915,1.4819260552404397e-4,200871
872,2,0.002166532585195598,1.769548284630496e-4,200872
873,2,0.0018865261679455127,1.2428918917712194e-4,200873
874,2,0.002074603132342492,8.261002437626008e-5,200874
875,2,0.002046300338785122,7.527670751540793e-5,200875
876,2,0.001942210009528382,8.857987466862349e-5,200876
877,2,0.0019287724148874777,8.994943388423369e-5,200877
878,2,0.0018954512470694216,9.071870909776103e-5,200878
879,2,0.0018845202368881855,8.569222257930355e-5,200879
880,2,0.0018847529168009606,1.5152236156633283e-4,200880
881,2,0.001810504236780032,1.575714900343655e-4,200881
882,2,0.0019183398756603012,1.698365477442024e-4,200882
883,2,0.0019371663296801585,1.3860218817222984e-4,200883
884,2,0.0019427301309449159,1.777239732883045e-4,200884
885,2,0.0022513173539200158,1.2943843868307235e-4,200885
886,2,0.0021920013502409116,7.470744199657785e-5,200886
887,2,0.002209366543241902,7.243131743264276e-5,200887
888,2,0.00206475150411615,2.0361537176857313e-4,200888
889,2,0.002030805695043911,7.582151464404445e-5,200889
890,2,0.002022912173737921,7.847249663576634e-5,200890
891,2,0.001970817966971712,8.324654644417905e-5,200891
892,2,0.0019314105849457628,7.950408623641046e-5,200892
893,2,0.00194611919510698,8.010339132966334e-5,200893
894,2,0.0018487287955820996,9.086357071503991e-5,200894
895,2,0.0019066162938940704,1.556528819217228e-4,200895
896,2,0.0021399020633023516,1.9186539182617548e-4,200896
897,2,0.0020428444365371847,1.9003890487274627e-4,200897
898,2,0.0020180455765850497,1.8521642048883755e-4,200898
899,2,0.0018989264540392563,1.4050475295119058e-4,200899
900,2,0.002238710970288644,2.2643322273800003e-4,200900
901,2,0.0020044827788096332,2.176510025508348e-4,200901
902,2,0.0021206355686184545,5.757856300304078e-5,200902
903,2,0.002114021908423196,5.607461852921983e-5,200903
904,2,0.0020782186067694734,1.271770981829113e-4,200904
905,2,0.00196197669762703,1.0540415429311046e-4,200905
906,2,0.0019048852636347996,1.3715725867319102e-4,200906
907,2,0.0019060123244936866,1.4870364083214763e-4,200907
908,2,0.002003084932434122,1.859713732384834e-4,200908
909,2,0.001944496194129868,1.7607188182195162e-4,200909
910,2,0.0018435562318719005,1.1326232490189461e-4,200910
911,2,0.002176683526782971,1.9780432315175318e-4,200911
912,2,0.0021076542804308244,8.204434650218142e-5,200912
913,2,0.0020163976939370394,9.62478439955811e-5,200913
914,2,0.0020028327669773757,1.6427547420865118e-4,200914
915,2,0.0019614134332328974,9.460089250200574e-5,200915
916,2,0.0019178987277663562,1.0333051556470664e-4,200916
917,2,0.0019390360259362344,1.6636906123159318e-4,200917
918,2,0.0018484959966653903,9.208803484753232e-5,200918
919,2,0.001961112792386673,9.418670697214509e-5,200919
920,2,0.0019165470460803299,1.3920140536141141e-4,200920
921,2,0.001925246271276599,1.5245775416707533e-4,200921
922,2,0.0019641497245264537,1.5812739607574215e-4,200922
923,2,0.0018834951993996988,1.650642610018348e-4,200923
924,2,0.0019554983986580943,1.6718197771800418e-4,200924
925,2,0.0021501858608363456,1.1185730835012608e-4,200925
926,2,0.002073917598787531,1.1731134778374983e-4,200926
927,2,0.0020791284011823052,1.1089961662383744e-4,200927
928,2,0.002084469456671755,1.7841369693364126e-4,200928
929,2,0.0021378221484472195,1.4763022290257776e-4,200929
930,2,0.0020474720996850287,1.7152942792797131e-4,200930
931,2,0.0026091653486263544,2.9728589216720843e-4,200931
932,2,0.0019339292819700378,1.0050090772309247e-4,200932
933,2,0.0019579703419709293,2.070135364723897e-4,200933
934,2,0.002822288483938761,3.811001560964012e-4,200934
935,2,0.0023370740932115437,1.9797238022648098e-4,200935
936,2,0.0020841781554775743,1.1412524146064116e-4,200936
937,2,0.0020678041843415324,1.3461332631388635e-4,200937
938,2,0.001999107102123666,1.458452311900755e-4,200938
939,2,0.002077183928099316,1.36898105923218e-4,200939
940,2,0.0019983206184002776,1.5369110334096658e-4,200940
941,2,0.002173463075793389,1.4419142649982117e-4,200941
942,2,0.002052951604975997,1.4095848430307662e-4,200942
943,2,0.0020340424852198654,1.333946820317191e-4,200943
944,2,0.0019517070014236334,1.1089428957197995e-4,200944
945,2,0.0019199983517555724,1.0936643500937287e-4,200945
946,2,0.0019199993743340732,1.0936737909782525e-4,200946
947,2,0.0018953532193174665,1.2241688010304126e-4,200947
948,2,0.002138663523620512,2.548462013667221e-4,200948
949,2,0.001995733463124304,2.441636211869327e-4,200949
950,2,0.0018784803877290456,1.998089830617173e-4,200950
951,2,0.0020129634225796874,1.92388494159052e-4,200951
952,2,0.002564341292604783,2.542682731550363e-4,200952
953,2,0.002000050872658249,1.9041623304091e-4,200953
954,2,0.00205491785723923,1.3911815641852134e-4,200954
955,2,0.002086974640613527,1.4536022655848153e-4,200955
956,2,0.0021170001526679685,1.4479938630310732e-4,200956
957,2,0.002020726394024753,1.4628782006389701e-4,200957
958,2,0.002103341661026787,1.427198950661916e-4,200958
959,2,0.002061692639179834,1.3687955367319525e-4,200959
960,2,0.001943886379405383,2.261852529798065e-4,200960
961,2,0.0018688441318754276,8.091776714838022e-5,200961
962,2,0.00262498863543135,3.3630176607496974e-4,200962
963,2,0.002199515846834371,3.1150110415278064e-4,200963
964,2,0.0018828027718788634,2.0937448348520613e-4,200964
965,2,0.0018177871741511303,1.4864183900566342e-4,200965
966,2,0.0021057879079424712,1.7010571412114035e-4,200966
967,2,0.002064697961479558,1.3419250019653411e-4,200967
968,2,0.001974886902733903,1.3547087961263975e-4,200968
969,2,0.0019732583187566195,1.4789913715637212e-4,200969
970,2,0.0019967532591147136,1.2053353048938385e-4,200970
971,2,0.0020008891967402587,1.2354213349653897e-4,200971
972,2,0.0020330575266368786,1.152159327711479e-4,200972
973,2,0.0020777377142984573,1.4130675513228022e-4,200973
974,2,0.0021706287279513706,7.064803148023638e-5,200974
975,2,0.0021652812826912205,1.9206607573810596e-4,200975
976,2,0.002091419801437321,1.6617274396853307e-4,200976
977,2,0.002135815034491621,1.9656005911390713e-4,200977
978,2,0.0020968641904058577,1.6253021792320471e-4,200978
979,2,0.0020687588223866865,1.7796026062689074e-4,200979
980,2,0.0020720942484395277,1.7345190550236515e-4,200980
981,2,0.002053399153771603,1.830391624848396e-4,200981
982,2,0.0023121581691794794,1.8093706548104777e-4,200982
983,2,0.0021250923628718557,1.683559999260211e-4,200983
984,2,0.002108424665504549,1.7743432317937887e-4,200984
985,2,0.002125050044487628,1.7746368174907233e-4,200985
986,2,0.0022167834237698017,1.8532179035949238e-4,200986
987,2,0.002030917055810477,1.5868541239636886e-4,200987
988,2,0.0021429041439861986,2.0420945609415025e-4,200988
989,2,0.002127321992567388,1.6676113622775507e-4,200989
990,2,0.002088356945561974,1.3228032484431453e-4,200990
991,2,0.002153188930376975,1.2063392457136877e-4,200991
992,2,0.0020385257989241697,1.3644575156270791e-4,200992
993,2,0.0017881309168213256,9.047125848508499e-5,200993
994,2,0.0018583218824180796,1.2064863598353184e-4,200994
995,2,0.0019038606043848814,9.413491730907293e-5,200995
996,2,0.0018853012420822915,1.1198479028419775e-4,200996
997,2,0.0018834729586059604,1.1232536174488624e-4,200997
998,2,0.001847812770328421,1.5555497160601856e-4,200998
999,2,0.0017909061967737116,9.316752217223388e-5,200999
1000,2,0.0020760150863038257,1.7145252460450713e-4,201000
1001,2,0.001939830695608984,1.2603196432913068e-4,201001
1002,2,0.0018572256865698772,1.7690661506302883e-4,201002
1003,2,0.001926072694079145,1.8843157278066014e-4,201003
1004,2,0.0020989212874531365,1.8239838522260868e-4,201004
1005,2,0.0021740609042628276,2.0857103723379805e-4,201005
1006,2,0.002219509682559675,1.9404385509339182e-4,201006
1007,2,0.002133399666745567,2.0378553622362952e-4,201007
1008,2,0.0021359222106500553,2.0087134965356704e-4,201008
1009,2,0.002179441226619494,1.9837016202905314e-4,201009
1010,2,0.0023227602621479,1.7405909668769868e-4,201010
1011,2,0.002026286153616045,1.6641236431078657e-4,201011
1012,2,0.0020137328633078383,1.7592514330593798e-4,201012
1013,2,0.0020112075212528582,1.7356182033122426e-4,201013
1014,2,0.00203281775338083,1.543734317297338e-4,201014
1015,2,0.0021491400106962008,1.9599323696397795e-4,201015
829,3,0.003083878486214928,7.187526171755537e-5,300829
830,3,0.003045160921984682,5.695310090231107e-5,300830
831,3,0.0031199400275542617,8.430866148149544e-5,300831
832,3,0.0031014513617738026,9.094879633306553e-5,300832
833,3,0.003098471132379119,7.372291982040357e-5,300833
834,3,0.003148786337145472,8.311719183219698e-5,300834
835,3,0.0029837283774106706,1.6038529496645277e-4,300835
836,3,0.0028586333272057813,2.764874539345807e-4,300836
837,3,0.0028316205986885497,2.952858436643579e-4,300837
838,3,0.002822047915253214,3.2113371609879417e-4,300838
839,3,0.0027301040519608142,2.0058515585219918e-4,300839
840,3,0.0028279411127554404,1.609245017359157e-4,300840
841,3,0.0028639206451957448,1.5548035723396392e-4,300841
842,3,0.0028704471345122155,1.5291495425477425e-4,300842
843,3,0.002835940466334926,1.8510194572176624e-4,300843
844,3,0.0016598850020914035,1.0756620372493354e-4,300844
845,3,0.001665688499452772,8.50265875846675e-5,300845
846,3,0.0016336060188478759,8.479197434145596e-5,300846
847,3,0.0017485440351543398,1.1441434414344054e-4,300847
848,3,0.00162920527349548,9.916928515595108e-5,300848
849,3,0.0017422755012644067,1.7558057240025894e-4,300849
850,3,0.0016952842805132717,1.3881798623099068e-4,300850
851,3,0.0016890454738378248,1.8262546931794305e-4,300851
852,3,0.0016250737875406881,1.1884928837889008e-4,300852
853,3,0.001553252095145877,6.236625169161363e-5,300853
854,3,0.0015706316937367391,6.96097701561623e-5,300854
855,3,0.0016892654745227903,1.6923691277670095e-4,300855
856,3,0.0015933287166436084,1.6361938493587988e-4,300856
857,3,0.00155332501320255,1.8835871093155762e-4,300857
859,3,0.0016446828139583185,2.3402040395010865e-4,300859
860,3,0.0017604679152896472,2.2343970906809878e-4,300860
861,3,0.0015978956192330667,2.219423789437876e-4,300861
862,3,0.0015682926468716684,2.4667911847392016e-4,300862
863,3,0.0014158419168839194,1.1680259013896169e-4,300863
864,3,0.0016918008396464602,1.766202997281023e-4,300864
865,3,0.001713881165008986,2.1871789041405163e-4,300865
866,3,0.001610629271695797,1.6941645640192787e-4,300866
867,3,0.001424089716163398,6.446575079494648e-5,300867
868,3,0.0014260568465206932,1.4046382365325377e-4,300868
869,3,0.0015817203005532156,1.752994527138694e-4,300869
870,3,0.0015856727846842093,1.7292092602606176e-4,300870
871,3,0.001540355596062806,2.072714305718096e-4,300871
872,3,0.0016490051329720171,2.5235349083409497e-4,300872
873,3,0.0014403617044556414,1.8202893520580593e-4,300873
874,3,0.001471440485030593,8.460421854898489e-5,300874
875,3,0.0014646786161856948,8.124491246723194e-5,300875
876,3,0.0013942714745117464,7.557668038557916e-5,300876
877,3,0.0014386586331302667,9.007733319542417e-5,300877
878,3,0.001431794147563278,7.731094011119033e-5,300878
879,3,0.0014296120000718688,7.730330158845447e-5,300879
880,3,0.001537773002958619,2.2166041904433505e-4,300880
881,3,0.001544210927646509,2.2174891230384005e-4,300881
882,3,0.00160049408086651,2.228598923787501e-4,300882
883,3,0.00153820619893524,2.0762238722885038e-4,300883
884,3,0.001655727200207221,2.237999988288738e-4,300884
885,3,0.00163745027018945,2.1508928703227763e-4,300885
886,3,0.0014886348473724705,6.137368437824826e-5,300886
887,3,0.001485980492096059,6.0992276819956065e-5,300887
888,3,0.001771516100067455,3.0607703515689755e-4,300888
889,3,0.0014603717504061467,7.237944795943049e-5,300889
890,3,0.0014688862389453728,7.641944602762116e-5,300890
891,3,0.001464458879298321,6.78690907355167e-5,300891
892,3,0.0014459039558264663,6.638556623633565e-5,300892
893,3,0.0014798257184242376,6.580626824215023e-5,300893
894,3,0.0014121356969135843,9.444077125286363e-5,300894
895,3,0.001585476018405226,2.3695275624745582e-4,300895
896,3,0.0020055967167730174,2.699802677565518e-4,300896
897,3,0.0018762694109374436,2.7743464717758335e-4,300897
898,3,0.0018333644202227382,2.7607174628581957e-4,300898
899,3,0.0015445120128971803,2.0090977316392105e-4,300899
900,3,0.0020033876215176565,2.730644025682668e-4,300900
901,3,0.0016013220503031612,2.5193182279833836e-4,300901
902,3,0.001457564168787718,6.921924886470452e-5,300902
903,3,0.001455902221598666,6.852429452563104e-5,300903
904,3,0.001514319304205293,1.8347097402466364e-4,300904
905,3,0.0014063779439532358,9.531168073566301e-5,300905
906,3,0.001506712776196175,1.9949038833690417e-4,300906
907,3,0.0015519810613193834,2.2849249230989577e-4,300907
908,3,0.001639397950051126,2.4075733088008028e-4,300908
909,3,0.001507262684084933,2.240448951968937e-4,300909
910,3,0.0014187921669811068,1.062870439544133e-4,300910
911,3,0.0016157303678877217,2.3060567866802788e-4,300911
912,3,0.0014762424815176454,6.841407866282612e-5,300912
913,3,0.0014475930638242665,9.991984987222226e-5,300913
914,3,0.0015373175728913022,2.1561381853209345e-4,300914
915,3,0.0014395100589659944,1.000153383229931e-4,300915
916,3,0.0014336538445294546,1.0036197535088503e-4,300916
917,3,0.0015772450766324457,2.4927952004174397e-4,300917
918,3,0.0014043227940550018,1.1364163502664807e-4,300918
919,3,0.0014399155564007381,9.925870660022227e-5,300919
920,3,0.0015683373561596278,2.2558642781049924e-4,300920
921,3,0.0015474579825931604,2.3335395938125245e-4,300921
922,3,0.0017116817236635014,2.3408344736753652e-4,300922
923,3,0.00146091420940887,1.9854370026456086e-4,300923
924,3,0.0014975896631137507,2.175949572647721e-4,300924
925,3,0.0014688328274219402,1.2730175738030037e-4,300925
926,3,0.0014637101186316768,1.1718509535548002e-4,300926
927,3,0.0014662159508594707,1.1750670409108292e-4,300927
928,3,0.0015254006587363683,1.8321645974041332e-4,300928
929,3,0.0015320742059268312,1.9839170108942498e-4,300929
930,3,0.0015277182024992376,1.9297095573563206e-4,300930
931,3,0.002315836532870692,2.958628306994032e-4,300931
932,3,0.0014216895774654178,7.67902485876088e-5,300932
933,3,0.0016243332635981576,2.3530386572356789e-4,300933
934,3,0.0024488805129711678,3.0098130744379343e-4,300934
935,3,0.0021726317466340957,2.826983756616125e-4,300935
936,3,0.001604657893913562,9.798175097208043e-5,300936
937,3,0.0017453785621512655,2.1101330627211687e-4,300937
938,3,0.0016394520243860479,2.1451576906059966e-4,300938
939,3,0.0017241783940803908,2.1356414210879483e-4,300939
940,3,0.001709099735351341,2.725899215968148e-4,300940
941,3,0.002859836813621805,2.3553038425399306e-4,300941
942,3,0.001864219139304629,2.7542010039365787e-4,300942
