WP4,campaign,value,pu
633,1,3641.8397626910114,100633
634,1,1063.841314291975,100634
635,1,93562.64410077441,100635
636,1,94053.56792141858,100636
637,1,93334.92487247613,100637
638,1,37153.24868422116,100638
639,1,65206.21727606686,100639
640,1,66270.73010267095,100640
641,1,1793.4935751172102,100641
642,1,47821.09069000228,100642
643,1,50171.49719030916,100643
644,1,12612.554541582485,100644
645,1,75109.62599325979,100645
646,1,30361.79968837609,100646
647,1,143698.59998582667,100647
648,1,20484.602537366147,100648
649,1,16151.442342386861,100649
650,1,25282.206484369566,100650
651,1,40586.83323416632,100651
652,1,64415.64325855398,100652
653,1,9365.753208247048,100653
654,1,24488.79989368557,100654
655,1,45287.43781078042,100655
656,1,1537.5424698383542,100656
657,1,53708.12158337129,100657
658,1,7457.783220439691,100658
659,1,7183.254100735086,100659
660,1,11960.74816694121,100660
661,1,29330.657738942005,100661
662,1,23621.485578610555,100662
663,1,12448.031418808876,100663
664,1,8864.557250260179,100664
665,1,6267.996434175792,100665
666,1,49722.05280200487,100666
667,1,5772.982288202154,100667
668,1,5153.561078061505,100668
669,1,5821.662077615643,100669
670,1,43418.48804832375,100670
671,1,12314.109454836247,100671
672,1,4827.726920808302,100672
673,1,39814.75732682468,100673
674,1,22156.15411219142,100674
675,1,22075.46083177021,100675
676,1,39400.41471077036,100676
677,1,18271.002395709853,100677
678,1,18263.57585398665,100678
679,1,26190.47653059825,100679
680,1,5316.394121881563,100680
681,1,18925.448184437373,100681
682,1,6372.236366105811,100682
683,1,65863.53270623845,100683
684,1,4031.570116435297,100684
685,1,16962.007333631875,100685
686,1,14844.145976079568,100686
687,1,7815.780079365855,100687
688,1,25606.976852596086,100688
689,1,8944.157605222606,100689
690,1,25381.83407505471,100690
691,1,5561.905951921488,100691
692,1,2109.1170800085933,100692
693,1,356.6850094221896,100693
694,1,3158.85349786689,100694
695,1,1501.1093088298394,100695
696,1,759.8240685528251,100696
697,1,646.1001272616883,100697
698,1,2514.2231510305232,100698
699,1,1525.2521947197774,100699
700,1,4903.741519417484,100700
701,1,499.0847365948107,100701
702,1,5171.12168206218,100702
703,1,2491.458014611691,100703
704,1,556.5369498961751,100704
705,1,986.2090882154291,100705
706,1,12484.00300736664,100706
707,1,3428.5299275498537,100707
708,1,15243.806876007615,100708
709,1,1757.4137773934183,100709
710,1,1717.652450995607,100710
711,1,6527.941933728909,100711
712,1,1613.5724737469263,100712
713,1,1730.4197954370684,100713
714,1,1099.570551171214,100714
715,1,8030.832224871763,100715
717,1,6925.56425773931,100717
718,1,258.8766744133642,100718
719,1,787.8665516105025,100719
720,1,687.3023768059439,100720
721,1,879.9636434976891,100721
722,1,10148.911289074078,100722
723,1,10465.913894817748,100723
724,1,4275.612787700827,100724
726,1,4257.682156048346,100726
727,1,2395.9244295032354,100727
728,1,13930.595217097669,100728
729,1,1499.282103006736,100729
730,1,33344.37404462989,100730
731,1,8047.046463546571,100731
732,1,7254.623676039068,100732
733,1,4846.915283403576,100733
734,1,810.6602404937331,100734
735,1,7528.134914718495,100735
736,1,864.1414928256836,100736
737,1,9255.814855693514,100737
738,1,5099.673393687903,100738
739,1,828.4802270932764,100739
740,1,1545.8973190444906,100740
741,1,1241.6779637916197,100741
742,1,3906.2152887688217,100742
743,1,2354.2987444137343,100743
744,1,8236.1087703291,100744
745,1,3490.192181144999,100745
746,1,615.7721822952633,100746
748,1,1965.9522330330578,100748
749,1,4563.62420555748,100749
750,1,630.7195676546096,100750
751,1,663.7284582893616,100751
752,1,3031.7978314044794,100752
753,1,727.7139146563438,100753
754,1,7155.954270283288,100754
756,1,6663.57700133477,100756
757,1,4203.376487785247,100757
758,1,388.0308389327029,100758
759,1,282.1610848635077,100759
760,1,809.8259500061013,100760
761,1,2752.2877672108707,100761
762,1,1327.2843748977093,100762
763,1,1539.4205206682211,100763
764,1,7113.951453929086,100764
765,1,5701.9126296528575,100765
766,1,3338.7330870640417,100766
767,1,235.4050867852291,100767
768,1,2057.026035995439,100768
769,1,1551.7830894983301,100769
771,1,1242.741247066217,100771
772,1,2536.1120025424184,100772
773,1,2117.7455794209777,100773
774,1,685.1579213103419,100774
775,1,2781.4002783271662,100775
776,1,4357.003755342377,100776
777,1,3045.8571916697642,100777
778,1,282.4340095456095,100778
779,1,790.4875334520624,100779
780,1,3421.0415696460195,100780
781,1,364.46751618106737,100781
782,1,2820.2385547345616,100782
783,1,4654.396736867345,100783
784,1,1692.1958827143387,100784
785,1,277.60726399590385,100785
786,1,5519.538711809866,100786
787,1,904.603754511564,100787
788,1,657.2237149935323,100788
789,1,2140.640542269567,100789
790,1,946.1150518197076,100790
791,1,726.3338338090682,100791
793,1,992.6659272061253,100793
806,1,1433.4221442681132,100806
807,1,7264.719985765687,100807
808,1,8227.049738773334,100808
809,1,20752.141271710996,100809
810,1,22669.8202518288,100810
811,1,2764.0151746162237,100811
812,1,10779.745091240038,100812
813,1,5362.747945295479,100813
814,1,5721.444789500356,100814
815,1,5099.439678919001,100815
816,1,231.10339111824769,100816
817,1,852.1312910930862,100817
818,1,467.0412937796261,100818
819,1,2317.558177731406,100819
820,1,11562.53018180431,100820
821,1,5416.3129376868865,100821
822,1,986.9930379390927,100822
823,1,301.0958477918969,100823
824,1,426.670262302504,100824
825,1,1139.3200157806243,100825
827,1,852.9179701116508,100827
828,1,2834.63688085757,100828
829,1,949.483036762797,100829
830,1,13051.760608967888,100830
831,1,18478.334856867557,100831
854,1,1017.4976834770446,100854
855,1,4069.793127071839,100855
856,1,1458.7209627598995,100856
857,1,494.571321488001,100857
860,1,5185.926032174012,100860
861,1,1356.325837170772,100861
862,1,717.2660192022346,100862
863,1,1828.4442113478028,100863
864,1,5718.082118703888,100864
865,1,1238.3269718596341,100865
866,1,1696.814096248419,100866
870,1,616.1394188292963,100870
871,1,3714.6254307822824,100871
872,1,2697.1249734604544,100872
873,1,1955.0402246670415,100873
876,1,6365.189978499045,100876
879,1,6029.147612513204,100879
880,1,4043.581184249445,100880
881,1,2874.198912231991,100881
882,1,4025.355752616291,100882
883,1,5285.7736408114115,100883
884,1,2542.627980149831,100884
885,1,15546.68789977878,100885
886,1,15598.979836186798,100886
887,1,10052.093163777077,100887
888,1,2368.5397646816677,100888
889,1,404.5286689019453,100889
890,1,1133.817816025093,100890
891,1,5858.135069074126,100891
892,1,8153.266697645166,100892
893,1,1474.8574578678918,100893
894,1,428.57578565925155,100894
895,1,1484.7821667991539,100895
896,1,792.7133666125582,100896
897,1,700.1435450942728,100897
898,1,3439.561298822032,100898
899,1,643.9564734947621,100899
900,1,4466.9567870588235,100900
901,1,810.0406748545536,100901
902,1,9699.902172539529,100902
903,1,806.0158838480386,100903
904,1,886.4145064936099,100904
905,1,960.393908086736,100905
906,1,473.53382429074384,100906
907,1,384.28505923665347,100907
908,1,362.46068056847304,100908
909,1,3412.5895165464317,100909
910,1,410.46724695881414,100910
911,1,747.4008139472733,100911
912,1,1375.2313454272087,100912
914,1,3019.147888714859,100914
915,1,807.4221746021632,100915
916,1,903.9757970355973,100916
917,1,1603.1513341010027,100917
918,1,1644.83332407914,100918
919,1,828.816300018219,100919
920,1,759.9656036150101,100920
922,1,504.72550562763416,100922
925,1,7947.623949084882,100925
926,1,10740.391231331258,100926
927,1,8858.835343748195,100927
928,1,12255.155876562021,100928
929,1,3495.270138223251,100929
930,1,7524.948056598374,100930
931,1,1398.888317769896,100931
932,1,109.362174851856,100932
933,1,2583.608913854271,100933
934,1,233.72488101005447,100934
935,1,956.840362432291,100935
937,1,4903.622462426616,100937
938,1,4647.07561412694,100938
939,1,851.7411966704018,100939
940,1,1009.7238736759717,100940
941,1,5601.430418557868,100941
942,1,2923.983964482005,100942
943,1,664.8021124601071,100943
944,1,3635.2934425039753,100944
945,1,2051.8790547800063,100945
946,1,3783.219784064184,100946
947,1,7946.401158933742,100947
948,1,2087.956575421928,100948
949,1,5986.418610568016,100949
950,1,580.4043024872784,100950
951,1,264.2308474257897,100951
952,1,2316.61635899858,100952
953,1,1781.983235181385,100953
954,1,1679.0916087991127,100954
955,1,3114.081807786279,100955
956,1,2080.468143194824,100956
957,1,863.387039724838,100957
958,1,2836.6377172787847,100958
959,1,789.0453479760159,100959
960,1,456.44272553308804,100960
961,1,664.6093923715935,100961
963,1,1931.6653863132615,100963
964,1,6387.418161146794,100964
965,1,453.24831924681564,100965
966,1,1107.6556502388735,100966
967,1,344.2632844391499,100967
968,1,775.5130298343195,100968
969,1,2005.3026566806534,100969
970,1,2578.4203292412703,100970
971,1,1960.4127635100078,100971
972,1,258.7365192706672,100972
973,1,3507.6460238986847,100973
974,1,1875.9125722345043,100974
975,1,2409.5148709453442,100975
976,1,3715.8626912528475,100976
977,1,2236.689887800001,100977
978,1,3124.597493396263,100978
979,1,414.7238339911873,100979
980,1,464.85819977558765,100980
981,1,298.4429136219694,100981
982,1,3388.0637956153846,100982
983,1,674.9836747113768,100983
984,1,736.8507869310396,100984
985,1,3393.404183614984,100985
986,1,4478.467377813226,100986
987,1,1002.4614093136242,100987
988,1,2727.5337979067594,100988
989,1,1945.586346837954,100989
990,1,171.1754717901599,100990
991,1,1687.7609251930794,100991
992,1,6131.630961150353,100992
993,1,3083.2952699162042,100993
994,1,1248.7222308262749,100994
995,1,838.3641564440231,100995
996,1,215.33992752247684,100996
997,1,726.8862412295568,100997
998,1,70402.08033732616,100998
999,1,64771.302127847484,100999
1000,1,53986.82433888854,101000
1001,1,17067.81697011869,101001
1002,1,46871.953060917265,101002
1003,1,29872.876060258455,101003
1004,1,13967.175734311722,101004
1005,1,20168.330617264797,101005
