WP4,campaign,value,value_sd,pu
633,1,0.002150797084635086,4.2984611717121294e-5,100633
634,1,0.002153595852349969,4.2947240548791844e-5,100634
635,1,0.0021547145136106105,4.196867480659011e-5,100635
636,1,0.0021549440458262115,3.863942363275429e-5,100636
637,1,0.0022082877848240883,1.3140600298225197e-5,100637
638,1,0.0021898895660849658,3.5631405224158446e-5,100638
639,1,0.002189341147525175,3.8484841973206094e-5,100639
640,1,0.0023587670473487437,3.543262196219279e-5,100640
641,1,0.003321692562345258,5.1994999945619115e-5,100641
642,1,0.002327931890887508,7.183696361111104e-5,100642
643,1,0.002333637515472109,6.45280531065725e-5,100643
644,1,0.0023482657925100615,4.9431799621173564e-5,100644
645,1,0.002302775446896261,4.93619218757515e-5,100645
646,1,0.0023088567714293013,5.4385364162685184e-5,100646
647,1,0.0023022661201816267,5.2973893016326965e-5,100647
648,1,0.002292611126561726,5.806541634389126e-5,100648
649,1,0.0023107292132649943,4.756976282776977e-5,100649
650,1,0.0023101364466220236,5.7561626620323914e-5,100650
651,1,0.0023048105630650833,5.7870689270437635e-5,100651
652,1,0.0022787631469964012,5.294113003333764e-5,100652
653,1,0.0022869846894155374,5.219257256239903e-5,100653
654,1,0.002256426017213394,6.908913906787274e-5,100654
655,1,0.0022893959544886644,5.191808926943348e-5,100655
656,1,0.002123636054831831,1.32452053037591e-4,100656
657,1,0.0021277503801902997,1.3194323881117134e-4,100657
658,1,0.002282366408470813,5.1671379918862246e-5,100658
659,1,0.002126310547811179,1.3277894667161608e-4,100659
660,1,0.0023866040558366795,4.531805902316126e-5,100660
661,1,0.0023659819898194353,6.551583015199363e-5,100661
662,1,0.002364219894455738,6.686468757921607e-5,100662
663,1,0.0023627951857945473,6.680335826552612e-5,100663
664,1,0.0023626394668941073,6.701351685758991e-5,100664
665,1,0.0020920199209343592,5.4768810617823206e-5,100665
666,1,0.002096831356141208,4.8534941667307695e-5,100666
667,1,0.0019179011591977852,1.2983631159160393e-4,100667
668,1,0.002113924164045769,4.724960512067976e-5,100668
669,1,0.0020938264978258227,4.851419550209492e-5,100669
670,1,0.0021160991011971975,4.731304073626705e-5,100670
671,1,0.0021357744876396205,4.52829507309095e-5,100671
672,1,0.002138172125755542,4.5125437941312974e-5,100672
673,1,0.0021411455027419033,4.3844661532015706e-5,100673
674,1,0.002141298188121816,4.4175134877619886e-5,100674
675,1,0.0021749406368972565,6.201948005499325e-5,100675
676,1,0.002174261049695848,5.934757358551557e-5,100676
677,1,0.0022220997715046145,9.596945228994374e-5,100677
678,1,0.0021968632382307475,6.961793363076328e-5,100678
679,1,0.0021996686712961976,7.082598062818266e-5,100679
680,1,0.0022248613268903866,9.616717282272662e-5,100680
681,1,0.0022268735160705087,8.747822237438666e-5,100681
682,1,0.002230541163710561,8.65271238231114e-5,100682
683,1,0.0023720782324532508,2.047863077652934e-4,100683
684,1,0.0023555226709746774,2.141129971944676e-4,100684
685,1,0.0023892288842341926,2.1388986102112946e-4,100685
686,1,0.002380602930338807,2.1841273798506886e-4,100686
687,1,0.0023968121854953083,2.0811579964967878e-4,100687
688,1,0.0022830900704925005,1.9883772268112902e-4,100688
689,1,0.0025171713069269044,1.9352233257430876e-4,100689
690,1,0.0025141710572971427,1.7710182249194926e-4,100690
691,1,0.001664616091726757,5.112697683240054e-5,100691
692,1,0.0015583477698206069,1.988946364080017e-5,100692
693,1,0.0016483293731653862,2.868909936366334e-5,100693
694,1,0.0016244655275357931,3.521003919292061e-5,100694
695,1,0.0016092263992183906,3.141501856864389e-5,100695
696,1,0.0016118423113348648,4.646378571537086e-5,100696
697,1,0.0015527040831074315,2.5293742356531133e-5,100697
698,1,0.001516677620919118,3.4842971497374364e-5,100698
699,1,0.0016411373031046765,6.780357101613779e-5,100699
700,1,0.0016740966786339246,7.048922496153669e-5,100700
701,1,0.0018003829878304688,7.688499183041044e-5,100701
702,1,0.0019114889912969955,1.9696288164954307e-4,100702
703,1,0.0019110824533739483,1.9522402179072642e-4,100703
704,1,0.0016516356776327737,5.078916876049392e-5,100704
705,1,0.0016220644253146376,3.628792925510885e-5,100705
706,1,0.0022115176727608692,1.7293539825542575e-4,100706
707,1,0.0019135950700172565,1.0826100678225058e-4,100707
708,1,0.002399621372127871,1.6628990576174915e-4,100708
709,1,0.0016623077565387828,6.573058303194114e-5,100709
710,1,0.0015478841820412254,2.7523496483847355e-5,100710
