WP4,campaign,value,pu
736,1,8349.714017433356,100736
737,1,2066.56148344578,100737
738,1,13682.306553359545,100738
739,1,18904.299248152085,100739
740,1,4988.308770905996,100740
741,1,3692.289812376736,100741
742,1,3744.6875785883703,100742
743,1,8787.020733653504,100743
744,1,16644.045276917583,100744
745,1,15373.207567178968,100745
746,1,1234.0422519800331,100746
747,1,25416.711025525074,100747
748,1,25869.63680047621,100748
749,1,19235.918897628468,100749
750,1,3904.5081105270574,100750
751,1,11580.603402612138,100751
752,1,1869.9452976364023,100752
753,1,12881.370181840819,100753
754,1,10104.313039601306,100754
755,1,2313.9520707343763,100755
756,1,8731.759061167213,100756
757,1,20101.434280576606,100757
758,1,33904.30467163908,100758
759,1,7785.410477473207,100759
760,1,4815.708675345802,100760
761,1,24945.14507252668,100761
762,1,35221.9062963797,100762
763,1,20791.53703072542,100763
764,1,16302.4856479542,100764
765,1,8243.65421384547,100765
766,1,4936.315498082903,100766
767,1,23849.057880795004,100767
768,1,25273.232333002477,100768
769,1,5286.87328012283,100769
770,1,14887.204176246229,100770
771,1,22433.097028289,100771
772,1,30363.10970663799,100772
773,1,31887.211678256812,100773
774,1,19274.591099433885,100774
775,1,11641.173537530545,100775
776,1,19992.95141809422,100776
777,1,20385.024987263645,100777
778,1,21532.787739278832,100778
779,1,8785.775562565137,100779
780,1,14536.623115963514,100780
781,1,14803.167017844362,100781
782,1,16337.127640405,100782
783,1,6776.38119239178,100783
784,1,388.6065955078039,100784
785,1,13042.991622694513,100785
786,1,3102.6830562298487,100786
787,1,23039.71161298573,100787
788,1,1230.3962336401191,100788
789,1,10606.188286374074,100789
790,1,13596.126925110417,100790
791,1,4433.831835607689,100791
792,1,5521.472937286199,100792
793,1,6064.696175986685,100793
794,1,2846.5880990695027,100794
795,1,2424.4211178824285,100795
796,1,5375.518883614575,100796
797,1,1162.9182345259428,100797
798,1,2398.8517519778566,100798
799,1,1739.2230335195968,100799
800,1,1019.5821686615049,100800
801,1,4321.795739642669,100801
804,1,466.40043330469075,100804
805,1,1714.654218748899,100805
806,1,937.1117551060676,100806
807,1,4885.954682178741,100807
808,1,599.5299930389443,100808
809,1,5315.389023476219,100809
810,1,1873.4383790161423,100810
811,1,290.4409620929466,100811
812,1,3880.116534874887,100812
813,1,1247.1889248911189,100813
814,1,1907.9796987433435,100814
816,1,615.0217113105444,100816
817,1,783.1711740522877,100817
818,1,941.1854887196741,100818
819,1,14589.325276496587,100819
820,1,8588.564007066085,100820
821,1,401.2699296102408,100821
822,1,5451.59636990015,100822
823,1,2707.5223721837297,100823
824,1,5584.958843494031,100824
825,1,4446.90855993351,100825
826,1,5109.906640468441,100826
827,1,3653.158932827587,100827
828,1,1607.2286042862604,100828
829,1,2391.323930555578,100829
830,1,5276.681445932621,100830
831,1,2662.088172135216,100831
832,1,1835.3250598529319,100832
833,1,1645.0960208366378,100833
834,1,1273.6291229196504,100834
835,1,1175.8891647094904,100835
836,1,2064.106828025933,100836
837,1,6307.093859067003,100837
838,1,4612.694682266236,100838
839,1,941.3234315186428,100839
840,1,3822.9689415350194,100840
841,1,4292.904800013841,100841
842,1,1606.583109780481,100842
843,1,5041.490121598951,100843
844,1,4088.393947603545,100844
845,1,3721.626353251536,100845
846,1,2108.1947519687524,100846
847,1,5384.543716126251,100847
848,1,3335.274938072331,100848
849,1,850.1416283025359,100849
850,1,14115.454398424006,100850
851,1,5495.151076395125,100851
852,1,4358.6532011232375,100852
853,1,3501.671954795686,100853
854,1,2299.400800271003,100854
855,1,4414.28396423525,100855
856,1,1379.2225540971094,100856
857,1,4146.86272030231,100857
858,1,1266.9972522226562,100858
859,1,3474.3003826052704,100859
860,1,3138.0604414225527,100860
861,1,5029.995159993232,100861
862,1,3354.0629163606827,100862
863,1,965.5171275364684,100863
864,1,4087.5396900210135,100864
865,1,2037.4152081906336,100865
866,1,6390.698378536201,100866
867,1,13884.944517455264,100867
868,1,12923.520396473486,100868
869,1,1360.222758754108,100869
870,1,2921.3015659686666,100870
871,1,3527.4104112990017,100871
872,1,4114.780000172097,100872
873,1,2159.9419439738135,100873
874,1,2189.3403086594667,100874
875,1,2534.40645063453,100875
876,1,3566.3084062381085,100876
877,1,627.1290339616916,100877
878,1,2807.174673757906,100878
879,1,1033.6588781036562,100879
880,1,997.910140093604,100880
881,1,1903.2286552145872,100881
