WP4,campaign,value,pu
736,1,0.00161251670043437,100736
737,1,0.00162762760730262,100737
738,1,0.00162762760730262,100738
739,1,0.00160331212328572,100739
740,1,0.00160224143556239,100740
741,1,0.00160224143556239,100741
742,1,0.00163673202081453,100742
743,1,0.00167129049535604,100743
744,1,0.00167129034092842,100744
745,1,0.0016617978362435,100745
746,1,0.00177539703564367,100746
747,1,0.00201537245186525,100747
748,1,0.00201537245186525,100748
749,1,0.00223023033879545,100749
750,1,0.00149573071895485,100750
751,1,0.0020341779958641818,100751
752,1,0.0020328177012756458,100752
753,1,0.002212803124662605,100753
754,1,0.0020346841997104055,100754
755,1,0.002017346173904829,100755
756,1,0.0020163429458614993,100756
757,1,0.0021885184471741558,100757
758,1,0.002012842326799691,100758
759,1,0.001997811768934307,100759
760,1,0.001997811768934307,100760
761,1,0.001982126265215592,100761
762,1,0.0019877016261432854,100762
763,1,0.0021000986733172165,100763
764,1,0.00208737497622842,100764
765,1,0.002079453724176442,100765
766,1,0.0020790174548919746,100766
767,1,0.002101209961548641,100767
768,1,0.0021152280219309243,100768
769,1,0.0021241762982960226,100769
770,1,0.0021240848380835392,100770
771,1,0.002243357306529456,100771
772,1,0.0022961691156156813,100772
773,1,0.0023404146289103833,100773
774,1,0.002315740117657937,100774
775,1,0.002263779120954035,100775
776,1,0.002287419348113309,100776
777,1,0.0022763752429049927,100777
778,1,0.002288250658312728,100778
779,1,0.00228430601925978,100779
780,1,0.0023475910878147537,100780
781,1,0.001904531451857768,100781
782,1,0.0019585060915557635,100782
783,1,0.0019608132728426886,100783
784,1,0.001977326514804674,100784
785,1,0.002003366754216686,100785
786,1,0.002038521712490566,100786
787,1,0.0020518834554020364,100787
788,1,0.002017936127178072,100788
789,1,0.0020154339993667487,100789
790,1,0.0020223877678958004,100790
791,1,0.002405340570578234,100791
792,1,0.002021107354475725,100792
793,1,0.0014609107128707472,100793
794,1,0.0014021814640240032,100794
795,1,0.0013799304398618088,100795
796,1,0.001237946512991527,100796
797,1,0.0014885889553159291,100797
798,1,0.0013282212397485152,100798
799,1,0.0013758254044382138,100799
800,1,0.0012947338954074307,100800
801,1,0.001333388032689109,100801
802,1,0.0017700878982360542,100802
803,1,0.0018074926025635515,100803
804,1,0.0017127322187740052,100804
805,1,0.0013454146168388878,100805
806,1,0.002059978791457303,100806
807,1,0.0016333301785881136,100807
808,1,0.0014389483089464852,100808
809,1,0.0012857868403751364,100809
810,1,0.0012628390782040606,100810
811,1,0.0013101083802085404,100811
812,1,0.0015562477395030239,100812
813,1,0.001286634943013946,100813
814,1,0.001267091554358881,100814
815,1,0.0018042643020851291,100815
816,1,0.0015205683194528465,100816
817,1,0.0015518781074613526,100817
818,1,0.0020717139859757765,100818
819,1,0.0020250118396915565,100819
820,1,0.0020125760635927937,100820
821,1,0.0016350966119785919,100821
822,1,0.0016628012879482048,100822
823,1,0.001249111523577409,100823
824,1,0.0011000081321635212,100824
825,1,0.0011085168158649584,100825
826,1,0.0013834869205621406,100826
827,1,0.0013010856467402128,100827
828,1,0.0013239022084417325,100828
829,1,0.0016020042373611886,100829
830,1,0.0016248430847552765,100830
831,1,0.0012360374298201928,100831
832,1,0.0013079057760004478,100832
833,1,0.001308633631273673,100833
834,1,0.001282761350131784,100834
835,1,0.0015651016118068525,100835
836,1,0.0013610802829686888,100836
837,1,0.0016218367153127736,100837
838,1,0.0010874726046141998,100838
839,1,0.002338356133485816,100839
840,1,0.0021452154008754624,100840
841,1,0.0015054401301794655,100841
842,1,0.0020849900177788037,100842
843,1,0.0017086702150691819,100843
844,1,0.001711988465805372,100844
845,1,0.0013092418986681486,100845
846,1,0.0011345375905924136,100846
847,1,0.0018848194289290258,100847
848,1,0.0012852283879055577,100848
849,1,0.0015493675460169515,100849
850,1,0.0020836119616549896,100850
851,1,0.001264250796843733,100851
852,1,0.0012955150293160757,100852
853,1,0.0016601217903824022,100853
854,1,0.0012777604274508772,100854
855,1,0.001960086845734284,100855
856,1,0.002043403795544189,100856
857,1,0.0016929659842138433,100857
858,1,0.0020353752543430105,100858
859,1,0.0016799497447997193,100859
860,1,0.0016767913260670514,100860
861,1,0.0018494973939779781,100861
862,1,0.001333691972730719,100862
863,1,0.0022417851337240423,100863
864,1,0.001686202687544365,100864
865,1,0.0016838039690110949,100865
866,1,0.002327485840021797,100866
867,1,0.002312856845646558,100867
868,1,0.002363154648562997,100868
869,1,0.0024469819084708996,100869
870,1,0.002352038683826342,100870
871,1,0.0019660750273240556,100871
872,1,0.0016307261530842667,100872
873,1,0.0016174974120542675,100873
874,1,0.002427197548538946,100874
875,1,0.001413884139739029,100875
876,1,0.001265989125683449,100876
877,1,0.0011121162531912477,100877
878,1,0.0011176437937093042,100878
879,1,0.0011168395221171454,100879
