WP4,campaign,value,value_sd,pu
736,1,9437.180653940084,1221.4521688100365,100736
737,1,2388.3775650982393,300.13528975681476,100737
738,1,16097.677650618603,1997.7850595920197,100738
739,1,23767.87103139388,3138.3476656264347,100739
740,1,6260.467659447617,826.5920962482205,100740
741,1,4631.2767924627,611.3076975772003,100741
742,1,4522.450484655065,645.9441422244545,100742
743,1,10766.684283616696,1472.6861960730996,100743
744,1,16500.320856245027,2303.1452746506807,100744
745,1,19603.102542729557,2669.942664568493,100745
746,1,1367.0756078320167,187.04817664825762,100746
747,1,18435.76426375487,2445.4008013383623,100747
748,1,18943.734890599328,2605.3346632337393,100748
749,1,16748.06804404592,3386.3510404294475,100749
750,1,4492.650398252311,543.1298935866939,100750
751,1,12627.348083697854,2669.4484682080088,100751
752,1,1787.7656367127443,301.83357038305405,100752
753,1,12377.454297331478,2121.4567533829836,100753
754,1,11031.528183237184,2353.8532671721155,100754
755,1,2450.248100037068,496.86691079338533,100755
756,1,9306.659708895017,1846.8139969239612,100756
757,1,21253.057298211454,4316.585568341461,100757
758,1,34264.48896857071,6092.242674833298,100758
759,1,7750.233455330453,1368.1663333920037,100759
760,1,4404.373542477929,696.3751039231126,100760
761,1,23933.926886115303,3744.7971328091903,100761
762,1,34434.37244991683,5424.225313717515,100762
763,1,18835.23863644345,2797.9914714439824,100763
764,1,15924.931472724393,2515.4248238303558,100764
765,1,8022.568557869191,1246.668489393323,100765
766,1,4608.996184744082,632.1827639672919,100766
767,1,24034.713977849617,3692.3610560311613,100767
768,1,24807.85568123007,3513.9238744003655,100768
769,1,5265.335848586182,780.9236427510289,100769
770,1,14353.6299573574,1901.1877859875262,100770
771,1,21350.00231796981,2700.4921277951253,100771
772,1,28697.583181265825,3607.890488623085,100772
773,1,30272.838834673985,3794.6541391439973,100773
774,1,18278.77590260238,2216.887071386371,100774
775,1,10263.15943759909,1340.9793933066496,100775
776,1,18045.263931694877,2523.8619538386815,100776
777,1,18285.425354188425,2614.6923687532894,100777
778,1,19250.714019453095,2668.930226794107,100778
779,1,7930.9469753118265,1042.7713656786893,100779
780,1,13497.140570152551,1857.3678295042357,100780
781,1,13639.735114131727,1914.3110773615788,100781
782,1,15183.265490048965,2078.1350239299377,100782
783,1,6320.453009733026,856.144374055963,100783
784,1,365.6942370749667,52.277457537002434,100784
785,1,12302.302573829216,1591.6872469327714,100785
786,1,2829.893871331897,380.39625826433263,100786
787,1,20441.7951021736,2538.7884532576027,100787
788,1,1025.1460879340877,141.8391899824514,100788
789,1,9124.224996716488,1048.1758552350225,100789
790,1,11773.51577648276,1570.84384503981,100790
791,1,4759.7047234109295,688.5326054491869,100791
792,1,5798.462600302314,633.5476639174765,100792
793,1,5445.793056267234,809.5250029634616,100793
794,1,3099.0891911916115,363.3071888299823,100794
795,1,1439.1087416945024,486.3523356141267,100795
796,1,3569.8282363912826,1082.5941137870745,100796
797,1,909.1702993914864,185.44318567190754,100797
798,1,1623.082967078375,628.0644214187272,100798
799,1,398.64073880133293,263.85989337571255,100799
800,1,97.39025835593597,103.47406861732318,100800
801,1,2917.2950244587887,980.0342710751689,100801
802,1,354.3181449448167,8.926686644391,100802
803,1,126.27584628140067,5.840524660271578,100803
804,1,185.50401982462728,93.93543584243443,100804
805,1,1198.07036999485,402.6815582053434,100805
806,1,602.2394240580309,174.72639012715024,100806
807,1,6216.5723777306985,640.4962242130263,100807
808,1,643.2952942818488,121.76295117834577,100808
809,1,5175.296185793236,1215.0887943234975,100809
810,1,1479.1951319829993,325.77379915575574,100810
811,1,200.68385466900116,58.86990115733772,100811
812,1,819.7213973744508,376.614327652058,100812
813,1,301.96747318113637,86.94782344881388,100813
814,1,896.547240659346,343.9539805974204,100814
815,1,113.91908911484308,5.012479653137073,100815
816,1,299.84225602699274,105.08703316929864,100816
817,1,610.0875200600976,203.73445440793841,100817
818,1,642.8814706436466,183.34663385216456,100818
819,1,12863.503852970645,1480.1884036768415,100819
820,1,7908.134650039647,872.4838730023587,100820
821,1,483.4767422787333,64.57141141359915,100821
822,1,7693.905334974108,1025.7390038118042,100822
823,1,2112.6893105851054,397.69316377523654,100823
824,1,2987.3935759987676,778.2702933831347,100824
825,1,2268.7770003610954,640.2148437484317,100825
826,1,2285.4975566603807,678.6805732706747,100826
827,1,1926.3922775064032,558.074348001894,100827
828,1,492.9890260185344,148.51836669100214,100828
829,1,888.3548096355544,379.63865860845607,100829
830,1,7755.437836509635,866.0941472036155,100830
831,1,1708.9619054078657,372.1908424166703,100831
832,1,1739.6844530117257,294.7029390109828,100832
833,1,1479.3987367387433,285.83068262879556,100833
834,1,1171.3829072026565,222.39134394008394,100834
