WP4,campaign,value,value_sd,pu
736,1,0.0016776355499633013,1.2576018944190147e-4,100736
737,1,0.0016834999157154574,1.2821810018226915e-4,100737
738,1,0.0016854348005600178,1.2650372886462255e-4,100738
739,1,0.0016919667553578566,1.1886394000272246e-4,100739
740,1,0.0016897610417147303,1.2034685426804258e-4,100740
741,1,0.0016897565410607085,1.2035510882025665e-4,100741
742,1,0.0016833884065193207,1.2370840388528865e-4,100742
743,1,0.0016652725684658297,1.121957275836969e-4,100743
744,1,0.0016850249976221013,1.1188383157028152e-4,100744
745,1,0.0016766383134000824,1.2241785595292214e-4,100745
746,1,0.0016660273999797605,1.130217091447741e-4,100746
747,1,0.0016778780337456944,1.0702624382942257e-4,100747
748,1,0.0016862138582440238,1.1016331891709722e-4,100748
749,1,0.002135842468774452,8.362426944300716e-5,100749
750,1,0.0015634795756382606,7.001093456228683e-5,100750
751,1,0.0020639440367045607,3.33237675188644e-5,100751
752,1,0.0021045803074855713,6.010562130026555e-5,100752
753,1,0.0021779271440748706,4.403265643971567e-5,100753
754,1,0.0021066704094745213,5.686813590368062e-5,100754
755,1,0.0020873278582227545,5.662506942585543e-5,100755
756,1,0.002082743671773422,5.235873496163589e-5,100756
757,1,0.002143329250739917,5.099683968864119e-5,100757
758,1,0.0020721048346188874,4.8905793626913055e-5,100758
759,1,0.0020573600215524233,4.89844066042765e-5,100759
760,1,0.0020573600215524233,4.89844066042765e-5,100760
761,1,0.0020576317529420866,6.461226894128531e-5,100761
762,1,0.0020695019471014165,6.689611926667326e-5,100762
763,1,0.0022111509193925827,9.875667497709515e-5,100763
764,1,0.0022040578832121676,1.0046230326836994e-4,100764
765,1,0.002201174178714442,1.0636771784428271e-4,100765
766,1,0.0022066343614552436,1.1327891881546786e-4,100766
767,1,0.0022047197643653865,8.202551250111162e-5,100767
768,1,0.0022487323967104763,1.125621427925723e-4,100768
769,1,0.0022002295059704753,5.216562510408935e-5,100769
770,1,0.002200104114860365,5.293487585275453e-5,100770
771,1,0.0023409229788871476,6.143764684486436e-5,100771
772,1,0.0023642080908368884,3.752440739795028e-5,100772
773,1,0.0024090441333402745,4.3719422685067265e-5,100773
774,1,0.002380337155240139,4.300417876218298e-5,100774
775,1,0.0023350598395363267,4.7431722874126545e-5,100775
776,1,0.0023698372697469987,8.369618417139414e-5,100776
777,1,0.0023354686346305086,7.938557199776805e-5,100777
778,1,0.0023353394661659553,7.478249059023902e-5,100778
779,1,0.002328408336245032,7.365654243920773e-5,100779
780,1,0.0024121234741882516,7.775701927639018e-5,100780
781,1,0.0019493730840710174,4.6711194218460407e-5,100781
782,1,0.0020087165094622903,4.812282926919212e-5,100782
783,1,0.0020080639592849675,4.840432610725225e-5,100783
784,1,0.0020291883537466608,5.0174139437770105e-5,100784
785,1,0.0020466027275572365,4.043975560635784e-5,100785
786,1,0.002069247264556728,4.093278189205958e-5,100786
787,1,0.0021551468858347278,7.931513232212157e-5,100787
788,1,0.002121528168614757,7.125494052114673e-5,100788
789,1,0.002123115790813404,6.920284873845661e-5,100789
790,1,0.0021740751105736493,1.0243173258524986e-4,100790
791,1,0.0020919272808893417,7.881436591757376e-5,100791
792,1,0.0018688730729295696,1.1908380245100286e-4,100792
793,1,0.0018254924579974184,2.6423933842704874e-4,100793
794,1,0.0015324069414472494,6.879490583865614e-5,100794
795,1,0.0015228373236598686,7.960829650395905e-5,100795
796,1,0.001424862214726667,1.375933442574448e-4,100796
797,1,0.0017596050296049544,1.5331136257320938e-4,100797
798,1,0.0014721507141251876,1.5245689583408224e-4,100798
799,1,0.0014186866828180221,2.2487364672776382e-4,100799
800,1,0.0014024859474077638,1.2350676737622952e-4,100800
801,1,0.0014673851202552206,1.6390068763963528e-4,100801
802,1,0.0017287523928855239,1.761491375378159e-4,100802
803,1,0.0017659337918326853,1.8349560640372223e-4,100803
804,1,0.0016329318161083656,1.050052306620722e-4,100804
805,1,0.0015036541215879271,1.513693888737953e-4,100805
806,1,0.0018241833492666426,1.0399022640489318e-4,100806
807,1,0.001664336562093842,8.94163565747879e-5,100807
808,1,0.0015432648795673948,7.884373326175388e-5,100808
809,1,0.0014721298813788579,1.4437490391076388e-4,100809
810,1,0.0014714616657965174,1.4788046909923382e-4,100810
811,1,0.001464481640116079,1.44544185121232e-4,100811
812,1,0.0015254918194250924,1.4744671041407124e-4,100812
813,1,0.0015495119984202815,1.5396997434864495e-4,100813
814,1,0.0014942914806487352,1.4689642234228445e-4,100814
815,1,0.0017641452403496971,1.8223838909900588e-4,100815
816,1,0.0015829337968743045,8.327552606861878e-5,100816
817,1,0.0016271554581711123,8.918590875043216e-5,100817
818,1,0.0017859416711271982,1.0792335278028458e-4,100818
819,1,0.0021555958787813287,9.510269003285892e-5,100819
820,1,0.002149836609665654,9.873924399255709e-5,100820
821,1,0.0016615203893276986,8.413112893501269e-5,100821
822,1,0.0016690506863141098,7.500345994821007e-5,100822
823,1,0.0014549912091555862,1.443684284612979e-4,100823
824,1,0.001330944398396354,2.1394652309438613e-4,100824
825,1,0.0012395704590933412,1.1275728336169398e-4,100825
826,1,0.0014066094226936764,2.4437851953370583e-4,100826
827,1,0.0014764658400512277,1.492477921199937e-4,100827
828,1,0.0014436786698806888,1.3060601535855928e-4,100828
829,1,0.001600757692369658,9.247378086536328e-5,100829
830,1,0.0017105633986361014,9.003285693327886e-5,100830
831,1,0.0013945899199521684,1.2090212006703905e-4,100831
832,1,0.0013841478926840942,1.2163437010672909e-4,100832
833,1,0.0013841961538117306,1.2112461080327496e-4,100833
834,1,0.0013692183767717878,1.3113051430050708e-4,100834
835,1,0.0014414952052376332,1.3252782205627945e-4,100835
836,1,0.0015025242336285125,1.418763950222579e-4,100836
837,1,0.0016418022721203995,7.757474168376627e-5,100837
838,1,0.001343805996547467,2.20686709844424e-4,100838
839,1,0.0018360470177494566,1.0454888505128519e-4,100839
840,1,0.0017260654339271207,9.061589344492367e-5,100840
841,1,0.001531624120567662,1.5436742252383803e-4,100841
842,1,0.0016905987779603769,1.0044434185455798e-4,100842
843,1,0.0016451360736110317,7.855066306269264e-5,100843
844,1,0.001652123927197491,7.644925863757738e-5,100844
845,1,0.0014374901578579511,1.3594516615327674e-4,100845
846,1,0.0013403800703778574,2.253854831712485e-4,100846
847,1,0.0017167184302286458,9.395377768799927e-5,100847
848,1,0.0015035918942419247,1.7038386151117704e-4,100848
849,1,0.0015238226073941879,1.5902874573465713e-4,100849
850,1,0.0021622332276705295,7.89262701785841e-5,100850
851,1,0.001489236194419551,1.4664506064045405e-4,100851
852,1,0.0014522171530437222,1.433964087559646e-4,100852
853,1,0.0016749149875869647,7.725353361443316e-5,100853
854,1,0.0014612284420838578,1.436100524286057e-4,100854
855,1,0.0017415689120348484,8.511949799566243e-5,100855
856,1,0.0018183212929990063,1.1377438655743141e-4,100856
857,1,0.001711883727903498,7.017587925970436e-5,100857
858,1,0.0017997942092263333,1.0250016039891629e-4,100858
859,1,0.0016312276219845926,7.81334560014235e-5,100859
860,1,0.001625184682744224,7.841525129363796e-5,100860
861,1,0.0016656053229141862,6.768214990015234e-5,100861
862,1,0.0013799613516863236,2.1545346312837007e-4,100862
863,1,0.0017504488446718407,1.0959653426373373e-4,100863
864,1,0.0017891253865338179,1.1711951663966368e-4,100864
865,1,0.0017932640540810675,1.1381402856055361e-4,100865
866,1,0.002458182815322483,8.747836101977112e-5,100866
867,1,0.0024517397547358963,9.443774139718329e-5,100867
868,1,0.002487812634896954,8.188966699686746e-5,100868
869,1,0.002011497328124948,1.0551215206407734e-4,100869
870,1,0.00195092070212016,1.3453033844861917e-4,100870
871,1,0.0017789791247408394,1.197280883025256e-4,100871
872,1,0.0017402583252357055,1.0698630426217822e-4,100872
873,1,0.001635506133361161,7.367551091023803e-5,100873
874,1,0.0019559433124278023,1.0270907039020545e-4,100874
875,1,0.0015214139306033748,7.984111514352454e-5,100875
876,1,0.0014296511464021193,1.4149814205460977e-4,100876
877,1,0.0013464340161322174,2.1870429413240518e-4,100877
878,1,0.0013573016091112011,2.1672966111113484e-4,100878
879,1,0.0014238756468240468,2.3174098487772693e-4,100879
880,1,0.0014114360626105225,2.1792883557279955e-4,100880
881,1,0.0014499770615176626,1.577116550225388e-4,100881
882,1,0.0017448740306948147,1.9330781490414212e-4,100882
883,1,0.0017183277987722827,1.729241535549317e-4,100883
884,1,0.0014871175590431402,1.587974237204396e-4,100884
885,1,0.0014616020978632373,1.3483357818293342e-4,100885
886,1,0.0015448621271768777,1.5228389911106828e-4,100886
887,1,0.001829048299073543,9.56133705561241e-5,100887
888,1,0.001753960590826359,9.929487616256111e-5,100888
889,1,0.0017136278289586688,6.3106162315698e-5,100889
890,1,0.0017328414388520902,1.1020083360226963e-4,100890
891,1,0.0017592829079798675,9.749908705269469e-5,100891
892,1,0.0019333215415300894,1.2585559949096636e-4,100892
893,1,0.001636862489559629,8.359892129839996e-5,100893
894,1,0.0016418224575062347,8.640127068266494e-5,100894
895,1,0.001703584829360692,1.694366690587452e-4,100895
896,1,0.0014371893142185504,5.368666289416975e-5,100896
897,1,0.0017598188960130856,8.08643395464769e-5,100897
898,1,0.0017193727662299402,8.887831579653254e-5,100898
899,1,0.0016134005141465472,6.760237078049154e-5,100899
900,1,0.0017028616914929922,1.0859879954859596e-4,100900
901,1,0.001672306777349244,7.137567634868371e-5,100901
902,1,0.0017209271973011881,6.601076994458908e-5,100902
903,1,0.0015970780196397432,9.536658413625822e-5,100903
904,1,0.0017752043524377557,1.1232396154980429e-4,100904
905,1,0.0016951612588613977,7.268535006372132e-5,100905
906,1,0.001758765725834381,1.1182103968259503e-4,100906
907,1,0.0016610660241825942,7.799965154872288e-5,100907
908,1,0.0017700265031822806,1.0226189954819777e-4,100908
909,1,0.0016609504070253076,8.748573132279848e-5,100909
910,1,0.0017430112175034602,9.444844706530624e-5,100910
911,1,0.001768076553302434,9.463424054508156e-5,100911
912,1,0.0017322136571100084,9.801212056200578e-5,100912
913,1,0.0015843807125708468,8.542612672993832e-5,100913
914,1,0.0015795836489334123,7.852760515820796e-5,100914
915,1,0.0016338276979148466,7.055723249111908e-5,100915
916,1,0.0014414543693094916,2.3144098607519583e-4,100916
917,1,0.0013928824518198626,2.3003323462991758e-4,100917
918,1,0.0014136365368136673,2.2058877517765795e-4,100918
920,1,0.0016479493414888473,7.306699666060105e-5,100920
921,1,0.0016801109168509004,1.042099573870377e-4,100921
922,1,0.0015537830168493273,8.544378176483142e-5,100922
923,1,0.0016728434941751342,8.275597238527865e-5,100923
924,1,0.0017512039339767018,9.642951701621942e-5,100924
925,1,0.0020680606244162904,1.454421136091531e-4,100925
926,1,0.0022072476520296775,1.9853610943177497e-4,100926
927,1,0.002557033884267372,2.884457082245624e-4,100927
928,1,0.002201869380521268,1.3316504089893298e-4,100928
929,1,0.0015722248202256282,8.002941911888757e-5,100929
930,1,0.0013772019055967731,2.3698626595458072e-4,100930
931,1,0.0013523744752545733,2.2920318867565188e-4,100931
932,1,0.0015221447594882826,1.6286020620160462e-4,100932
933,1,0.0014288162860024815,2.493756379817635e-4,100933
934,1,0.0014439364510330103,2.5363795560372123e-4,100934
935,1,0.001409999831844008,2.5082466074990116e-4,100935
936,1,0.001728855078411609,1.0559831803224992e-4,100936
937,1,0.0016925482056325944,9.844298968987086e-5,100937
938,1,0.0017148466369506135,9.871472604866626e-5,100938
939,1,0.0016356433668222611,7.659081371481242e-5,100939
940,1,0.0016751620555425578,8.650664040795932e-5,100940
941,1,0.0016231016157744927,7.042319157632953e-5,100941
942,1,0.0021004490921814685,1.1948597884574576e-4,100942
943,1,0.0021323918413969495,1.347566696664334e-4,100943
944,1,0.002212416717005356,1.250322617803906e-4,100944
945,1,0.0023656316746957944,1.2222106049741434e-4,100945
946,1,0.0023363791544308466,2.42157063686367e-4,100946
947,1,0.0023457357971863853,2.679400134579625e-4,100947
948,1,0.0021470727607873813,2.3466931451196474e-4,100948
949,1,0.0020910033316965475,1.7652666533007883e-4,100949
950,1,0.0016188689799340223,1.2684446103584295e-4,100950
951,1,0.001636425553549792,1.3472110808005798e-4,100951
952,1,0.001653912935988791,1.495873654383089e-4,100952
953,1,0.001464947710752701,3.122905699474348e-4,100953
954,1,0.0014677577949659072,3.1032799871492326e-4,100954
955,1,0.0018019905269626973,1.5902123731275457e-4,100955
956,1,0.0016437131939926004,1.4504850459886627e-4,100956
957,1,0.001668136196015978,1.354235050197011e-4,100957
958,1,0.0014563197033352355,3.0272647056331516e-4,100958
959,1,0.0013697016784536855,2.680355259577697e-4,100959
960,1,0.0015131841650880798,2.2937064823617907e-4,100960
961,1,0.0017109854724910605,1.476527042280687e-4,100961
962,1,0.002220274344709708,1.9692952521573517e-4,100962
963,1,0.0014389424180203977,3.000585260183098e-4,100963
964,1,0.0013877706144200005,2.252765763977324e-4,100964
965,1,0.0012175831610958707,5.9523930898938655e-5,100965
966,1,0.0014143898635997291,2.935246770409884e-4,100966
967,1,0.0016296847574132705,1.2828355287800545e-4,100967
968,1,0.0013489590658364839,2.16013337226101e-4,100968
969,1,0.001358150086325125,2.3450489448724715e-4,100969
970,1,0.0017582828255903063,1.5261852654753217e-4,100970
971,1,0.0017233751222111551,1.4091214344444887e-4,100971
972,1,0.0015189451909480302,1.8177189213474174e-4,100972
973,1,0.0015956468006955839,2.469312220957294e-4,100973
974,1,0.0016041945243135502,6.70858184768507e-5,100974
975,1,0.0016058004778789162,6.804512984904641e-5,100975
976,1,0.001483737099948378,1.5690632561827947e-4,100976
977,1,0.0015565071314600457,7.856076796677849e-5,100977
978,1,0.0016264922178373317,1.0138375539713043e-4,100978
979,1,0.001595023395508522,7.954344556687655e-5,100979
980,1,0.0016390802284454657,8.181082079529606e-5,100980
981,1,0.0023966782355042742,1.7062149004091424e-4,100981
