WP4,campaign,value,pu
1671,1,0.002360365944461597,101671
1672,1,0.0023172165551695535,101672
1673,1,0.002273862989763765,101673
1674,1,0.0023070918434832184,101674
1675,1,0.0023089135976056313,101675
1676,1,0.0023092937551781375,101676
1677,1,0.002228577798977737,101677
1678,1,0.0023092040819165157,101678
1679,1,0.0023255255390890518,101679
1680,1,0.0023080201793580133,101680
1681,1,0.00236749195991595,101681
1682,1,0.0023679540136865686,101682
1683,1,0.002332970176819944,101683
1684,1,0.0023576124658500884,101684
1685,1,0.002356345684119989,101685
1686,1,0.0024098761892008365,101686
1687,1,0.0024060237918260186,101687
1688,1,0.0023402990659554973,101688
1689,1,0.001640739745156356,101689
1690,1,0.0023112466983359566,101690
1691,1,0.0016422068312769635,101691
1692,1,0.0016433076693093875,101692
1693,1,0.0016385766463895704,101693
1694,1,0.0016225564024254378,101694
1695,1,0.0016224998678846265,101695
1696,1,0.0016224998678846265,101696
1697,1,0.001619226848933874,101697
1698,1,0.0016163342031742158,101698
1699,1,0.0016571635308113512,101699
1700,1,0.0016140718519734088,101700
1701,1,0.0016114477948020957,101701
1702,1,0.0022633214567617113,101702
1703,1,0.002262372986635782,101703
1704,1,0.002268459046414187,101704
1705,1,0.001621047403485447,101705
1706,1,0.0016202175502156092,101706
1707,1,0.0015696630619603787,101707
1708,1,0.0015669679113923113,101708
1709,1,0.002212923576058533,101709
1710,1,0.002238186998098567,101710
1711,1,0.0016755423565721478,101711
1712,1,0.0017064814512841226,101712
1713,1,0.001705639515458726,101713
1714,1,0.0013934427045677355,101714
1715,1,0.0016641315540781244,101715
1716,1,0.0016859882927722845,101716
1717,1,0.0016699199864744186,101717
1718,1,0.0017250431862803864,101718
1719,1,0.001979495213903838,101719
1720,1,0.002419634593479683,101720
1721,1,0.0017284796120953126,101721
1722,1,0.0017386752920409566,101722
1723,1,0.0018162900593552966,101723
1724,1,0.002539184462250414,101724
1725,1,0.0016712602423521767,101725
1726,1,0.0017234707915063194,101726
1727,1,0.0024273628139348897,101727
1728,1,0.002454254549211081,101728
1729,1,0.0024655503239939935,101729
1730,1,0.0024762511921923784,101730
1731,1,0.0024811245097573803,101731
1732,1,0.0017721807357779563,101732
1733,1,0.0024661213033763275,101733
1734,1,0.0025335265972103553,101734
1735,1,0.0024831893969303152,101735
1736,1,0.0024910275929449976,101736
1737,1,0.0025477382548350766,101737
1738,1,0.0025051894041610784,101738
1740,1,0.0016571635308113512,101740
1741,1,0.0017086705138700921,101741
1742,1,0.0016605461926484527,101742
1743,1,0.0016605461926484527,101743
1744,1,0.0016551607665872526,101744
1745,1,0.0016542164150106556,101745
1746,1,0.0016547492310899055,101746
1747,1,0.0023310943728758007,101747
1748,1,0.0018514816437704132,101748
1749,1,0.0017963627272285334,101749
1750,1,0.0023901557286545947,101750
1751,1,0.0024430320512446504,101751
1752,1,0.00185294627309274,101752
1753,1,0.0018514816437704132,101753
1754,1,0.0017959099752920468,101754
1755,1,0.001795594962547259,101755
1756,1,0.0018171158650757639,101756
1757,1,0.0017122213677912305,101757
1758,1,0.001662539783967924,101758
1759,1,0.001659563812162752,101759
1760,1,0.0023401055253561565,101760
1761,1,0.0016666861404877993,101761
1762,1,0.0017190134803841753,101762
1763,1,0.0017253407611200113,101763
1764,1,0.001726070930105979,101764
1765,1,0.0017039028357077283,101765
1766,1,0.0023977068643065945,101766
1767,1,0.002352345287025813,101767
1770,1,0.001370055786151392,101770
1771,1,0.0013708667254966457,101771
1772,1,0.0017936332206121227,101772
1773,1,0.0016230373247992514,101773
1774,1,0.0016230373247992514,101774
1775,1,0.0022681838151515452,101775
1776,1,0.0021891194388142516,101776
1777,1,0.002195241213560769,101777
1778,1,0.0022829966994192745,101778
1779,1,0.0015658979529749712,101779
1780,1,0.0015680629799947887,101780
1781,1,0.0015678109083844287,101781
1782,1,0.001567791450710855,101782
1783,1,0.0015680629799947887,101783
1784,1,0.001567791450710855,101784
1785,1,0.0022172717929827856,101785
1786,1,0.0015999257531675924,101786
1787,1,0.001777415395015845,101787
1788,1,0.0024680348439953368,101788
1789,1,0.0024423712449120395,101789
1790,1,0.0016936249671177092,101790
1791,1,0.0016944678917133285,101791
1792,1,0.0016824514218947277,101792
1793,1,0.0016650221925133073,101793
1794,1,0.0016640407483921474,101794
1795,1,0.0016549212815756254,101795
1796,1,0.0023402139345669727,101796
1797,1,0.0022634038059958193,101797
1798,1,0.0023673949955309677,101798
1799,1,0.002366701681772269,101799
1800,1,0.002424777094292701,101800
1801,1,0.0024221820265069955,101801
1802,1,0.002543314009729122,101802
1803,1,0.0017808233175042284,101803
1804,1,0.0022214926535468462,101804
1805,1,0.0023314473523405707,101805
1806,1,0.002373200755221412,101806
1807,1,0.0024409748843412975,101807
1808,1,0.002444210509324007,101808
1809,1,0.0024558686955709827,101809
1810,1,0.0018123182459924589,101810
1811,1,0.0024862419575677392,101811
1812,1,0.002297746046329251,101812
1813,1,0.0016961582399780534,101813
1814,1,0.001316546747297363,101814
1815,1,0.001316546747297363,101815
1816,1,0.001309304735240922,101816
1817,1,0.001315753420405685,101817
1818,1,0.001304861286800315,101818
1819,1,0.0018916179821000482,101819
1820,1,0.00250875750243402,101820
1821,1,0.0018801705223392598,101821
1822,1,0.001822893847149183,101822
1823,1,0.0018830189529769478,101823
1824,1,0.0019215212308209715,101824
1825,1,0.001925530720296536,101825
1826,1,0.001926544788324759,101826
1827,1,0.0017944037855897924,101827
1828,1,0.0017275780481097302,101828
1829,1,0.0024507807997791297,101829
1830,1,0.0018135738975213849,101830
1831,1,0.002296402496996388,101831
1832,1,0.002532803044827519,101832
1833,1,0.0023821585904338903,101833
1834,1,0.0025760243494107053,101834
1835,1,0.002624522258408003,101835
1836,1,0.001915877523738244,101836
1837,1,0.0019402261169573923,101837
1838,1,0.0025296519216272107,101838
1839,1,0.0025022990493036193,101839
1840,1,0.002506345672107942,101840
1841,1,0.0016599645244360836,101841
1842,1,0.0024866940387828617,101842
1843,1,0.001813330928966961,101843
1844,1,0.0024315253099549345,101844
1845,1,0.0024315253099549345,101845
1846,1,0.002430016102103938,101846
1847,1,0.0023526094915965225,101847
1848,1,0.0024934222729808353,101848
1849,1,0.0017083441702121593,101849
1850,1,0.0017056470569352246,101850
1851,1,0.002662633816662792,101851
1852,1,0.0025650015532227653,101852
1853,1,0.0024661344744346596,101853
1854,1,0.002453419176268206,101854
1855,1,0.002450897271801398,101855
1856,1,0.0023362659876086343,101856
1857,1,0.002386024622526296,101857
1858,1,0.0023869522717487263,101858
1859,1,0.002303594576909356,101859
1860,1,0.00238117654550482,101860
1861,1,0.0023770681559015894,101861
1862,1,0.002325783658784297,101862
1863,1,0.002282228708126298,101863
1864,1,0.002282448133013058,101864
1865,1,0.002275948292619736,101865
1866,1,0.002277438362505696,101866
1867,1,0.002257806100065865,101867
1868,1,0.002251793085897013,101868
1869,1,0.0022541591715199622,101869
1870,1,0.0022527119603209713,101870
1871,1,0.0022542629461662833,101871
1872,1,0.0022552617994078213,101872
1873,1,0.0021992650845031356,101873
1874,1,0.0022643233305006606,101874
1875,1,0.002266845309060233,101875
1876,1,0.0024172615437819006,101876
1877,1,0.002417009103753612,101877
1878,1,0.002016036710120513,101878
1879,1,0.0022672333719127385,101879
1880,1,0.002414433403324349,101880
1881,1,0.002414433403324349,101881
1882,1,0.0018106494302840587,101882
1883,1,0.002344336114624227,101883
1884,1,0.0023265403786247468,101884
1885,1,0.002339757338805079,101885
1886,1,0.002332794730306797,101886
1887,1,0.0023329161185756554,101887
1894,1,0.0018144963724329238,101894
1895,1,0.0018698186718093181,101895
1896,1,0.0018682249087343852,101896
1897,1,0.0018682249087343852,101897
1898,1,0.0018682249087343852,101898
1899,1,0.0018682249087343852,101899
1903,1,0.0025367394089047214,101903
1904,1,0.0025184174259587654,101904
1905,1,0.0019173827070878495,101905
1906,1,0.001924546879583999,101906
1907,1,0.002423166939183335,101907
1908,1,0.0019319813351939153,101908
1909,1,0.001963219582721823,101909
1910,1,0.0019365567113026263,101910
1911,1,0.0016857466484255176,101911
1912,1,0.0019273456935555695,101912
1913,1,0.00198839244260822,101913
1914,1,0.00198839244260822,101914
1915,1,0.00198839244260822,101915
1916,1,0.0019929480373263664,101916
1918,1,0.0019325782218371401,101918
1919,1,0.0019325782218371401,101919
1920,1,0.001917324565847278,101920
1921,1,0.0019172169820186294,101921
1922,1,0.0019222438333608848,101922
1923,1,0.0019183134108225837,101923
1924,1,0.0019118573003555543,101924
1925,1,0.0019489402002320448,101925
1931,1,0.002578388460783606,101931
1932,1,0.0025753612776913916,101932
1934,1,0.0018208139956512619,101934
1935,1,0.0023335331074919737,101935
1936,1,0.002456356926373472,101936
1937,1,0.002517596701780637,101937
1938,1,0.0025177140801834145,101938
1939,1,0.0025177140801834145,101939
1940,1,0.0025060446235361683,101940
1945,1,0.0018257758513549123,101945
1946,1,0.0018250566813074946,101946
1947,1,0.0018250566813074946,101947
1948,1,0.0024654714215967713,101948
1949,1,0.0024192593747706568,101949
1950,1,0.002469865917464848,101950
1951,1,0.002598651268654876,101951
1952,1,0.0019625268159811308,101952
1953,1,0.002334266337768945,101953
1954,1,0.002320157005487778,101954
1955,1,0.0018384789942359262,101955
1956,1,0.0018411020618274232,101956
1957,1,0.0022669931914921847,101957
1958,1,0.0022390540368608654,101958
1959,1,0.002205665111867349,101959
1960,1,0.002203806238960909,101960
1961,1,0.002203806238960909,101961
1962,1,0.0022038337063967394,101962
1963,1,0.0022027258686862223,101963
1964,1,0.0021993497078924076,101964
1965,1,0.0021830025734389663,101965
1966,1,0.0021808417674117897,101966
1972,1,0.002424467053447902,101972
1973,1,0.0018483281988096376,101973
1974,1,0.0018226188126747235,101974
1975,1,0.0026031707623312157,101975
1976,1,0.002521018272341169,101976
1977,1,0.00228586084440634,101977
1978,1,0.002314115086822811,101978
1979,1,0.002053311673860089,101979
1980,1,0.0023494452665832515,101980
1981,1,0.0023114749143039763,101981
1982,1,0.0023114749143039763,101982
1983,1,0.0023936483648422926,101983
1984,1,0.002387741429232698,101984
1985,1,0.002378126241042833,101985
1986,1,0.0023641807697547187,101986
1988,1,0.0024473176701038787,101988
1989,1,0.0017855396607488175,101989
1990,1,0.0017761021621902728,101990
1991,1,0.001779770097052028,101991
1992,1,0.0017980113739844814,101992
1993,1,0.0017271219089673264,101993
1994,1,0.002058713131087925,101994
1995,1,0.0020554560150885413,101995
1996,1,0.0024173116684942427,101996
1997,1,0.0024132026331000005,101997
1998,1,0.002399223135897145,101998
1999,1,0.002413031298538709,101999
2000,1,0.0020592746672737426,102000
2001,1,0.0017604644262034024,102001
2002,1,0.0025876567602269637,102002
2003,1,0.0017827468491854236,102003
2004,1,0.0019076178150985695,102004
2005,1,0.002511783107341551,102005
2006,1,0.0023911802402556766,102006
2007,1,0.0023153844480788997,102007
2008,1,0.0024742959541020747,102008
2009,1,0.002447150488893951,102009
2010,1,0.0024497193358263935,102010
2011,1,0.002631397207833371,102011
2012,1,0.0019881649121936,102012
2013,1,0.0017343750672787783,102013
2014,1,0.0016750616138674918,102014
2015,1,0.0018702306351779303,102015
2016,1,0.0019023584002373151,102016
2017,1,0.0019023584002373151,102017
2018,1,0.002296431016284298,102018
2019,1,0.0022279941776782576,102019
2020,1,0.002284205653276067,102020
2021,1,0.0022822163523725622,102021
2022,1,0.002300560915911282,102022
2023,1,0.0022729871025632233,102023
2024,1,0.002514230447498425,102024
2025,1,0.0018187755168926033,102025
2026,1,0.0018523853383973984,102026
2027,1,0.0018784311139320006,102027
2028,1,0.0018999202101233962,102028
2037,1,0.001856095697367168,102037
2038,1,0.002517139884805073,102038
2039,1,0.0024983302636147997,102039
2040,1,0.002499215976487472,102040
2044,1,0.0019430062340802191,102044
2047,1,0.0017101922603342792,102047
2048,1,0.0017905074493960954,102048
2049,1,0.002313722089276115,102049
2050,1,0.002313722089276115,102050
2051,1,0.0022044911549875842,102051
2052,1,0.0022085232874473762,102052
2053,1,0.0022097338984892493,102053
2054,1,0.0022623525926014276,102054
2055,1,0.0022625198626593642,102055
2056,1,0.002297268579687167,102056
2057,1,0.0022775273517709445,102057
2058,1,0.002295008700246576,102058
2059,1,0.0022956769335718465,102059
2060,1,0.0022703159485235954,102060
2061,1,0.0022872518406250237,102061
2062,1,0.002275180226765188,102062
2063,1,0.00227456196063263,102063
2064,1,0.0022524902326510037,102064
2065,1,0.0022955968002513843,102065
2066,1,0.002296610642748411,102066
2067,1,0.0023117504699267303,102067
2068,1,0.0024389514170856286,102068
2069,1,0.0024394150669177902,102069
2070,1,0.0024391377144271295,102070
2071,1,0.00249519436168649,102071
2072,1,0.0024479091370061515,102072
2073,1,0.002445060205071917,102073
2074,1,0.002431642009280241,102074
2075,1,0.002343082757882922,102075
2076,1,0.0018029007717783954,102076
2077,1,0.0018029007717783954,102077
2083,1,0.002413056981924637,102083
2084,1,0.002436296178315583,102084
2085,1,0.0023801256165117044,102085
2088,1,0.0019272150592907745,102088
2089,1,0.0019218310763956857,102089
2090,1,0.0019213368471325324,102090
2091,1,0.0019252486340801645,102091
2092,1,0.0019481599045005986,102092
2093,1,0.0019482662266640221,102093
2094,1,0.0019415399324789458,102094
2097,1,0.002272046372588293,102097
2098,1,0.0022389143817840456,102098
2099,1,0.002218135362994851,102099
2100,1,0.0022327520268347932,102100
2101,1,0.002299767630120364,102101
2102,1,0.002299767630120364,102102
2103,1,0.0022791282046060336,102103
2104,1,0.0022791282046060336,102104
2105,1,0.002280138432238125,102105
2106,1,0.0022791282046060336,102106
2107,1,0.002273141772744469,102107
2108,1,0.002280138432238125,102108
2109,1,0.002423119513908387,102109
2110,1,0.0023829470858524613,102110
2111,1,0.002382643464849588,102111
2122,1,0.0019316891800466613,102122
2123,1,0.0019316891800466613,102123
2124,1,0.001943080383857108,102124
2127,1,0.002321390771048931,102127
2128,1,0.002317286124982904,102128
2129,1,0.0022939614565786444,102129
2130,1,0.0018358709234573038,102130
2131,1,0.0018358709234573038,102131
2132,1,0.0018358709234573038,102132
2133,1,0.0018688398627922829,102133
2134,1,0.0018711570730716176,102134
2136,1,0.001957692738173967,102136
2146,1,0.002264782163267884,102146
2147,1,0.0022241806100606254,102147
2148,1,0.0022808779710183635,102148
2149,1,0.0023782402395899458,102149
2150,1,0.002381437594519097,102150
2151,1,0.0025586670648122594,102151
2152,1,0.0025586670648122594,102152
2153,1,0.0025586670648122594,102153
2165,1,0.0018408517566495522,102165
2166,1,0.0018445974847856952,102166
2167,1,0.001875552640308435,102167
2170,1,0.0018254136124690543,102170
2171,1,0.0018283964133259834,102171
2172,1,0.001857392347956679,102172
2174,1,0.0018507600534126104,102174
2175,1,0.0018507600534126104,102175
2176,1,0.0018600053424267864,102176
2177,1,0.0018504569062358406,102177
2185,1,0.00181882502434642,102185
2186,1,0.0018573324358607932,102186
2187,1,0.001824701400618971,102187
2188,1,0.00188258922000107,102188
2189,1,0.002521093782891998,102189
2190,1,0.002522701112937614,102190
2191,1,0.0018250548607758378,102191
2192,1,0.0018250548607758378,102192
2193,1,0.0018293349508192679,102193
2194,1,0.0017441343358953851,102194
2195,1,0.00174572108931106,102195
2196,1,0.0017374650646599678,102196
2197,1,0.001707802275121397,102197
2201,1,0.002243538508520466,102201
2202,1,0.0018291429120801757,102202
2203,1,0.00255769588708019,102203
2204,1,0.0025699856475398714,102204
2206,1,0.0024740163167491264,102206
2207,1,0.002394534178833667,102207
2208,1,0.0023753501382456684,102208
2209,1,0.0023753501382456684,102209
2210,1,0.002373781660035783,102210
2212,1,0.0019566204681662554,102212
2213,1,0.001932451993295262,102213
2216,1,0.002408138587608116,102216
2217,1,0.0018446550667553378,102217
2218,1,0.0018428495117277445,102218
2219,1,0.0018448892011683105,102219
2220,1,0.0024021646333844075,102220
2221,1,0.0015756316998195264,102221
2222,1,0.002206126372983919,102222
2223,1,0.0024401234039783458,102223
2224,1,0.0024356812382811395,102224
2227,1,0.0024754325489573883,102227
2228,1,0.0017773852103710756,102228
2229,1,0.0025028079198352684,102229
2230,1,0.0018066990034988676,102230
2231,1,0.002563430520640377,102231
2232,1,0.002468653886012418,102232
2233,1,0.0024497033872842395,102233
2234,1,0.002544206787817846,102234
2235,1,0.0019357508534972583,102235
2236,1,0.00194269922210411,102236
2237,1,0.0019197234187178036,102237
2238,1,0.002220457550108068,102238
2239,1,0.0022430870428429466,102239
2240,1,0.00234974355492812,102240
2241,1,0.002336857624569976,102241
2242,1,0.00235067663987951,102242
2243,1,0.002415235375736453,102243
2244,1,0.0024065554326683316,102244
2245,1,0.0024055226088844366,102245
2246,1,0.002428013587873861,102246
2247,1,0.0024485687330543177,102247
2248,1,0.002409098938482219,102248
2249,1,0.0024071679483975055,102249
