WP4,campaign,value,pu
7227,1,3366.0969266850043,107227
7228,1,13296.908035606086,107228
7229,1,3240.4117857076258,107229
7230,1,30207.148032442787,107230
7231,1,19708.782917507033,107231
7232,1,17176.571412977777,107232
7233,1,24103.964075432017,107233
7234,1,23532.281954506492,107234
7235,1,23914.209248634408,107235
7236,1,25119.015863856643,107236
7237,1,24028.32806194065,107237
7238,1,24203.6174580046,107238
7239,1,8069.429877679023,107239
7240,1,4059.8112490396607,107240
7241,1,7704.770888035909,107241
7242,1,9218.790064753122,107242
7243,1,22966.272532524206,107243
7244,1,11702.398983437153,107244
7245,1,12743.545680072,107245
7246,1,13275.067120590184,107246
7247,1,8359.212433326438,107247
7248,1,19195.08576388746,107248
7249,1,8432.304984747478,107249
7250,1,3926.627120190604,107250
7251,1,1676.7604783053564,107251
7252,1,1196.58204776339,107252
7253,1,15301.748663822918,107253
7254,1,8213.773771411757,107254
7255,1,4758.217153822627,107255
7256,1,4860.927798039107,107256
7257,1,623.0866451241812,107257
7258,1,2462.344268927322,107258
7259,1,3809.6476856647523,107259
7260,1,4194.603026085304,107260
7261,1,4113.510108733091,107261
7262,1,2280.8540658649054,107262
7263,1,3427.0131264100546,107263
7264,1,2173.7779944656127,107264
7265,1,1851.6702126571683,107265
7266,1,2045.1702236766084,107266
7267,1,1153.2494547494123,107267
7268,1,2551.7570008500948,107268
7269,1,2040.600367595629,107269
7270,1,7739.400104999276,107270
7271,1,6506.076420906537,107271
7272,1,3244.632912982072,107272
7273,1,3586.39378205419,107273
7274,1,1959.5771275231673,107274
7275,1,1784.293348401829,107275
7276,1,1717.3651857329278,107276
7277,1,1690.9734369500834,107277
7278,1,3292.5065383648757,107278
7279,1,1182.6613806745504,107279
7280,1,13947.431164003383,107280
7281,1,13096.178677237534,107281
7282,1,1440.3055025473266,107282
7283,1,2841.3497529371125,107283
7284,1,2425.9937180293036,107284
7285,1,2144.554604113728,107285
7286,1,1951.7880215456896,107286
7287,1,1952.9575362290504,107287
7288,1,1996.4524205101313,107288
7289,1,1156.7212469408337,107289
7290,1,1682.5745815433963,107290
7291,1,1777.6141300413806,107291
7292,1,9941.864544665761,107292
7293,1,2798.2991377086964,107293
7294,1,2041.538057854964,107294
