WP4,campaign,value,pu
7227,1,0.0022156557292796575,107227
7228,1,0.0022902063695384575,107228
7229,1,0.002293641889207922,107229
7230,1,0.0022947282386308093,107230
7231,1,0.002305201995413603,107231
7232,1,0.0022534048861044204,107232
7233,1,0.002283116744189797,107233
7234,1,0.0022814030076521294,107234
7235,1,0.002281710582878152,107235
7236,1,0.002291200575766187,107236
7237,1,0.0022906462443382006,107237
7238,1,0.0023329321985368122,107238
7239,1,0.002379707165168011,107239
7240,1,0.002909862147940513,107240
7241,1,0.0024194822097066086,107241
7242,1,0.002413696182364945,107242
7243,1,0.0024279663871225104,107243
7244,1,0.002425126367990559,107244
7245,1,0.0024250800522469525,107245
7246,1,0.00241806953476749,107246
7247,1,0.0024365087359698627,107247
7248,1,0.002458073127683573,107248
7249,1,0.002523770931982317,107249
7250,1,0.0022023474626849115,107250
7251,1,0.002180053980210387,107251
7252,1,0.0021841604137517604,107252
7253,1,0.002195363786620642,107253
7254,1,0.0022878449962927304,107254
7255,1,0.0023174589256834952,107255
7256,1,0.002446041850228756,107256
7257,1,0.0027633263271935734,107257
7258,1,0.0019150827331213568,107258
7259,1,0.002458914868491482,107259
7260,1,0.0026694156244477887,107260
7261,1,0.0026706665085237118,107261
7262,1,0.002514002427015895,107262
7263,1,0.001856871454256628,107263
7264,1,0.0018354284054500737,107264
7265,1,0.0019277482552164514,107265
7266,1,0.0026128379318421336,107266
7267,1,0.002715499123934265,107267
7268,1,0.0024485659512428148,107268
7269,1,0.002493467918916966,107269
7270,1,0.0024507042396194074,107270
7271,1,0.002290571406960918,107271
7272,1,0.0017824170065630313,107272
7273,1,0.0017765102609907145,107273
7274,1,0.0026216145473017434,107274
7275,1,0.002698287261215978,107275
7276,1,0.0025916291168831223,107276
7277,1,0.002585883410606766,107277
7278,1,0.002769210953241984,107278
7279,1,0.0019499975220358188,107279
7280,1,0.002090186136484117,107280
7281,1,0.0020819337803560456,107281
7282,1,0.002365193664391409,107282
7283,1,0.0023904985916178706,107283
7284,1,0.002498051984464138,107284
7285,1,0.0025997688677086932,107285
7286,1,0.002727405636247259,107286
7287,1,0.0025586220636008537,107287
7288,1,0.0026387554893718677,107288
7289,1,0.0019245604402994864,107289
7290,1,0.0019268239747661582,107290
7291,1,0.0027306614099456865,107291
7292,1,0.0018354236307341991,107292
7293,1,0.001832829491601274,107293
7294,1,0.002003919737745165,107294
7295,1,0.002000420773057355,107295
7296,1,0.0019294901554670356,107296
7297,1,0.0029127694094051785,107297
7298,1,0.0021035380871447587,107298
7299,1,0.0020812779829293597,107299
7300,1,0.0023444826226910543,107300
7301,1,0.0019956872495151836,107301
7302,1,0.001993443545406532,107302
7303,1,0.001991590136436499,107303
7304,1,0.0019907145713807407,107304
7305,1,0.0019491194454073937,107305
7306,1,0.0018627363229018052,107306
7307,1,0.0020540615739400234,107307
7308,1,0.0018487957248917075,107308
7309,1,0.0018053740101098188,107309
7310,1,0.0024460819078381594,107310
7311,1,0.002358653856584426,107311
7312,1,0.0021641212296731405,107312
7313,1,0.00203424802916159,107313
7314,1,0.0017794199452155156,107314
7315,1,0.0022098996951892772,107315
7316,1,0.001870882208200896,107316
7317,1,0.0021270979787797704,107317
7318,1,0.0018981755502859613,107318
7319,1,0.0022082711437261737,107319
7320,1,0.0021520256346810613,107320
7321,1,0.0024286193930524087,107321
7322,1,0.0020353463516656683,107322
7323,1,0.002035372684422425,107323
7324,1,0.002035278438895398,107324
7325,1,0.002107750098460476,107325
7326,1,0.0021045419761890126,107326
7327,1,0.0021443969580011916,107327
7328,1,0.001981304303951918,107328
7329,1,0.0020791475931234422,107329
7330,1,0.0020846359275269377,107330
7331,1,0.0018896437256327087,107331
7332,1,0.0024116632993220945,107332
7333,1,0.002242619090742604,107333
7334,1,0.002094704434507805,107334
7335,1,0.0020467743251629065,107335
7336,1,0.001944866823729002,107336
7337,1,0.0020987172413868063,107337
7338,1,0.00254827647907821,107338
7339,1,0.002038272361161744,107339
7340,1,0.0020385025071982307,107340
7341,1,0.00209153142268103,107341
7342,1,0.0021131033465087994,107342
7343,1,0.0018642255969955996,107343
7344,1,0.0018362135540455128,107344
7345,1,0.0018359174899014925,107345
7346,1,0.001828785438379775,107346
7347,1,0.0021669573613184814,107347
7348,1,0.002166819415843481,107348
7349,1,0.0022323161244219513,107349
7350,1,0.0024364386614751624,107350
7351,1,0.0021711532946703106,107351
7352,1,0.0021451313343219115,107352
7353,1,0.0019705917660335338,107353
7354,1,0.0024095538873267187,107354
7355,1,0.002153841711806503,107355
7356,1,0.0018715232581707612,107356
7357,1,0.002604021413913257,107357
7358,1,0.002815790766576326,107358
7359,1,0.00267751790405609,107359
7401,1,0.002758955909431471,107401
7227,2,0.0019844765504452677,207227
7228,2,0.0023140435550595448,207228
7229,2,0.002276560369167981,207229
7230,2,0.0022744554572816118,207230
7231,2,0.002283700722836547,207231
7232,2,0.002235218083130603,207232
7233,2,0.0022267285623256174,207233
7234,2,0.0022272310411595216,207234
7235,2,0.0022090743736662994,207235
7236,2,0.0022238388292410687,207236
7237,2,0.002222750033657846,207237
7238,2,0.0022482618271807576,207238
7239,2,0.0022473166410800446,207239
7240,2,0.0029250669760734296,207240
7241,2,0.002266102014321792,207241
7242,2,0.0022731171455554105,207242
7243,2,0.002282719223148419,207243
7244,2,0.0022943655536525826,207244
7245,2,0.0023225132893350624,207245
7246,2,0.002325179923192152,207246
7247,2,0.0024069663999976452,207247
7248,2,0.0023906242533160253,207248
7249,2,0.0026135452580079944,207249
7250,2,0.002287703047842294,207250
7251,2,0.002279661664512531,207251
7252,2,0.002302823624857369,207252
7253,2,0.0023314619980555557,207253
7254,2,0.0024312592445161004,207254
7255,2,0.0024405151737190156,207255
7256,2,0.002617759830274187,207256
7257,2,0.0029544605376522625,207257
7258,2,0.002053379508787092,207258
7259,2,0.0028105629252326804,207259
7260,2,0.0027371066466213775,207260
7261,2,0.0029611746602059776,207261
7262,2,0.0028672055931196747,207262
7263,2,0.0017414946393742344,207263
7264,2,0.001951681546947119,207264
7265,2,0.0021154868227106524,207265
7266,2,0.0028168749495115714,207266
7267,2,0.0028607906744107345,207267
7268,2,0.0027688736960299306,207268
7269,2,0.0027938447972734952,207269
7270,2,0.0027271267737601465,207270
7271,2,0.002430717597450629,207271
7272,2,0.0019031303865030137,207272
7273,2,0.001879372656700346,207273
7274,2,0.002846037879217118,207274
7275,2,0.0028592061238130856,207275
7276,2,0.0028361238173032085,207276
7277,2,0.002932657969084034,207277
7278,2,0.0031836764471403433,207278
7279,2,0.0017721186166533725,207279
7280,2,0.0021603089380859215,207280
7281,2,0.002251665626589852,207281
7282,2,0.002738092347182108,207282
7283,2,0.00274267868354178,207283
7284,2,0.002782099241254598,207284
7285,2,0.0028781633335385986,207285
7286,2,0.0028212479153740338,207286
