WP4,campaign,value,value_sd,pu
7227,1,3451.411332918198,44.239661094612416,107227
7228,1,14209.073125924388,352.9660406205158,107228
7229,1,3245.60451306891,46.77606525495913,107229
7230,1,29327.414968490666,548.0591105058778,107230
7231,1,18890.745293420143,501.7192746282776,107231
7232,1,16708.29642011785,355.62238489661996,107232
7233,1,22675.021016329152,1223.2976095634904,107233
7234,1,22308.396683621657,1139.6530251512052,107234
7235,1,22521.532355925858,1273.0026895303763,107235
7236,1,23371.780799125663,1499.6564265387585,107236
7237,1,22393.662855432918,1325.3726430229472,107237
7238,1,22607.871686308117,1437.1434242563573,107238
7239,1,7836.5079396803,323.72336649232216,107239
7240,1,4176.531997559326,269.6239647496598,107240
7241,1,7525.594688992618,323.76844941719617,107241
7242,1,8965.179563953117,417.14237474009826,107242
7243,1,22193.18756868838,1009.8978812919906,107243
7244,1,11110.985124418281,532.4563302553682,107244
7245,1,12024.0623953229,632.2517141967558,107245
7246,1,12309.769902762964,668.2193094908924,107246
7247,1,7723.452735340732,427.6645189244339,107247
7248,1,17422.062740934107,1026.7571365599501,107248
7249,1,7386.025607739382,521.4395635060229,107249
7250,1,3336.8005345910724,251.54965182053658,107250
7251,1,1421.513167904499,109.06498064758412,107251
7252,1,1017.0319815774375,76.48094514783685,107252
7253,1,13042.173958217598,1001.2767141074897,107253
7254,1,6909.1620713621,453.5188232515446,107254
7255,1,3960.5107608161693,303.91010697991595,107255
7256,1,4585.772800463378,265.11918946085353,107256
7257,1,517.8395093868046,33.811200078151785,107257
7258,1,1349.1069916382285,117.96719488100908,107258
7259,1,3749.7029838677263,179.46235804005826,107259
7260,1,2833.2457137286174,192.7086619443476,107260
7261,1,2353.335310210327,185.83098439601093,107261
7262,1,2370.6301440085454,218.1390962506163,107262
7263,1,2938.0858087195625,386.7172698299632,107263
7264,1,1352.6800097286673,115.51883269221787,107264
7265,1,1113.6433683431019,62.99568220391192,107265
7266,1,1948.202463066107,127.63487687257657,107266
7267,1,1022.6877684877754,46.55680205943416,107267
7268,1,2522.733524607212,98.323510795165,107268
7269,1,1916.8038468015097,102.3548233081235,107269
7270,1,6119.036264718374,745.7412619276954,107270
7271,1,5305.265425366565,418.7508877436618,107271
7272,1,4013.2985560817033,370.19743145647516,107272
7273,1,3693.283294279066,304.37006689591186,107273
7274,1,1458.368993822226,183.13293314092965,107274
7275,1,1384.0322984330965,122.27475097320479,107275
7276,1,1647.4308245394611,109.53312679669177,107276
7277,1,1138.6236351200007,73.8353780285099,107277
7278,1,3232.067956875424,174.77108012154204,107278
7279,1,1463.5890706378216,112.3876508345819,107279
7280,1,13066.04336766041,977.2737361356412,107280
