WP4,campaign,value,value_sd,pu
7227,1,0.0023048083408219967,7.092630698591445e-5,107227
7228,1,0.00229473658360067,7.4857949159699e-5,107228
7229,1,0.0023050289002373506,7.4357679551856e-5,107229
7230,1,0.0022983665313262348,7.701754773316104e-5,107230
7231,1,0.0023115903333722166,7.691125288822221e-5,107231
7232,1,0.0022517170314380825,7.392751246330938e-5,107232
7233,1,0.002253663249408185,7.388593872210947e-5,107233
7234,1,0.0022495994682875256,7.378873548358508e-5,107234
7235,1,0.002260948460195807,7.245696182880594e-5,107235
7236,1,0.0022725466678865983,7.133069917422367e-5,107236
7237,1,0.002273065173325242,6.963885595238366e-5,107237
7238,1,0.0023326315342135375,7.53859030163166e-5,107238
7239,1,0.002384887849653708,7.62203792728606e-5,107239
7240,1,0.0019061089911475665,1.078920713229138e-4,107240
7241,1,0.002427518172062585,7.881770644309268e-5,107241
7242,1,0.002415486761211906,7.978408930947421e-5,107242
7243,1,0.0024266219184717157,7.925856425684445e-5,107243
7244,1,0.002425289454488005,7.41550440111882e-5,107244
7245,1,0.002431079717311917,6.735613820123741e-5,107245
7246,1,0.002428166019522259,7.326847952779329e-5,107246
7247,1,0.002455779291348793,6.562630630806951e-5,107247
7248,1,0.00251051904417159,5.408404417874274e-5,107248
7249,1,0.0025959222826843513,5.8520774449974957e-5,107249
7250,1,0.0022820871000654355,8.12417219307663e-5,107250
7251,1,0.0022558337741726314,1.0592662089940218e-4,107251
7252,1,0.002269144433374601,1.0381890670992534e-4,107252
7253,1,0.002277813370623049,9.771484336423032e-5,107253
7254,1,0.002411644835849727,6.221436151866148e-5,107254
7255,1,0.0024013808192790815,7.562065776421351e-5,107255
7256,1,0.0024705235444137056,1.1421816858719345e-4,107256
7257,1,0.002517834976713651,9.076721459433779e-5,107257
7258,1,0.0021621059419447194,2.223875141862336e-4,107258
7259,1,0.0024457563633864983,1.0855968486234883e-4,107259
7260,1,0.0023680447977916623,1.908947650140733e-4,107260
7261,1,0.0023174716797716936,2.0116090620210712e-4,107261
7262,1,0.002420805047499277,1.0611321279812572e-4,107262
7263,1,0.0022740844673296646,1.9673073266743312e-4,107263
7264,1,0.0023368706811026,2.0145364059024622e-4,107264
7265,1,0.0022243292645643133,1.7452610565054944e-4,107265
7266,1,0.0024651513030849812,1.2613041136626146e-4,107266
7267,1,0.002477867268260024,8.112580812068585e-5,107267
7268,1,0.002481286011351941,7.330775430287841e-5,107268
7269,1,0.0025166950234023857,7.137174674854304e-5,107269
7270,1,0.0021823845607564394,2.7540548088337793e-4,107270
7271,1,0.002315814721132387,1.3455365791066107e-4,107271
7272,1,0.0019682165569224488,1.8809286011239244e-4,107272
7273,1,0.0019801982194884477,1.9665418071348507e-4,107273
7274,1,0.002202603056470155,2.1233462528941828e-4,107274
7275,1,0.0024540467911412403,1.5848708195429062e-4,107275
