WP4,campaign,er_sl,pu
3507,1,0,103507
3508,1,0,103508
3509,1,0,103509
3510,1,0,103510
3511,1,0,103511
3512,1,0,103512
3513,1,0.008085791221682338,103513
3514,1,2.957178133230347e-4,103514
3515,1,0,103515
3516,1,0.0055933121750182105,103516
3517,1,0.17969896823487014,103517
3518,1,0.13849985822452393,103518
3519,1,0,103519
3520,1,0,103520
3521,1,0.09191755710558921,103521
3522,1,0.23481538813554328,103522
3523,1,8.57192600252586e-5,103523
3524,1,0.03825171227240335,103524
3525,1,0.11312137246400732,103525
3526,1,0.028192696485468946,103526
3527,1,0.6391272017278311,103527
3528,1,0.07448688284370855,103528
3529,1,0.0978719137438325,103529
3530,1,0.038517895804562594,103530
3531,1,0.011262409242790107,103531
3532,1,0.19943423489916742,103532
3533,1,0.032223417116996805,103533
3534,1,0.4513067679098266,103534
3535,1,0.11660530162660074,103535
3536,1,0.49310203056835444,103536
3537,1,0.6350460647807902,103537
3538,1,0.9428582085707318,103538
3539,1,0.5352092271620964,103539
3540,1,0.012023791318896571,103540
3541,1,0.7420767059228168,103541
3542,1,0.1135941456117373,103542
3543,1,0.37534975696020617,103543
3544,1,0.49374902364110296,103544
3545,1,0,103545
3546,1,6.953858294002746e-4,103546
3547,1,0,103547
3548,1,5.276350121225564e-4,103548
3549,1,0,103549
3550,1,0,103550
3551,1,0.00854781628888696,103551
3552,1,0.03971723161068416,103552
3553,1,0,103553
3554,1,2.1713368638972262e-4,103554
3555,1,0,103555
3556,1,0,103556
3557,1,0,103557
3558,1,0,103558
3559,1,2.6150088497764874e-4,103559
3560,1,0,103560
3561,1,0,103561
3562,1,0,103562
3563,1,0,103563
3564,1,9.861923319260025e-5,103564
3565,1,0.012062049824078921,103565
3566,1,0.028397759591249527,103566
3567,1,0.061115207577520717,103567
3568,1,0.12406978231053507,103568
3569,1,0.048601560617416856,103569
3570,1,0.0010071167316011002,103570
3571,1,0.012888904194641886,103571
3572,1,0.0022574088505126957,103572
3573,1,0.009478072104431648,103573
3574,1,8.612699598806071e-4,103574
3575,1,0,103575
3576,1,0,103576
3577,1,2.8359205034262047e-4,103577
3578,1,0.0019668417094013783,103578
3579,1,0.02131642360770581,103579
3580,1,0.01264716110447941,103580
3581,1,0.003943614103655996,103581
3582,1,0.011027751099541697,103582
3583,1,0,103583
3584,1,0.005434850803965165,103584
3585,1,0.002146446305358636,103585
3586,1,7.421395827623873e-4,103586
3587,1,0,103587
3588,1,0,103588
3589,1,0.0022214130890235214,103589
3590,1,0.005117260414879383,103590
3592,1,0.0060587301069792675,103592
3593,1,0,103593
3594,1,0.00247682533917469,103594
3595,1,0.012015547351907057,103595
3596,1,0,103596
3597,1,0.0012419582747486527,103597
3598,1,0,103598
3599,1,0.005234055358601748,103599
3600,1,0.001145671411839036,103600
3601,1,0.012108660808437942,103601
3602,1,1.6915962657024087e-4,103602
3603,1,0,103603
3604,1,0,103604
3605,1,0,103605
3606,1,0.0014749463562410262,103606
3607,1,1.8051939399206647e-5,103607
3608,1,0.006885670928486948,103608
3609,1,4.690086506759062e-5,103609
3610,1,8.970296644967615e-4,103610
3611,1,0.005567843618500454,103611
3612,1,0,103612
3613,1,0,103613
3614,1,0.00330677545276588,103614
3615,1,0.00275378879960414,103615
3616,1,0.04147713139531136,103616
3617,1,6.787003626086576e-4,103617
3618,1,0.0011337117755844833,103618
3619,1,0.02269119982779753,103619
3620,1,0.009810767528386133,103620
3621,1,0.015861745431612784,103621
3622,1,0.0017642859615887502,103622
3623,1,0.013193399699753265,103623
3624,1,0.013106986562301552,103624
3625,1,0,103625
3626,1,0.008806952621068126,103626
3627,1,0.0011662968723707787,103627
3628,1,8.88784392691663e-6,103628
3629,1,0,103629
3630,1,0.008335282709141748,103630
3631,1,0.05236919119923493,103631
3632,1,0.0016725475434024625,103632
3633,1,0,103633
3634,1,0.01301137125788084,103634
3635,1,0,103635
3636,1,2.357350182522032e-4,103636
3637,1,0.0022245689598705256,103637
3638,1,0,103638
3639,1,0,103639
3640,1,0,103640
3641,1,0.0038274148340789313,103641
3642,1,0.01008276980314549,103642
3643,1,0.0014901708960606433,103643
3644,1,0.0013012178353092362,103644
3645,1,0.0038051489725424536,103645
3646,1,7.394383446943775e-4,103646
3647,1,0,103647
3648,1,0.021456321463341754,103648
3649,1,0.025979750924114645,103649
3650,1,0.1527308890856096,103650
3651,1,0.030346933890899538,103651
3652,1,0.05219102588055566,103652
3653,1,0,103653
3654,1,0.18164683341126545,103654
3655,1,0.09392115826482623,103655
3656,1,0.09367360379238386,103656
3657,1,0.007055693629225581,103657
3658,1,0.037975501321170134,103658
3659,1,5.505674235434694e-4,103659
3660,1,5.580128232744514e-4,103660
3661,1,0.0014265344261256642,103661
3662,1,0.024872645176370337,103662
3663,1,0.5195049994164601,103663
3664,1,0.11316227236283742,103664
3665,1,0.02916000091854508,103665
3666,1,0.007019297057434354,103666
3667,1,7.907113728168992e-4,103667
3668,1,3.8998527254901836e-5,103668
3669,1,7.025844513631873e-4,103669
3670,1,0.01436795773741646,103670
3671,1,0,103671
3672,1,1.0692064702438847e-5,103672
3673,1,0,103673
3674,1,0.003268574101076382,103674
3675,1,8.474961894099546e-5,103675
3676,1,7.305233345694579e-6,103676
3677,1,0.0010605302365970532,103677
3678,1,0.002530200882133771,103678
3679,1,0.0022836649287965036,103679
3680,1,0.0017488223091637945,103680
3681,1,0.004217073179071016,103681
3682,1,0.004044380206161728,103682
3683,1,0,103683
3684,1,0,103684
3685,1,0.007257314887762847,103685
3686,1,0,103686
3687,1,0.01086038415739268,103687
3688,1,0.012140668387788805,103688
3689,1,0.004018802494651086,103689
3690,1,0.0019486989985701636,103690
3691,1,0.03605691946945596,103691
3692,1,0.034509154546970656,103692
3693,1,0.02139756949344761,103693
3694,1,0.04183483121621685,103694
3695,1,0.013352950030234685,103695
3696,1,0.04726367098015136,103696
3697,1,0.17441973277037567,103697
3698,1,0.5188795811159447,103698
3699,1,0.14430480757083539,103699
3700,1,0.0822615734183081,103700
3701,1,0.1222941708616204,103701
3702,1,0.36361865534823573,103702
3703,1,0.02942419635088125,103703
3704,1,0.0075100402754731364,103704
3705,1,0.6658051495671874,103705
3706,1,0.13351462940526063,103706
3707,1,0.980031489045822,103707
3708,1,0.3121716220916632,103708
3709,1,0.16683936979231537,103709
3710,1,0.11813052523541719,103710
3711,1,0.1809224932975618,103711
3712,1,0.2900558218709184,103712
3713,1,1.6081493024122838e-4,103713
3714,1,0.682727178325991,103714
3715,1,1,103715
3716,1,0.11765062554519114,103716
3717,1,0.09478264803129241,103717
3718,1,0.17252441760382267,103718
3719,1,0.12062298684264361,103719
3720,1,0,103720
3721,1,0.010442864912882838,103721
3722,1,0.021182025601413565,103722
3723,1,0,103723
3724,1,0.11925792116149776,103724
3725,1,0.02078668343586513,103725
3727,1,0.051114848924640625,103727
3728,1,0.11204878962968245,103728
3729,1,0.07694901464227216,103729
3730,1,0.12297002557746355,103730
3731,1,0.7658272748063599,103731
3733,1,0.008423402112015642,103733
3734,1,0.2603017407996775,103734
3735,1,0.03259218798751155,103735
3736,1,0.3207588771227299,103736
3737,1,0.5251510761542747,103737
3738,1,0.5247476556005025,103738
3739,1,0.6496869416910434,103739
3740,1,0.20122446080218123,103740
3741,1,0.05022789910449378,103741
3742,1,0.12536547342607549,103742
3743,1,0.04439568746685489,103743
3744,1,0.3845087649405676,103744
3745,1,0.26244761668016475,103745
3746,1,0.1895265731447305,103746
3747,1,0.17390042930265792,103747
3748,1,0.08743888191390825,103748
3749,1,0.06393303027449852,103749
3750,1,0.02134809765456622,103750
3751,1,0.29646376778782657,103751
3752,1,0.06999070789137873,103752
3753,1,0.41476862378580087,103753
3754,1,0.003002686189969734,103754
3755,1,0.0014946493184349876,103755
3756,1,0.013210375473012188,103756
3757,1,1.2538129674416858e-4,103757
3758,1,1.8474434138955934e-4,103758
3759,1,0.003200321871887305,103759
3760,1,0.0011442613389298357,103760
3761,1,0.4341607042028896,103761
3762,1,0.2582926227207969,103762
