WP4;campaign;dr_lr
3507;1;0.599832345
3508;1;0
3509;1;0
3510;1;0
3511;1;0
3512;1;0
3513;1;0
3514;1;0
3515;1;0
3516;1;0.69054117
3517;1;0.751030675
3518;1;0.741041954
3519;1;0
3520;1;0
3521;1;0.761138007
3522;1;0.782287127
3523;1;0
3524;1;0.5988236
3525;1;0.810623493
3526;1;0
3527;1;0.853877171
3528;1;0.800977177
3529;1;0.834586278
3530;1;0.800262468
3531;1;0.72310215
3532;1;0.838566782
3533;1;0.702477404
3534;1;0.89231045
3535;1;0.842692945
3536;1;0.950354259
3537;1;0.979967956
3538;1;0.984055269
3539;1;0.998173754
3540;1;0.938537898
3541;1;0.991812896
3542;1;0.961213763
3543;1;0.991666434
3544;1;0.968449295
3545;1;0
3546;1;0
3547;1;0
3548;1;0
3549;1;0
3550;1;0
3551;1;0
3552;1;0
3553;1;0
3554;1;0
3555;1;0
3556;1;0
3557;1;0
3558;1;0
3559;1;0
3560;1;0
3561;1;0
3562;1;0
3563;1;0
3564;1;0
3565;1;0
3566;1;0
3567;1;0
3568;1;0
3569;1;0
3570;1;0
3571;1;0
3572;1;0
3573;1;0
3574;1;0
3575;1;0
3576;1;0
3577;1;0
3578;1;0
3579;1;0
3580;1;0
3581;1;0
3582;1;0
3583;1;0
3584;1;0
3585;1;0
3586;1;0
3587;1;0
3588;1;0
3589;1;0
3590;1;0
3592;1;0
3593;1;0
3594;1;0
3595;1;0
3596;1;0
3597;1;0
3598;1;0
3599;1;0
3600;1;0
3601;1;0
3602;1;0
3603;1;0
3604;1;0
3605;1;0
3606;1;0
3607;1;0
3608;1;0
3609;1;0
3610;1;0
3611;1;0
3612;1;0
3613;1;0
3614;1;0
3615;1;0
3616;1;0
3617;1;0
3618;1;0
3619;1;0
3620;1;0
3621;1;0
3622;1;0
3623;1;0
3624;1;0
3625;1;0
3626;1;0
3627;1;0
3628;1;0
3629;1;0
3630;1;0
3631;1;0
3632;1;0
3633;1;0
3634;1;0
3635;1;0
3636;1;0
3637;1;0
3638;1;0
3639;1;0
3640;1;0
3641;1;0
3642;1;0
3643;1;0
3644;1;0
3645;1;0
3646;1;0
3647;1;0
3648;1;0
3649;1;0
3650;1;0
3651;1;0
3652;1;0
3653;1;0
3654;1;0
3655;1;0
3656;1;0
3657;1;0
3658;1;0.972606119
3659;1;0
3660;1;0
3661;1;0
3662;1;0.444202189
3663;1;1
3664;1;0
3665;1;0
3666;1;0
3667;1;0
3668;1;0
3669;1;0
3670;1;0
3671;1;0
3672;1;0
3673;1;0
3674;1;0
3675;1;0
3676;1;0
3677;1;0
3678;1;0
3679;1;0
3680;1;0
3681;1;0
3682;1;0
3683;1;0
3684;1;0
3685;1;0
3686;1;0
3687;1;0
3688;1;0
3689;1;0
3690;1;0
3691;1;0
3692;1;0
3693;1;0
3694;1;0
3695;1;0
3696;1;0
3697;1;0.916302501
3698;1;0.974951347
3699;1;0
3700;1;0
3701;1;0
3702;1;0.888474441
3703;1;0
3704;1;0
3705;1;0.88537058
3706;1;0.970278163
3707;1;0.976426792
3708;1;0.987560454
3709;1;0.914301906
3710;1;0.917109319
3711;1;0.916000493
3712;1;0.905411179
3713;1;0
3714;1;0.908779231
3715;1;0.947978128
3716;1;0
3717;1;0
3718;1;0.941442518
3719;1;0
3720;1;0
3721;1;0
3722;1;0.978201696
3723;1;0
3724;1;0.934846338
3725;1;0.94185452
3727;1;0.766771914
3728;1;0.908435293
3729;1;0.937324296
3730;1;0.816418002
3731;1;0.946813916
3733;1;0.900965857
3734;1;0.966809792
3735;1;0.932134829
3736;1;0.916477728
3737;1;0.860028066
3738;1;0.905853855
3739;1;0.888244711
3740;1;0.84514608
3741;1;0.854941751
3742;1;0.926865401
3743;1;0.827908592
3744;1;0.908945236
3745;1;0.95221632
3746;1;0.965265039
3747;1;0.908570816
3748;1;0.943800723
3749;1;0
3750;1;0
3751;1;0.907628876
3752;1;0.779708723
3753;1;0.857024531
3754;1;0
3755;1;0
3756;1;0
3757;1;0
3758;1;0
3759;1;0
3760;1;0
3761;1;0.952044096
3762;1;0.863468124
3763;1;0.816926988
3764;1;0.854063511
3765;1;0.875196647
3766;1;0.890122345
3767;1;0.776462324
3768;1;0.838920018
3769;1;0.84550535
3770;1;0.839918028
3771;1;0.40582843
3772;1;0.754536292
3773;1;0.820687637
3775;1;0.852939726
3776;1;0.763161804
3777;1;0.85329864
3778;1;0.859506134
3779;1;0.873306503
3780;1;0.715490064
3781;1;0
3782;1;0.712545201
3783;1;0.878505673
3784;1;0.895455366
3785;1;0.81578123
3786;1;0.852808032
3787;1;0
3788;1;0.878469064
3789;1;0
3790;1;0.887938126
3791;1;0
3792;1;0.824565208
3793;1;0.846559853
3794;1;0.834620229
3795;1;0
3796;1;0
3797;1;0.721576847
3798;1;0.861004241
3799;1;0.886096246
3800;1;0.742504434
3801;1;0.880670425
3802;1;0.901918799
3803;1;0
3804;1;0
3805;1;0.812110405
3806;1;0.756053895
3807;1;0.655112208
3808;1;0.80752661
3809;1;0.825206934
3810;1;0.819686406
3811;1;0.834488727
3812;1;0
3813;1;0.831377634
3814;1;0.829140877
3815;1;0
3816;1;0.762422399
3817;1;0.752222301
3818;1;0.796049839
3819;1;0
3820;1;0.781904163
3821;1;0.646358578
3822;1;0
3823;1;0
3824;1;0
3825;1;0
3826;1;0.74863266
3827;1;0.749975526
3828;1;0.756076047
3829;1;0.781973501
3830;1;0.815291209
3831;1;0
3832;1;0.773859976
3833;1;0
3834;1;0.752635797
3835;1;0
3836;1;0
3837;1;0
3838;1;0
3839;1;0
3840;1;0
3841;1;0
3842;1;0
3843;1;0.616428695
3844;1;0
3845;1;0
3846;1;0
3847;1;0
3848;1;0.769698155
3849;1;0.644422417
3850;1;0.730814205
