"WP4","campaign","flo_sl","pu"
3507,1,0.003881082,1
3508,1,0.001971225,1
3509,1,0.001945135,1
3510,1,0.000655,1
3511,1,0.000601,1
3512,1,0.001559583,1
3513,1,0.047824245,1
3514,1,0.064383147,1
3515,1,0.008013526,1
3516,1,0.114220793,1
3517,1,0.195009183,1
3518,1,0.194686269,1
3519,1,0.035593669,1
3520,1,0.003777355,1
3521,1,0.218000905,1
3522,1,0.33935107,1
3523,1,0.147288533,1
3524,1,0.278826236,1
3525,1,0.369605136,1
3526,1,0.254419738,1
3527,1,0.555140869,1
3528,1,0.653909486,1
3529,1,0.502683413,1
3530,1,0.629348893,1
3531,1,0.556987591,1
3532,1,0.49826828,1
3533,1,0.466517517,1
3534,1,0.647394313,1
3535,1,0.66532457,1
3536,1,0.503770869,1
3537,1,0.582725593,1
3538,1,0.797114122,1
3539,1,0.604046945,1
3540,1,1,1
3541,1,0.695377475,1
3542,1,0.710303728,1
3543,1,0.587338806,1
3544,1,0.337939034,1
3545,1,0.101010377,1
3546,1,0.061468361,1
3547,1,0.012825953,1
3548,1,0.046373761,1
3549,1,0.018405,1
3550,1,0.082150759,1
3551,1,0.147439396,1
3552,1,0.169275695,1
3553,1,0.086266146,1
3554,1,0.026045986,1
3555,1,0.012043433,1
3556,1,0,1
3557,1,0.007683285,1
3558,1,0.021749356,1
3559,1,0.028905158,1
3560,1,0.032330605,1
3561,1,0.067590364,1
3562,1,0.031212751,1
3563,1,0,1
3564,1,0.048878366,1
3565,1,0.099305301,1
3566,1,0.238545254,1
3567,1,0.089263439,1
3568,1,0.179285878,1
3569,1,0.08506814,1
3570,1,0.055703518,1
3571,1,0.035901977,1
3572,1,0.05136632,1
3573,1,0.114432442,1
3574,1,0.058470777,1
3575,1,0.05082693,1
3576,1,0.010121116,1
3577,1,0.013618491,1
3578,1,0.019749909,1
3579,1,0.028999624,1
3580,1,0.113092575,1
3581,1,0.050807183,1
3582,1,0.021489891,1
3583,1,0.016161286,1
3584,1,0.031810505,1
3585,1,0.133438674,1
3586,1,0.014742442,1
3587,1,0.005535094,1
3588,1,0.042990402,1
3589,1,0.098630811,1
3590,1,0.053508097,1
3592,1,0.11650594,1
3593,1,0.011832722,1
3594,1,0.088711401,1
3595,1,0.063638387,1
3596,1,0.008825597,1
3597,1,0.017447822,1
3598,1,0.022989061,1
3599,1,0.006705699,1
3600,1,0.016135903,1
3601,1,0.045516331,1
3602,1,0.02880886,1
3603,1,0.010602824,1
3604,1,0.057033225,1
3605,1,0.018456775,1
3606,1,0.099594398,1
3607,1,0.090710091,1
3608,1,0.129662285,1
3609,1,0.069150733,1
3610,1,0.064984114,1
3611,1,0.026202494,1
3612,1,0.10951635,1
3613,1,0.044878876,1
3614,1,0.036125337,1
3615,1,0.092931367,1
3616,1,0.066979578,1
3617,1,0.068225372,1
3618,1,0.042205869,1
3619,1,0.026294463,1
3620,1,0.025973364,1
3621,1,0.048110052,1
3622,1,0.067927581,1
3623,1,0.07174381,1
3624,1,0.060584327,1
3625,1,0.015993524,1
3626,1,0.088735322,1
3627,1,0.054921285,1
3628,1,0.06975479,1
3629,1,0.034519967,1
3630,1,0.058844307,1
3631,1,0.055486741,1
3632,1,0.062788949,1
3633,1,0.015884011,1
3634,1,0.065781622,1
3635,1,0.082702902,1
3636,1,0.026860893,1
3637,1,0.046502614,1
3638,1,0.015011853,1
3639,1,0.092529909,1
3640,1,0.006521874,1
3641,1,0.095078353,1
3642,1,0.140174025,1
3643,1,0.073779567,1
3644,1,0.276275239,1
3645,1,0.056274965,1
3646,1,0.010368118,1
3647,1,0.012700075,1
3648,1,0.089929976,1
3649,1,0.120922433,1
3650,1,0.161107046,1
3651,1,0.058640609,1
3652,1,0.122947105,1
3653,1,0.029716709,1
3654,1,0.150740254,1
3655,1,0.064055704,1
3656,1,0.096309134,1
3657,1,0.124081147,1
3658,1,0.138022674,1
3659,1,0.115194625,1
3660,1,0.07585985,1
3661,1,0.046108826,1
3662,1,0.414312662,1
3663,1,0.306938231,1
3664,1,0.163725546,1
3665,1,0.229717942,1
3666,1,0.198028542,1
3667,1,0.169314352,1
3668,1,0.075593505,1
3669,1,0.155183032,1
3670,1,0.177379774,1
3671,1,0.081474807,1
3672,1,0.018558113,1
3673,1,0,1
3674,1,0.063389368,1
3675,1,0.069963113,1
3676,1,0.044067412,1
3677,1,0.035555731,1
3678,1,0.025325092,1
3679,1,0.070262171,1
3680,1,0.061388272,1
3681,1,0.097355469,1
3682,1,0.050153645,1
3683,1,0.038358666,1
3684,1,0,1
3685,1,0.031937345,1
3686,1,0.042056688,1
3687,1,0.14002527,1
3688,1,0.132816694,1
3689,1,0.07749839,1
3690,1,0.132703264,1
3691,1,0.147829955,1
3692,1,0.10677499,1
3693,1,0.165624952,1
3694,1,0.181860602,1
3695,1,0.148467859,1
3696,1,0.069419049,1
3697,1,0.649978727,1
3698,1,0.513545885,1
3699,1,0.168452112,1
3700,1,0.150418076,1
3701,1,0.199794743,1
3702,1,0.429307421,1
3703,1,0.146773372,1
3704,1,0.332172936,1
3705,1,0.488655338,1
3706,1,0.167474211,1
3707,1,0.436268009,1
3708,1,0.549564606,1
3709,1,0.346095905,1
3710,1,0.498831757,1
3711,1,0.662044895,1
3712,1,0.883262033,1
3713,1,0.367779502,1
3714,1,0.553828599,1
3715,1,0.711260867,1
3716,1,0.106165949,1
3717,1,0.129074369,1
3718,1,0.236631254,1
3719,1,0.233453589,1
3720,1,0.006765302,1
3721,1,0.154714491,1
3722,1,0.20432081,1
3723,1,0.08940413,1
3724,1,0.468972573,1
3725,1,0.215249672,1
3727,1,0.537979841,1
3728,1,0.365272352,1
3729,1,0.374496683,1
3730,1,0.62631665,1
3731,1,0.37413597,1
3733,1,0.372384016,1
3734,1,0.328245851,1
3735,1,0.400795192,1
3736,1,0.480641363,1
3737,1,0.379864105,1
3738,1,0.482735548,1
3739,1,0.607110108,1
3740,1,0.520059305,1
3741,1,0.432554208,1
3742,1,0.360844814,1
3743,1,0.47596296,1
3744,1,0.352356452,1
3745,1,0.24649302,1
3746,1,0.307178614,1
3747,1,0.199235213,1
3748,1,0.393711696,1
3749,1,0.101298903,1
3750,1,0.120104104,1
3751,1,0.183666057,1
3752,1,0.700539182,1
3753,1,0.387470466,1
3754,1,0.085022804,1
3755,1,0.101070021,1
3756,1,0.073853807,1
3757,1,0.069584287,1
3758,1,0.088434425,1
3759,1,0.185026557,1
3760,1,0.089856683,1
3761,1,0.385638254,1
3762,1,0.327092202,1
3763,1,0.288451725,1
3764,1,0.355432725,1
3765,1,0.325718154,1
3766,1,0.277642216,1
3767,1,0.228875588,1
3768,1,0.28378381,1
3769,1,0.234262573,1
3770,1,0.291136923,1
3771,1,0.410149361,1
3772,1,0.196583935,1
3773,1,0.171414326,1
3775,1,0.293384808,1
3776,1,0.348174038,1
3777,1,0.364443584,1
3778,1,0.380556978,1
3779,1,0.399276317,1
3780,1,0.371846441,1
3781,1,0.403575379,1
3782,1,0.424971579,1
3783,1,0.498060041,1
3784,1,0.334722129,1
3785,1,0.299653071,1
3786,1,0.293830286,1
3787,1,0.118387296,1
3788,1,0.246485017,1
3789,1,0.095403901,1
3790,1,0.218923332,1
3791,1,0.238162768,1
3792,1,0.414410919,1
3793,1,0.204489807,1
3794,1,0.317351106,1
3795,1,0.205961884,1
3796,1,0.2444074,1
3797,1,0.204783152,1
3798,1,0.321561855,1
3799,1,0.233451169,1
3800,1,0.203869996,1
3801,1,0.265649621,1
3802,1,0.209668054,1
3803,1,0.148816293,1
3804,1,0.219664758,1
3805,1,0.171029273,1
3806,1,0.222890776,1
3807,1,0.261571244,1
3808,1,0.25242026,1
3809,1,0.193473114,1
3810,1,0.260574287,1
3811,1,0.271996355,1
3812,1,0.208456854,1
3813,1,0.18748245,1
3814,1,0.137964374,1
3815,1,0.12766273,1
3816,1,0.201132906,1
3817,1,0.167658654,1
3818,1,0.187962345,1
3819,1,0.087276146,1
3820,1,0.15798121,1
3821,1,0.078408059,1
3822,1,0.004105727,1
3823,1,0.079415828,1
3824,1,0.090043065,1
3825,1,0.16048894,1
3826,1,0.166998758,1
3827,1,0.189775228,1
3828,1,0.215211046,1
3829,1,0.145702751,1
3830,1,0.168244161,1
3831,1,0.110377687,1
3832,1,0.080571643,1
3833,1,0.03476707,1
3834,1,0.045397375,1
3835,1,7.3e-05,1
3836,1,0.000315,1
3837,1,0.000411,1
3838,1,0.004766372,1
3839,1,0.003357805,1
3840,1,0.004048074,1
3841,1,0.003781647,1
3842,1,0.003211353,1
3843,1,0.015959848,1
3844,1,0.003572004,1
3845,1,0.001734369,1
3846,1,0.000828,1
3847,1,0.027491776,1
3848,1,0.052056214,1
3849,1,0.060059667,1
3850,1,0.068249389,1
3851,1,0.121917945,1
3852,1,0.061231857,1
3853,1,0.093240147,1
