WP4,campaign,value,pu
3507,1,-0,103507
3508,1,-0,103508
3509,1,-0,103509
3510,1,-0,103510
3511,1,-0,103511
3512,1,-0,103512
3513,1,-0,103513
3514,1,-0,103514
3515,1,-0,103515
3516,1,-0,103516
3517,1,-0,103517
3518,1,-0,103518
3519,1,-0,103519
3520,1,-0,103520
3521,1,-0,103521
3522,1,-0,103522
3523,1,-0,103523
3524,1,-0,103524
3525,1,-0,103525
3526,1,-0,103526
3527,1,-0,103527
3528,1,-0,103528
3529,1,-0,103529
3530,1,-0,103530
3531,1,-0,103531
3532,1,-0,103532
3533,1,-0,103533
3534,1,-0,103534
3535,1,-0,103535
3536,1,-0,103536
3537,1,-0,103537
3538,1,-0,103538
3539,1,-0,103539
3540,1,-0,103540
3541,1,-0,103541
3542,1,-0,103542
3543,1,-0,103543
3544,1,-0,103544
3545,1,-0,103545
3546,1,-0,103546
3547,1,-0,103547
3548,1,-0,103548
3549,1,-0,103549
3550,1,-0,103550
3551,1,-0,103551
3552,1,-0,103552
3553,1,-0,103553
3554,1,-0,103554
3555,1,-0,103555
3556,1,-0,103556
3557,1,-0,103557
3558,1,-0,103558
3559,1,-0,103559
3560,1,-0,103560
3561,1,-0,103561
3562,1,-0,103562
3563,1,-0,103563
3564,1,-0,103564
3565,1,-0,103565
3566,1,-0,103566
3567,1,-0,103567
3568,1,-0,103568
3569,1,-0,103569
3570,1,-0,103570
3571,1,-0,103571
3572,1,-0,103572
3573,1,-0,103573
3574,1,-0,103574
3575,1,-0,103575
3576,1,-0,103576
3577,1,-0,103577
3578,1,-0,103578
3579,1,-0,103579
3580,1,-0,103580
3581,1,-0,103581
3582,1,-0,103582
3583,1,-0,103583
3584,1,-0,103584
3585,1,-0,103585
3586,1,-0,103586
3587,1,-0,103587
3588,1,-0,103588
3589,1,-0,103589
3590,1,-0,103590
3592,1,-0,103592
3593,1,-0,103593
3594,1,-0,103594
3595,1,-0,103595
3596,1,-0,103596
3597,1,-0,103597
3598,1,-0,103598
3599,1,-0,103599
3600,1,-0,103600
3601,1,-0,103601
3602,1,-0,103602
3603,1,-0,103603
3604,1,-0,103604
3605,1,-0,103605
3606,1,-0,103606
3607,1,-0,103607
3608,1,-0,103608
3609,1,-0,103609
3610,1,-0,103610
3611,1,-0,103611
3612,1,-0,103612
3613,1,-0,103613
3614,1,-0,103614
3615,1,-0,103615
3616,1,-0,103616
3617,1,-0,103617
3618,1,-0,103618
3619,1,-0,103619
3620,1,-0,103620
3621,1,-0,103621
3622,1,-0,103622
3623,1,-0,103623
3624,1,-0,103624
3625,1,-0,103625
3626,1,-0,103626
3627,1,-0,103627
3628,1,-0,103628
3629,1,-0,103629
3630,1,-0,103630
3631,1,-0,103631
3632,1,-0,103632
3633,1,-0,103633
3634,1,-0,103634
3635,1,-0,103635
3636,1,-0,103636
3637,1,-0,103637
3638,1,-0,103638
3639,1,-0,103639
3640,1,-0,103640
3641,1,-0,103641
3642,1,-0,103642
3643,1,-0,103643
3644,1,-0,103644
3645,1,-0,103645
3646,1,-0,103646
3647,1,-0,103647
3648,1,-0,103648
3649,1,-0,103649
3650,1,-0,103650
3651,1,-0,103651
3652,1,-0,103652
3653,1,-0,103653
3654,1,-0,103654
3655,1,-0,103655
3656,1,-0,103656
3657,1,-0,103657
3658,1,-0,103658
3659,1,-0,103659
3660,1,-0,103660
3661,1,-0,103661
3662,1,-0,103662
3663,1,0.5721708342785871,103663
3664,1,-0,103664
3665,1,-0,103665
3666,1,-0,103666
3667,1,-0,103667
3668,1,-0,103668
3669,1,-0,103669
3670,1,-0,103670
3671,1,-0,103671
3672,1,-0,103672
3673,1,-0,103673
3674,1,-0,103674
3675,1,-0,103675
3676,1,-0,103676
3677,1,-0,103677
3678,1,-0,103678
3679,1,-0,103679
3680,1,-0,103680
3681,1,-0,103681
3682,1,-0,103682
3683,1,-0,103683
3684,1,-0,103684
3685,1,-0,103685
3686,1,-0,103686
3687,1,-0,103687
3688,1,-0,103688
3689,1,-0,103689
3690,1,-0,103690
3691,1,-0,103691
3692,1,-0,103692
3693,1,-0,103693
3694,1,-0,103694
3695,1,-0,103695
3696,1,-0,103696
3697,1,0.3148154939514365,103697
3698,1,0.21749778409344775,103698
3699,1,-0,103699
3700,1,-0,103700
3701,1,-0,103701
3702,1,0.08918267073566115,103702
3703,1,-0,103703
3704,1,-0,103704
3705,1,1,103705
3706,1,-0,103706
3707,1,0.19910035933589657,103707
3708,1,0.08990166721013791,103708
3709,1,0.2844717600649262,103709
3710,1,-0,103710
3711,1,-0,103711
3712,1,-0,103712
3713,1,-0,103713
3714,1,-0,103714
3715,1,-0,103715
3716,1,-0,103716
3717,1,0.024828989954410585,103717
3718,1,-0,103718
3719,1,-0,103719
3720,1,-0,103720
3721,1,-0,103721
3722,1,-0,103722
3723,1,-0,103723
3724,1,1.071114661203862e-4,103724
3725,1,-0,103725
3727,1,0.0017810521136033285,103727
3728,1,0.03832414036267096,103728
3729,1,0.019942909996824132,103729
3730,1,-0,103730
3731,1,0.23571841251534215,103731
3733,1,-0,103733
3734,1,0.51974035003172,103734
3735,1,0.022365319534096446,103735
3736,1,-0,103736
3737,1,-0,103737
3738,1,-0,103738
3739,1,-0,103739
3740,1,0.08771079151655731,103740
3741,1,0.15085314674463693,103741
3742,1,-0,103742
3743,1,-0,103743
3744,1,-0,103744
3745,1,-0,103745
3746,1,0.13785925389762702,103746
3747,1,-0,103747
3748,1,-0,103748
3749,1,-0,103749
3750,1,-0,103750
3751,1,0.1504019521227456,103751
3752,1,0.08990823287062501,103752
3753,1,0.35368512419139964,103753
3754,1,-0,103754
3755,1,-0,103755
3756,1,-0,103756
3757,1,-0,103757
3758,1,-0,103758
3759,1,-0,103759
3760,1,-0,103760
3761,1,0.044269030987446494,103761
3762,1,0.14466766618899177,103762
3763,1,-0,103763
3764,1,-0,103764
3765,1,-0,103765
3766,1,-0,103766
3767,1,0.0612621241947751,103767
3768,1,-0,103768
3769,1,0.09100193950495682,103769
3770,1,0.4493702881075118,103770
3771,1,0.0015501220352571261,103771
3772,1,-0,103772
3773,1,-0,103773
3775,1,-0,103775
3776,1,-0,103776
3777,1,0.42704366850372427,103777
3778,1,0.39178483172557166,103778
3779,1,-0,103779
3780,1,-0,103780
3781,1,-0,103781
3782,1,-0,103782
3783,1,-0,103783
3784,1,0.12449487922331424,103784
3785,1,-0,103785
3786,1,0.1498346063836241,103786
3787,1,-0,103787
3788,1,-0,103788
3789,1,-0,103789
3790,1,0.2526906737496044,103790
3791,1,0.1957279589610802,103791
3792,1,0.884603683172658,103792
3793,1,0.6206424253954416,103793
3794,1,0.15092288285517813,103794
3795,1,0.08970744608008972,103795
3796,1,-0,103796
3797,1,0.029145065554653578,103797
3798,1,0.061208073232043275,103798
3799,1,0.07933757670461306,103799
3800,1,-0,103800
3801,1,-0,103801
3802,1,0.008253457266385909,103802
3803,1,-0,103803
3804,1,0.06642979397947978,103804
3805,1,-0,103805
3806,1,-0,103806
3807,1,-0,103807
3808,1,0.24141116008000868,103808
3809,1,0.046965177427436416,103809
3810,1,-0,103810
3811,1,0.20471908882052556,103811
3812,1,0.09146976124087053,103812
3813,1,0.08794851468829154,103813
3814,1,0.003538622930292836,103814
3815,1,0.015220756096315478,103815
3816,1,0.7316485476994878,103816
3817,1,-0,103817
3818,1,-0,103818
3819,1,-0,103819
3820,1,0.051841954580538606,103820
3821,1,-0,103821
3822,1,-0,103822
3823,1,-0,103823
3824,1,-0,103824
3825,1,-0,103825
3826,1,-0,103826
3827,1,0.019265593563986154,103827
3828,1,0.018472532427027438,103828
3829,1,-0,103829
3830,1,-0,103830
3831,1,-0,103831
3832,1,-0,103832
3833,1,-0,103833
3834,1,-0,103834
3835,1,-0,103835
3836,1,-0,103836
3837,1,-0,103837
3838,1,-0,103838
3839,1,-0,103839
3840,1,-0,103840
3841,1,-0,103841
3842,1,-0,103842
3843,1,-0,103843
3844,1,-0,103844
3845,1,-0,103845
3846,1,-0,103846
3847,1,-0,103847
3848,1,-0,103848
