WP4,campaign,value,pu
3507,1,0,103507
3508,1,0,103508
3509,1,0,103509
3510,1,0,103510
3511,1,0,103511
3512,1,0,103512
3513,1,0.007671742117955466,103513
3514,1,2.82179456358567e-4,103514
3515,1,0,103515
3516,1,0.005363913540630157,103516
3517,1,0.1724339095295878,103517
3518,1,0.1329593316494583,103518
3519,1,0,103519
3520,1,0,103520
3521,1,0.08857484878194122,103521
3522,1,0.22739322286729052,103522
3523,1,8.327128256271427e-5,103523
3524,1,0.03720735356276328,103524
3525,1,0.11037789413791838,103525
3526,1,0.027570402145512637,103526
3527,1,0.628322148912163,103527
3528,1,0.07354341485175701,103528
3529,1,0.09677075702029306,103529
3530,1,0.03816585564403253,103530
3531,1,0.01117187434207229,103531
3532,1,0.19800337019123754,103532
3533,1,0.03213533532376179,103533
3534,1,0.45072533229172873,103534
3535,1,0.1165300544684789,103535
3536,1,0.49270283110954216,103536
3537,1,0.6342394749423599,103537
3538,1,0.9408267739279218,103538
3539,1,0.5336896566809525,103539
3540,1,0.011995455977059172,103540
3541,1,0.7412837433552008,103541
3542,1,0.11368555597297131,103542
3543,1,0.37738392245718716,103543
3544,1,0.4984669551716438,103544
3545,1,0,103545
3546,1,7.106959302649945e-4,103546
3547,1,0,103547
3548,1,5.418227340442994e-4,103548
3549,1,0,103549
3550,1,0,103550
3551,1,0.008786998873887342,103551
3552,1,0.040924875051519,103552
3553,1,0,103553
3554,1,2.2309802251527794e-4,103554
3555,1,0,103555
3556,1,0,103556
3557,1,0,103557
3558,1,0,103558
3559,1,2.6970726166230467e-4,103559
3560,1,0,103560
3561,1,0,103561
3562,1,0,103562
3563,1,0,103563
3564,1,1.0070847028518228e-4,103564
3565,1,0.012342538680533997,103565
3566,1,0.02905555717603136,103566
3567,1,0.06259428755422557,103567
3568,1,0.12694468389882052,103568
3569,1,0.04972914111347287,103569
3570,1,0.001027430436067503,103570
3571,1,0.013088479415584298,103571
3572,1,0.0022984284520431975,103572
3573,1,0.0096610491518649335,103573
3574,1,8.771878423063435e-4,103574
3575,1,0,103575
3576,1,0,103576
3577,1,2.852024702333868e-4,103577
3578,1,0.001981777291305523,103578
3579,1,0.0215257292919003,103579
3580,1,0.012801839303487914,103580
3581,1,0.004032366429655893,103581
3582,1,0.01118309621436942,103582
3583,1,0,103583
3584,1,0.005604857983112351,103584
3585,1,0.002198778438613144,103585
3586,1,7.640243609324718e-4,103586
3587,1,0,103587
3588,1,0,103588
3589,1,0.002282878232388745,103589
3590,1,0.005258740974761577,103590
3592,1,0.006215790599944466,103592
3593,1,0,103593
3594,1,0.0025306223792679983,103594
3595,1,0.01225577177553467,103595
3596,1,0,103596
3597,1,0.0012807274062886175,103597
3598,1,0,103598
3599,1,0.005381800658731328,103599
3600,1,0.0011762730521583664,103600
3601,1,0.01246455606956624,103601
3602,1,1.736073253760325e-4,103602
3603,1,0,103603
3604,1,0,103604
3605,1,0,103605
3606,1,0.0015041093280663608,103606
3607,1,1.8390506819272014e-5,103607
3608,1,0.0070017719421115255,103608
3609,1,4.7752417941693724e-5,103609
3610,1,9.140355420507086e-4,103610
3611,1,0.005751033330839642,103611
3612,1,0,103612
3613,1,0,103613
3614,1,0.0033575189065378408,103614
3615,1,0.00280642457434644,103615
3616,1,0.04223381450133447,103616
3617,1,7.00066545391676e-4,103617
3618,1,0.001172292810656113,103618
3619,1,0.023294944210989165,103619
3620,1,0.01007433781550513,103620
3621,1,0.016323521149724338,103621
3622,1,0.0018143151045717765,103622
3623,1,0.013531608695298,103623
3624,1,0.013273171108174175,103624
3625,1,0,103625
3626,1,0.009101292162447497,103626
3627,1,0.0011992235599880832,103627
3628,1,9.184885120205107e-6,103628
3629,1,0,103629
3630,1,0.008546562409243603,103630
3631,1,0.053150352756885524,103631
3632,1,0.001697604738146916,103632
3633,1,0,103633
3634,1,0.013264462786258226,103634
3635,1,0,103635
3636,1,2.4186921483130406e-4,103636
3637,1,0.002260899877362912,103637
3638,1,0,103638
3639,1,0,103639
3640,1,0,103640
3641,1,0.0038887166715445664,103641
3642,1,0.010242537853386547,103642
3643,1,0.0015201276546286495,103643
3644,1,0.001326144594575062,103644
3645,1,0.0038734361289662414,103645
3646,1,7.410110631661452e-4,103646
3647,1,0,103647
3648,1,0.021818978416510214,103648
3649,1,0.02639656053084181,103649
3650,1,0.15565758156718523,103650
3651,1,0.030750246903401085,103651
3652,1,0.05300753602647475,103652
3653,1,0,103653
3654,1,0.18355435715975377,103654
3655,1,0.0946123459643877,103655
3656,1,0.09424083735045855,103656
3657,1,0.007171529808404895,103657
3658,1,0.038239656001177465,103658
3659,1,5.554980780945371e-4,103659
3660,1,5.635987901144972e-4,103660
3661,1,0.0014482377356522232,103661
3662,1,0.02503847623228497,103662
3663,1,0.5208500974482163,103663
3664,1,0.11362859965486406,103664
3665,1,0.029352738344936135,103665
3666,1,0.007070630166126192,103666
3667,1,7.943376134371467e-4,103667
3668,1,3.9421685549099274e-5,103668
3669,1,7.094031591300217e-4,103669
3670,1,0.014559554340296531,103670
3671,1,0,103671
3672,1,1.093715763056176e-5,103672
3673,1,0,103673
3674,1,0.0033417079305933383,103674
3675,1,8.663629777474398e-5,103675
3676,1,7.442482565557243e-6,103676
3677,1,0.0010833870387793548,103677
3678,1,0.0025764555722079282,103678
3679,1,0.002332986366451853,103679
3680,1,0.00178254472381414,103680
3681,1,0.0043078721784075465,103681
3682,1,0.004127987283930365,103682
3683,1,0,103683
3684,1,0,103684
3685,1,0.007428212723404862,103685
3686,1,0,103686
3687,1,0.01111024925135135,103687
3688,1,0.012323394104573544,103688
3689,1,0.004070200468804579,103689
3690,1,0.0019607277859864367,103690
3691,1,0.03642751706833313,103691
3692,1,0.03483190289999395,103692
3693,1,0.0214552716540518,103693
3694,1,0.041854840884208586,103694
3695,1,0.013351313707959446,103695
3696,1,0.04761929387391171,103696
3697,1,0.17445606797721774,103697
3698,1,0.5198785538637225,103698
3699,1,0.14502821220707215,103699
3700,1,0.08257082137679596,103700
3701,1,0.12241374155798734,103701
3702,1,0.36265880102203657,103702
3703,1,0.029356119961120888,103703
3704,1,0.007495581973043954,103704
3705,1,0.6662148026662168,103705
3706,1,0.134016273577189,103706
3707,1,0.9792460114927264,103707
3708,1,0.3115446153372628,103708
3709,1,0.1665887222245746,103709
3710,1,0.11810018097043339,103710
3711,1,0.18094353207459973,103711
3712,1,0.2902073438231269,103712
3713,1,1.6094088256603568e-4,103713
3714,1,0.6830501461428772,103714
3715,1,1,103715
3716,1,0.11758849872619864,103716
3717,1,0.09485280044164066,103717
3718,1,0.17264693208039825,103718
3719,1,0.12066374311182698,103719
3720,1,0,103720
3721,1,0.010445137296745627,103721
3722,1,0.021210258219766347,103722
3723,1,0,103723
3724,1,0.11923501675583413,103724
3725,1,0.02078448209893655,103725
3727,1,0.050907280031222406,103727
3728,1,0.11155504879871307,103728
3729,1,0.07645955495876076,103729
3730,1,0.12261873311671284,103730
3731,1,0.7640824220946677,103731
3733,1,0.008341262506962991,103733
3734,1,0.2583963180343894,103734
3735,1,0.03224389990124349,103735
3736,1,0.319007887788238,103736
3737,1,0.5198675936196824,103737
3738,1,0.5226908733458692,103738
3739,1,0.6510876717992888,103739
3740,1,0.20241923203999967,103740
3741,1,0.05060930573836165,103741
3742,1,0.12667157870322707,103742
3743,1,0.044939371925802246,103743
3744,1,0.3884657329776145,103744
3745,1,0.2650199159479407,103745
3746,1,0.19199427867561814,103746
3747,1,0.17623441136380133,103747
3748,1,0.08803090521078487,103748
3749,1,0.064438200308235,103749
3750,1,0.021528868588625637,103750
3751,1,0.2978200058305851,103751
3752,1,0.07005013672516207,103752
3753,1,0.41460003886703356,103753
3754,1,0.003000261372075975,103754
3755,1,0.0014923591747132742,103755
3756,1,0.013230112243781438,103756
3757,1,1.2632401269526723e-4,103757
3758,1,1.8541824071886888e-4,103758
3759,1,0.003196165330118187,103759
3760,1,0.001148319220192498,103760
3761,1,0.4356611904551625,103761
3762,1,0.2532272162172959,103762
3763,1,0.030404354757490055,103763
