WP4,campaign,value,pu
829,1,0,100829
830,1,0,100830
831,1,0,100831
832,1,0,100832
833,1,0,100833
834,1,0,100834
835,1,0.00466257459082896,100835
836,1,3.334720397115056e-4,100836
837,1,0,100837
838,1,0,100838
839,1,0,100839
840,1,0,100840
841,1,0,100841
842,1,0,100842
843,1,0.04172810623823312,100843
844,1,0.263436432422885,100844
845,1,0.19674161979220398,100845
846,1,0.24231703439418995,100846
847,1,0.04031298936147442,100847
848,1,0.15875074762282407,100848
849,1,0.18026761087113433,100849
850,1,0,100850
851,1,0.5860444258938747,100851
852,1,0.5517902691437129,100852
853,1,0.4656293926338259,100853
854,1,0.36712202866371746,100854
855,1,0.1228591826511782,100855
856,1,0.3392060241909082,100856
857,1,0.3398971548152853,100857
859,1,0.6565244162823446,100859
860,1,0.00509139080358926,100860
861,1,0.010656684922052972,100861
862,1,0.6740974785666188,100862
863,1,0.4098025280000049,100863
864,1,9.575437060538286e-4,100864
865,1,0.1015567793742116,100865
866,1,0.20800879688965354,100866
867,1,0.09266269399200261,100867
868,1,0.5371295292346492,100868
869,1,0.14816701018167316,100869
870,1,0.02317207634186411,100870
871,1,0.3710809499567197,100871
872,1,0.22513155229248033,100872
873,1,0.7083895663131713,100873
874,1,0.4859778570951611,100874
875,1,0.7410670207747181,100875
876,1,0.6112730656203167,100876
877,1,0.7360267170388847,100877
878,1,0.9577608437998587,100878
879,1,0.7427826966103411,100879
880,1,1,100880
881,1,0.6227322664882962,100881
882,1,0.6581870226910301,100882
883,1,0.7903694034882892,100883
884,1,0.827880709223957,100884
885,1,0.13877174082859572,100885
886,1,0.166174981670733,100886
887,1,0.07841973903508483,100887
888,1,0.3328661889387764,100888
889,1,0.5548380536741079,100889
890,1,0.6510929010294759,100890
891,1,0.7022775205641117,100891
892,1,0.8224933308189241,100892
893,1,0.8633426585226008,100893
894,1,0.9148045368189753,100894
895,1,0.6398137502873862,100895
896,1,0.7249598123661303,100896
897,1,0.7259968253164638,100897
898,1,0.8551001669220726,100898
899,1,0.7504513772357777,100899
900,1,0.7109403181160439,100900
901,1,0.24100828980299338,100901
902,1,0.7272748348404704,100902
903,1,0.6410945057424651,100903
904,1,0.11591593199722869,100904
905,1,0.23903612291293064,100905
906,1,0.8029892067137824,100906
907,1,0.7793848081191059,100907
908,1,0.4870869170121138,100908
909,1,0.38736431444770036,100909
910,1,0.3958636342642823,100910
911,1,0.4768910846375477,100911
912,1,0.49173000186723315,100912
913,1,0.4641874356778042,100913
914,1,0.22032982235181217,100914
915,1,0.37496923510455327,100915
916,1,0.6164568852980502,100916
917,1,0.709321361386569,100917
918,1,0.8324642043054065,100918
919,1,0.7685667169121421,100919
920,1,0.4115809746079244,100920
921,1,0.36408599331836344,100921
922,1,0.5613382004590378,100922
923,1,0.5164973443769261,100923
924,1,0.4397454714402249,100924
925,1,0.46237724094380206,100925
926,1,0.7490813798865732,100926
927,1,0.8127709086092153,100927
928,1,0.11771047279914994,100928
929,1,0.28596213469188414,100929
930,1,0,100930
931,1,0.0037928051342278005,100931
932,1,0.09800046808483724,100932
933,1,0.36688056711553096,100933
934,1,0.19268717724547327,100934
935,1,0.03769835519185237,100935
936,1,0.02186082476045887,100936
937,1,0,100937
938,1,0.05695292162013402,100938
939,1,0,100939
940,1,0,100940
941,1,0,100941
942,1,0.004736086526235192,100942
943,1,0.03160288057409172,100943
944,1,0.050018211134500064,100944
945,1,0.024248937009864878,100945
946,1,0.1216957943817095,100946
947,1,0.3221826215955023,100947
948,1,0.1820692877883378,100948
949,1,0.26185489890111413,100949
950,1,0.17487790239916742,100950
951,1,0.08122466788077796,100951
952,1,0.14059537307418976,100952
953,1,0,100953
954,1,0.00540532147873518,100954
955,1,0,100955
956,1,0.010595584532132019,100956
957,1,0.09978527779184541,100957
958,1,0.08618838335693585,100958
959,1,0.17572538361570028,100959
960,1,0.2588346791428259,100960
961,1,0.5684661859279325,100961
962,1,0.15828401426531732,100962
963,1,0.06029264088678176,100963
964,1,0.16682015820598842,100964
965,1,0.10675733136601367,100965
966,1,0,100966
967,1,0,100967
968,1,0,100968
969,1,0.128693214409076,100969
970,1,0.0768523872359755,100970
971,1,0,100971
972,1,0,100972
973,1,0.061874289156833066,100973
974,1,0.36821335721675813,100974
975,1,0,100975
976,1,0.0013618988594552956,100976
977,1,0.01918457706045751,100977
978,1,0,100978
979,1,0,100979
980,1,4.3485301118329183e-4,100980
981,1,0,100981
982,1,0,100982
983,1,0,100983
984,1,0,100984
985,1,0,100985
986,1,0.026925545954452724,100986
987,1,0.06817833632490548,100987
988,1,0.007926535279812139,100988
989,1,0.025071140864457005,100989
990,1,0.26756408153922767,100990
991,1,0.4352598418458923,100991
992,1,0.6665952086048026,100992
993,1,0.1870163269866243,100993
994,1,0.3503295502929262,100994
995,1,0.31839696202085965,100995
996,1,0.4452783736459573,100996
997,1,0.3108304895304251,100997
998,1,0.3153134895160163,100998
999,1,0.4408352667106874,100999
1000,1,0.1713028510943298,101000
1001,1,0.3230876526162754,101001
1002,1,0.4764626450950687,101002
1003,1,0.2767239705307653,101003
1004,1,0,101004
1005,1,0.008280334922306867,101005
1006,1,0.0028592343744771693,101006
1007,1,0.002511712202724707,101007
1008,1,0,101008
1009,1,0,101009
1010,1,0,101010
1011,1,0,101011
1012,1,0,101012
1013,1,0,101013
1014,1,0,101014
1015,1,0,101015
829,2,0,200829
830,2,0,200830
831,2,0,200831
832,2,0,200832
833,2,0,200833
834,2,0,200834
835,2,0.00466257459082896,200835
836,2,3.334720397115056e-4,200836
837,2,0,200837
838,2,0,200838
839,2,0,200839
840,2,0,200840
841,2,0,200841
842,2,0,200842
843,2,0.04172810623823312,200843
844,2,0.263436432422885,200844
845,2,0.19674161979220398,200845
846,2,0.24231703439418995,200846
847,2,0.04031298936147442,200847
848,2,0.15875074762282407,200848
849,2,0.18026761087113433,200849
850,2,0,200850
851,2,0.5860444258938747,200851
852,2,0.5517902691437129,200852
853,2,0.4656293926338259,200853
854,2,0.36712202866371746,200854
855,2,0.1228591826511782,200855
856,2,0.3392060241909082,200856
857,2,0.3398971548152853,200857
859,2,0.6565244162823446,200859
860,2,0.00509139080358926,200860
861,2,0.010656684922052972,200861
862,2,0.6740974785666188,200862
863,2,0.4098025280000049,200863
864,2,9.575437060538286e-4,200864
865,2,0.1015567793742116,200865
866,2,0.20800879688965354,200866
867,2,0.09266269399200261,200867
868,2,0.5371295292346492,200868
869,2,0.14816701018167316,200869
870,2,0.02317207634186411,200870
871,2,0.3710809499567197,200871
872,2,0.22513155229248033,200872
873,2,0.7083895663131713,200873
874,2,0.4859778570951611,200874
875,2,0.7410670207747181,200875
876,2,0.6112730656203167,200876
877,2,0.7360267170388847,200877
878,2,0.9577608437998587,200878
879,2,0.7427826966103411,200879
880,2,1,200880
881,2,0.6227322664882962,200881
882,2,0.6581870226910301,200882
883,2,0.7903694034882892,200883
884,2,0.827880709223957,200884
885,2,0.13877174082859572,200885
886,2,0.166174981670733,200886
887,2,0.07841973903508483,200887
888,2,0.3328661889387764,200888
889,2,0.5548380536741079,200889
890,2,0.6510929010294759,200890
891,2,0.7022775205641117,200891
892,2,0.8224933308189241,200892
893,2,0.8633426585226008,200893
894,2,0.9148045368189753,200894
895,2,0.6398137502873862,200895
896,2,0.7249598123661303,200896
897,2,0.7259968253164638,200897
898,2,0.8551001669220726,200898
899,2,0.7504513772357777,200899
900,2,0.7109403181160439,200900
901,2,0.24100828980299338,200901
902,2,0.7272748348404704,200902
903,2,0.6410945057424651,200903
904,2,0.11591593199722869,200904
905,2,0.23903612291293064,200905
906,2,0.8029892067137824,200906
907,2,0.7793848081191059,200907
908,2,0.4870869170121138,200908
909,2,0.38736431444770036,200909
910,2,0.3958636342642823,200910
911,2,0.4768910846375477,200911
912,2,0.49173000186723315,200912
913,2,0.4641874356778042,200913
914,2,0.22032982235181217,200914
915,2,0.37496923510455327,200915
916,2,0.6164568852980502,200916
917,2,0.709321361386569,200917
918,2,0.8324642043054065,200918
919,2,0.7685667169121421,200919
920,2,0.4115809746079244,200920
921,2,0.36408599331836344,200921
922,2,0.5613382004590378,200922
923,2,0.5164973443769261,200923
924,2,0.4397454714402249,200924
925,2,0.46237724094380206,200925
926,2,0.7490813798865732,200926
927,2,0.8127709086092153,200927
928,2,0.11771047279914994,200928
929,2,0.28596213469188414,200929
930,2,0,200930
931,2,0.0037928051342278005,200931
932,2,0.09800046808483724,200932
933,2,0.36688056711553096,200933
934,2,0.19268717724547327,200934
935,2,0.03769835519185237,200935
936,2,0.02186082476045887,200936
937,2,0,200937
938,2,0.05695292162013402,200938
939,2,0,200939
940,2,0,200940
941,2,0,200941
942,2,0.004736086526235192,200942
943,2,0.03160288057409172,200943
944,2,0.050018211134500064,200944
945,2,0.024248937009864878,200945
946,2,0.1216957943817095,200946
947,2,0.3221826215955023,200947
948,2,0.1820692877883378,200948
949,2,0.26185489890111413,200949
950,2,0.17487790239916742,200950
951,2,0.08122466788077796,200951
952,2,0.14059537307418976,200952
953,2,0,200953
954,2,0.00540532147873518,200954
955,2,0,200955
956,2,0.010595584532132019,200956
957,2,0.09978527779184541,200957
958,2,0.08618838335693585,200958
959,2,0.17572538361570028,200959
960,2,0.2588346791428259,200960
961,2,0.5684661859279325,200961
962,2,0.15828401426531732,200962
963,2,0.06029264088678176,200963
964,2,0.16682015820598842,200964
965,2,0.10675733136601367,200965
966,2,0,200966
967,2,0,200967
968,2,0,200968
969,2,0.128693214409076,200969
970,2,0.0768523872359755,200970
971,2,0,200971
972,2,0,200972
973,2,0.061874289156833066,200973
974,2,0.36821335721675813,200974
975,2,0,200975
976,2,0.0013618988594552956,200976
977,2,0.01918457706045751,200977
978,2,0,200978
979,2,0,200979
980,2,4.3485301118329183e-4,200980
981,2,0,200981
982,2,0,200982
983,2,0,200983
984,2,0,200984
985,2,0,200985
986,2,0.026925545954452724,200986
987,2,0.06817833632490548,200987
988,2,0.007926535279812139,200988
989,2,0.025071140864457005,200989
990,2,0.26756408153922767,200990
991,2,0.4352598418458923,200991
992,2,0.6665952086048026,200992
993,2,0.1870163269866243,200993
994,2,0.3503295502929262,200994
995,2,0.31839696202085965,200995
996,2,0.4452783736459573,200996
997,2,0.3108304895304251,200997
998,2,0.3153134895160163,200998
999,2,0.4408352667106874,200999
1000,2,0.1713028510943298,201000
1001,2,0.3230876526162754,201001
1002,2,0.4764626450950687,201002
1003,2,0.2767239705307653,201003
1004,2,0,201004
1005,2,0.008280334922306867,201005
1006,2,0.0028592343744771693,201006
1007,2,0.002511712202724707,201007
1008,2,0,201008
1009,2,0,201009
1010,2,0,201010
1011,2,0,201011
1012,2,0,201012
1013,2,0,201013
1014,2,0,201014
1015,2,0,201015
829,3,0,300829
830,3,0,300830
831,3,0,300831
832,3,0,300832
833,3,0,300833
834,3,0,300834
835,3,0.00466257459082896,300835
836,3,3.334720397115056e-4,300836
837,3,0,300837
838,3,0,300838
839,3,0,300839
840,3,0,300840
841,3,0,300841
842,3,0,300842
843,3,0.04172810623823312,300843
844,3,0.263436432422885,300844
845,3,0.19674161979220398,300845
846,3,0.24231703439418995,300846
847,3,0.04031298936147442,300847
848,3,0.15875074762282407,300848
849,3,0.18026761087113433,300849
850,3,0,300850
851,3,0.5860444258938747,300851
852,3,0.5517902691437129,300852
853,3,0.4656293926338259,300853
854,3,0.36712202866371746,300854
855,3,0.1228591826511782,300855
856,3,0.3392060241909082,300856
857,3,0.3398971548152853,300857
859,3,0.6565244162823446,300859
860,3,0.00509139080358926,300860
861,3,0.010656684922052972,300861
862,3,0.6740974785666188,300862
863,3,0.4098025280000049,300863
864,3,9.575437060538286e-4,300864
865,3,0.1015567793742116,300865
866,3,0.20800879688965354,300866
867,3,0.09266269399200261,300867
868,3,0.5371295292346492,300868
869,3,0.14816701018167316,300869
870,3,0.02317207634186411,300870
871,3,0.3710809499567197,300871
872,3,0.22513155229248033,300872
873,3,0.7083895663131713,300873
874,3,0.4859778570951611,300874
875,3,0.7410670207747181,300875
876,3,0.6112730656203167,300876
877,3,0.7360267170388847,300877
878,3,0.9577608437998587,300878
879,3,0.7427826966103411,300879
880,3,1,300880
881,3,0.6227322664882962,300881
882,3,0.6581870226910301,300882
883,3,0.7903694034882892,300883
884,3,0.827880709223957,300884
885,3,0.13877174082859572,300885
886,3,0.166174981670733,300886
887,3,0.07841973903508483,300887
888,3,0.3328661889387764,300888
889,3,0.5548380536741079,300889
890,3,0.6510929010294759,300890
891,3,0.7022775205641117,300891
892,3,0.8224933308189241,300892
893,3,0.8633426585226008,300893
894,3,0.9148045368189753,300894
895,3,0.6398137502873862,300895
896,3,0.7249598123661303,300896
897,3,0.7259968253164638,300897
898,3,0.8551001669220726,300898
899,3,0.7504513772357777,300899
900,3,0.7109403181160439,300900
901,3,0.24100828980299338,300901
902,3,0.7272748348404704,300902
903,3,0.6410945057424651,300903
904,3,0.11591593199722869,300904
905,3,0.23903612291293064,300905
906,3,0.8029892067137824,300906
907,3,0.7793848081191059,300907
908,3,0.4870869170121138,300908
909,3,0.38736431444770036,300909
910,3,0.3958636342642823,300910
911,3,0.4768910846375477,300911
912,3,0.49173000186723315,300912
913,3,0.4641874356778042,300913
914,3,0.22032982235181217,300914
915,3,0.37496923510455327,300915
916,3,0.6164568852980502,300916
917,3,0.709321361386569,300917
918,3,0.8324642043054065,300918
919,3,0.7685667169121421,300919
920,3,0.4115809746079244,300920
921,3,0.36408599331836344,300921
922,3,0.5613382004590378,300922
923,3,0.5164973443769261,300923
924,3,0.4397454714402249,300924
925,3,0.46237724094380206,300925
926,3,0.7490813798865732,300926
927,3,0.8127709086092153,300927
928,3,0.11771047279914994,300928
929,3,0.28596213469188414,300929
930,3,0,300930
931,3,0.0037928051342278005,300931
932,3,0.09800046808483724,300932
933,3,0.36688056711553096,300933
934,3,0.19268717724547327,300934
935,3,0.03769835519185237,300935
936,3,0.02186082476045887,300936
937,3,0,300937
938,3,0.05695292162013402,300938
939,3,0,300939
940,3,0,300940
941,3,0,300941
942,3,0.004736086526235192,300942
943,3,0.03160288057409172,300943
944,3,0.050018211134500064,300944
945,3,0.024248937009864878,300945
946,3,0.1216957943817095,300946
947,3,0.3221826215955023,300947
948,3,0.1820692877883378,300948
949,3,0.26185489890111413,300949
950,3,0.17487790239916742,300950
951,3,0.08122466788077796,300951
952,3,0.14059537307418976,300952
953,3,0,300953
954,3,0.00540532147873518,300954
955,3,0,300955
956,3,0.010595584532132019,300956
957,3,0.09978527779184541,300957
958,3,0.08618838335693585,300958
959,3,0.17572538361570028,300959
960,3,0.2588346791428259,300960
961,3,0.5684661859279325,300961
962,3,0.15828401426531732,300962
963,3,0.06029264088678176,300963
964,3,0.16682015820598842,300964
965,3,0.10675733136601367,300965
966,3,0,300966
967,3,0,300967
968,3,0,300968
969,3,0.128693214409076,300969
970,3,0.0768523872359755,300970
971,3,0,300971
972,3,0,300972
973,3,0.061874289156833066,300973
974,3,0.36821335721675813,300974
