WP4,campaign,value,pu
829,1,0,100829
830,1,0,100830
831,1,0,100831
832,1,0,100832
833,1,0,100833
834,1,0,100834
835,1,0.01278413444359441,100835
836,1,0.0024904496187908628,100836
837,1,0,100837
838,1,0,100838
839,1,0,100839
840,1,0,100840
841,1,0,100841
842,1,0,100842
843,1,0.15715657334447417,100843
844,1,0.5487817748039129,100844
845,1,0.45306962036856296,100845
846,1,0.4675827401988527,100846
847,1,0.17283275049361613,100847
848,1,0.5076081614311917,100848
849,1,0.7412546165107285,100849
850,1,0,100850
851,1,0.2826763229089029,100851
852,1,0.32944721320303316,100852
853,1,0.5567291133306739,100853
854,1,0.6464729219107472,100854
855,1,0.2397037113467676,100855
856,1,0.3812247895186754,100856
857,1,0.43179604374012986,100857
859,1,0.2816105108594717,100859
860,1,0.011186604298907908,100860
861,1,0.014816286300221127,100861
862,1,0.44676503966255365,100862
863,1,0.5369972947172086,100863
864,1,0.023723615977918576,100864
865,1,0.4640010413855132,100865
866,1,1,100866
867,1,0.6113702082224992,100867
868,1,0.6386847252545588,100868
869,1,0.7040593361171408,100869
870,1,0.04804483103400084,100870
871,1,0.5723114347059337,100871
872,1,0.7847369041791087,100872
873,1,0.32146949532861396,100873
874,1,0.8466957398544649,100874
875,1,0.532686799337008,100875
876,1,0.28100247448352567,100876
877,1,0.23380547439222713,100877
878,1,0.20875404459950594,100878
879,1,0.21285326598800444,100879
880,1,0.1643910987741524,100880
881,1,0.17331450670323403,100881
882,1,0.1517922049745134,100882
883,1,0.14264891148663042,100883
884,1,0.1588363597058183,100884
885,1,0.31242148657896274,100885
886,1,0.27464680741343817,100886
887,1,0.260498518702579,100887
888,1,0.7494034172900079,100888
889,1,0.44625863062560683,100889
890,1,0.4099319300530173,100890
891,1,0.3066042782876427,100891
892,1,0.3310950536873997,100892
893,1,0.2628706072898536,100893
894,1,0.24819816050157772,100894
895,1,0.2530690993856694,100895
896,1,0.18563152882695916,100896
897,1,0.21412987061756455,100897
898,1,0.2178500891935786,100898
899,1,0.255031518571879,100899
900,1,0.31844928919888604,100900
901,1,0.29006579256878345,100901
902,1,0.46627500362935553,100902
903,1,0.5772538632744613,100903
904,1,0.3530585253522564,100904
905,1,0.26656538977387906,100905
906,1,0.3473526949259988,100906
907,1,0.31962438733599446,100907
908,1,0.2211969107625311,100908
909,1,0.3530837535829176,100909
910,1,0.29524665940561545,100910
911,1,0.5914239666301179,100911
912,1,0.5082405169242293,100912
913,1,0.4068411085991676,100913
914,1,0.48958162529940963,100914
915,1,0.9762762171011422,100915
916,1,0.4497644424145623,100916
917,1,0.32779056882389207,100917
918,1,0.2920768378781932,100918
919,1,0.26529023016888514,100919
920,1,0.37895201902188586,100920
921,1,0.811566482577492,100921
922,1,0.36256607244997985,100922
923,1,0.5287773459938389,100923
924,1,0.47680871615733755,100924
925,1,0.5655680616340435,100925
926,1,0.39983135090248106,100926
927,1,0.3449906052715794,100927
928,1,0.43840107568634445,100928
929,1,0.507889848019692,100929
930,1,0,100930
931,1,0.030048290779296518,100931
932,1,0.5215149903151358,100932
933,1,0.4643646516652037,100933
934,1,0.5698487532015593,100934
935,1,0.41206756262396144,100935
936,1,0.10568474011039072,100936
937,1,0,100937
938,1,0.3988794423846265,100938
939,1,0,100939
940,1,0,100940
941,1,0,100941
942,1,0.056468768597891204,100942
943,1,0.3976738011383075,100943
944,1,0.6745251960573743,100944
945,1,0.1399341813386303,100945
946,1,0.4786903425812125,100946
947,1,0.4627315694667184,100947
948,1,0.18794750604535085,100948
949,1,0.3612755957425533,100949
950,1,0.6986564897062232,100950
951,1,0.4442929192266454,100951
952,1,0.20328941782654528,100952
953,1,0,100953
954,1,0.0034284287948921363,100954
955,1,0,100955
956,1,0.08875208981313513,100956
957,1,0.25546310266499206,100957
958,1,0.41283391534902103,100958
959,1,0.3583916397509625,100959
960,1,0.3915429947398419,100960
961,1,0.27307839417807606,100961
962,1,0.16508742803356244,100962
963,1,0.2264607242736913,100963
964,1,0.3576891054557546,100964
965,1,0.48516963119358336,100965
966,1,0,100966
967,1,0,100967
968,1,0,100968
969,1,0.15629120912109637,100969
970,1,0.14695979178546376,100970
971,1,0,100971
972,1,0,100972
973,1,0.29863711882083566,100973
974,1,0.3997617872592611,100974
975,1,0,100975
976,1,0.005130348109260134,100976
977,1,0.03977059219663326,100977
978,1,0,100978
979,1,0,100979
980,1,0.006984268553326932,100980
981,1,0,100981
982,1,0,100982
983,1,0,100983
984,1,0,100984
985,1,0,100985
986,1,0.063124364819505,100986
987,1,0.08508167436356867,100987
988,1,0.017828173369416847,100988
989,1,0.04423597217360912,100989
990,1,0.4279650274414661,100990
991,1,0.49949164708446553,100991
992,1,0.39465380510780596,100992
993,1,0.438028740496551,100993
994,1,0.352368077423132,100994
995,1,0.8630382301132068,100995
996,1,0.6140873004071024,100996
997,1,0.781001259238533,100997
998,1,0.7203420219470397,100998
999,1,0.48134078565697636,100999
1000,1,0.29459589192743124,101000
1001,1,0.4212422124998899,101001
1002,1,0.35645979092367513,101002
1003,1,0.25887296453314024,101003
1004,1,0,101004
1005,1,0.051050956961252864,101005
1006,1,0.006126829125329143,101006
1007,1,0.009950839220343165,101007
1008,1,0,101008
1009,1,0,101009
1010,1,0,101010
1011,1,0,101011
1012,1,0,101012
1013,1,0,101013
1014,1,0,101014
1015,1,0,101015
829,2,0,200829
830,2,0,200830
831,2,0,200831
832,2,0,200832
833,2,0,200833
834,2,0,200834
835,2,0.01278413444359441,200835
836,2,0.0024904496187908628,200836
837,2,0,200837
838,2,0,200838
839,2,0,200839
840,2,0,200840
841,2,0,200841
842,2,0,200842
843,2,0.15715657334447417,200843
844,2,0.5487817748039129,200844
845,2,0.45306962036856296,200845
846,2,0.4675827401988527,200846
847,2,0.17283275049361613,200847
848,2,0.5076081614311917,200848
849,2,0.7412546165107285,200849
850,2,0,200850
851,2,0.2826763229089029,200851
852,2,0.32944721320303316,200852
853,2,0.5567291133306739,200853
854,2,0.6464729219107472,200854
855,2,0.2397037113467676,200855
856,2,0.3812247895186754,200856
857,2,0.43179604374012986,200857
859,2,0.2816105108594717,200859
860,2,0.011186604298907908,200860
861,2,0.014816286300221127,200861
862,2,0.44676503966255365,200862
863,2,0.5369972947172086,200863
864,2,0.023723615977918576,200864
865,2,0.4640010413855132,200865
866,2,1,200866
867,2,0.6113702082224992,200867
868,2,0.6386847252545588,200868
869,2,0.7040593361171408,200869
870,2,0.04804483103400084,200870
871,2,0.5723114347059337,200871
872,2,0.7847369041791087,200872
873,2,0.32146949532861396,200873
874,2,0.8466957398544649,200874
875,2,0.532686799337008,200875
876,2,0.28100247448352567,200876
877,2,0.23380547439222713,200877
878,2,0.20875404459950594,200878
879,2,0.21285326598800444,200879
880,2,0.1643910987741524,200880
881,2,0.17331450670323403,200881
882,2,0.1517922049745134,200882
883,2,0.14264891148663042,200883
884,2,0.1588363597058183,200884
885,2,0.31242148657896274,200885
886,2,0.27464680741343817,200886
887,2,0.260498518702579,200887
888,2,0.7494034172900079,200888
889,2,0.44625863062560683,200889
890,2,0.4099319300530173,200890
891,2,0.3066042782876427,200891
892,2,0.3310950536873997,200892
893,2,0.2628706072898536,200893
894,2,0.24819816050157772,200894
895,2,0.2530690993856694,200895
896,2,0.18563152882695916,200896
897,2,0.21412987061756455,200897
898,2,0.2178500891935786,200898
899,2,0.255031518571879,200899
900,2,0.31844928919888604,200900
901,2,0.29006579256878345,200901
902,2,0.46627500362935553,200902
903,2,0.5772538632744613,200903
904,2,0.3530585253522564,200904
905,2,0.26656538977387906,200905
906,2,0.3473526949259988,200906
907,2,0.31962438733599446,200907
908,2,0.2211969107625311,200908
909,2,0.3530837535829176,200909
910,2,0.29524665940561545,200910
911,2,0.5914239666301179,200911
912,2,0.5082405169242293,200912
913,2,0.4068411085991676,200913
914,2,0.48958162529940963,200914
915,2,0.9762762171011422,200915
916,2,0.4497644424145623,200916
917,2,0.32779056882389207,200917
918,2,0.2920768378781932,200918
919,2,0.26529023016888514,200919
920,2,0.37895201902188586,200920
921,2,0.811566482577492,200921
922,2,0.36256607244997985,200922
923,2,0.5287773459938389,200923
924,2,0.47680871615733755,200924
925,2,0.5655680616340435,200925
926,2,0.39983135090248106,200926
927,2,0.3449906052715794,200927
928,2,0.43840107568634445,200928
929,2,0.507889848019692,200929
930,2,0,200930
931,2,0.030048290779296518,200931
932,2,0.5215149903151358,200932
933,2,0.4643646516652037,200933
934,2,0.5698487532015593,200934
935,2,0.41206756262396144,200935
936,2,0.10568474011039072,200936
937,2,0,200937
938,2,0.3988794423846265,200938
939,2,0,200939
940,2,0,200940
941,2,0,200941
942,2,0.056468768597891204,200942
943,2,0.3976738011383075,200943
944,2,0.6745251960573743,200944
945,2,0.1399341813386303,200945
946,2,0.4786903425812125,200946
947,2,0.4627315694667184,200947
948,2,0.18794750604535085,200948
949,2,0.3612755957425533,200949
950,2,0.6986564897062232,200950
951,2,0.4442929192266454,200951
952,2,0.20328941782654528,200952
953,2,0,200953
954,2,0.0034284287948921363,200954
955,2,0,200955
956,2,0.08875208981313513,200956
957,2,0.25546310266499206,200957
958,2,0.41283391534902103,200958
959,2,0.3583916397509625,200959
960,2,0.3915429947398419,200960
961,2,0.27307839417807606,200961
962,2,0.16508742803356244,200962
963,2,0.2264607242736913,200963
964,2,0.3576891054557546,200964
965,2,0.48516963119358336,200965
966,2,0,200966
967,2,0,200967
968,2,0,200968
969,2,0.15629120912109637,200969
970,2,0.14695979178546376,200970
971,2,0,200971
972,2,0,200972
973,2,0.29863711882083566,200973
974,2,0.3997617872592611,200974
975,2,0,200975
976,2,0.005130348109260134,200976
977,2,0.03977059219663326,200977
978,2,0,200978
979,2,0,200979
980,2,0.006984268553326932,200980
981,2,0,200981
982,2,0,200982
983,2,0,200983
984,2,0,200984
985,2,0,200985
986,2,0.063124364819505,200986
987,2,0.08508167436356867,200987
988,2,0.017828173369416847,200988
989,2,0.04423597217360912,200989
990,2,0.4279650274414661,200990
991,2,0.49949164708446553,200991
992,2,0.39465380510780596,200992
993,2,0.438028740496551,200993
994,2,0.352368077423132,200994
995,2,0.8630382301132068,200995
996,2,0.6140873004071024,200996
997,2,0.781001259238533,200997
998,2,0.7203420219470397,200998
999,2,0.48134078565697636,200999
1000,2,0.29459589192743124,201000
1001,2,0.4212422124998899,201001
1002,2,0.35645979092367513,201002
1003,2,0.25887296453314024,201003
1004,2,0,201004
1005,2,0.051050956961252864,201005
1006,2,0.006126829125329143,201006
1007,2,0.009950839220343165,201007
1008,2,0,201008
1009,2,0,201009
1010,2,0,201010
1011,2,0,201011
1012,2,0,201012
1013,2,0,201013
1014,2,0,201014
1015,2,0,201015
829,3,0,300829
830,3,0,300830
831,3,0,300831
832,3,0,300832
833,3,0,300833
834,3,0,300834
835,3,0.01278413444359441,300835
836,3,0.0024904496187908628,300836
837,3,0,300837
838,3,0,300838
839,3,0,300839
840,3,0,300840
841,3,0,300841
842,3,0,300842
843,3,0.15715657334447417,300843
844,3,0.5487817748039129,300844
845,3,0.45306962036856296,300845
846,3,0.4675827401988527,300846
847,3,0.17283275049361613,300847
848,3,0.5076081614311917,300848
849,3,0.7412546165107285,300849
850,3,0,300850
851,3,0.2826763229089029,300851
852,3,0.32944721320303316,300852
853,3,0.5567291133306739,300853
854,3,0.6464729219107472,300854
855,3,0.2397037113467676,300855
856,3,0.3812247895186754,300856
857,3,0.43179604374012986,300857
859,3,0.2816105108594717,300859
860,3,0.011186604298907908,300860
861,3,0.014816286300221127,300861
862,3,0.44676503966255365,300862
863,3,0.5369972947172086,300863
864,3,0.023723615977918576,300864
865,3,0.4640010413855132,300865
866,3,1,300866
867,3,0.6113702082224992,300867
868,3,0.6386847252545588,300868
869,3,0.7040593361171408,300869
870,3,0.04804483103400084,300870
871,3,0.5723114347059337,300871
872,3,0.7847369041791087,300872
873,3,0.32146949532861396,300873
874,3,0.8466957398544649,300874
875,3,0.532686799337008,300875
876,3,0.28100247448352567,300876
877,3,0.23380547439222713,300877
878,3,0.20875404459950594,300878
879,3,0.21285326598800444,300879
880,3,0.1643910987741524,300880
881,3,0.17331450670323403,300881
882,3,0.1517922049745134,300882
883,3,0.14264891148663042,300883
884,3,0.1588363597058183,300884
885,3,0.31242148657896274,300885
886,3,0.27464680741343817,300886
887,3,0.260498518702579,300887
888,3,0.7494034172900079,300888
889,3,0.44625863062560683,300889
890,3,0.4099319300530173,300890
891,3,0.3066042782876427,300891
892,3,0.3310950536873997,300892
893,3,0.2628706072898536,300893
894,3,0.24819816050157772,300894
895,3,0.2530690993856694,300895
896,3,0.18563152882695916,300896
897,3,0.21412987061756455,300897
898,3,0.2178500891935786,300898
899,3,0.255031518571879,300899
900,3,0.31844928919888604,300900
901,3,0.29006579256878345,300901
902,3,0.46627500362935553,300902
903,3,0.5772538632744613,300903
904,3,0.3530585253522564,300904
905,3,0.26656538977387906,300905
906,3,0.3473526949259988,300906
907,3,0.31962438733599446,300907
908,3,0.2211969107625311,300908
909,3,0.3530837535829176,300909
910,3,0.29524665940561545,300910
911,3,0.5914239666301179,300911
912,3,0.5082405169242293,300912
913,3,0.4068411085991676,300913
914,3,0.48958162529940963,300914
915,3,0.9762762171011422,300915
916,3,0.4497644424145623,300916
917,3,0.32779056882389207,300917
918,3,0.2920768378781932,300918
919,3,0.26529023016888514,300919
920,3,0.37895201902188586,300920
921,3,0.811566482577492,300921
922,3,0.36256607244997985,300922
923,3,0.5287773459938389,300923
924,3,0.47680871615733755,300924
925,3,0.5655680616340435,300925
926,3,0.39983135090248106,300926
927,3,0.3449906052715794,300927
928,3,0.43840107568634445,300928
929,3,0.507889848019692,300929
930,3,0,300930
931,3,0.030048290779296518,300931
932,3,0.5215149903151358,300932
933,3,0.4643646516652037,300933
934,3,0.5698487532015593,300934
935,3,0.41206756262396144,300935
936,3,0.10568474011039072,300936
937,3,0,300937
938,3,0.3988794423846265,300938
939,3,0,300939
940,3,0,300940
941,3,0,300941
942,3,0.056468768597891204,300942
943,3,0.3976738011383075,300943
944,3,0.6745251960573743,300944
945,3,0.1399341813386303,300945
946,3,0.4786903425812125,300946
947,3,0.4627315694667184,300947
948,3,0.18794750604535085,300948
949,3,0.3612755957425533,300949
950,3,0.6986564897062232,300950
951,3,0.4442929192266454,300951
952,3,0.20328941782654528,300952
953,3,0,300953
954,3,0.0034284287948921363,300954
955,3,0,300955
956,3,0.08875208981313513,300956
957,3,0.25546310266499206,300957
958,3,0.41283391534902103,300958
959,3,0.3583916397509625,300959
960,3,0.3915429947398419,300960
961,3,0.27307839417807606,300961
962,3,0.16508742803356244,300962
963,3,0.2264607242736913,300963
964,3,0.3576891054557546,300964
965,3,0.48516963119358336,300965
966,3,0,300966
967,3,0,300967
968,3,0,300968
969,3,0.15629120912109637,300969
970,3,0.14695979178546376,300970
971,3,0,300971
972,3,0,300972
973,3,0.29863711882083566,300973
974,3,0.3997617872592611,300974
975,3,0,300975
976,3,0.005130348109260134,300976
