WP4,campaign,value,pu
829,1,0,100829
830,1,0,100830
831,1,0,100831
832,1,0,100832
833,1,0,100833
834,1,0,100834
835,1,0.0051828611785265195,100835
836,1,3.6945825947227486e-4,100836
837,1,0,100837
838,1,0,100838
839,1,0,100839
840,1,0,100840
841,1,0,100841
842,1,0,100842
843,1,0.043283817267902314,100843
844,1,0.2714556908892579,100844
845,1,0.20285131545797727,100845
846,1,0.24903680762302802,100846
847,1,0.04125757835646377,100847
848,1,0.16200065949082984,100848
849,1,0.1831257291875284,100849
850,1,0,100850
851,1,0.5926165926267832,100851
852,1,0.5556484296581744,100852
853,1,0.4674042614798386,100853
854,1,0.3663722801849937,100854
855,1,0.1222827917107389,100855
856,1,0.33530817566919524,100856
857,1,0.32368362662122746,100857
859,1,0.6395141129415626,100859
860,1,0.004900913549867592,100860
861,1,0.010480443810297028,100861
862,1,0.6781904036244066,100862
863,1,0.41202474238492437,100863
864,1,9.714676629780283e-4,100864
865,1,0.10258208085566693,100865
866,1,0.20907359223998825,100866
867,1,0.09324546529044304,100867
868,1,0.5410533393976035,100868
869,1,0.14845566085441486,100869
870,1,0.02319490956889016,100870
871,1,0.3745911698285729,100871
872,1,0.22821312736939076,100872
873,1,0.7174841012922707,100873
874,1,0.494470457652729,100874
875,1,0.7510324844011518,100875
876,1,0.6174001148284091,100876
877,1,0.7361195412583572,100877
878,1,0.9463080683495411,100878
879,1,0.7461467245665422,100879
880,1,1,100880
881,1,0.6328345229667623,100881
882,1,0.6656424111217821,100882
883,1,0.8017373158973083,100883
884,1,0.8425564488029406,100884
885,1,0.14186241874061153,100885
886,1,0.16962308434036155,100886
887,1,0.07933993523869018,100887
888,1,0.3388236564713911,100888
889,1,0.5716796660993085,100889
890,1,0.6679583513401649,100890
891,1,0.7197126721954019,100891
892,1,0.8410759164968565,100892
893,1,0.8839943329534702,100893
894,1,0.9333563526163802,100894
895,1,0.6534335653954233,100895
896,1,0.7347978483486374,100896
897,1,0.746034635423995,100897
898,1,0.8808126936030356,100898
899,1,0.7756793650266802,100899
900,1,0.7332997511525462,100900
901,1,0.24624763066157332,100901
902,1,0.7466054472146674,100902
903,1,0.6558169237090574,100903
904,1,0.11824724867257047,100904
905,1,0.24234527013990734,100905
906,1,0.8113927871213927,100906
907,1,0.7893942875208695,100907
908,1,0.49477833580597247,100908
909,1,0.3948472427364359,100909
910,1,0.4097444543912451,100910
911,1,0.4920864072100088,100911
912,1,0.5076040623723791,100912
913,1,0.4803292246970234,100913
914,1,0.2282505513247359,100914
915,1,0.387641190446064,100915
916,1,0.634904562125613,100916
917,1,0.726028906734278,100917
918,1,0.8541130224225869,100918
919,1,0.7934682881267098,100919
920,1,0.4246964815067271,100920
921,1,0.37601121026397694,100921
922,1,0.5814554035622992,100922
923,1,0.5326590454250266,100923
924,1,0.4523194329769818,100924
925,1,0.4749856144238038,100925
926,1,0.7664811440905775,100926
927,1,0.8276290453074018,100927
928,1,0.12252870158046823,100928
929,1,0.2975326291443208,100929
930,1,0,100930
931,1,0.003964891424368472,100931
932,1,0.10272654430097541,100932
933,1,0.38335525156199446,100933
934,1,0.20241677662475469,100934
935,1,0.039806328854970055,100935
936,1,0.024195381105617596,100936
937,1,0,100937
938,1,0.06060963464673735,100938
939,1,0,100939
940,1,0,100940
941,1,0,100941
942,1,0.005207446562214079,100942
943,1,0.03445559148468476,100943
944,1,0.05410450525261882,100944
945,1,0.0261352469588955,100945
946,1,0.1307630448384155,100946
947,1,0.34479365361115183,100947
948,1,0.19303195853281968,100948
949,1,0.2763811579298994,100949
950,1,0.18619188782193086,100950
951,1,0.08654886335360737,100951
952,1,0.15215212425001975,100952
953,1,0,100953
954,1,0.005747233419916691,100954
955,1,0,100955
956,1,0.011331153977777175,100956
957,1,0.10583711531528608,100957
958,1,0.09030253224016091,100958
959,1,0.18451407370534972,100959
960,1,0.269906188659801,100960
961,1,0.5915758528506709,100961
962,1,0.16597924002328632,100962
963,1,0.06284177086044095,100963
964,1,0.17633917319980888,100964
965,1,0.11373251654594888,100965
966,1,0,100966
967,1,0,100967
968,1,0,100968
969,1,0.1442390606885698,100969
970,1,0.08493508227833844,100970
971,1,0,100971
972,1,0,100972
973,1,0.06542264251655254,100973
974,1,0.38713225725109907,100974
975,1,0,100975
976,1,0.0015112721410748885,100976
977,1,0.02156041624879351,100977
978,1,0,100978
979,1,0,100979
980,1,4.829158018367927e-4,100980
981,1,0,100981
982,1,0,100982
983,1,0,100983
984,1,0,100984
985,1,0,100985
986,1,0.03041289597608281,100986
987,1,0.07672592279266742,100987
988,1,0.00887798542416848,100988
989,1,0.027207226636787343,100989
990,1,0.28728910157832455,100990
991,1,0.4626700541275517,100991
992,1,0.7052199756316467,100992
993,1,0.19743316651198647,100993
994,1,0.36891617826303713,100994
995,1,0.3343485448584618,100995
996,1,0.46545990577390217,100996
997,1,0.3253956769876302,100997
998,1,0.3315724251377573,100998
999,1,0.4651268096648176,100999
1000,1,0.18033189709411712,101000
1001,1,0.337314183548773,101001
1002,1,0.50489632898759,101002
1003,1,0.29704751255524237,101003
1004,1,0,101004
1005,1,0.00921311369332174,101005
1006,1,0.0032166230573802772,101006
1007,1,0.0028461500394032103,101007
1008,1,0,101008
1009,1,0,101009
1010,1,0,101010
1011,1,0,101011
1012,1,0,101012
1013,1,0,101013
1014,1,0,101014
1015,1,0,101015
829,2,0,200829
830,2,0,200830
831,2,0,200831
832,2,0,200832
833,2,0,200833
834,2,0,200834
835,2,0.0051828611785265195,200835
836,2,3.6945825947227486e-4,200836
837,2,0,200837
838,2,0,200838
839,2,0,200839
840,2,0,200840
841,2,0,200841
842,2,0,200842
843,2,0.043283817267902314,200843
844,2,0.2714556908892579,200844
845,2,0.20285131545797727,200845
846,2,0.24903680762302802,200846
847,2,0.04125757835646377,200847
848,2,0.16200065949082984,200848
849,2,0.1831257291875284,200849
850,2,0,200850
851,2,0.5926165926267832,200851
852,2,0.5556484296581744,200852
853,2,0.4674042614798386,200853
854,2,0.3663722801849937,200854
855,2,0.1222827917107389,200855
856,2,0.33530817566919524,200856
857,2,0.32368362662122746,200857
859,2,0.6395141129415626,200859
860,2,0.004900913549867592,200860
861,2,0.010480443810297028,200861
862,2,0.6781904036244066,200862
863,2,0.41202474238492437,200863
864,2,9.714676629780283e-4,200864
865,2,0.10258208085566693,200865
866,2,0.20907359223998825,200866
867,2,0.09324546529044304,200867
868,2,0.5410533393976035,200868
869,2,0.14845566085441486,200869
870,2,0.02319490956889016,200870
871,2,0.3745911698285729,200871
872,2,0.22821312736939076,200872
873,2,0.7174841012922707,200873
874,2,0.494470457652729,200874
875,2,0.7510324844011518,200875
876,2,0.6174001148284091,200876
877,2,0.7361195412583572,200877
878,2,0.9463080683495411,200878
879,2,0.7461467245665422,200879
880,2,1,200880
881,2,0.6328345229667623,200881
882,2,0.6656424111217821,200882
883,2,0.8017373158973083,200883
884,2,0.8425564488029406,200884
885,2,0.14186241874061153,200885
886,2,0.16962308434036155,200886
887,2,0.07933993523869018,200887
888,2,0.3388236564713911,200888
889,2,0.5716796660993085,200889
890,2,0.6679583513401649,200890
891,2,0.7197126721954019,200891
892,2,0.8410759164968565,200892
893,2,0.8839943329534702,200893
894,2,0.9333563526163802,200894
895,2,0.6534335653954233,200895
896,2,0.7347978483486374,200896
897,2,0.746034635423995,200897
898,2,0.8808126936030356,200898
899,2,0.7756793650266802,200899
900,2,0.7332997511525462,200900
901,2,0.24624763066157332,200901
902,2,0.7466054472146674,200902
903,2,0.6558169237090574,200903
904,2,0.11824724867257047,200904
905,2,0.24234527013990734,200905
906,2,0.8113927871213927,200906
907,2,0.7893942875208695,200907
908,2,0.49477833580597247,200908
909,2,0.3948472427364359,200909
910,2,0.4097444543912451,200910
911,2,0.4920864072100088,200911
912,2,0.5076040623723791,200912
913,2,0.4803292246970234,200913
914,2,0.2282505513247359,200914
915,2,0.387641190446064,200915
916,2,0.634904562125613,200916
917,2,0.726028906734278,200917
918,2,0.8541130224225869,200918
919,2,0.7934682881267098,200919
920,2,0.4246964815067271,200920
921,2,0.37601121026397694,200921
922,2,0.5814554035622992,200922
923,2,0.5326590454250266,200923
924,2,0.4523194329769818,200924
925,2,0.4749856144238038,200925
926,2,0.7664811440905775,200926
927,2,0.8276290453074018,200927
928,2,0.12252870158046823,200928
929,2,0.2975326291443208,200929
930,2,0,200930
931,2,0.003964891424368472,200931
932,2,0.10272654430097541,200932
933,2,0.38335525156199446,200933
934,2,0.20241677662475469,200934
935,2,0.039806328854970055,200935
936,2,0.024195381105617596,200936
937,2,0,200937
938,2,0.06060963464673735,200938
939,2,0,200939
940,2,0,200940
941,2,0,200941
942,2,0.005207446562214079,200942
943,2,0.03445559148468476,200943
944,2,0.05410450525261882,200944
945,2,0.0261352469588955,200945
946,2,0.1307630448384155,200946
947,2,0.34479365361115183,200947
948,2,0.19303195853281968,200948
949,2,0.2763811579298994,200949
950,2,0.18619188782193086,200950
951,2,0.08654886335360737,200951
952,2,0.15215212425001975,200952
953,2,0,200953
954,2,0.005747233419916691,200954
955,2,0,200955
956,2,0.011331153977777175,200956
957,2,0.10583711531528608,200957
958,2,0.09030253224016091,200958
959,2,0.18451407370534972,200959
960,2,0.269906188659801,200960
961,2,0.5915758528506709,200961
962,2,0.16597924002328632,200962
963,2,0.06284177086044095,200963
964,2,0.17633917319980888,200964
965,2,0.11373251654594888,200965
966,2,0,200966
967,2,0,200967
968,2,0,200968
969,2,0.1442390606885698,200969
970,2,0.08493508227833844,200970
971,2,0,200971
972,2,0,200972
973,2,0.06542264251655254,200973
974,2,0.38713225725109907,200974
975,2,0,200975
976,2,0.0015112721410748885,200976
977,2,0.02156041624879351,200977
978,2,0,200978
979,2,0,200979
980,2,4.829158018367927e-4,200980
981,2,0,200981
982,2,0,200982
983,2,0,200983
984,2,0,200984
985,2,0,200985
986,2,0.03041289597608281,200986
987,2,0.07672592279266742,200987
988,2,0.00887798542416848,200988
989,2,0.027207226636787343,200989
990,2,0.28728910157832455,200990
991,2,0.4626700541275517,200991
992,2,0.7052199756316467,200992
993,2,0.19743316651198647,200993
994,2,0.36891617826303713,200994
995,2,0.3343485448584618,200995
996,2,0.46545990577390217,200996
997,2,0.3253956769876302,200997
998,2,0.3315724251377573,200998
999,2,0.4651268096648176,200999
1000,2,0.18033189709411712,201000
1001,2,0.337314183548773,201001
1002,2,0.50489632898759,201002
1003,2,0.29704751255524237,201003
1004,2,0,201004
1005,2,0.00921311369332174,201005
1006,2,0.0032166230573802772,201006
1007,2,0.0028461500394032103,201007
1008,2,0,201008
1009,2,0,201009
1010,2,0,201010
1011,2,0,201011
1012,2,0,201012
1013,2,0,201013
1014,2,0,201014
1015,2,0,201015
829,3,0,300829
830,3,0,300830
831,3,0,300831
832,3,0,300832
833,3,0,300833
834,3,0,300834
835,3,0.0051828611785265195,300835
836,3,3.6945825947227486e-4,300836
837,3,0,300837
838,3,0,300838
839,3,0,300839
840,3,0,300840
841,3,0,300841
842,3,0,300842
843,3,0.043283817267902314,300843
844,3,0.2714556908892579,300844
845,3,0.20285131545797727,300845
846,3,0.24903680762302802,300846
847,3,0.04125757835646377,300847
848,3,0.16200065949082984,300848
849,3,0.1831257291875284,300849
850,3,0,300850
851,3,0.5926165926267832,300851
852,3,0.5556484296581744,300852
853,3,0.4674042614798386,300853
854,3,0.3663722801849937,300854
855,3,0.1222827917107389,300855
856,3,0.33530817566919524,300856
857,3,0.32368362662122746,300857
859,3,0.6395141129415626,300859
860,3,0.004900913549867592,300860
861,3,0.010480443810297028,300861
862,3,0.6781904036244066,300862
863,3,0.41202474238492437,300863
864,3,9.714676629780283e-4,300864
865,3,0.10258208085566693,300865
866,3,0.20907359223998825,300866
867,3,0.09324546529044304,300867
868,3,0.5410533393976035,300868
869,3,0.14845566085441486,300869
870,3,0.02319490956889016,300870
871,3,0.3745911698285729,300871
872,3,0.22821312736939076,300872
873,3,0.7174841012922707,300873
874,3,0.494470457652729,300874
875,3,0.7510324844011518,300875
876,3,0.6174001148284091,300876
877,3,0.7361195412583572,300877
878,3,0.9463080683495411,300878
879,3,0.7461467245665422,300879
880,3,1,300880
881,3,0.6328345229667623,300881
882,3,0.6656424111217821,300882
883,3,0.8017373158973083,300883
884,3,0.8425564488029406,300884
885,3,0.14186241874061153,300885
886,3,0.16962308434036155,300886
887,3,0.07933993523869018,300887
888,3,0.3388236564713911,300888
889,3,0.5716796660993085,300889
890,3,0.6679583513401649,300890
891,3,0.7197126721954019,300891
892,3,0.8410759164968565,300892
893,3,0.8839943329534702,300893
894,3,0.9333563526163802,300894
895,3,0.6534335653954233,300895
896,3,0.7347978483486374,300896
897,3,0.746034635423995,300897
898,3,0.8808126936030356,300898
899,3,0.7756793650266802,300899
900,3,0.7332997511525462,300900
901,3,0.24624763066157332,300901
902,3,0.7466054472146674,300902
903,3,0.6558169237090574,300903
904,3,0.11824724867257047,300904
905,3,0.24234527013990734,300905
906,3,0.8113927871213927,300906
907,3,0.7893942875208695,300907
908,3,0.49477833580597247,300908
909,3,0.3948472427364359,300909
910,3,0.4097444543912451,300910
911,3,0.4920864072100088,300911
912,3,0.5076040623723791,300912
913,3,0.4803292246970234,300913
914,3,0.2282505513247359,300914
915,3,0.387641190446064,300915
916,3,0.634904562125613,300916
917,3,0.726028906734278,300917
918,3,0.8541130224225869,300918
919,3,0.7934682881267098,300919
920,3,0.4246964815067271,300920
921,3,0.37601121026397694,300921
922,3,0.5814554035622992,300922
923,3,0.5326590454250266,300923
924,3,0.4523194329769818,300924
925,3,0.4749856144238038,300925
926,3,0.7664811440905775,300926
927,3,0.8276290453074018,300927
928,3,0.12252870158046823,300928
929,3,0.2975326291443208,300929
930,3,0,300930
931,3,0.003964891424368472,300931
932,3,0.10272654430097541,300932
933,3,0.38335525156199446,300933
934,3,0.20241677662475469,300934
935,3,0.039806328854970055,300935
936,3,0.024195381105617596,300936
937,3,0,300937
938,3,0.06060963464673735,300938
939,3,0,300939
940,3,0,300940
941,3,0,300941
942,3,0.005207446562214079,300942
943,3,0.03445559148468476,300943
944,3,0.05410450525261882,300944
945,3,0.0261352469588955,300945
946,3,0.1307630448384155,300946
947,3,0.34479365361115183,300947
948,3,0.19303195853281968,300948
949,3,0.2763811579298994,300949
950,3,0.18619188782193086,300950
951,3,0.08654886335360737,300951
952,3,0.15215212425001975,300952
953,3,0,300953
954,3,0.005747233419916691,300954
955,3,0,300955
956,3,0.011331153977777175,300956
957,3,0.10583711531528608,300957
958,3,0.09030253224016091,300958
959,3,0.18451407370534972,300959
960,3,0.269906188659801,300960
961,3,0.5915758528506709,300961
962,3,0.16597924002328632,300962
963,3,0.06284177086044095,300963
964,3,0.17633917319980888,300964
965,3,0.11373251654594888,300965
966,3,0,300966
967,3,0,300967
968,3,0,300968
969,3,0.1442390606885698,300969
970,3,0.08493508227833844,300970
971,3,0,300971
972,3,0,300972
973,3,0.06542264251655254,300973
974,3,0.38713225725109907,300974
975,3,0,300975
