WP4,campaign,value,pu
829,1,0,100829
830,1,0,100830
831,1,0,100831
832,1,0,100832
833,1,0,100833
834,1,0,100834
835,1,0.014078280202412728,100835
836,1,0.0027346001338323872,100836
837,1,0,100837
838,1,0,100838
839,1,0,100839
840,1,0,100840
841,1,0,100841
842,1,0,100842
843,1,0.16156279207974522,100843
844,1,0.5610951233186995,100844
845,1,0.4630061153731505,100845
846,1,0.47592653068231044,100846
847,1,0.17528743363638719,100847
848,1,0.5129449981930363,100848
849,1,0.7464994391405423,100849
850,1,0,100850
851,1,0.2831669654741619,100851
852,1,0.328639439103731,100852
853,1,0.5538436966469025,100853
854,1,0.6406043361507717,100854
855,1,0.2363817276556192,100855
856,1,0.3722458011217445,100856
857,1,0.4105955678872533,100857
859,1,0.27164503808407126,100859
860,1,0.010672051335880527,100860
861,1,0.014389816693592477,100861
862,1,0.44513914013700123,100862
863,1,0.5349875934382688,100863
864,1,0.023852829437081557,100864
865,1,0.4646495069549454,100865
866,1,0.9963969482925155,100866
867,1,0.6095605931265982,100867
868,1,0.6372650584842423,100868
869,1,0.698779155913106,100869
870,1,0.04763988521076428,100870
871,1,0.572511951149121,100871
872,1,0.7883412421847421,100872
873,1,0.32282371915337293,100873
874,1,0.854020308195842,100874
875,1,0.5352714875388027,100875
876,1,0.2812525901962556,100876
877,1,0.2321450980190487,100877
878,1,0.2043274651577759,100878
879,1,0.21131106862827048,100879
880,1,0.16270394947671116,100880
881,1,0.1747214718365062,100881
882,1,0.15204415602962046,100882
883,1,0.14332805170171223,100883
884,1,0.1601612683857304,100884
885,1,0.3163025268444869,100885
886,1,0.2777994054694359,100886
887,1,0.26122381285193064,100887
888,1,0.7558578184904097,100888
889,1,0.45543048116858076,100889
890,1,0.4170810992237281,100890
891,1,0.31142000165886474,100891
892,1,0.3355826219471625,100892
893,1,0.26676814486193573,100893
894,1,0.25108200085984006,100894
895,1,0.25584450785790047,100895
896,1,0.1865340299522659,100896
897,1,0.2179412076810941,100897
898,1,0.22241038787221978,100898
899,1,0.2612271544388132,100899
900,1,0.32574432698823425,100900
901,1,0.29369728670515877,100901
902,1,0.47437860514604097,100902
903,1,0.5849920713121939,100903
904,1,0.3569273714389184,100904
905,1,0.267987344326114,100905
906,1,0.3478851050982212,100906
907,1,0.32087574881311354,100907
908,1,0.22274755999099516,100908
909,1,0.35670606830859114,100909
910,1,0.30287738952511684,100910
911,1,0.605602443667773,100911
912,1,0.5198818048429756,100912
913,1,0.4172606093703673,100913
914,1,0.5027781646799382,100914
915,1,1,100915
916,1,0.4591227862951328,100916
917,1,0.33242161321635855,100917
918,1,0.2970818460065476,100918
919,1,0.27143573537049703,100919
920,1,0.3875936348997994,100920
921,1,0.8308004316281087,100921
922,1,0.3721956351123697,100922
923,1,0.5410336625061528,100923
924,1,0.48618992614006296,100924
925,1,0.5755889347642704,100925
926,1,0.40550928870760655,100926
927,1,0.3482555499646672,100927
928,1,0.4522257649895792,100928
929,1,0.5235369806909009,100929
930,1,0,100930
931,1,0.03112998637168672,100931
932,1,0.5418402787308793,100932
933,1,0.48100584979257,100933
934,1,0.593196852531728,100934
935,1,0.43151172560025775,100935
936,1,0.1158449880527418,100936
937,1,0,100937
938,1,0.4212099116051487,100938
939,1,0,100939
940,1,0,100940
941,1,0,100941
942,1,0.06154368393054406,100942
943,1,0.42928598878948143,100943
944,1,0.7230779442969162,100944
945,1,0.1494679213522131,100945
946,1,0.5098294140722046,100946
947,1,0.4904745986274881,100947
948,1,0.19740155309460505,100948
949,1,0.37825368794821923,100949
950,1,0.7357214904175752,100950
951,1,0.4690308309107677,100951
952,1,0.21819695028858824,100952
953,1,0,100953
954,1,0.003613694517854088,100954
955,1,0,100955
956,1,0.0941150726614661,100956
957,1,0.2684119399577623,100957
958,1,0.42857029057047896,100958
959,1,0.3728478406978898,100959
960,1,0.40490314944058375,100960
961,1,0.2815814583672078,100961
962,1,0.17163476007200043,100962
963,1,0.23389458253816126,100963
964,1,0.374390572834783,100964
965,1,0.512128023793788,100965
966,1,0,100966
967,1,0,100967
968,1,0,100968
969,1,0.17361618819513788,100969
970,1,0.1609006752082074,100970
971,1,0,100971
972,1,0,100972
973,1,0.3132663073471723,100973
974,1,0.41684179817004824,100974
975,1,0,100975
976,1,0.005642778918685995,100976
977,1,0.04426962911630219,100977
978,1,0,100978
979,1,0,100979
980,1,0.007692028652115067,100980
981,1,0,100981
982,1,0,100982
983,1,0,100983
984,1,0,100984
985,1,0,100985
986,1,0.07054642108451425,100986
987,1,0.09489317126587202,100987
988,1,0.019785831374539358,100988
989,1,0.04757050182738048,100989
990,1,0.45559183318379903,100990
991,1,0.5261703900790545,100991
992,1,0.41369724851809797,100992
993,1,0.45827415977623,100993
994,1,0.367694115235878,100994
995,1,0.8982382299755565,100995
996,1,0.6360086380270646,100996
997,1,0.8103141239916827,100997
998,1,0.7509581213949573,100998
999,1,0.5034729584478078,100999
1000,1,0.3074220201222155,101000
1001,1,0.43577991345148026,101001
1002,1,0.37436710184163396,101002
1003,1,0.27558359790784265,101003
1004,1,0,101004
1005,1,0.056231331889020554,101005
1006,1,0.006825011064809667,101006
1007,1,0.011175730168121912,101007
1008,1,0,101008
1009,1,0,101009
1010,1,0,101010
1011,1,0,101011
1012,1,0,101012
1013,1,0,101013
1014,1,0,101014
1015,1,0,101015
829,2,0,200829
830,2,0,200830
831,2,0,200831
832,2,0,200832
833,2,0,200833
834,2,0,200834
835,2,0.014078280202412728,200835
836,2,0.0027346001338323872,200836
837,2,0,200837
838,2,0,200838
839,2,0,200839
840,2,0,200840
841,2,0,200841
842,2,0,200842
843,2,0.16156279207974522,200843
844,2,0.5610951233186995,200844
845,2,0.4630061153731505,200845
846,2,0.47592653068231044,200846
847,2,0.17528743363638719,200847
848,2,0.5129449981930363,200848
849,2,0.7464994391405423,200849
850,2,0,200850
851,2,0.2831669654741619,200851
852,2,0.328639439103731,200852
853,2,0.5538436966469025,200853
854,2,0.6406043361507717,200854
855,2,0.2363817276556192,200855
856,2,0.3722458011217445,200856
857,2,0.4105955678872533,200857
859,2,0.27164503808407126,200859
860,2,0.010672051335880527,200860
861,2,0.014389816693592477,200861
862,2,0.44513914013700123,200862
863,2,0.5349875934382688,200863
864,2,0.023852829437081557,200864
865,2,0.4646495069549454,200865
866,2,0.9963969482925155,200866
867,2,0.6095605931265982,200867
868,2,0.6372650584842423,200868
869,2,0.698779155913106,200869
870,2,0.04763988521076428,200870
871,2,0.572511951149121,200871
872,2,0.7883412421847421,200872
873,2,0.32282371915337293,200873
874,2,0.854020308195842,200874
875,2,0.5352714875388027,200875
876,2,0.2812525901962556,200876
877,2,0.2321450980190487,200877
878,2,0.2043274651577759,200878
879,2,0.21131106862827048,200879
880,2,0.16270394947671116,200880
881,2,0.1747214718365062,200881
882,2,0.15204415602962046,200882
883,2,0.14332805170171223,200883
884,2,0.1601612683857304,200884
885,2,0.3163025268444869,200885
886,2,0.2777994054694359,200886
887,2,0.26122381285193064,200887
888,2,0.7558578184904097,200888
889,2,0.45543048116858076,200889
890,2,0.4170810992237281,200890
891,2,0.31142000165886474,200891
892,2,0.3355826219471625,200892
893,2,0.26676814486193573,200893
894,2,0.25108200085984006,200894
895,2,0.25584450785790047,200895
896,2,0.1865340299522659,200896
897,2,0.2179412076810941,200897
898,2,0.22241038787221978,200898
899,2,0.2612271544388132,200899
900,2,0.32574432698823425,200900
901,2,0.29369728670515877,200901
902,2,0.47437860514604097,200902
903,2,0.5849920713121939,200903
904,2,0.3569273714389184,200904
905,2,0.267987344326114,200905
906,2,0.3478851050982212,200906
907,2,0.32087574881311354,200907
908,2,0.22274755999099516,200908
909,2,0.35670606830859114,200909
910,2,0.30287738952511684,200910
911,2,0.605602443667773,200911
912,2,0.5198818048429756,200912
913,2,0.4172606093703673,200913
914,2,0.5027781646799382,200914
915,2,1,200915
916,2,0.4591227862951328,200916
917,2,0.33242161321635855,200917
918,2,0.2970818460065476,200918
919,2,0.27143573537049703,200919
920,2,0.3875936348997994,200920
921,2,0.8308004316281087,200921
922,2,0.3721956351123697,200922
923,2,0.5410336625061528,200923
924,2,0.48618992614006296,200924
925,2,0.5755889347642704,200925
926,2,0.40550928870760655,200926
927,2,0.3482555499646672,200927
928,2,0.4522257649895792,200928
929,2,0.5235369806909009,200929
930,2,0,200930
931,2,0.03112998637168672,200931
932,2,0.5418402787308793,200932
933,2,0.48100584979257,200933
934,2,0.593196852531728,200934
935,2,0.43151172560025775,200935
936,2,0.1158449880527418,200936
937,2,0,200937
938,2,0.4212099116051487,200938
939,2,0,200939
940,2,0,200940
941,2,0,200941
942,2,0.06154368393054406,200942
943,2,0.42928598878948143,200943
944,2,0.7230779442969162,200944
945,2,0.1494679213522131,200945
946,2,0.5098294140722046,200946
947,2,0.4904745986274881,200947
948,2,0.19740155309460505,200948
949,2,0.37825368794821923,200949
950,2,0.7357214904175752,200950
951,2,0.4690308309107677,200951
952,2,0.21819695028858824,200952
953,2,0,200953
954,2,0.003613694517854088,200954
955,2,0,200955
956,2,0.0941150726614661,200956
957,2,0.2684119399577623,200957
958,2,0.42857029057047896,200958
959,2,0.3728478406978898,200959
960,2,0.40490314944058375,200960
961,2,0.2815814583672078,200961
962,2,0.17163476007200043,200962
963,2,0.23389458253816126,200963
964,2,0.374390572834783,200964
965,2,0.512128023793788,200965
966,2,0,200966
967,2,0,200967
968,2,0,200968
969,2,0.17361618819513788,200969
970,2,0.1609006752082074,200970
971,2,0,200971
972,2,0,200972
973,2,0.3132663073471723,200973
974,2,0.41684179817004824,200974
975,2,0,200975
976,2,0.005642778918685995,200976
977,2,0.04426962911630219,200977
978,2,0,200978
979,2,0,200979
980,2,0.007692028652115067,200980
981,2,0,200981
982,2,0,200982
983,2,0,200983
984,2,0,200984
985,2,0,200985
986,2,0.07054642108451425,200986
987,2,0.09489317126587202,200987
988,2,0.019785831374539358,200988
989,2,0.04757050182738048,200989
990,2,0.45559183318379903,200990
991,2,0.5261703900790545,200991
992,2,0.41369724851809797,200992
993,2,0.45827415977623,200993
994,2,0.367694115235878,200994
995,2,0.8982382299755565,200995
996,2,0.6360086380270646,200996
997,2,0.8103141239916827,200997
998,2,0.7509581213949573,200998
999,2,0.5034729584478078,200999
1000,2,0.3074220201222155,201000
1001,2,0.43577991345148026,201001
1002,2,0.37436710184163396,201002
1003,2,0.27558359790784265,201003
1004,2,0,201004
1005,2,0.056231331889020554,201005
1006,2,0.006825011064809667,201006
1007,2,0.011175730168121912,201007
1008,2,0,201008
1009,2,0,201009
1010,2,0,201010
1011,2,0,201011
1012,2,0,201012
1013,2,0,201013
1014,2,0,201014
1015,2,0,201015
829,3,0,300829
830,3,0,300830
831,3,0,300831
832,3,0,300832
833,3,0,300833
834,3,0,300834
835,3,0.014078280202412728,300835
836,3,0.0027346001338323872,300836
837,3,0,300837
838,3,0,300838
839,3,0,300839
840,3,0,300840
841,3,0,300841
842,3,0,300842
843,3,0.16156279207974522,300843
844,3,0.5610951233186995,300844
845,3,0.4630061153731505,300845
846,3,0.47592653068231044,300846
847,3,0.17528743363638719,300847
848,3,0.5129449981930363,300848
849,3,0.7464994391405423,300849
850,3,0,300850
851,3,0.2831669654741619,300851
852,3,0.328639439103731,300852
853,3,0.5538436966469025,300853
854,3,0.6406043361507717,300854
855,3,0.2363817276556192,300855
856,3,0.3722458011217445,300856
857,3,0.4105955678872533,300857
859,3,0.27164503808407126,300859
860,3,0.010672051335880527,300860
861,3,0.014389816693592477,300861
862,3,0.44513914013700123,300862
863,3,0.5349875934382688,300863
864,3,0.023852829437081557,300864
865,3,0.4646495069549454,300865
866,3,0.9963969482925155,300866
867,3,0.6095605931265982,300867
868,3,0.6372650584842423,300868
869,3,0.698779155913106,300869
870,3,0.04763988521076428,300870
871,3,0.572511951149121,300871
872,3,0.7883412421847421,300872
873,3,0.32282371915337293,300873
874,3,0.854020308195842,300874
875,3,0.5352714875388027,300875
876,3,0.2812525901962556,300876
877,3,0.2321450980190487,300877
878,3,0.2043274651577759,300878
879,3,0.21131106862827048,300879
880,3,0.16270394947671116,300880
881,3,0.1747214718365062,300881
882,3,0.15204415602962046,300882
883,3,0.14332805170171223,300883
884,3,0.1601612683857304,300884
885,3,0.3163025268444869,300885
886,3,0.2777994054694359,300886
887,3,0.26122381285193064,300887
888,3,0.7558578184904097,300888
889,3,0.45543048116858076,300889
890,3,0.4170810992237281,300890
891,3,0.31142000165886474,300891
892,3,0.3355826219471625,300892
893,3,0.26676814486193573,300893
894,3,0.25108200085984006,300894
895,3,0.25584450785790047,300895
896,3,0.1865340299522659,300896
897,3,0.2179412076810941,300897
898,3,0.22241038787221978,300898
899,3,0.2612271544388132,300899
900,3,0.32574432698823425,300900
901,3,0.29369728670515877,300901
902,3,0.47437860514604097,300902
903,3,0.5849920713121939,300903
904,3,0.3569273714389184,300904
905,3,0.267987344326114,300905
906,3,0.3478851050982212,300906
907,3,0.32087574881311354,300907
908,3,0.22274755999099516,300908
909,3,0.35670606830859114,300909
910,3,0.30287738952511684,300910
911,3,0.605602443667773,300911
912,3,0.5198818048429756,300912
913,3,0.4172606093703673,300913
914,3,0.5027781646799382,300914
915,3,1,300915
916,3,0.4591227862951328,300916
917,3,0.33242161321635855,300917
918,3,0.2970818460065476,300918
919,3,0.27143573537049703,300919
920,3,0.3875936348997994,300920
921,3,0.8308004316281087,300921
922,3,0.3721956351123697,300922
923,3,0.5410336625061528,300923
924,3,0.48618992614006296,300924
925,3,0.5755889347642704,300925
926,3,0.40550928870760655,300926
927,3,0.3482555499646672,300927
928,3,0.4522257649895792,300928
929,3,0.5235369806909009,300929
930,3,0,300930
931,3,0.03112998637168672,300931
932,3,0.5418402787308793,300932
933,3,0.48100584979257,300933
934,3,0.593196852531728,300934
935,3,0.43151172560025775,300935
936,3,0.1158449880527418,300936
937,3,0,300937
938,3,0.4212099116051487,300938
939,3,0,300939
940,3,0,300940
941,3,0,300941
942,3,0.06154368393054406,300942
943,3,0.42928598878948143,300943
944,3,0.7230779442969162,300944
945,3,0.1494679213522131,300945
946,3,0.5098294140722046,300946
947,3,0.4904745986274881,300947
948,3,0.19740155309460505,300948
949,3,0.37825368794821923,300949
950,3,0.7357214904175752,300950
951,3,0.4690308309107677,300951
952,3,0.21819695028858824,300952
953,3,0,300953
954,3,0.003613694517854088,300954
955,3,0,300955
956,3,0.0941150726614661,300956
957,3,0.2684119399577623,300957
958,3,0.42857029057047896,300958
959,3,0.3728478406978898,300959
960,3,0.40490314944058375,300960
961,3,0.2815814583672078,300961
962,3,0.17163476007200043,300962
963,3,0.23389458253816126,300963
964,3,0.374390572834783,300964
965,3,0.512128023793788,300965
966,3,0,300966
967,3,0,300967
968,3,0,300968
969,3,0.17361618819513788,300969
970,3,0.1609006752082074,300970
971,3,0,300971
972,3,0,300972
973,3,0.3132663073471723,300973
974,3,0.41684179817004824,300974
975,3,0,300975
976,3,0.005642778918685995,300976
977,3,0.04426962911630219,300977
