WP4,campaign,value,pu
633,1,-0,100633
634,1,-0,100634
635,1,-0,100635
636,1,-0,100636
637,1,-0,100637
638,1,-0,100638
639,1,-0,100639
640,1,-0,100640
641,1,-0,100641
642,1,0.008283888352862598,100642
643,1,0.011317297756079567,100643
644,1,-0,100644
645,1,0.06681731902260156,100645
646,1,-0,100646
647,1,-0,100647
648,1,-0,100648
649,1,-0,100649
650,1,-0,100650
651,1,0.002813261513136258,100651
652,1,3.461428498038395e-4,100652
653,1,-0,100653
654,1,-0,100654
655,1,-0,100655
656,1,-0,100656
657,1,2.542332033681182e-4,100657
658,1,-0,100658
659,1,-0,100659
660,1,-0,100660
661,1,0.011229287463096621,100661
662,1,0.0017923956525857491,100662
663,1,-0,100663
664,1,-0,100664
665,1,-0,100665
666,1,0.1087787773187728,100666
667,1,0.003648611532175918,100667
668,1,-0,100668
669,1,0.021228162408587922,100669
670,1,0.0017416053688980254,100670
671,1,-0,100671
672,1,-0,100672
673,1,-0,100673
674,1,-0,100674
675,1,-0,100675
676,1,-0,100676
677,1,-0,100677
678,1,-0,100678
679,1,-0,100679
680,1,-0,100680
681,1,-0,100681
682,1,-0,100682
683,1,0.1257953557646147,100683
684,1,-0,100684
685,1,-0,100685
686,1,-0,100686
687,1,-0,100687
688,1,7.10887477931607e-4,100688
689,1,0.06754637222766059,100689
690,1,0.035109190282453955,100690
691,1,-0,100691
692,1,-0,100692
693,1,-0,100693
694,1,-0,100694
695,1,-0,100695
696,1,-0,100696
697,1,0.00207216538133758,100697
698,1,-0,100698
699,1,-0,100699
700,1,-0,100700
701,1,2.728121481681747e-4,100701
702,1,-0,100702
703,1,-0,100703
704,1,0.21825154343976913,100704
705,1,0.008255484473408715,100705
706,1,-0,100706
707,1,-0,100707
708,1,0.03263221801596012,100708
709,1,-0,100709
710,1,-0,100710
711,1,-0,100711
712,1,-0,100712
713,1,-0,100713
714,1,-0,100714
715,1,0.1933403578080694,100715
717,1,-0,100717
718,1,-0,100718
719,1,-0,100719
720,1,-0,100720
721,1,0.020028765582565302,100721
722,1,-0,100722
723,1,-0,100723
724,1,-0,100724
726,1,-0,100726
727,1,-0,100727
728,1,-0,100728
729,1,-0,100729
730,1,0.06304970195611971,100730
731,1,0.019317693919983232,100731
732,1,-0,100732
733,1,0.12232291523585018,100733
734,1,-0,100734
735,1,-0,100735
736,1,-0,100736
737,1,-0,100737
738,1,-0,100738
739,1,-0,100739
740,1,-0,100740
741,1,-0,100741
742,1,-0,100742
743,1,0.00849573068029536,100743
744,1,0.6103116097050809,100744
745,1,-0,100745
746,1,-0,100746
748,1,0.015013878614028631,100748
749,1,-0,100749
750,1,-0,100750
751,1,-0,100751
752,1,-0,100752
753,1,-0,100753
754,1,0.11764924681520679,100754
756,1,0.03144763182802005,100756
757,1,-0,100757
758,1,-0,100758
759,1,-0,100759
760,1,-0,100760
761,1,-0,100761
762,1,-0,100762
763,1,-0,100763
764,1,-0,100764
765,1,-0,100765
766,1,0.01961296410506975,100766
767,1,-0,100767
768,1,-0,100768
769,1,-0,100769
771,1,-0,100771
772,1,-0,100772
773,1,-0,100773
774,1,-0,100774
775,1,-0,100775
