WP4,campaign,value,pu
633,1,0,100633
634,1,0,100634
635,1,0,100635
636,1,0,100636
637,1,0.002508093472643369,100637
638,1,0,100638
639,1,0,100639
640,1,7.947329980555425e-5,100640
641,1,0,100641
642,1,0.004196598906043145,100642
643,1,0.004892363938953874,100643
644,1,0.0033389432953054837,100644
645,1,0.012221832390211356,100645
646,1,0.005746896785097751,100646
647,1,0.11346407370930917,100647
648,1,0.014216869372094635,100648
649,1,0,100649
650,1,0,100650
651,1,1.378921806023454e-4,100651
652,1,0.004624808042805153,100652
653,1,0,100653
654,1,0.007957859986378555,100654
655,1,0.06940374933233456,100655
656,1,0,100656
657,1,9.294101015308034e-5,100657
658,1,0,100658
659,1,0,100659
660,1,0,100660
661,1,0.015236765620525507,100661
662,1,3.842773767673215e-4,100662
663,1,0,100663
664,1,0,100664
665,1,0,100665
666,1,0.09944592462837178,100666
667,1,9.844445518980968e-4,100667
668,1,0,100668
669,1,0.0030947111331550634,100669
670,1,0.15889719147770093,100670
671,1,7.067686082258434e-4,100671
672,1,0,100672
673,1,0.026972443246072543,100673
674,1,0.11870506536152386,100674
675,1,0.044027802828920756,100675
676,1,0.015584854692692855,100676
677,1,0.015260482583664085,100677
678,1,0.07297792229178827,100678
679,1,0.15886950525656698,100679
680,1,0.0019189526493008085,100680
681,1,0.08834764694770014,100681
682,1,0,100682
683,1,0.27088851045001194,100683
684,1,0,100684
685,1,0.07128322653441321,100685
686,1,0.06377914865069209,100686
687,1,0.06529469770776541,100687
688,1,0.5165940379980144,100688
689,1,0.023523357345907638,100689
690,1,0.12408414994829343,100690
691,1,0.0035427164275282576,100691
692,1,3.891929893572158e-4,100692
693,1,7.831749822092294e-4,100693
694,1,0.07897966279466742,100694
695,1,0.0404949797474479,100695
696,1,0.05470959376968593,100696
697,1,0.035685100825531196,100697
698,1,0.05410706232989,100698
699,1,0.009810749659801606,100699
700,1,0.027605884336454625,100700
701,1,0.06127599214422799,100701
702,1,0.06311027245191006,100702
703,1,0.0603369890113856,100703
704,1,0.1469039642898452,100704
705,1,0.17783076963723748,100705
706,1,0.18143295873269707,100706
707,1,0.0057964473749964164,100707
708,1,0.4495323835229988,100708
709,1,0.04211952490266362,100709
710,1,0.05722990896180902,100710
711,1,0.23629901626445826,100711
712,1,0.03773778170749287,100712
713,1,0.1344515701896674,100713
714,1,0.03655496612245994,100714
715,1,0.10387151876154924,100715
717,1,0.24644638951886258,100717
718,1,0.016135032094386624,100718
719,1,0.011815661392281884,100719
720,1,0.03536110127814155,100720
721,1,0.11421167148008782,100721
722,1,0.010130649954173412,100722
723,1,0.0023024190530587033,100723
724,1,2.762048083575028e-4,100724
726,1,0,100726
727,1,0,100727
728,1,0.006657185267843589,100728
729,1,1.300954268999949e-4,100729
730,1,0.22233066648426014,100730
731,1,0.10120294465447789,100731
732,1,0.3403037452370847,100732
733,1,0.46464153644012673,100733
734,1,0.12290914487840555,100734
735,1,2.911841896291097e-7,100735
736,1,0,100736
737,1,0.016818416910838803,100737
738,1,0.0317375814562875,100738
739,1,0.014216861135525158,100739
740,1,0.05189074692984572,100740
741,1,0.054823393644294706,100741
