WP4,campaign,value,pu
633,1,0,100633
634,1,0,100634
635,1,0,100635
636,1,0,100636
637,1,0.002489406144218352,100637
638,1,0,100638
639,1,0,100639
640,1,7.957915653913597e-5,100640
641,1,0,100641
642,1,0.004191142121133088,100642
643,1,0.0049019343693162696,100643
644,1,0.0033470874904379484,100644
645,1,0.012276622024992342,100645
646,1,0.0057740585562414785,100646
647,1,0.11460824861212095,100647
648,1,0.014402047355424257,100648
649,1,0,100649
650,1,0,100650
651,1,1.3983154049015042e-4,100651
652,1,0.004686320983242779,100652
653,1,0,100653
654,1,0.008049383879196334,100654
655,1,0.07011698584782414,100655
656,1,0,100656
657,1,9.358328056022798e-5,100657
658,1,0,100658
659,1,0,100659
660,1,0,100660
661,1,0.015307751454410778,100661
662,1,3.858152126798551e-4,100662
663,1,0,100663
664,1,0,100664
665,1,0,100665
666,1,0.09935575551350832,100666
667,1,9.827580265117008e-4,100667
668,1,0,100668
669,1,0.0030874586470024407,100669
670,1,0.15838046850988116,100670
671,1,7.035268137599344e-4,100671
672,1,0,100672
673,1,0.026826315494347802,100673
674,1,0.1179957298698156,100674
675,1,0.04375309507161417,100675
676,1,0.015473425915244267,100676
677,1,0.01514626165386469,100677
678,1,0.07244582654540378,100678
679,1,0.15778717443251095,100679
680,1,0.001906871219203659,100680
681,1,0.08787739164896373,100681
682,1,0,100682
683,1,0.27051881923838855,100683
684,1,0,100684
685,1,0.07181496277531235,100685
686,1,0.06436001384569454,100686
687,1,0.066040694073935,100687
688,1,0.5248239200666661,100688
689,1,0.023975087018686916,100689
690,1,0.12668294312225276,100690
691,1,0.003612505975648412,100691
692,1,3.969817003755688e-4,100692
693,1,7.982691440260553e-4,100693
694,1,0.08054994574785715,100694
695,1,0.04128297300366607,100695
696,1,0.05575695965488822,100696
697,1,0.03636491579321555,100697
698,1,0.05516670765764303,100698
699,1,0.010021404941155596,100699
700,1,0.028198571143807454,100700
701,1,0.06259616768064498,100701
702,1,0.0643666677924,100702
703,1,0.06149890009029778,100703
704,1,0.15001369697342493,100704
705,1,0.18032809480806225,100705
706,1,0.1830359286745298,100706
707,1,0.005841253164077915,100707
708,1,0.4536717664417248,100708
709,1,0.0425700307275551,100709
710,1,0.05797979507702206,100710
711,1,0.24009737722269073,100711
712,1,0.038317272501606305,100712
713,1,0.1359429124963431,100713
714,1,0.03690463782575542,100714
715,1,0.10450930962799579,100715
717,1,0.2505853904082745,100717
718,1,0.01646352995868716,100718
719,1,0.01205799595615378,100719
720,1,0.03592067574948819,100720
721,1,0.11549727609962901,100721
722,1,0.010196356918430871,100722
723,1,0.002318184965108319,100723
724,1,2.776280761556272e-4,100724
726,1,0,100726
727,1,0,100727
728,1,0.006715266619465183,100728
729,1,1.31237782165429e-4,100729
730,1,0.22530457546324445,100730
731,1,0.10292453099067364,100731
732,1,0.3470831514525546,100732
733,1,0.4748562317312962,100733
734,1,0.12510962237890613,100734
735,1,2.944067999386693e-7,100735
736,1,0,100736
737,1,0.01712643151666058,100737
738,1,0.032405037143216915,100738
739,1,0.014502374902725696,100739
740,1,0.052589680436541615,100740
741,1,0.05553335308065893,100741
742,1,0.028652444874817187,100742
