WP4,campaign,value,pu
736,1,0,100736
737,1,0.390625,100737
738,1,0.5625,100738
739,1,0.5625,100739
740,1,0.5625,100740
741,1,0.5625,100741
742,1,0.49,100742
743,1,0.49,100743
744,1,0.525625,100744
745,1,0.49,100745
746,1,0.49,100746
747,1,0.49,100747
748,1,0.49,100748
749,1,0.49,100749
750,1,0.455625,100750
751,1,0.455625,100751
752,1,0.455625,100752
753,1,0.49,100753
754,1,0.49,100754
755,1,0.525625,100755
756,1,0.525625,100756
757,1,0.525625,100757
758,1,0.525625,100758
759,1,0.455625,100759
760,1,0.455625,100760
761,1,0.455625,100761
762,1,0.455625,100762
763,1,0.4225,100763
764,1,0.4225,100764
765,1,0.4225,100765
766,1,0.455625,100766
767,1,0.455625,100767
768,1,0.455625,100768
769,1,0.4225,100769
770,1,0.4225,100770
771,1,0.4225,100771
772,1,0.4225,100772
773,1,0.4225,100773
774,1,0.4225,100774
775,1,0.4225,100775
776,1,0.390625,100776
777,1,0.390625,100777
778,1,0.390625,100778
779,1,0.390625,100779
780,1,0.4225,100780
781,1,0.4225,100781
782,1,0.4225,100782
783,1,0.4225,100783
784,1,0.455625,100784
785,1,0.455625,100785
786,1,0.4225,100786
787,1,0.455625,100787
788,1,0.4225,100788
789,1,0.4225,100789
790,1,0.390625,100790
791,1,0.390625,100791
792,1,0.390625,100792
793,1,0.390625,100793
794,1,0.36,100794
795,1,0.330625,100795
796,1,0.36,100796
797,1,0.455625,100797
798,1,0.36,100798
799,1,0.525625,100799
800,1,0.330625,100800
801,1,0.64,100801
802,1,0.225625,100802
803,1,0.455625,100803
804,1,0.330625,100804
805,1,0.525625,100805
806,1,0.5625,100806
807,1,0.390625,100807
808,1,0.525625,100808
809,1,0.4225,100809
810,1,0.455625,100810
811,1,0.36,100811
812,1,0.36,100812
813,1,0.4225,100813
814,1,0.525625,100814
815,1,0.4225,100815
816,1,0.5625,100816
817,1,0.5625,100817
818,1,0.600625,100818
819,1,0.36,100819
820,1,0.36,100820
821,1,0.390625,100821
822,1,0.36,100822
823,1,0.25,100823
824,1,0.225625,100824
825,1,0.225625,100825
826,1,0.3025,100826
827,1,0.36,100827
828,1,0.140625,100828
829,1,0.390625,100829
830,1,0.390625,100830
831,1,0.390625,100831
832,1,0.390625,100832
833,1,0.390625,100833
834,1,0.390625,100834
835,1,0.390625,100835
836,1,0.275625,100836
837,1,0.330625,100837
838,1,0.330625,100838
839,1,0.600625,100839
840,1,0.600625,100840
841,1,0.600625,100841
842,1,0.600625,100842
843,1,0.330625,100843
844,1,0.330625,100844
845,1,0.330625,100845
846,1,0.330625,100846
847,1,0.600625,100847
848,1,0.680625,100848
849,1,0.5625,100849
850,1,0.330625,100850
851,1,0.3025,100851
852,1,0.275625,100852
853,1,0.3025,100853
854,1,0.3025,100854
855,1,0.49,100855
856,1,0.525625,100856
857,1,0.455625,100857
858,1,0.525625,100858
859,1,0.49,100859
860,1,0.49,100860
861,1,0.4225,100861
862,1,0.4225,100862
863,1,0.455625,100863
864,1,0.455625,100864
865,1,0.455625,100865
866,1,0.275625,100866
867,1,0.3025,100867
868,1,0.3025,100868
869,1,0.3025,100869
870,1,0.3025,100870
871,1,0.330625,100871
872,1,0.3025,100872
873,1,0.225625,100873
874,1,0.2025,100874
875,1,0.225625,100875
876,1,0.180625,100876
877,1,0.180625,100877
878,1,0.180625,100878
879,1,0.140625,100879
880,1,0.3025,100880
881,1,0.25,100881
882,1,0.180625,100882
883,1,0.390625,100883
884,1,0.275625,100884
885,1,0.225625,100885
886,1,0.330625,100886
887,1,0.5625,100887
888,1,0.600625,100888
889,1,0.3025,100889
890,1,0.5625,100890
891,1,0.275625,100891
892,1,0.275625,100892
893,1,0.275625,100893
894,1,0.225625,100894
895,1,0.16,100895
896,1,0.16,100896
897,1,0.49,100897
898,1,0.5625,100898
899,1,0.275625,100899
900,1,0.3025,100900
901,1,0.3025,100901
902,1,0.3025,100902
903,1,0.36,100903
